transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211210--7208316675123258781	0	5583	2021-12-10 07:20:46.676	4	4	5081045	1
20211210--7360975112939018598	-1	11057	2021-12-10 02:28:54.813	2	2	7651392	2
20211210-7702373221885410012	1	13038	2021-12-10 17:45:44.564	34	3	2739771	4
20211210--3067772461888750757	0	14026	2021-12-10 17:31:46.297	1	1	9613568	1
20211210--4223299555722016713	-1	37252	2021-12-10 11:42:03.194	4	4	463422	2
20211210--1699597369374374310	1	14940	2021-12-10 15:33:32.105	1	1	6917648	2
20211210--3065939976846092434	0	8647	2021-12-10 04:28:58.262	2	2	2949506	1
20211210-7804875313313058346	1	24880	2021-12-10 05:42:56.593	2	2	9708136	4
20211210--6167952096279977827	-1	33308	2021-12-10 03:53:22.173	1	1	2628250	1
20211210-4400919733572754020	1	3390	2021-12-10 06:02:11.992	1	1	3355687	2
20211210-8701397775850778870	0	26791	2021-12-10 15:39:35.699	2	2	4926093	1
20211210-2974112168668689989	-1	4321	2021-12-10 21:44:56.547	1	1	4602381	2
20211210--3243291286332118261	0	3052	2021-12-10 12:49:26.715	52	3	1462303	3
20211210--4422498264353119911	0	18717	2021-12-10 10:41:09.543	4	4	4413696	1
20211210--423140227877768480	-1	36219	2021-12-10 11:16:04.417	5	5	1064988	3
20211210-4010831461947963674	0	25491	2021-12-10 17:01:36.796	16	3	3087501	3
20211210--12409342146513111	0	7052	2021-12-10 16:05:48.768	41	3	888435	2
20211210--4067346368281177750	1	24938	2021-12-10 08:17:21.594	17	3	7263409	1
20211210--5080337861258532694	-1	39197	2021-12-10 06:35:48.810	5	5	5244117	2
20211210-6062233336189374812	0	18684	2021-12-10 14:48:39.442	4	4	2609109	4
20211210--4664426457209731134	1	10187	2021-12-10 15:41:35.939	61	3	61168	3
20211210-605133829671230138	-1	28998	2021-12-10 07:30:34.776	1	1	1757666	4
20211210--7387921517855758397	1	4125	2021-12-10 23:30:49.964	5	5	5887306	2
20211210-1475688591801898991	1	27278	2021-12-10 11:22:07.785	59	3	5574773	1
20211210-2810293022412439092	1	17049	2021-12-10 00:42:04.469	2	2	7806881	2
20211210-226330277472368110	-1	9845	2021-12-10 22:25:26.823	20	3	5576183	3
20211210-8036014696476294666	1	309	2021-12-10 10:32:00.235	5	5	119789	4
20211210--6034148070311667322	0	36525	2021-12-10 23:49:06.450	74	3	4450965	1
20211210-1799678705099975921	-1	12907	2021-12-10 19:11:28.946	5	5	1517377	1
20211210-3649123520558195888	-1	38520	2021-12-10 12:01:27.066	103	3	1582972	2
20211210-9172813326716517679	1	22497	2021-12-10 11:22:12.151	4	4	5754229	2
20211210--1685233103812686442	1	25418	2021-12-10 16:03:05.472	2	2	2416742	1
20211210--3924220167453771940	-1	1195	2021-12-10 18:17:40.228	5	5	4662986	3
20211210--7181054756761824799	-1	38787	2021-12-10 07:37:08.386	2	2	2790857	1
20211210--6116319275010160973	1	10712	2021-12-10 03:26:31.582	1	1	893826	2
20211210-2205551408947939029	-1	9930	2021-12-10 00:39:10.086	4	4	6582974	2
20211210--8165943700323823630	1	32066	2021-12-10 11:23:05.298	1	1	1099963	2
20211210-4007944743556597753	1	5001	2021-12-10 06:07:25.329	5	5	3394062	4
20211210--7931877280996119204	-1	20814	2021-12-10 01:13:28.542	4	4	5302460	2
20211210-2155237896419375386	0	24889	2021-12-10 15:23:37.019	1	1	5401503	3
20211210--4799221873158092076	0	33976	2021-12-10 16:19:54.012	4	4	5946069	3
20211210-1382661173462453432	1	14637	2021-12-10 04:59:24.218	4	4	6695179	2
20211210-2733456425425669110	1	28418	2021-12-10 01:50:33.198	1	1	7757098	2
20211210--8939445853698111120	1	34519	2021-12-10 12:03:12.261	2	2	8309213	1
20211210--3498684982145976344	-1	16805	2021-12-10 01:58:35.127	1	1	835330	1
20211210-9082521986743117680	-1	39242	2021-12-10 14:21:21.503	1	1	3121717	1
20211210-722830979590623309	-1	29777	2021-12-10 18:20:42.017	4	4	7820649	3
20211210-2103294245349623217	0	13740	2021-12-10 11:36:54.735	1	1	2698507	3
20211210-3545916926427040582	-1	5420	2021-12-10 17:20:06.251	1	1	2896133	2
20211210--2716888425387841497	-1	19361	2021-12-10 01:43:22.733	18	3	2884614	2
20211210--6694339851312385056	-1	25788	2021-12-10 09:26:13.537	4	4	2624777	2
20211210--4889012092019528780	-1	8385	2021-12-10 11:27:30.182	1	1	8932252	4
20211210--3759248610510336575	1	36055	2021-12-10 06:12:11.080	4	4	732166	4
20211210--1991112061402474563	1	6206	2021-12-10 20:31:32.434	1	1	9243263	2
20211210--946102259967349422	1	6677	2021-12-10 19:32:25.925	66	3	496507	4
20211210--6290343714004120044	-1	707	2021-12-10 04:52:30.171	1	1	9275222	3
20211210--4838202051818559034	1	34405	2021-12-10 11:47:58.043	2	2	7449314	3
20211210-6893042656336368836	0	24276	2021-12-10 15:25:22.798	2	2	6144648	3
20211210-4130944551152852439	1	34031	2021-12-10 12:06:14.402	4	4	1097054	4
20211210--2308081292521130377	1	20679	2021-12-10 23:53:07.549	4	4	1047390	1
20211210--6738021921192288530	0	28381	2021-12-10 22:37:58.288	1	1	4536515	1
20211210--2694636079924252934	1	33513	2021-12-10 15:31:32.238	2	2	7368827	3
20211210-3237571565191723055	0	11067	2021-12-10 07:08:32.414	13	3	6912017	2
20211210-6800781082527141612	0	34749	2021-12-10 05:37:06.700	2	2	6890336	4
20211210--6560531872185371536	0	23773	2021-12-10 18:49:21.228	4	4	1880665	3
20211210--4868369016460911849	1	10186	2021-12-10 08:55:51.709	2	2	9889049	3
20211210--1022646607170495795	-1	26579	2021-12-10 22:11:51.835	5	5	740103	1
20211210--1884417059574305916	1	1771	2021-12-10 04:28:45.198	83	3	989531	3
20211210-5370493997490640859	-1	38694	2021-12-10 13:55:41.939	1	1	3260363	4
20211210--4221286682316849807	0	2304	2021-12-10 10:38:36.281	2	2	4847544	1
20211210--3421453081276576658	-1	28671	2021-12-10 09:07:49.522	90	3	2712476	3
20211210-5471254264792170618	1	13942	2021-12-10 16:39:48.267	28	3	1905339	1
20211210-2592015207893865053	1	28682	2021-12-10 22:55:11.318	42	3	4013767	4
20211210--7717695608212360351	0	9018	2021-12-10 03:17:31.464	1	1	3469679	2
20211210--9173924511775596133	0	3224	2021-12-10 11:25:29.351	4	4	8275462	1
20211210-4601233947756201588	1	31827	2021-12-10 20:46:08.510	2	2	2208232	4
20211210-6178753804100543254	1	11263	2021-12-10 16:39:05.670	2	2	1872731	3
20211210-1639769920680368850	-1	17255	2021-12-10 22:26:02.835	4	4	4120135	4
20211210-829806675747690477	0	19052	2021-12-10 19:16:09.581	1	1	9033916	4
20211210--6472107043958784076	-1	38842	2021-12-10 11:06:48.676	5	5	1836376	2
20211210-3407452521727075809	1	21889	2021-12-10 13:29:31.871	1	1	8044285	3
20211210-3548902987618810112	0	15541	2021-12-10 06:32:11.753	5	5	6913475	2
20211210--6529924557368351396	-1	8411	2021-12-10 17:49:34.481	4	4	6000080	2
20211210-8568822581874150849	1	26074	2021-12-10 09:48:15.640	1	1	8461676	4
20211210-4971208241159621245	0	17085	2021-12-10 19:34:32.394	5	5	1125841	4
20211210--9055906595023610405	1	1634	2021-12-10 11:40:10.205	1	1	9878797	1
20211210--6209699853005396461	1	4391	2021-12-10 18:32:58.946	1	1	7876573	3
20211210--1602252886780596661	1	11380	2021-12-10 15:17:00.966	5	5	4614661	2
20211210--6966606547240741828	1	4152	2021-12-10 18:51:11.633	53	3	8765617	3
20211210--7620371387704099956	1	13160	2021-12-10 01:36:09.043	42	3	825966	4
20211210--6781057598005689097	0	19087	2021-12-10 09:41:17.151	5	5	2647012	1
20211210--5128385783160512438	1	11525	2021-12-10 02:15:34.996	4	4	8907050	2
20211210--4166051664300573320	-1	2541	2021-12-10 22:33:43.998	41	3	3316590	1
20211210-1164129576151269875	-1	35263	2021-12-10 06:05:18.442	1	1	9146668	4
20211210--1843741495548460395	1	16595	2021-12-10 10:36:35.317	55	3	1006315	4
20211210-6518063398552016959	-1	20571	2021-12-10 00:58:55.840	2	2	3262352	2
20211210-1190240735138279325	-1	27113	2021-12-10 09:31:31.901	2	2	1050439	1
20211210-6914763759079999818	0	2594	2021-12-10 03:58:57.787	1	1	9921340	2
20211210-9068548367846272513	0	20538	2021-12-10 20:02:22.988	4	4	6786263	2
20211210-2157103143060585025	-1	9787	2021-12-10 21:32:44.619	106	3	1521853	1
20211210-1236703748417382389	1	24952	2021-12-10 00:32:54.882	5	5	1783109	2
20211210-561252685843234141	-1	30034	2021-12-10 14:43:20.069	5	5	4398230	2
20211210-5152038155960216179	1	4538	2021-12-10 10:32:12.324	2	2	5197007	3
20211210-4064652673187712553	1	38133	2021-12-10 23:44:02.581	2	2	9244425	3
20211210--4343895354797814906	1	9881	2021-12-10 14:16:04.230	1	1	1536421	1
20211210--3006992025171566787	0	13106	2021-12-10 05:55:19.827	2	2	1521254	2
20211210--4354165074163721010	-1	23248	2021-12-10 09:59:51.593	1	1	7945443	2
20211210--3700112551038606964	0	33386	2021-12-10 16:55:29.902	5	5	852569	1
20211210-57037225130113494	-1	20331	2021-12-10 00:27:39.870	2	2	7084411	4
20211210-3164121760311304991	1	30846	2021-12-10 08:59:56.793	2	2	2892548	3
20211210--2252604640753323402	-1	21849	2021-12-10 07:46:29.468	2	2	9253332	2
20211210-461028698931085909	-1	36549	2021-12-10 09:20:55.056	4	4	613640	1
20211210-5339183475921531273	-1	21400	2021-12-10 21:09:21.733	2	2	4429201	3
20211210-2074383129001759353	-1	16949	2021-12-10 16:26:28.715	4	4	9729159	3
