transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211211-4257678202031784210	1	30766	2021-12-11 11:01:26.039	2	2	8668297	4
20211211-2979161004297454465	1	38353	2021-12-11 15:17:59.467	4	4	1251400	2
20211211-6021976810288150061	-1	24675	2021-12-11 17:35:40.711	5	5	5019954	3
20211211-8170966906699527278	1	8564	2021-12-11 01:44:34.128	5	5	7494880	4
20211211-7784009211040047586	1	3592	2021-12-11 23:13:02.796	2	2	8181828	3
20211211--5699264626219052412	0	5603	2021-12-11 17:14:52.566	4	4	4302419	1
20211211-961507516979571711	0	14220	2021-12-11 22:16:37.838	5	5	2444360	1
20211211--492281257316346450	1	20242	2021-12-11 12:38:05.580	5	5	9549342	2
20211211--5026224951322654696	-1	36922	2021-12-11 20:11:10.247	88	3	833395	4
20211211--4465269696103546445	-1	35191	2021-12-11 07:07:28.218	1	1	5690933	1
20211211--1060303976588443839	0	19742	2021-12-11 17:00:16.600	1	1	6003000	3
20211211-3184876614197719476	1	2307	2021-12-11 00:09:17.302	1	1	6839163	4
20211211--8937954229359561471	1	18806	2021-12-11 04:02:06.465	78	3	885032	1
20211211-5534043684280042711	0	35463	2021-12-11 16:06:59.448	5	5	1837484	2
20211211--7078931270047818290	0	36618	2021-12-11 17:53:08.808	1	1	3023417	1
20211211--8341715932925936503	0	17562	2021-12-11 02:33:12.561	1	1	3898729	4
20211211--3080257320367712211	-1	27799	2021-12-11 00:10:52.132	1	1	6784432	1
20211211--7143795959199693265	0	16233	2021-12-11 05:12:12.176	10	3	436816	3
20211211-2424006739367144671	1	28033	2021-12-11 21:14:16.998	1	1	138354	2
20211211--5281215176624307998	-1	18469	2021-12-11 06:09:56.618	2	2	7376366	4
20211211--1150799403841312812	0	22821	2021-12-11 06:07:29.818	48	3	3451797	3
20211211-8565371098818842075	1	25377	2021-12-11 21:36:25.589	51	3	3182291	2
20211211-173349776123259159	1	23507	2021-12-11 14:30:14.786	84	3	8368299	3
20211211--2517690535236566421	-1	8987	2021-12-11 14:58:18.623	2	2	1995576	4
20211211-8493921625549296715	-1	20424	2021-12-11 11:54:20.316	2	2	449860	4
20211211--3043141062739250719	0	9031	2021-12-11 10:14:13.006	61	3	3389180	2
20211211--2080326134900406488	-1	34519	2021-12-11 05:53:10.484	4	4	5082563	4
20211211-4467452863764814711	1	16931	2021-12-11 22:52:50.377	5	5	7750781	4
20211211--6392116124382953133	1	15723	2021-12-11 09:17:40.938	5	5	4383932	1
20211211--3911259703287677190	0	32294	2021-12-11 17:27:35.413	1	1	2714545	2
20211211--862712909010038877	1	17237	2021-12-11 16:40:56.287	5	5	9474809	1
20211211-8491545363776857863	0	34386	2021-12-11 14:59:09.769	4	4	8440276	4
20211211--7615467144533302094	-1	3590	2021-12-11 17:49:54.556	1	1	4367884	2
20211211--607079378623627023	1	20607	2021-12-11 13:43:48.404	1	1	2465478	4
20211211--854154638132746392	1	29328	2021-12-11 10:03:39.393	4	4	5160420	1
20211211-5951552501178621916	-1	24112	2021-12-11 04:03:17.172	1	1	6776922	2
20211211-6714404664783117463	0	39774	2021-12-11 18:33:22.047	105	3	7965714	1
20211211--734502216621420831	-1	27240	2021-12-11 16:00:46.878	1	1	3500837	2
20211211-5925651861017942067	-1	22106	2021-12-11 15:42:55.893	1	1	3506551	1
20211211--8515885993784455965	0	8137	2021-12-11 14:48:26.763	2	2	6448921	3
20211211-4166046398801194966	1	30757	2021-12-11 07:22:45.084	4	4	6153746	2
20211211--5453902106175606956	1	32152	2021-12-11 14:41:23.402	2	2	4039160	1
20211211--3203999085808803610	0	31984	2021-12-11 01:33:31.311	4	4	6683828	2
20211211--8758426247928356286	0	32730	2021-12-11 16:49:17.283	5	5	2162027	3
20211211--6203647127993662293	0	21398	2021-12-11 20:12:34.237	70	3	9078894	3
20211211-6383538487486686108	0	1640	2021-12-11 21:54:39.406	2	2	9512727	4
20211211-1518462932820931842	1	8294	2021-12-11 22:23:35.175	78	3	1691207	2
20211211-1355820514439564193	0	520	2021-12-11 04:56:55.115	1	1	4672677	3
20211211--3445071832476565871	0	38795	2021-12-11 00:16:47.726	4	4	95020	2
20211211-7980904008456213762	1	27150	2021-12-11 12:57:18.233	4	4	4948758	2
20211211--2281320521109104296	0	22779	2021-12-11 11:43:57.182	4	4	2789015	4
20211211--3616066614724845887	-1	3770	2021-12-11 10:02:37.330	1	1	7940781	4
20211211--1450112459147778170	-1	7283	2021-12-11 03:10:43.674	5	5	5781255	4
20211211-352704502078987167	0	37478	2021-12-11 00:18:37.857	2	2	6429741	4
20211211-6235495402928830871	0	10046	2021-12-11 00:22:08.593	96	3	8537488	4
20211211-1577424038635939337	-1	11778	2021-12-11 18:39:54.278	5	5	5135372	4
20211211-6395536189690615934	0	16304	2021-12-11 06:07:33.769	5	5	7694367	4
20211211--7480080917463049644	0	17384	2021-12-11 02:13:18.086	1	1	4493900	2
20211211--3716555128971481459	1	9958	2021-12-11 17:44:12.716	4	4	1933460	4
20211211-3518001612804220121	-1	13210	2021-12-11 07:37:21.999	1	1	8011159	3
20211211-4253811160190698351	-1	7590	2021-12-11 19:21:29.576	5	5	390488	2
20211211--2747062253618045889	0	36116	2021-12-11 05:46:33.345	86	3	2234103	4
20211211--8348275336317715093	-1	15704	2021-12-11 14:16:34.574	5	5	4902046	1
20211211-435094313612852251	1	7814	2021-12-11 04:58:16.245	51	3	1631637	4
20211211-5515612861917749580	0	33641	2021-12-11 04:35:16.196	1	1	5401470	2
20211211--1518246883634951774	0	19386	2021-12-11 06:45:55.618	1	1	8894956	1
20211211-4594122041903929221	1	38631	2021-12-11 19:23:49.954	1	1	9520748	3
20211211--4447129958883467990	0	36215	2021-12-11 16:04:32.758	74	3	5283979	1
20211211-4663127116485680520	1	37713	2021-12-11 20:48:36.559	5	5	5130614	4
20211211-5229882110927224860	1	1836	2021-12-11 01:30:23.409	2	2	6838711	3
20211211--4386713389170549790	0	32484	2021-12-11 23:35:22.668	59	3	2099268	3
20211211-5106931275956508509	0	1421	2021-12-11 05:49:43.126	1	1	7990721	2
20211211--6468626282949862037	0	4365	2021-12-11 04:39:11.035	4	4	1858969	4
20211211-4042805702983333175	0	38432	2021-12-11 18:40:28.862	2	2	2673133	4
20211211-6336012732573144503	1	35024	2021-12-11 15:59:19.384	4	4	4928164	4
20211211-1941332696435230521	-1	36553	2021-12-11 23:54:44.697	2	2	3018396	3
20211211--7803573530880149309	-1	23154	2021-12-11 12:43:35.607	15	3	3981441	1
20211211--6776341312795579300	-1	35553	2021-12-11 10:53:16.912	4	4	3088099	1
20211211-4555508793222792602	-1	32610	2021-12-11 09:19:52.854	4	4	9487736	2
20211211--5446638687206030200	1	33690	2021-12-11 07:20:56.739	5	5	1822241	3
20211211-7727639164359064694	-1	23517	2021-12-11 10:50:56.061	5	5	1056673	1
20211211--5657310731472425210	1	18350	2021-12-11 17:09:29.397	1	1	1164183	4
20211211--1487805508865311262	1	30144	2021-12-11 17:32:17.917	4	4	6231462	2
20211211--10217993561708493	0	14428	2021-12-11 00:22:12.757	2	2	3172805	2
20211211--2931478928391760407	0	8193	2021-12-11 22:50:05.501	4	4	2796729	4
20211211-8972996295175951451	1	22796	2021-12-11 14:00:26.091	4	4	839670	3
20211211-3307219870333734807	0	28450	2021-12-11 22:24:42.438	1	1	4732911	1
20211211--3844245945805420796	1	6619	2021-12-11 14:12:25.730	2	2	7779792	3
20211211-8859634909857244914	-1	37431	2021-12-11 05:34:35.970	1	1	382511	4
20211211--4721075752835158125	-1	889	2021-12-11 07:34:53.030	4	4	1969190	4
20211211--426670399665955443	0	116	2021-12-11 14:12:04.519	1	1	3951428	2
20211211-6236437398747231151	-1	23005	2021-12-11 22:54:11.827	94	3	2980747	4
20211211-656177895669221548	0	39710	2021-12-11 17:05:10.827	5	5	4546381	1
20211211--8052216477635579303	1	13865	2021-12-11 01:28:27.595	11	3	4383652	1
20211211-6446517864573556033	-1	7162	2021-12-11 17:29:16.794	5	5	1395953	2
20211211--4098997838335664293	0	28147	2021-12-11 17:53:56.227	5	5	6153352	1
20211211-8906953829558540954	-1	2897	2021-12-11 19:59:01.275	5	5	269222	1
20211211--5672792565168398397	1	12802	2021-12-11 00:11:00.352	5	5	9046704	4
20211211--905666489460161847	-1	28806	2021-12-11 11:20:01.657	57	3	6311798	3
20211211--4157647206076695119	0	19783	2021-12-11 06:18:07.748	66	3	2752357	3
20211211-3207364076672391159	-1	27175	2021-12-11 16:50:14.453	5	5	7435099	3
20211211--3477216187010835059	1	32365	2021-12-11 21:04:25.326	74	3	1740960	3
20211211--8012819521416691222	-1	36123	2021-12-11 00:38:39.652	76	3	8448584	1
20211211-147104838211476169	0	35536	2021-12-11 10:13:38.390	1	1	6918725	3
20211211-5948103756044429690	0	20924	2021-12-11 19:15:33.160	65	3	7529021	1
20211211-8773885648318424764	-1	20752	2021-12-11 07:11:45.666	4	4	1721763	1
20211211-12116019346466982	0	10040	2021-12-11 06:40:57.949	1	1	3794366	3
20211211-189279229591905170	1	25040	2021-12-11 05:35:16.792	5	5	2059492	3
20211211--4762605160538076168	0	25452	2021-12-11 17:18:53.473	5	5	1273716	1
20211211-2799292716275208502	0	37822	2021-12-11 01:49:09.479	2	2	2889418	1
20211211-2176209973975610697	0	34365	2021-12-11 15:27:30.994	74	3	8010319	2
20211211-7321909076555620089	0	31858	2021-12-11 13:42:31.921	53	3	5845902	4
20211211--8811247445842031745	1	92	2021-12-11 19:17:55.007	18	3	4534509	2
20211211--5640498200884543713	-1	29662	2021-12-11 04:38:06.189	4	4	2910250	4
20211211-8196583015731592092	1	15510	2021-12-11 14:46:35.478	1	1	8931742	4
20211211-4724611368922892995	0	15174	2021-12-11 17:12:08.426	1	1	5570021	4
20211211-284474989052194124	1	32293	2021-12-11 08:45:23.568	5	5	5084334	1
20211211-3354298068126303944	-1	29604	2021-12-11 08:08:05.888	1	1	1650687	2
20211211-3201350521160846938	1	3660	2021-12-11 10:56:02.171	1	1	7999019	3
20211211--8893831237450504087	-1	16760	2021-12-11 20:29:08.448	79	3	7347914	1
20211211-7056852420875801420	0	22467	2021-12-11 21:02:27.064	4	4	41442	3
20211211-8589507247318167377	-1	2388	2021-12-11 05:16:31.481	4	4	5255634	4
20211211--781443310967432503	1	12049	2021-12-11 06:38:09.222	2	2	8429669	4
20211211-8648285662906364177	-1	1161	2021-12-11 14:34:34.420	4	4	9697221	4
20211211--876227179913873213	-1	27728	2021-12-11 02:00:42.774	2	2	8683627	2
20211211-4639058235896867992	0	19908	2021-12-11 23:24:33.662	5	5	4201442	2
20211211--4549996541798582706	0	10908	2021-12-11 19:23:57.674	1	1	6496894	3
20211211--2132036965184528417	1	25422	2021-12-11 07:15:07.148	5	5	5899083	2
20211211--394443423670380561	-1	9426	2021-12-11 09:55:33.138	2	2	8417141	3
20211211--3234198672847622440	0	34050	2021-12-11 06:35:08.191	2	2	7501781	1
20211211-1640052923825736921	0	33732	2021-12-11 16:57:34.647	4	4	1867486	3
20211211-8442075089789075741	-1	16034	2021-12-11 14:10:26.654	5	5	1072064	1
20211211--6143408196729880693	1	8275	2021-12-11 23:09:16.970	1	1	4352818	4
20211211--6178122267373315149	1	24748	2021-12-11 15:02:14.494	23	3	7514754	4
20211211-2983770425034614945	0	31402	2021-12-11 00:30:07.594	1	1	7858588	4
20211211-2554410234629680949	1	13342	2021-12-11 16:45:15.475	23	3	6289952	3
20211211-8176315517111909123	1	32727	2021-12-11 13:18:47.265	4	4	1696252	4
20211211--7451445664432836177	1	2809	2021-12-11 23:23:15.643	2	2	7150202	1
20211211--3589745415474489309	-1	10433	2021-12-11 19:15:05.722	1	1	7840293	4
20211211-5820879132620598629	-1	11394	2021-12-11 15:16:40.444	1	1	7627364	1
20211211--3938571683498328281	-1	21416	2021-12-11 10:50:47.857	4	4	9020079	1
20211211-2995799602749870861	1	20280	2021-12-11 00:30:44.721	2	2	6459096	1
20211211--1484001372304940648	-1	10917	2021-12-11 05:27:26.063	1	1	7607079	4
20211211-709485143692431333	1	18616	2021-12-11 19:20:23.567	5	5	4274511	4
20211211-2115573615089107347	1	30447	2021-12-11 02:38:20.259	78	3	1927219	4
20211211--8916523605708788669	0	18393	2021-12-11 02:54:07.218	1	1	4159392	2
20211211-8318791954742319911	-1	7766	2021-12-11 10:16:59.518	31	3	4710240	4
20211211--3966042373203659210	-1	16160	2021-12-11 20:33:10.474	1	1	192502	2
20211211-1880072106102906673	0	20606	2021-12-11 23:46:31.312	4	4	70385	3
20211211--1914131576296209309	-1	23922	2021-12-11 10:31:45.127	4	4	3172343	3
20211211--1600297034295562936	0	25711	2021-12-11 22:42:28.420	2	2	7906489	4
20211211--7685360912571533791	1	11664	2021-12-11 04:17:37.366	100	3	5379380	3
20211211--3463557967849185770	-1	33288	2021-12-11 00:43:31.396	91	3	169324	1
20211211--8346535689070702228	-1	36408	2021-12-11 23:38:55.666	63	3	8980217	3
20211211--2389892308874599985	1	38361	2021-12-11 10:17:55.261	4	4	6064826	1
20211211-8521518935932429206	-1	21795	2021-12-11 00:03:05.325	68	3	82108	3
20211211--2838264989458266582	0	20391	2021-12-11 01:30:28.348	94	3	7331021	2
20211211--1429217175148908620	-1	1498	2021-12-11 17:22:36.090	2	2	3848893	1
20211211-2197734607055680510	1	2445	2021-12-11 15:25:00.343	4	4	792748	1
20211211-1572660391393042386	-1	9925	2021-12-11 02:15:36.683	2	2	1135589	2
20211211-8573574298352223237	-1	1685	2021-12-11 18:04:13.923	1	1	2387993	1
20211211--7116372773116433151	0	11582	2021-12-11 07:19:48.116	5	5	3045744	4
20211211-3484481937516705632	0	9	2021-12-11 04:53:33.407	4	4	9182312	2
20211211--5611555120177030538	1	13734	2021-12-11 14:42:04.139	1	1	1363435	1
20211211--7801513751314410479	0	31458	2021-12-11 09:55:23.479	70	3	8271723	2
20211211--1722494835759895434	-1	22738	2021-12-11 19:22:53.492	1	1	5542380	4
20211211--8151384062923778044	1	7962	2021-12-11 19:50:20.593	2	2	1129281	2
20211211-1090756929827875675	-1	28855	2021-12-11 06:23:07.258	5	5	7159491	4
