transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211212--7676149918243482937	0	16783	2021-12-12 10:00:47.812	5	5	4213692	1
20211212-5092139529978682192	0	17250	2021-12-12 17:04:46.899	1	1	3880725	1
20211212-1625888637339614479	-1	14843	2021-12-12 21:15:32.725	4	4	3909293	2
20211212--2777510684132110712	1	7501	2021-12-12 15:40:45.082	1	1	6436829	3
20211212--2580746138797416425	0	3916	2021-12-12 09:55:06.353	1	1	4463609	2
20211212-5558668523582579499	1	31890	2021-12-12 20:55:49.351	5	5	9279753	3
20211212--7927638958152240796	0	27188	2021-12-12 19:40:23.161	5	5	6379468	1
20211212-8703908796156083920	1	38969	2021-12-12 02:40:46.044	96	3	8678071	1
20211212-3833125883886755904	1	20744	2021-12-12 13:15:02.832	2	2	9375012	3
20211212-4332304392119562714	1	29114	2021-12-12 11:42:13.314	2	2	2554871	1
20211212--4928380287620999327	-1	28131	2021-12-12 16:38:50.855	109	3	7549573	1
20211212--4797225080056031055	1	34995	2021-12-12 23:53:59.045	2	2	8141479	2
20211212--6150338763570464252	0	29221	2021-12-12 13:33:44.404	1	1	2036905	2
20211212--8479461312305075495	0	13129	2021-12-12 04:01:18.055	2	2	8663428	2
20211212--3491944180001588906	1	29645	2021-12-12 12:13:27.184	1	1	7988103	4
20211212-4366959842325465644	-1	16262	2021-12-12 07:08:48.080	5	5	6775689	4
20211212--7358668845969705300	-1	6329	2021-12-12 00:18:41.820	37	3	2750849	4
20211212--2365896171901671633	1	12194	2021-12-12 06:38:47.409	5	5	9272541	3
20211212--5303323366486036415	0	27575	2021-12-12 23:05:57.618	4	4	5380155	1
20211212--6571472117159048591	-1	23620	2021-12-12 12:39:05.065	1	1	6659229	3
20211212-6113417899116459134	-1	20622	2021-12-12 16:17:26.387	31	3	9273484	1
20211212-9065785592728427584	0	31311	2021-12-12 04:11:12.659	5	5	1043169	1
20211212-8017239221729237104	0	13448	2021-12-12 04:32:51.867	2	2	6370054	1
20211212-4250763038615503755	-1	3356	2021-12-12 07:19:44.209	5	5	7498511	3
20211212--5339878120224827783	1	8431	2021-12-12 05:33:46.671	5	5	8083215	4
20211212--7075896493271620946	1	6207	2021-12-12 07:18:47.057	5	5	3952770	3
20211212--2579788081217407446	-1	11447	2021-12-12 14:09:35.789	4	4	8049034	1
20211212--907480201783330136	-1	17846	2021-12-12 06:33:22.457	5	5	6923263	3
20211212-324861622967424111	1	15820	2021-12-12 00:35:05.448	4	4	9449592	4
20211212--2137561081238453248	-1	11452	2021-12-12 00:23:56.113	4	4	2807123	2
20211212-7496699887850505990	-1	20092	2021-12-12 20:11:51.953	4	4	4993007	4
20211212-7638304686986871976	1	31789	2021-12-12 11:11:00.382	4	4	5158706	4
20211212-1172203870996128841	-1	20876	2021-12-12 23:48:49.697	1	1	5737508	3
20211212--4835676430537536882	-1	6708	2021-12-12 14:03:14.586	61	3	8957528	4
20211212--5067262605508248383	0	13636	2021-12-12 20:03:44.199	109	3	3722406	4
20211212-7134075516041267782	1	1099	2021-12-12 05:55:06.877	1	1	1553703	3
20211212-6554628100833399128	1	8688	2021-12-12 00:00:59.226	5	5	107051	4
20211212-7702557817250991437	0	24720	2021-12-12 23:05:57.072	1	1	3386931	4
20211212-1433945735420377304	0	6075	2021-12-12 20:48:28.954	1	1	6052210	4
20211212--614334754379911035	1	37132	2021-12-12 07:18:35.874	4	4	3655975	4
20211212-88235629159640719	1	25970	2021-12-12 20:35:41.013	2	2	7277156	4
20211212--7393597744363550386	1	16642	2021-12-12 04:08:31.849	2	2	6042788	4
20211212--3133472701084881561	0	19434	2021-12-12 08:14:35.497	2	2	6488239	4
20211212-6596543831101935318	-1	29845	2021-12-12 09:49:41.596	4	4	3213294	2
20211212--7071607227607207379	1	8093	2021-12-12 11:24:48.314	2	2	9056096	3
20211212--1682049255100366858	-1	21173	2021-12-12 00:39:12.002	1	1	6829593	3
20211212--4314907665432072341	0	38911	2021-12-12 15:55:44.095	5	5	8171169	4
20211212-2051867892293684588	-1	26228	2021-12-12 18:20:23.390	4	4	3974388	2
20211212-1794567733667208094	-1	37094	2021-12-12 10:13:32.006	76	3	8797627	3
20211212--1671889719726150806	1	34015	2021-12-12 05:12:20.017	2	2	8659912	3
20211212-4826628017306854771	0	33142	2021-12-12 04:11:46.521	36	3	9470999	1
20211212--4453925952975962201	0	31220	2021-12-12 13:50:48.810	5	5	9330659	4
