transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211213--4399500170746056928	0	25548	2021-12-13 09:23:42.952	5	5	7740348	2
20211213--1237785710780135443	-1	35260	2021-12-13 04:58:34.502	4	4	3711075	1
20211213--7151641356973882986	-1	8060	2021-12-13 08:55:18.278	4	4	7289122	2
20211213-5042459968836060945	0	14985	2021-12-13 09:21:33.929	1	1	1982078	3
20211213--8785672464802723104	0	35805	2021-12-13 19:33:29.868	5	5	8540659	2
20211213-142744668785796827	-1	37767	2021-12-13 12:55:58.868	2	2	2525390	1
20211213--5190796242982771483	0	29111	2021-12-13 12:04:03.090	30	3	3436911	1
20211213-5045730647970254199	-1	22224	2021-12-13 11:24:11.292	5	5	7140150	2
20211213--4326051095979087573	1	28885	2021-12-13 04:50:14.085	5	5	4059544	1
20211213--8692608383418156449	0	6367	2021-12-13 06:20:45.738	5	5	4010771	4
20211213--1221082732096549156	1	36696	2021-12-13 10:24:14.493	4	4	2362020	4
20211213--8636739950946626925	-1	3097	2021-12-13 01:28:58.758	67	3	8311272	3
20211213--4304686818337072096	0	8597	2021-12-13 16:59:56.191	2	2	7062755	4
20211213--6355284694522483694	-1	38906	2021-12-13 01:31:41.721	5	5	1944555	4
20211213-1544832581402086105	1	10775	2021-12-13 08:56:45.177	5	5	3935879	3
20211213--3443787148131815107	0	10011	2021-12-13 14:24:24.389	11	3	4365745	3
20211213-8275131966665439920	1	12714	2021-12-13 04:56:06.531	1	1	4086646	1
20211213-8756106905172110939	-1	5076	2021-12-13 05:06:55.876	2	2	3132351	2
20211213-8909156794147411080	-1	29575	2021-12-13 15:16:41.953	4	4	3002624	1
20211213-8899836891319940701	1	9400	2021-12-13 02:40:45.749	1	1	733004	4
20211213--7429207268285238439	1	26542	2021-12-13 09:07:07.722	2	2	572511	2
20211213--4656926329997548604	0	28329	2021-12-13 16:54:25.315	5	5	3128969	4
20211213--7419212633199168726	1	28117	2021-12-13 09:01:33.815	5	5	8411561	4
20211213--7213252067652639469	1	30811	2021-12-13 07:57:08.135	1	1	6408680	3
20211213--1337813674671904572	-1	12631	2021-12-13 00:18:11.096	4	4	4270278	1
20211213-1828418772533094071	1	35425	2021-12-13 01:30:48.397	5	5	2093411	1
20211213--5426537477899693304	-1	25746	2021-12-13 08:22:37.481	4	4	7859767	1
20211213-5417403589675891445	-1	7555	2021-12-13 18:39:16.639	2	2	9935088	4
20211213--2261488889517920903	1	15772	2021-12-13 21:47:35.819	41	3	4890056	4
20211213-3336959772567637746	1	17481	2021-12-13 14:54:50.180	5	5	2041403	2
20211213-1164992372239904648	0	4858	2021-12-13 03:43:35.919	5	5	4053164	3
20211213-8377742446635063765	0	20566	2021-12-13 01:45:13.147	1	1	4071408	2
20211213-1833469696099785310	0	26937	2021-12-13 22:15:03.090	83	3	2642841	3
20211213--1255208797543013038	-1	22694	2021-12-13 08:59:57.745	4	4	8966226	4
20211213-1868810338196798305	-1	16510	2021-12-13 04:01:41.951	4	4	278602	2
20211213-2153010401746744357	0	22255	2021-12-13 18:01:31.614	2	2	585537	2
20211213-3058915860550158497	0	20037	2021-12-13 06:59:07.495	45	3	7041010	3
20211213-4368122559870395861	0	688	2021-12-13 13:38:50.391	5	5	6590768	2
20211213--4965756370539817691	-1	35070	2021-12-13 05:13:54.447	1	1	1325198	2
20211213--5958259858356187506	1	7634	2021-12-13 22:52:35.338	59	3	1844564	1
20211213--5865325097721017510	-1	21591	2021-12-13 21:26:52.254	4	4	8672529	4
20211213-8400110573219720335	0	34988	2021-12-13 16:13:01.900	1	1	1206934	3
20211213-1918636746015690333	0	11761	2021-12-13 12:03:19.083	61	3	7351328	2
20211213-4045794316046335087	1	12998	2021-12-13 19:59:55.838	5	5	6439296	1
20211213--4727069078685331652	1	32752	2021-12-13 03:50:20.050	5	5	6157268	2
20211213--1480683604632411428	0	31859	2021-12-13 12:46:15.406	4	4	4860451	4
20211213--8514340392864692290	-1	39352	2021-12-13 20:00:05.608	4	4	7956588	4
20211213-3492409346098677055	1	14229	2021-12-13 23:46:23.815	1	1	7221654	4
20211213-8711246843337431237	0	30261	2021-12-13 16:06:26.863	4	4	1209324	3
20211213-6855915588233021980	-1	11769	2021-12-13 03:28:03.061	5	5	1279676	2
20211213--7658498104154730516	1	12364	2021-12-13 21:32:34.856	4	4	710078	3
20211213-3882653541877202160	1	5340	2021-12-13 20:37:58.728	4	4	519067	4
20211213--8015047058469355590	0	35256	2021-12-13 17:47:52.205	2	2	1989208	3
20211213--1123108470567155909	0	21345	2021-12-13 08:27:54.173	2	2	1712790	4
