transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211214--721489794671471641	0	2006	2021-12-14 15:56:19.826	5	5	9617511	1
20211214-406461105574382686	1	36399	2021-12-14 17:41:41.035	5	5	2206342	3
20211214--3215980882628033161	1	36520	2021-12-14 05:48:28.624	4	4	3342042	2
20211214--3306635979602563401	-1	18767	2021-12-14 01:12:58.072	27	3	7345529	4
20211214-7542048251470494538	1	38069	2021-12-14 17:27:45.787	1	1	3181926	4
20211214--6301163467402203849	0	9264	2021-12-14 02:14:11.811	2	2	9381416	4
20211214--3462388641322469357	-1	13492	2021-12-14 07:32:32.205	2	2	5022073	4
20211214--4571464819219182174	0	34880	2021-12-14 09:53:49.807	5	5	3585844	1
20211214--6947400583423336263	-1	35296	2021-12-14 10:35:26.963	1	1	4825980	1
20211214-4494899865984783272	1	5392	2021-12-14 17:17:07.310	4	4	7377698	4
20211214-4349003723989898833	0	37887	2021-12-14 16:17:41.528	1	1	56352	2
20211214--2511094462081288711	1	38071	2021-12-14 13:38:58.133	4	4	3560048	1
20211214--1106957850515803294	0	29312	2021-12-14 02:15:55.764	2	2	3084315	2
20211214--6292861773482052050	0	21193	2021-12-14 18:16:53.994	4	4	1181222	1
20211214--3203423498598061612	-1	25767	2021-12-14 03:53:04.270	2	2	1563706	3
20211214-2457505704047062393	1	23731	2021-12-14 08:15:51.863	21	3	1515361	4
20211214--3303604987213074759	0	25354	2021-12-14 01:29:58.491	2	2	3970391	2
20211214-8391942755071063942	1	4230	2021-12-14 20:26:44.469	2	2	6848169	2
20211214--2814159048729549902	0	11368	2021-12-14 07:25:05.971	4	4	2326190	1
20211214-1766676499609407766	1	25524	2021-12-14 15:09:54.694	78	3	6523574	1
20211214-4670142794395144873	-1	32813	2021-12-14 09:52:38.962	5	5	9839220	4
20211214--5300401120536024817	-1	21382	2021-12-14 12:17:35.874	1	1	3556739	2
20211214--4212162615211825554	-1	14831	2021-12-14 10:43:47.485	5	5	3133221	1
20211214--1870488168270664115	-1	35948	2021-12-14 19:52:06.653	1	1	5486465	2
20211214-3437693913944944582	1	19869	2021-12-14 11:05:22.312	16	3	3409470	1
20211214-1069506413969473109	1	39472	2021-12-14 23:55:10.984	5	5	9453925	4
20211214--1945089620514491455	0	11208	2021-12-14 02:06:29.348	5	5	1848933	4
20211214-5772462037503966828	-1	29467	2021-12-14 10:03:52.550	34	3	3712793	2
20211214--400826191995382970	1	20502	2021-12-14 17:20:27.133	2	2	3530148	1
20211214-956858831715761788	-1	16701	2021-12-14 13:00:48.220	79	3	6876832	3
20211214--6987868344473830469	-1	881	2021-12-14 04:42:15.051	37	3	3280157	4
20211214-6508832250882377851	1	36526	2021-12-14 07:48:03.305	5	5	5172403	4
20211214-2804151500243896612	-1	25593	2021-12-14 00:00:12.476	1	1	9345938	3
20211214-5095159950093271357	0	15622	2021-12-14 05:59:23.239	1	1	8180793	1
20211214-3915643459103460117	0	21174	2021-12-14 16:16:12.425	1	1	1375788	3
20211214--636635559272694394	-1	38878	2021-12-14 07:30:53.130	5	5	2332550	4
20211214-4313273170647025935	0	26406	2021-12-14 06:43:46.206	68	3	3144685	4
20211214-1222434171970076167	1	26284	2021-12-14 03:23:56.820	5	5	581988	1
20211214-3263271821858897098	0	24058	2021-12-14 22:47:26.161	1	1	9321402	4
20211214--7662718180294110885	0	28202	2021-12-14 03:46:33.712	5	5	648490	2
20211214-5362481462346980443	1	33341	2021-12-14 01:05:39.519	1	1	6266021	2
20211214-8727858029477711377	-1	25752	2021-12-14 21:38:49.260	94	3	5796426	1
20211214-4628559897137965380	0	14585	2021-12-14 04:23:59.388	2	2	6901696	3
20211214-7866487735760021130	0	36177	2021-12-14 07:29:55.527	1	1	4121214	4
20211214--4127086837684576688	0	23918	2021-12-14 00:59:59.670	2	2	7205498	1
20211214-2370748961615003422	1	26435	2021-12-14 23:12:11.124	4	4	2966488	2
20211214-5704341884036214412	0	25238	2021-12-14 14:23:22.156	2	2	5805747	3
20211214-5072666792524756681	1	20817	2021-12-14 16:03:30.305	1	1	8408030	4
20211214--2704654142360331896	1	7414	2021-12-14 17:37:14.747	2	2	4793451	3
20211214-7329279252019928771	1	19950	2021-12-14 12:44:09.120	4	4	6480116	3
20211214-2389715773995706764	1	38582	2021-12-14 05:09:38.388	1	1	2935947	4
20211214-1714147825046478673	-1	19840	2021-12-14 00:04:21.621	5	5	1369222	3
20211214-6393835437114831784	1	9582	2021-12-14 02:20:44.599	5	5	584488	2
20211214--8262549353428029130	-1	13812	2021-12-14 20:27:02.483	4	4	7284913	3
20211214--3119391041201495013	0	503	2021-12-14 03:11:07.483	96	3	8899455	1
20211214-3062830847041439497	1	24750	2021-12-14 13:49:17.866	5	5	6962947	4
20211214--2807406946592906191	0	7398	2021-12-14 07:26:45.192	34	3	3129467	3
20211214--4318408698917287262	0	34746	2021-12-14 12:00:19.025	4	4	8026433	1
20211214-4729223275699666489	0	25244	2021-12-14 05:35:48.074	5	5	5317571	2
20211214-5559263152148161590	1	14195	2021-12-14 07:28:06.992	5	5	9640741	4
20211214-4912770170358153414	1	7926	2021-12-14 10:11:54.073	5	5	7412916	1
20211214-1089497128674956417	-1	34902	2021-12-14 13:44:54.515	4	4	609362	1
20211214-4242348049469001515	1	35455	2021-12-14 05:53:08.472	2	2	7061602	1
20211214--1498246396479783748	-1	39664	2021-12-14 22:18:46.009	2	2	9246289	3
20211214-6447281554039670783	-1	8953	2021-12-14 20:43:16.937	1	1	4351595	3
20211214--3611551557558119144	1	34970	2021-12-14 01:54:53.011	4	4	8939180	4
20211214-5191482528908707401	-1	3290	2021-12-14 04:21:26.387	1	1	789282	2
20211214--7922481240288496058	1	13395	2021-12-14 19:49:44.325	70	3	8929977	4
20211214--7377191989522055670	1	36101	2021-12-14 15:58:37.588	1	1	7678549	2
20211214-8697233771413047081	1	14933	2021-12-14 15:09:15.743	5	5	2594583	3
20211214--7868054757457754149	0	14896	2021-12-14 02:04:48.323	30	3	601536	4
20211214-7379120669331838249	-1	20457	2021-12-14 17:16:01.192	1	1	6892841	4
20211214--7163966746498991254	0	11439	2021-12-14 21:08:41.075	1	1	8070236	4
20211214--2631191507620141988	-1	33873	2021-12-14 14:57:05.835	4	4	1315723	4
20211214--4508263172811128091	0	39885	2021-12-14 00:10:57.633	2	2	2222783	3
20211214--2427138827449517448	1	7168	2021-12-14 07:43:18.145	1	1	9293013	3
20211214-3545777958597535084	0	12911	2021-12-14 11:48:05.004	4	4	1299773	4
20211214-361635775059994655	0	21680	2021-12-14 04:08:25.920	67	3	793040	2
