transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211215--5351606022250018445	1	15722	2021-12-15 11:36:35.150	1	1	9869970	4
20211215-1012940433764559344	0	21819	2021-12-15 00:12:19.792	81	3	3082039	4
20211215-8038908437813638955	1	31507	2021-12-15 00:50:21.822	1	1	7793480	2
20211215--2924744689145056220	0	29067	2021-12-15 13:58:46.894	2	2	1542200	3
20211215--5174035949176982657	-1	12254	2021-12-15 21:44:53.948	5	5	5582140	3
20211215-7900862113939451870	0	16905	2021-12-15 07:44:36.205	57	3	1641615	2
20211215--6662402024822484005	-1	4322	2021-12-15 22:29:53.162	2	2	1008209	2
20211215--8135311275431545843	0	7423	2021-12-15 20:10:08.418	4	4	4432140	2
20211215-5221158638034566184	-1	22714	2021-12-15 21:16:28.061	1	1	787475	2
20211215-8579176893418433081	1	35629	2021-12-15 16:09:22.633	5	5	5649197	3
20211215--8024120212027096968	-1	14669	2021-12-15 23:42:09.894	2	2	1065678	3
20211215-3905171637294919083	-1	6589	2021-12-15 22:42:16.344	4	4	624784	2
20211215--2010832980026241179	0	4109	2021-12-15 13:08:35.623	4	4	5759988	4
20211215--1974393380934718341	-1	22503	2021-12-15 10:12:29.956	2	2	742840	4
20211215--4508185276445400038	1	23062	2021-12-15 15:15:00.410	2	2	9070291	1
20211215-2608960977068341230	1	18163	2021-12-15 23:44:04.452	2	2	7316586	3
20211215-6903531156059151319	-1	8140	2021-12-15 06:31:39.821	1	1	3337570	2
20211215-431456905703457314	0	27197	2021-12-15 05:16:27.439	1	1	5125657	4
20211215--5026449561057244829	-1	8304	2021-12-15 03:02:57.676	103	3	9358295	4
20211215-1670864736447963260	-1	35496	2021-12-15 09:23:24.774	67	3	4065225	2
20211215--6827857116927590864	0	34716	2021-12-15 08:49:31.575	2	2	1857402	4
20211215-3383544604185092056	1	24229	2021-12-15 01:23:28.402	1	1	993045	4
20211215--7832135664104720547	-1	22487	2021-12-15 05:02:56.336	5	5	5134986	2
20211215--6695820059259446538	1	15488	2021-12-15 23:49:20.318	1	1	9693004	2
20211215--4606852955609812720	1	20942	2021-12-15 07:21:28.197	4	4	1072534	1
20211215--4209811808213118681	1	34430	2021-12-15 14:15:42.110	5	5	1192018	2
20211215--3246978274926089453	1	15767	2021-12-15 11:20:00.390	2	2	8991996	1
20211215-7651652677947766459	-1	14390	2021-12-15 07:05:14.860	1	1	8386056	4
20211215--5611559829147395382	1	5806	2021-12-15 08:47:02.146	4	4	7542070	1
20211215--7117590430186624905	1	919	2021-12-15 23:17:07.520	4	4	7738962	1
20211215--4230073907011600313	0	2721	2021-12-15 08:15:56.283	5	5	1672440	1
20211215-489060386061865140	-1	37702	2021-12-15 10:18:13.957	52	3	6803943	3
20211215--6699787609972134792	-1	32114	2021-12-15 20:59:42.938	2	2	253660	1
20211215--4668075224369149712	1	33821	2021-12-15 12:46:41.612	1	1	8159033	4
20211215--6538612058717689960	-1	4921	2021-12-15 17:35:59.139	4	4	7368410	3
20211215--3395649601066291851	-1	8534	2021-12-15 09:21:12.243	67	3	9049586	3
20211215-1024426627219635343	-1	35319	2021-12-15 03:18:38.780	4	4	2549557	1
20211215--1264297099470883910	1	12934	2021-12-15 16:29:44.901	5	5	7331925	3
20211215--929861530260796756	0	11458	2021-12-15 00:47:38.419	5	5	183142	4
20211215--5152852720749607437	1	26988	2021-12-15 05:40:53.196	1	1	3824899	4
20211215-5575725870283386461	-1	25791	2021-12-15 11:49:16.799	2	2	5092609	4
20211215--3581225285182871514	1	11492	2021-12-15 22:34:02.448	5	5	7359219	4
20211215-1229525344421162979	0	9540	2021-12-15 19:05:08.994	4	4	4902153	1
20211215-5624173835528866612	0	37566	2021-12-15 19:42:11.390	5	5	2092851	2
20211215-8356642111394278039	0	36389	2021-12-15 02:00:26.686	4	4	543060	3
20211215-84016076452463627	1	39289	2021-12-15 14:44:12.798	4	4	5661637	2
20211215--2688358052149367392	-1	12928	2021-12-15 11:59:15.856	57	3	9340918	1
20211215--1272405537520595425	-1	11372	2021-12-15 02:37:21.100	4	4	1566270	1
20211215--3524991598114696714	-1	37584	2021-12-15 09:30:58.511	1	1	5323933	4
20211215--132595018682656067	0	26635	2021-12-15 12:45:08.477	1	1	5020329	3
20211215--5737965691834259833	-1	8489	2021-12-15 16:42:36.836	1	1	7262508	2
20211215-7114620378003184991	0	7397	2021-12-15 12:54:21.828	1	1	8663934	2
20211215--5850341726495684714	-1	38014	2021-12-15 14:55:08.477	48	3	1110783	2
20211215--983598593715384334	1	16368	2021-12-15 15:21:57.134	5	5	3410937	3
20211215--8540403327800790370	0	11704	2021-12-15 23:24:53.978	4	4	5758439	3
20211215--475946570122755823	0	3194	2021-12-15 23:25:19.493	5	5	6158582	1
20211215-2972000836548472529	0	5005	2021-12-15 09:24:22.214	5	5	3643094	2
20211215--8128831682295103934	0	10194	2021-12-15 08:53:56.032	1	1	9368846	1
20211215--6034258507864073673	0	9236	2021-12-15 05:30:51.497	4	4	9649606	2
20211215-4640680790266186342	0	21846	2021-12-15 10:53:00.864	5	5	2511996	4
20211215--7780573731078722016	1	10023	2021-12-15 14:02:20.694	47	3	566154	3
20211215-3369953477476348158	-1	11406	2021-12-15 06:05:12.951	2	2	2527635	4
20211215-9113826755039452822	-1	19443	2021-12-15 17:36:57.881	17	3	3848920	2
20211215-7435314700131607320	0	12900	2021-12-15 23:33:14.471	4	4	8373651	1
20211215-7290871931396954440	1	7895	2021-12-15 22:04:01.265	5	5	4740508	2
20211215-1040268140674505242	0	38117	2021-12-15 12:58:57.216	4	4	9132076	3
20211215-8387566074768660417	1	30553	2021-12-15 03:08:17.021	4	4	5308413	3
20211215--1535563687545342342	1	4998	2021-12-15 19:12:08.272	1	1	7227336	1
20211215--6201679302845399670	1	50	2021-12-15 05:25:48.881	2	2	4337305	2
20211215--6325702420358319430	-1	3787	2021-12-15 20:23:06.833	1	1	9928190	4
20211215--9062299558042287677	0	33249	2021-12-15 21:01:45.388	4	4	5291554	3
20211215--4209240198546728785	-1	11929	2021-12-15 16:57:24.750	5	5	3791519	3
20211215-9043763672686605828	1	16650	2021-12-15 22:48:31.317	2	2	8265500	1
20211215-2191498711751153761	-1	36263	2021-12-15 07:58:43.687	5	5	3558599	4
20211215-5999386156594140687	-1	37930	2021-12-15 02:38:24.867	54	3	7598021	2
20211215--4457286986230839313	0	26628	2021-12-15 10:59:23.513	2	2	2502236	3
20211215--9024785714328288334	0	5462	2021-12-15 11:19:19.560	4	4	5338464	1
20211215--4713372154889752821	1	8137	2021-12-15 04:46:51.417	2	2	3856648	1
20211215--156619089466652673	1	18228	2021-12-15 23:48:38.022	34	3	5842374	4
20211215-179307214617275	-1	842	2021-12-15 01:01:21.003	5	5	6217687	4
20211215-8847391072274249407	1	13735	2021-12-15 05:58:27.449	5	5	2484066	1
20211215--4145344854353201349	0	37231	2021-12-15 08:18:25.568	2	2	7919705	1
20211215--238646648349200140	0	33790	2021-12-15 02:07:10.138	36	3	7000139	4
20211215--7451309050451461689	-1	30234	2021-12-15 18:24:38.799	2	2	176706	2
20211215--7002343071549980561	1	10637	2021-12-15 23:39:56.276	2	2	3209155	3
20211215-6681579122132872531	0	17164	2021-12-15 22:32:59.471	1	1	8718613	2
20211215--5387292632161681424	-1	33001	2021-12-15 13:41:23.695	2	2	4070256	2
20211215-7433478421783083239	1	14703	2021-12-15 22:22:56.157	81	3	9077596	1
20211215--5688951487164924833	1	2093	2021-12-15 11:36:33.412	2	2	1032148	3
20211215-6700359615150435445	0	36365	2021-12-15 13:44:27.509	19	3	6693273	2
20211215-7244570975959030980	1	19959	2021-12-15 19:58:04.363	1	1	3543519	3
20211215-5921069995435343996	-1	5319	2021-12-15 20:02:18.323	1	1	8786565	4
20211215--4003703626012171663	0	3036	2021-12-15 00:32:36.778	62	3	2886151	3
20211215-6482955350510014674	-1	35140	2021-12-15 10:36:25.906	2	2	9857489	4
20211215--8036133755217974908	-1	4883	2021-12-15 14:46:20.141	2	2	1141623	1
20211215-3099377564937157404	0	18395	2021-12-15 08:52:32.248	20	3	6963181	2
20211215--3350260359610544796	-1	31821	2021-12-15 21:30:52.496	4	4	485533	2
20211215-790214091466264987	1	15084	2021-12-15 18:29:12.965	1	1	882699	4
20211215-383715550721453206	0	23717	2021-12-15 10:06:38.232	5	5	9295244	2
20211215-8574375839014598745	-1	18638	2021-12-15 16:39:08.543	4	4	6149710	4
20211215-3031600487081711289	0	553	2021-12-15 14:35:44.204	4	4	7026034	3
20211215-1068291144672556330	-1	39579	2021-12-15 23:56:55.864	1	1	7418890	3
20211215--8630439226831569159	-1	27937	2021-12-15 13:11:52.602	5	5	2232130	3
