transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211217--1208958859630493449	0	9907	2021-12-17 10:24:37.207	1	1	8538554	1
20211217--4359439009756369912	0	16455	2021-12-17 05:52:08.819	1	1	7007374	2
20211217--3677200619874396566	-1	37292	2021-12-17 23:24:31.922	20	3	1280894	1
20211217--2105281188636360660	-1	5911	2021-12-17 13:57:20.260	1	1	1935255	3
20211217-4790745927491217385	0	163	2021-12-17 10:42:48.849	48	3	53131	3
20211217-5564540703427348688	-1	20487	2021-12-17 05:14:14.781	2	2	9231269	2
20211217-8568431458810352704	0	4586	2021-12-17 21:15:52.199	1	1	1832842	1
20211217--3036090297531752256	-1	17231	2021-12-17 08:48:59.736	5	5	4740619	4
20211217--2203116150585992611	1	11550	2021-12-17 01:13:05.820	86	3	449676	1
20211217-5289462297505818914	1	33494	2021-12-17 01:37:50.103	2	2	5690037	2
20211217--2285588181369419175	1	20272	2021-12-17 19:29:34.302	4	4	606583	1
20211217-8755316813900862568	0	59	2021-12-17 10:44:29.258	2	2	7085070	4
20211217--7470680513060827903	0	38277	2021-12-17 21:26:51.850	2	2	622408	3
20211217-275621919571935220	1	37996	2021-12-17 20:32:09.131	5	5	3025010	1
20211217--1050814393509790516	0	38615	2021-12-17 14:44:34.422	32	3	2345472	3
20211217-7349685765527080946	0	2604	2021-12-17 04:17:45.502	1	1	3555094	1
20211217-188748384844651014	0	29839	2021-12-17 08:03:52.034	2	2	3832125	2
20211217--3428701293596933517	-1	6473	2021-12-17 17:51:02.999	5	5	8568677	3
20211217-6143817079757693664	1	1926	2021-12-17 12:21:49.254	2	2	9279962	2
20211217-1860149253523277913	-1	15323	2021-12-17 09:13:50.301	40	3	8563329	3
20211217-5809672590355461577	1	15983	2021-12-17 18:43:08.681	5	5	2522461	2
20211217--8937367227282229115	1	3453	2021-12-17 17:33:16.642	1	1	4676328	2
20211217--1392978325466129478	-1	37432	2021-12-17 22:50:22.897	4	4	9624463	3
20211217-2633130776764515298	1	15216	2021-12-17 08:31:00.083	4	4	6409576	1
20211217--203448131504954436	0	9397	2021-12-17 04:08:02.295	5	5	4047278	4
20211217--758330888647331782	1	14478	2021-12-17 09:56:39.702	5	5	3609033	3
20211217-356813455338503281	-1	25371	2021-12-17 11:50:33.946	2	2	5162762	2
20211217-4448652801815662628	1	21521	2021-12-17 13:24:13.214	91	3	7834132	4
20211217-3388722532080194366	1	24704	2021-12-17 11:45:54.355	81	3	4061211	2
20211217--7505284113296421254	-1	33515	2021-12-17 20:56:51.029	5	5	6412770	3
20211217-4734058236268124910	0	34338	2021-12-17 04:06:06.823	1	1	2209964	1
20211217--990707259690759970	-1	3117	2021-12-17 13:37:38.066	2	2	9782569	2
20211217--5018989206978154144	-1	3951	2021-12-17 18:30:19.802	73	3	8892281	1
20211217-6899755278283137631	0	36949	2021-12-17 11:30:11.907	1	1	4768725	3
20211217-1156820410255885342	-1	37827	2021-12-17 14:30:28.371	4	4	4279271	3
20211217-4965382295077192352	0	32691	2021-12-17 03:35:42.028	2	2	3858276	4
