transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211218-3726405603737346697	-1	7712	2021-12-18 22:00:51.868	2	2	8644092	3
20211218--1802924747650118677	-1	27167	2021-12-18 09:23:21.461	5	5	9095227	2
20211218-7289171169736617179	-1	18228	2021-12-18 01:20:18.901	1	1	4844543	4
20211218--1887186550595603305	-1	687	2021-12-18 23:53:29.356	4	4	6866405	1
20211218--6809427115725225397	0	13293	2021-12-18 08:52:29.362	1	1	3742701	4
20211218--3650039816353246801	-1	14353	2021-12-18 04:29:40.635	5	5	5968926	4
20211218-5923394536699747436	-1	18330	2021-12-18 20:13:02.147	2	2	2409881	4
20211218--5984803249719591242	-1	6739	2021-12-18 12:08:28.241	2	2	2929022	2
20211218--7459740830795786652	0	29530	2021-12-18 09:22:25.418	1	1	7096950	3
20211218--6089020243351433173	-1	4853	2021-12-18 01:51:58.396	76	3	1702336	2
20211218--7224044536925525850	0	33451	2021-12-18 14:40:27.823	1	1	8543316	1
20211218--394729374427878663	0	25119	2021-12-18 21:08:54.691	61	3	207274	3
20211218--3220670444567369119	1	21848	2021-12-18 16:07:12.876	5	5	1773711	4
20211218-1757635231462712593	0	39212	2021-12-18 14:17:51.744	4	4	4009240	1
20211218--8066895348666115722	0	11190	2021-12-18 06:54:23.982	61	3	5493416	4
20211218--6366438814068036560	1	19083	2021-12-18 06:00:00.933	2	2	5128760	3
20211218-7713751618784154132	1	24604	2021-12-18 16:14:29.551	86	3	1338266	1
20211218-2526202833474045462	1	10362	2021-12-18 09:49:24.566	1	1	8130747	4
20211218-3922503066775916302	0	9988	2021-12-18 23:56:51.908	1	1	4893882	3
20211218-2167138078788149918	-1	38701	2021-12-18 10:29:04.736	5	5	8839227	2
20211218-1533136134021656096	-1	6425	2021-12-18 04:34:52.108	5	5	3659158	2
20211218-3071945063897574133	1	35492	2021-12-18 08:26:02.230	4	4	6332704	4
20211218-4820692839988632463	1	2637	2021-12-18 16:00:23.990	5	5	2204584	3
20211218-7529317108528705887	1	42	2021-12-18 08:10:46.717	5	5	7979486	3
20211218-5754301428842635816	1	18865	2021-12-18 22:53:44.317	4	4	6374509	4
