transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211219--2879113466613239861	1	27725	2021-12-19 10:40:31.066	104	3	564461	1
20211219--7859561002175507803	-1	6891	2021-12-19 03:12:30.324	1	1	7152759	3
20211219-6094608640540209859	0	20029	2021-12-19 08:40:35.709	5	5	8388393	4
20211219--6919055189649008081	-1	18791	2021-12-19 03:18:10.356	26	3	1210790	1
20211219-1990968570704168976	1	10462	2021-12-19 16:58:12.112	4	4	7777024	4
20211219--1319608026267239697	-1	30702	2021-12-19 17:36:17.678	4	4	1508056	2
20211219-5562004256424118097	-1	11075	2021-12-19 00:11:41.305	4	4	1070600	2
20211219-7236946110654604948	-1	10080	2021-12-19 04:42:27.030	2	2	5096400	1
20211219-1741942298909791267	-1	3484	2021-12-19 22:18:55.579	4	4	9897333	1
20211219-390863900893990308	1	36397	2021-12-19 02:10:14.598	98	3	1117973	1
20211219--3536786622998592571	-1	8542	2021-12-19 18:06:01.182	5	5	7322647	2
20211219--8313209164346706921	0	32955	2021-12-19 20:30:08.790	5	5	5074327	4
20211219--7633863478362034322	1	584	2021-12-19 10:45:12.981	2	2	3603935	2
20211219--5585877923990573174	0	1635	2021-12-19 04:03:07.284	49	3	8603426	1
20211219--8891850961651413588	1	26582	2021-12-19 04:18:50.211	74	3	9885088	2
20211219-5028502198191224131	0	8990	2021-12-19 06:43:19.773	4	4	135406	2
20211219-8667543146076524284	-1	38907	2021-12-19 23:29:19.206	5	5	2366063	1
20211219-5503421029628929658	0	8127	2021-12-19 07:44:14.808	33	3	1541464	2
20211219--4566720741671939736	1	13199	2021-12-19 16:15:46.922	2	2	1064625	1
20211219--8349726874649683818	0	4657	2021-12-19 22:46:20.957	1	1	5170487	2
20211219--3508004774302679908	0	22366	2021-12-19 10:39:20.517	4	4	7137576	1
20211219--3147439327032481819	-1	24063	2021-12-19 14:06:44.308	2	2	3435604	4
20211219--5351434995607833242	0	15952	2021-12-19 05:00:03.795	1	1	4588606	1
20211219--5955503347037548380	0	13865	2021-12-19 22:38:04.768	84	3	1053629	2
20211219-6462313546544822130	0	27329	2021-12-19 18:37:50.487	108	3	478422	1
20211219--6438517015852725447	1	13903	2021-12-19 20:35:04.547	2	2	9579630	2
20211219--5858933090121960778	0	21364	2021-12-19 12:54:01.839	4	4	19708	3
20211219-2274459879307862516	-1	10130	2021-12-19 04:10:23.269	74	3	694721	2
20211219-3526869243299925242	1	34260	2021-12-19 21:23:37.095	5	5	8231001	1
20211219-1219662694744131744	1	21833	2021-12-19 19:26:08.783	57	3	2669284	4
20211219-4040722402741315667	-1	1915	2021-12-19 02:36:39.499	4	4	6908379	4
20211219--5494214995275226886	0	34616	2021-12-19 15:08:54.586	4	4	3009643	4
20211219--1057968074702463550	1	3512	2021-12-19 13:10:16.403	58	3	1328985	2
20211219--5195001357223438076	-1	5065	2021-12-19 15:54:24.077	4	4	1237920	1
20211219--6567615562265277225	-1	5984	2021-12-19 23:45:44.316	5	5	3188693	2
20211219--8282750458416210329	-1	14154	2021-12-19 23:50:57.656	1	1	4293357	1
20211219-1343955569943349355	1	37332	2021-12-19 18:25:35.019	4	4	2562191	4
20211219-3562464385269380642	-1	19179	2021-12-19 15:07:44.850	54	3	9219747	1
20211219-8436855241213433372	-1	10145	2021-12-19 18:53:30.661	23	3	168373	1
20211219-5963770306924605310	0	14581	2021-12-19 13:03:56.295	11	3	6383972	2
20211219-1436524005184960693	1	16508	2021-12-19 15:15:15.404	2	2	793975	1
20211219-166675753320159114	0	1793	2021-12-19 19:43:41.998	2	2	1661990	2
20211219-5733675877835122885	-1	11041	2021-12-19 07:49:51.510	5	5	1536864	3
20211219-3225654412258622833	-1	31365	2021-12-19 10:18:37.440	42	3	7120881	2
20211219-8724194190988565110	-1	11972	2021-12-19 17:52:49.988	2	2	4019924	2
20211219-3241583087214128099	1	5348	2021-12-19 01:24:04.217	5	5	1814591	1
20211219-673806971928247572	-1	4397	2021-12-19 18:08:38.091	2	2	3493462	3
20211219-677903607341062302	-1	23173	2021-12-19 06:13:07.581	4	4	4905055	1
20211219-1475998693110917681	-1	37636	2021-12-19 12:47:41.649	4	4	328747	4
20211219--8491385051788683996	0	10487	2021-12-19 11:58:04.166	5	5	1011582	2
20211219--5250199312652560575	1	35487	2021-12-19 23:34:08.510	1	1	4683902	4
20211219--7346955624624803495	-1	35622	2021-12-19 14:13:58.474	2	2	7434896	4
20211219--8831695775218129598	-1	23903	2021-12-19 16:18:58.370	5	5	7835108	2
20211219--3991433370352810691	0	29915	2021-12-19 10:47:51.823	2	2	6251573	2
20211219-101702377082193047	-1	24091	2021-12-19 18:38:35.620	1	1	8109709	4
20211219--1864285457603815242	1	39455	2021-12-19 10:53:01.243	5	5	573426	4
20211219--1529022973481755130	-1	35429	2021-12-19 21:48:52.814	30	3	3453344	3
20211219--7905780933833486839	1	16520	2021-12-19 09:19:52.005	1	1	5365464	1
20211219-8008418586867805980	0	13113	2021-12-19 22:09:01.531	1	1	3572655	3
20211219--746411724317763899	1	23755	2021-12-19 23:42:27.452	2	2	1130560	1
20211219--3840616287403728568	0	20874	2021-12-19 04:58:16.498	5	5	1340377	4
20211219-7895990764750139039	1	10713	2021-12-19 06:02:16.842	107	3	4927506	3
20211219--1011085137737505206	-1	25332	2021-12-19 00:43:33.999	109	3	8917621	2
20211219-5224413912632562660	1	9677	2021-12-19 06:29:40.796	2	2	5270368	3
20211219--1279639842062794779	-1	14273	2021-12-19 06:34:17.360	4	4	238830	2
20211219--3037479973503705415	-1	16124	2021-12-19 09:29:23.022	4	4	10007279	3
20211219-3211679302181674705	1	35589	2021-12-19 20:11:28.411	1	1	8072716	4
20211219-6787480036267211610	1	4686	2021-12-19 09:46:16.846	86	3	7314865	2
20211219-6322944021926320566	1	7738	2021-12-19 02:15:43.774	1	1	2235410	4
20211219--3062000798447275189	1	17971	2021-12-19 01:44:04.273	1	1	982098	2
20211219-8268722722642025495	-1	18060	2021-12-19 13:31:19.986	5	5	4157775	2
20211219--7229770805774271046	0	37518	2021-12-19 02:43:48.487	4	4	2692031	2
20211219--8170386149870254168	-1	22203	2021-12-19 12:31:10.033	61	3	3498918	4
20211219-147739013863351965	0	11739	2021-12-19 01:02:59.115	2	2	1039365	3
20211219-6267532110250573978	-1	33516	2021-12-19 22:11:29.406	2	2	5522896	4
20211219-6785898330181301645	-1	3152	2021-12-19 03:51:18.020	5	5	1219908	2
20211219--4527113772208251636	1	24390	2021-12-19 06:03:05.106	4	4	2997230	3
20211219--8289706478017919695	-1	27713	2021-12-19 23:53:14.862	1	1	4523292	3
20211219-3526147098174540427	-1	9238	2021-12-19 15:50:40.404	4	4	6093946	2
20211219--7677546041171830591	1	12497	2021-12-19 23:57:03.929	5	5	6966491	3
20211219--6457027666817954324	-1	37486	2021-12-19 06:20:45.602	4	4	4087538	2
20211219-3522501090838409956	-1	25168	2021-12-19 17:38:42.169	78	3	3797163	1
20211219--6273701511479796683	-1	25974	2021-12-19 05:26:40.506	2	2	3195410	3
20211219-9053968739776347228	1	32896	2021-12-19 10:56:27.213	2	2	1714007	2
20211219-993751306382339062	0	5219	2021-12-19 09:42:14.577	4	4	2116242	2
20211219--4257221172978156701	-1	27185	2021-12-19 00:54:08.137	4	4	4845686	4
20211219-5048999188591366428	1	20425	2021-12-19 05:39:48.220	50	3	5135042	2
20211219-4752628375488161135	1	20661	2021-12-19 06:06:26.471	4	4	5978468	1
20211219-92844263659164056	0	1781	2021-12-19 20:20:41.613	57	3	3705945	3
20211219-3916042352528553861	0	39319	2021-12-19 14:47:06.435	5	5	5209709	2
20211219-8627422592849095240	-1	26069	2021-12-19 03:42:55.347	1	1	3336179	3
20211219--1872021419957247628	1	36088	2021-12-19 20:39:49.161	45	3	865074	1
20211219--6402142346710191556	0	8074	2021-12-19 21:55:55.195	2	2	680214	4
20211219--7885603145212223911	1	19888	2021-12-19 05:30:58.398	4	4	9403572	1
20211219-7592289483209218263	-1	37784	2021-12-19 15:22:16.365	5	5	120806	3
20211219--6726164988312906704	1	29836	2021-12-19 12:29:40.529	2	2	5218379	1
20211219--5763713738916187001	1	38316	2021-12-19 20:00:21.053	4	4	6005968	3
20211219-1482802175870562719	-1	29996	2021-12-19 14:46:57.677	5	5	898822	4
20211219--1944347804790860598	-1	1556	2021-12-19 15:01:43.957	105	3	3382010	4
20211219--9122617195372486348	0	25400	2021-12-19 13:24:30.021	2	2	3795806	1
20211219-4928092478142211521	1	2692	2021-12-19 03:21:34.728	2	2	5515369	3
20211219--4782909050226586909	0	30355	2021-12-19 23:42:19.834	5	5	3198552	3
20211219--2795358596951567093	-1	12429	2021-12-19 22:01:18.961	5	5	7604397	1
20211219--7270253074809867206	0	33856	2021-12-19 19:27:57.030	5	5	8666218	3
20211219--9189995020015959575	-1	22700	2021-12-19 16:09:06.417	2	2	3880778	4
20211219--5774859922720735035	0	10172	2021-12-19 17:33:33.009	5	5	1205702	3
20211219-3709873865524902868	0	24831	2021-12-19 01:14:58.000	4	4	2832996	2
20211219--4717636401173480371	-1	6231	2021-12-19 21:04:10.965	2	2	6960151	1
20211219--975868817135276097	1	747	2021-12-19 14:53:47.038	2	2	2970505	2
20211219-8155880840487943131	-1	7657	2021-12-19 21:54:37.036	4	4	7152849	1
20211219-391399644773951873	-1	28635	2021-12-19 09:16:46.211	4	4	3293536	4
20211219-2903754252029137333	0	24243	2021-12-19 02:23:12.739	4	4	1691713	1
20211219-5391192151528364969	-1	37301	2021-12-19 15:27:44.451	5	5	8910061	4
20211219-6893257599577866037	1	2771	2021-12-19 14:49:18.492	22	3	2223962	4
20211219-3586782571103209772	0	23602	2021-12-19 14:41:12.416	5	5	9796879	3
20211219--3169462732663281492	1	26949	2021-12-19 07:30:55.896	4	4	2730820	4
20211219--5961679143434421341	1	38621	2021-12-19 20:07:42.582	2	2	4529101	4
20211219--4388065551991345739	0	4870	2021-12-19 22:19:16.668	2	2	6839987	1
20211219--4054718310872089173	1	1955	2021-12-19 13:28:00.537	1	1	8345888	4
20211219-124658434266265775	1	8503	2021-12-19 13:35:18.596	2	2	5614797	1
20211219-8964409098267842861	1	12929	2021-12-19 16:54:02.335	4	4	9127925	3
20211219-1151261780922210150	-1	17503	2021-12-19 07:09:52.224	1	1	2458240	3
20211219-599386806950964021	1	29022	2021-12-19 11:26:35.472	4	4	9370145	2
20211219-1979315752870617178	0	10517	2021-12-19 14:55:01.592	4	4	3141695	4
20211219-6858074346519532882	0	8492	2021-12-19 10:43:45.582	1	1	6889314	3
20211219--8485818125809490570	-1	21399	2021-12-19 02:44:51.767	5	5	894827	4
20211219--7617636393872428901	-1	24718	2021-12-19 12:41:46.993	5	5	4460661	1
20211219--4539898136817827924	0	28138	2021-12-19 02:56:05.813	1	1	2233465	2
20211219--5532788918660666695	1	5218	2021-12-19 23:19:36.571	23	3	6130594	1
20211219--3552389122589834031	1	7877	2021-12-19 16:42:02.787	2	2	1226063	3
20211219-7772575238581816248	1	7994	2021-12-19 19:31:59.371	5	5	8040876	2
20211219-7185283331106715786	1	12097	2021-12-19 08:39:45.092	2	2	8839343	3
20211219-5311641380699394022	1	12194	2021-12-19 16:18:06.654	4	4	630757	4
20211219--5880571991912195585	1	17391	2021-12-19 19:43:26.800	5	5	6302533	2
20211219--7999450078877059038	-1	37214	2021-12-19 21:38:49.259	1	1	3078860	4
20211219--1418909365519671413	-1	16792	2021-12-19 16:22:26.038	2	2	8523773	2
20211219-106379209082454172	-1	28295	2021-12-19 12:29:41.380	2	2	9235725	4
20211219--8237797676770605983	-1	18478	2021-12-19 09:01:41.277	4	4	1919391	1
20211219--5320591318920846718	0	14397	2021-12-19 16:38:39.937	1	1	4219774	3
20211219--8490594292296284888	0	25788	2021-12-19 19:35:02.875	5	5	382996	2
20211219--1427509751187339589	1	24745	2021-12-19 23:27:57.392	79	3	229914	2
20211219--8490741014617484376	0	539	2021-12-19 18:33:45.018	4	4	3187214	2
20211219-4919638261097110798	1	6927	2021-12-19 03:45:40.212	2	2	4371937	4
20211219--1296887997031816133	1	26757	2021-12-19 13:24:51.172	2	2	4937468	2
20211219-2097702512493317691	1	17242	2021-12-19 17:39:50.673	93	3	5404196	3
20211219--5817455132910588451	1	8587	2021-12-19 11:52:46.508	4	4	7744824	3
20211219-1365238131111498765	1	3187	2021-12-19 21:41:24.154	106	3	7204291	4
20211219-5912548205562387305	1	9317	2021-12-19 16:19:41.001	2	2	1100051	2
20211219-8837499827674881375	0	11554	2021-12-19 05:51:37.396	4	4	4553085	2
20211219-1901343976583870852	-1	24001	2021-12-19 16:39:20.950	1	1	5668537	2
20211219--8879397592939050069	-1	4124	2021-12-19 12:43:23.470	4	4	3306116	2
20211219-4991647509754649822	1	20802	2021-12-19 13:02:16.704	59	3	5576440	1
20211219-5583154720351519896	0	29184	2021-12-19 06:11:05.373	4	4	6776837	2
20211219--4310624666217215859	-1	26504	2021-12-19 03:44:59.469	5	5	5011986	2
20211219--3093069712540020549	1	5690	2021-12-19 16:02:14.980	101	3	4752785	2
20211219-4096001043402350932	0	1344	2021-12-19 10:02:46.177	1	1	8095913	2
20211219-8474931133474581765	-1	9609	2021-12-19 15:37:23.710	1	1	6951447	3
20211219-6647398451677548286	0	33806	2021-12-19 13:09:08.322	2	2	7465085	3
20211219--4000898823543315471	0	14313	2021-12-19 07:28:21.661	1	1	6679982	2
20211219--1162460548331154442	0	26942	2021-12-19 04:57:51.210	60	3	2406918	1
20211219--4618354285466864039	1	19790	2021-12-19 06:01:57.620	4	4	9215204	1
20211219-2613386440789394636	1	38829	2021-12-19 05:15:55.969	2	2	9990206	2
20211219--8825876007478922660	0	22525	2021-12-19 22:58:18.237	91	3	6718432	1
20211219-3503281566702047819	1	9376	2021-12-19 10:59:49.832	2	2	9048952	2
20211219--1066280484477382029	0	5175	2021-12-19 15:05:49.426	5	5	5504602	4
20211219-1053491974782024225	1	38089	2021-12-19 01:15:28.914	1	1	4433399	4
20211219--7873563199357299563	-1	26025	2021-12-19 16:33:53.273	2	2	4282680	2
20211219--7278751786692213778	1	23713	2021-12-19 19:46:45.244	5	5	9113281	3
20211219--6136883222012747648	-1	8590	2021-12-19 04:10:15.885	52	3	5141279	1
20211219-7025607714434490208	0	26945	2021-12-19 16:44:13.525	1	1	5209141	3
20211219-4726847511360807167	-1	33678	2021-12-19 06:21:22.259	1	1	1864021	1
20211219--7604347437033961063	1	25664	2021-12-19 01:09:44.115	4	4	5615491	4
20211219-5745388117661575478	0	22015	2021-12-19 20:16:38.696	1	1	7158249	4
20211219-5687656631422816889	-1	17543	2021-12-19 13:37:34.235	1	1	4608359	3
20211219-5270575671673045532	1	23915	2021-12-19 04:27:54.831	4	4	7972991	1
20211219-3660971708719165826	0	13284	2021-12-19 04:31:51.519	2	2	7271853	4
20211219--4399464886761784313	0	12259	2021-12-19 01:54:34.548	1	1	3250381	1
20211219--1516557735694425801	0	22165	2021-12-19 16:48:14.042	4	4	4157766	4
20211219-4224805671690207110	0	1802	2021-12-19 22:06:31.024	91	3	7326441	2
20211219-8975864033918895560	1	18340	2021-12-19 07:10:49.638	5	5	1635109	2
20211219--1012079468607676343	0	38321	2021-12-19 20:51:43.035	5	5	3772782	2
20211219-3881013448374764204	-1	21437	2021-12-19 10:39:27.299	5	5	5263195	4
20211219-4309008476614918263	-1	27290	2021-12-19 02:53:56.641	2	2	3993633	1
20211219-8726310963096401937	-1	14811	2021-12-19 10:00:06.187	2	2	2878658	1
20211219-5489919812432855992	1	35018	2021-12-19 01:07:20.760	98	3	9546717	4
20211219-1036518783509323519	-1	8489	2021-12-19 11:40:33.313	5	5	1766234	1
20211219--1514888217358316848	1	2975	2021-12-19 14:53:58.568	1	1	7923397	1
20211219-1861641139977083197	1	34445	2021-12-19 04:13:36.909	1	1	2534574	3
20211219-4776480308720521297	-1	35461	2021-12-19 23:23:55.665	73	3	4314254	2
20211219-4699664297691497833	1	1238	2021-12-19 15:43:20.219	91	3	9287934	4
20211219-517203960878014772	-1	19417	2021-12-19 02:11:47.089	1	1	7146624	3
20211219--2649795552146596068	0	3481	2021-12-19 11:50:18.558	2	2	6112885	1
20211219--3902302279271069320	-1	32885	2021-12-19 10:10:05.150	1	1	1660016	2
20211219--4077954089568247221	1	10053	2021-12-19 07:16:19.096	2	2	4835259	4
20211219--8765695815252499621	-1	4081	2021-12-19 06:19:35.062	5	5	5362553	3
20211219--5921830676382141170	0	37151	2021-12-19 19:08:26.922	4	4	7555980	4
20211219--8793683807790731333	0	36894	2021-12-19 09:05:24.666	4	4	5708445	2
20211219--2696645159885105774	-1	26391	2021-12-19 02:42:37.793	4	4	9848942	3
20211219--5089419976612740409	-1	39625	2021-12-19 08:20:58.011	4	4	3693104	2
20211219-6568419449534761826	0	26050	2021-12-19 00:57:47.472	4	4	1307348	4
20211219-5028937872300639948	1	32540	2021-12-19 21:08:18.998	4	4	4530316	1
20211219--858216329825792277	-1	8400	2021-12-19 17:38:52.254	1	1	4977015	3
20211219-5567268808365785317	-1	136	2021-12-19 13:16:49.933	4	4	6645983	3
20211219-3096952795355007868	0	9665	2021-12-19 08:19:57.567	1	1	1124358	4
20211219-8700875401567082026	-1	34163	2021-12-19 15:21:28.918	5	5	268920	3
20211219--5304062900783628451	-1	3670	2021-12-19 02:36:26.429	5	5	6342488	3
20211219--4369042697521594630	-1	33867	2021-12-19 18:25:27.499	4	4	3069041	1
20211219--6082444736590789197	1	37567	2021-12-19 13:50:40.753	2	2	8917015	2
20211219--4562405767028407302	-1	29476	2021-12-19 18:29:45.357	2	2	1841365	2
20211219-5222670491485019124	-1	10618	2021-12-19 10:47:22.256	5	5	6021937	2
20211219--5218011664620931449	-1	18682	2021-12-19 06:01:43.907	4	4	164623	2
20211219-2899438517236992170	1	17090	2021-12-19 19:28:10.188	5	5	6795976	2
20211219-3366197491898896911	1	2921	2021-12-19 22:57:59.677	2	2	6852806	1
20211219--4021368037051192954	-1	8890	2021-12-19 20:59:29.584	5	5	6665513	1
20211219-5565888808673660269	0	15547	2021-12-19 14:39:28.850	4	4	9401204	3
20211219-8546364373938149494	-1	6298	2021-12-19 22:40:13.909	1	1	4056034	1
20211219-3557102817901451327	-1	33062	2021-12-19 23:26:48.419	1	1	6890340	2
20211219--3419326557585019619	0	37639	2021-12-19 08:05:34.443	1	1	9702600	3
20211219--2071714198312771029	0	27137	2021-12-19 14:19:37.151	4	4	1980030	3
20211219--4410923508155414903	1	26344	2021-12-19 19:51:17.247	2	2	3524962	1
20211219-2456940787083425860	0	14473	2021-12-19 04:57:35.662	1	1	7727836	1
20211219--179763388777939345	0	31505	2021-12-19 09:54:53.120	106	3	9581716	4
20211219--3535418744512162207	-1	33194	2021-12-19 07:30:36.750	5	5	3463582	1
20211219-5929088652917233471	0	16997	2021-12-19 00:08:32.501	4	4	8464058	4
20211219-2077500347818540477	-1	27588	2021-12-19 00:15:23.046	5	5	8448758	2
20211219--7422614743471539540	-1	31448	2021-12-19 11:04:38.561	98	3	216021	1
20211219--979581444211358248	-1	37229	2021-12-19 15:58:30.181	5	5	9228146	1
20211219-6223144935507126395	-1	37669	2021-12-19 20:14:44.772	53	3	1103274	1
20211219--6369232970238160766	0	2695	2021-12-19 12:12:55.690	5	5	8390976	3
20211219--5823382030505626779	1	38377	2021-12-19 23:28:04.271	5	5	1690794	1
20211219--7049492153341601972	-1	15359	2021-12-19 04:08:05.873	4	4	6348703	3
20211219--1796861539011238485	-1	26124	2021-12-19 16:59:52.004	1	1	2441043	4
20211219--3353743119223709476	1	36818	2021-12-19 04:47:20.981	5	5	5020336	1
20211219--2586490029857670114	-1	31873	2021-12-19 04:20:03.204	4	4	2625713	1
20211219--8724149761271367701	0	23596	2021-12-19 22:54:19.113	4	4	298554	4
20211219--7839819094433783120	0	17135	2021-12-19 12:44:30.911	1	1	177311	2
20211219--2372245264896402901	1	6491	2021-12-19 15:36:57.806	1	1	1838713	4
20211219-6716746486294674338	-1	11587	2021-12-19 02:50:46.050	5	5	8456712	4
20211219-4082689985389767175	-1	8626	2021-12-19 23:34:06.041	2	2	3485035	1
20211219--8444619729713499929	0	6741	2021-12-19 09:04:15.979	2	2	6255064	2
20211219--4428174761628678281	1	1533	2021-12-19 21:17:07.133	1	1	7653923	2
20211219--9063077144573025950	-1	5917	2021-12-19 12:01:23.742	4	4	7392820	4
20211219-44623566367619343	0	27865	2021-12-19 20:28:53.919	2	2	6612808	2
20211219--6243522007180383834	1	20605	2021-12-19 02:47:34.191	92	3	430750	4
20211219-8349917209774657309	-1	8996	2021-12-19 16:16:26.509	2	2	6521420	4
20211219--5294954663963499501	1	19480	2021-12-19 03:28:03.580	2	2	34738	2
