transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211220-5813122240303755568	1	3561	2021-12-20 19:22:14.731	4	4	2985636	3
20211220--7211160241793243588	1	16372	2021-12-20 03:30:31.348	2	2	2513632	2
20211220--7491326399832324003	1	18370	2021-12-20 21:15:57.128	2	2	5624561	2
20211220-8882242202652946147	0	32937	2021-12-20 14:07:09.512	5	5	1044178	1
20211220--1032683468578176766	0	8822	2021-12-20 15:41:04.845	5	5	7360508	1
20211220--2002843836934445787	-1	4741	2021-12-20 15:00:49.742	5	5	396968	1
20211220-2202505673465713695	-1	27439	2021-12-20 22:20:39.077	5	5	10005839	4
20211220--876579484480020498	-1	9817	2021-12-20 13:23:57.739	1	1	4984426	2
20211220--9073020729860998380	0	4242	2021-12-20 22:49:12.393	5	5	7461673	3
20211220--8593174869953292130	1	21205	2021-12-20 07:22:20.577	27	3	9390934	2
20211220--11422357287039929	0	32193	2021-12-20 11:05:44.854	5	5	7740702	2
20211220-4480116647353243643	-1	35500	2021-12-20 20:16:21.854	2	2	9884322	1
20211220-4429715566917875179	-1	34487	2021-12-20 02:02:45.080	5	5	4869265	3
20211220--55563024062928806	0	20191	2021-12-20 22:36:05.370	13	3	805590	2
20211220-6574102818787468298	1	3964	2021-12-20 05:02:03.312	2	2	5570496	1
20211220-5274838759649115867	-1	32793	2021-12-20 13:24:28.411	59	3	5558292	4
20211220--8781942050211201790	0	4977	2021-12-20 11:05:47.549	4	4	9747065	3
20211220-5437340992616591826	1	13902	2021-12-20 22:36:24.024	1	1	1164487	2
20211220-3215001426566978769	-1	6228	2021-12-20 22:13:04.042	1	1	7930968	1
20211220--626443402357217188	1	9132	2021-12-20 08:48:39.764	2	2	406633	2
20211220-3285905619580016142	1	1825	2021-12-20 14:17:09.951	4	4	7467995	2
20211220--6773700084610713688	1	14585	2021-12-20 09:01:09.577	2	2	1227796	3
20211220--8121293911003658016	-1	25399	2021-12-20 05:52:44.474	4	4	1917139	1
20211220--8945582366294059363	0	1821	2021-12-20 21:00:37.847	2	2	4737825	1
20211220--8879177612052184213	0	28467	2021-12-20 03:31:51.940	2	2	7798756	1
20211220--1109287673241664350	1	30298	2021-12-20 22:52:34.932	1	1	2298130	2
20211220-5158085825835540948	0	7001	2021-12-20 08:26:50.430	21	3	2654493	2
20211220-3464462082294682590	0	2584	2021-12-20 09:02:31.965	4	4	2300032	4
20211220-8671594340033218965	0	10970	2021-12-20 15:39:44.458	5	5	6083855	3
20211220-4182945881090183832	-1	13134	2021-12-20 08:18:58.836	4	4	7505685	1
20211220--3047701756916142598	1	10022	2021-12-20 18:20:13.122	12	3	9329356	3
20211220--8842918731012295250	-1	38741	2021-12-20 15:24:57.710	4	4	5657468	3
20211220-7294311282843865687	-1	12447	2021-12-20 11:56:28.544	1	1	7468399	4
20211220--1323923268073795420	0	21521	2021-12-20 05:33:17.586	1	1	9097025	4
20211220--4826415578543632547	0	29005	2021-12-20 21:02:46.846	53	3	8960832	1
20211220--8142967108251637603	-1	32321	2021-12-20 06:25:25.231	1	1	1627537	4
20211220--5602190071285430545	-1	23520	2021-12-20 01:53:46.601	1	1	5900046	3
20211220-7384671711171275216	0	29862	2021-12-20 18:32:56.444	2	2	1593348	3
20211220-1578638118010655969	1	22605	2021-12-20 18:37:38.165	5	5	298050	3
20211220-9734011916973415	1	20267	2021-12-20 07:36:23.114	5	5	4988482	2
20211220--6755816199534781301	1	33117	2021-12-20 14:56:57.052	4	4	725971	1
20211220--8382493256054901325	0	7784	2021-12-20 00:00:29.704	2	2	2096390	4
20211220--5316274882954374519	-1	25436	2021-12-20 15:56:53.546	1	1	357642	2
20211220--18605540742351505	0	4505	2021-12-20 22:21:24.553	4	4	1144345	4
20211220--9111846794962224131	-1	3028	2021-12-20 06:00:46.826	4	4	1528331	1
20211220--3026517249404172992	1	8842	2021-12-20 07:57:56.593	1	1	1671761	4
20211220--7340778409890787442	1	18652	2021-12-20 12:33:39.175	1	1	9612582	3
20211220-2935083142491262902	1	16089	2021-12-20 01:44:28.216	2	2	1372629	1
20211220-4580123553658935015	-1	39328	2021-12-20 23:12:57.549	4	4	3379773	4
20211220-5275791207032148927	-1	10930	2021-12-20 11:26:44.694	105	3	380202	2
20211220--1912185231847053440	-1	1078	2021-12-20 16:20:57.741	16	3	7354404	4
20211220--2468795141915412106	-1	32154	2021-12-20 05:22:49.934	5	5	9361713	2
20211220-6463091205466302398	1	3673	2021-12-20 12:02:05.671	1	1	4205335	2
20211220--806992690965902404	0	21023	2021-12-20 21:23:58.094	4	4	2310893	3
20211220--8553308182573885470	1	23407	2021-12-20 20:40:25.254	1	1	7762730	1
20211220--2929346254018736737	0	2307	2021-12-20 13:40:23.772	2	2	2192366	4
20211220--3450578430263999474	0	6368	2021-12-20 00:29:09.810	5	5	2270762	3
20211220-3466633793004860289	0	14345	2021-12-20 04:26:17.466	1	1	9357375	3
20211220--5217887431795986590	1	26626	2021-12-20 13:14:39.216	83	3	4991781	3
20211220--898610970414109389	0	12138	2021-12-20 03:49:46.137	4	4	8393932	4
20211220-1830413611880402148	-1	28484	2021-12-20 22:36:32.643	5	5	5311737	2
20211220-1098927326510141345	1	21347	2021-12-20 07:26:56.815	1	1	4545883	1
20211220-8577410941614425802	0	17669	2021-12-20 16:21:21.188	4	4	9321965	1
20211220-2560422141488110141	0	26301	2021-12-20 13:57:10.774	1	1	5358528	3
20211220--4348123239207679051	1	12343	2021-12-20 07:57:42.108	10	3	4823144	2
20211220-7943675437910586651	1	36475	2021-12-20 12:35:28.587	5	5	8237586	3
20211220-2894980482337127027	0	2826	2021-12-20 20:59:56.516	108	3	9840377	1
20211220--5392740951894899464	0	19973	2021-12-20 03:51:09.816	12	3	4343523	1
20211220--7668802569126871134	1	5725	2021-12-20 20:20:36.740	46	3	4414983	4
20211220--6898456640313608435	1	33455	2021-12-20 04:22:25.599	86	3	6010732	1
20211220--4124875973607407975	0	17947	2021-12-20 05:06:46.311	1	1	9053682	4
20211220--5583045497959472754	-1	3023	2021-12-20 15:53:44.143	2	2	8532447	4
20211220-764650765457090117	0	29189	2021-12-20 01:30:15.464	1	1	2991267	4
20211220--3343207350571901812	1	28726	2021-12-20 10:16:26.621	2	2	1778264	4
20211220-1015567867410110583	1	32113	2021-12-20 02:55:58.470	4	4	5600499	1
20211220--4797715151085342198	0	35918	2021-12-20 00:15:19.900	4	4	1481961	2
20211220--4335136411916384495	-1	37959	2021-12-20 08:23:41.175	5	5	4509172	4
20211220-7536873081951547776	0	37718	2021-12-20 17:06:16.012	4	4	9265048	2
20211220-8441831830387337740	1	14110	2021-12-20 01:37:06.750	103	3	7504461	3
20211220--4748272521956011669	0	7523	2021-12-20 00:42:03.111	4	4	9612746	3
20211220-2980222587134004396	0	21224	2021-12-20 16:29:03.213	1	1	9114283	3
20211220--8729677405155936484	0	23671	2021-12-20 22:22:01.277	1	1	6493713	1
20211220-4507107311655089401	1	15836	2021-12-20 00:37:49.513	2	2	9087285	1
20211220-8177890420744078643	1	29932	2021-12-20 15:31:40.078	2	2	621086	1
20211220-8567222249383013160	-1	14465	2021-12-20 01:39:26.941	1	1	5272157	2
20211220-3912392308626538100	1	32778	2021-12-20 03:07:52.493	2	2	6009761	3
20211220--3253145444753451850	-1	28804	2021-12-20 10:18:09.064	2	2	1268241	2
20211220--7331224990475193282	1	1255	2021-12-20 03:28:59.327	5	5	990451	2
20211220--10629165646886153	-1	34471	2021-12-20 05:38:36.089	101	3	1138746	1
20211220--5334156153304980923	-1	16794	2021-12-20 19:01:30.840	53	3	9202802	3
20211220--1820912350298575034	1	15616	2021-12-20 14:44:08.787	1	1	2715636	1
20211220-95490659927950660	1	36801	2021-12-20 10:54:01.467	4	4	2374383	4
20211220-5269566638909037889	0	3705	2021-12-20 09:37:32.816	5	5	4335644	4
20211220--4662957701287448983	-1	23368	2021-12-20 22:11:29.328	2	2	6358235	2
20211220-1316252735554428908	0	29216	2021-12-20 18:14:41.261	5	5	2428671	2
20211220-580357271213058942	1	29951	2021-12-20 22:46:07.510	78	3	7095868	1
20211220--4598896678607282444	0	5412	2021-12-20 15:26:08.120	4	4	1954052	3
20211220-4120470109309173121	-1	19355	2021-12-20 16:50:43.517	5	5	2317087	3
20211220--4913208162183296165	1	35131	2021-12-20 00:14:40.892	5	5	4684036	2
20211220-5030382590585254414	1	10748	2021-12-20 16:16:03.724	5	5	2938812	3
20211220--4837442188781591328	0	18611	2021-12-20 06:29:43.894	1	1	3449675	3
20211220--77760196641673263	-1	29455	2021-12-20 22:25:54.738	2	2	4975610	4
20211220-3577046131995833349	-1	1425	2021-12-20 11:44:12.825	2	2	1608242	2
20211220--4135520980010639733	1	37692	2021-12-20 06:11:33.677	1	1	603151	2
20211220--4074967540454045858	-1	30932	2021-12-20 09:07:13.006	2	2	1481694	3
20211220--739866617826082542	-1	19995	2021-12-20 05:53:20.634	4	4	8235424	3
20211220-6077639944541438928	1	35943	2021-12-20 08:13:57.886	1	1	6017000	4
20211220--1461095521075394991	0	21044	2021-12-20 11:25:07.178	2	2	1137268	4
20211220-2751623808093588500	1	36269	2021-12-20 20:31:56.469	2	2	6838157	3
20211220--2056691101617720974	-1	31950	2021-12-20 07:27:53.193	1	1	2986025	3
20211220-4170306333091622889	-1	30331	2021-12-20 22:30:14.238	1	1	1768359	2
20211220-2771839952726853538	1	34186	2021-12-20 04:42:56.502	40	3	10009487	1
20211220--7200145288918673826	0	8049	2021-12-20 00:53:54.536	5	5	8534579	4
20211220--4618455419458918495	-1	35724	2021-12-20 20:27:02.224	2	2	9739310	4
20211220--5379480052947106284	-1	17990	2021-12-20 08:32:00.558	4	4	5964560	3
20211220-6771607148400644560	-1	29991	2021-12-20 03:58:19.360	4	4	7547647	1
20211220--554819921480795612	0	21969	2021-12-20 23:59:35.670	4	4	3353762	1
20211220--1742621159442398717	0	37271	2021-12-20 08:22:56.510	4	4	10006529	2
20211220-3818682960358007352	-1	33501	2021-12-20 00:48:43.136	69	3	1765719	4
20211220-5378265816252739154	1	36835	2021-12-20 05:50:08.723	38	3	6827193	1
20211220-3561069031539293948	1	19595	2021-12-20 15:01:49.110	4	4	1785772	3
20211220--2580174975262368320	1	12115	2021-12-20 07:58:42.875	4	4	6768795	4
20211220--2058398981806197748	0	20173	2021-12-20 09:55:19.406	2	2	7944244	3
20211220--4162934342634878574	-1	33279	2021-12-20 09:37:57.504	1	1	4369914	4
20211220-2736143089387806979	0	24268	2021-12-20 23:47:26.656	1	1	1639786	1
20211220--124143779394548804	1	18203	2021-12-20 20:07:13.148	2	2	2087585	3
20211220-3047543265297486425	0	19621	2021-12-20 01:20:43.662	2	2	6333325	4
20211220-8444318375353190556	1	19937	2021-12-20 07:31:33.889	5	5	4906975	1
20211220-4468983128438284291	1	22241	2021-12-20 17:59:09.174	1	1	9536064	4
20211220-904668605502442269	1	31894	2021-12-20 08:07:52.317	2	2	384825	4
20211220-6960615513796911652	1	27601	2021-12-20 23:50:40.041	2	2	3400425	1
20211220-8457132130262759032	0	25639	2021-12-20 14:54:40.108	1	1	7907667	2
20211220--5028646699864679819	1	6798	2021-12-20 06:48:15.879	1	1	7900101	1
20211220-882735188281882248	-1	3611	2021-12-20 08:00:49.603	4	4	1821694	3
20211220--8177124775038102480	0	38922	2021-12-20 22:51:16.805	4	4	501195	1
20211220--8680577392373565827	0	5147	2021-12-20 06:57:56.583	4	4	1094447	3
20211220-3896348602510903374	-1	16867	2021-12-20 15:25:16.171	2	2	6881769	3
20211220-1499320135152340439	-1	32608	2021-12-20 23:46:54.331	5	5	1735185	1
20211220-8288046869950239898	0	11393	2021-12-20 03:44:47.156	1	1	7031054	2
20211220-5182044131520950077	1	6185	2021-12-20 21:00:22.755	2	2	8956898	4
20211220-8146419798709444944	-1	8997	2021-12-20 10:13:32.054	5	5	3745506	4
20211220--1157651326192005695	0	35669	2021-12-20 17:15:43.894	2	2	9198735	1
20211220--7801378287692688346	-1	1343	2021-12-20 08:07:14.113	2	2	1373710	1
20211220--1605866248589140275	1	9842	2021-12-20 22:32:31.515	5	5	2201546	3
20211220--986708510768195235	0	3091	2021-12-20 03:50:18.264	4	4	8969692	3
20211220--7443035174855062441	1	39478	2021-12-20 11:05:09.538	85	3	8457264	3
20211220-7404701638909842757	1	6960	2021-12-20 17:11:20.869	4	4	9012624	3
20211220-5403181115092438834	0	37747	2021-12-20 20:11:23.169	5	5	5388645	2
20211220-7822439701114208078	0	2021	2021-12-20 15:32:30.958	1	1	400010	4
20211220-6758632820314399411	-1	6902	2021-12-20 13:50:18.445	1	1	1468004	2
20211220--3486747772793606053	1	13287	2021-12-20 13:25:44.223	1	1	1103831	1
20211220--468309768048375044	1	24232	2021-12-20 21:53:22.681	5	5	3613298	4
20211220--6022713832282396376	1	37318	2021-12-20 20:36:12.704	5	5	4630740	4
20211220--2654196969459107945	1	6633	2021-12-20 22:14:53.726	5	5	6812964	1
20211220-4351431904545301107	0	36925	2021-12-20 10:57:31.320	5	5	9097578	4
20211220-8219952776685699508	-1	3275	2021-12-20 06:09:30.599	2	2	3619032	4
20211220--4465123647827489412	1	38752	2021-12-20 15:59:17.488	5	5	266332	4
20211220-6550637403983694087	1	9023	2021-12-20 11:37:28.669	1	1	116441	3
20211220-3203008982088791952	0	21041	2021-12-20 16:43:46.833	5	5	2245689	2
20211220--7472519596180456939	0	12193	2021-12-20 09:31:47.138	5	5	7658369	3
20211220--1118808219058556307	0	19488	2021-12-20 03:15:05.000	1	1	2356829	1
20211220--883040741407451735	0	15392	2021-12-20 03:41:56.716	72	3	3316100	2
20211220-1393286491094946806	1	25764	2021-12-20 15:55:11.361	1	1	7079609	4
20211220--7499722004946922887	0	19728	2021-12-20 02:03:36.255	1	1	3772186	3
20211220--6087276787417292884	1	15956	2021-12-20 04:41:30.540	5	5	3177612	1
20211220-6768769362932898135	-1	9839	2021-12-20 11:34:48.386	1	1	1535569	2
20211220-2333193766405901511	1	33049	2021-12-20 13:26:37.315	67	3	5563314	1
20211220-4890364394764445798	1	10911	2021-12-20 01:00:41.565	4	4	3809353	2
20211220--412551928745618987	0	12872	2021-12-20 02:58:51.744	5	5	1981320	1
20211220--7861146097191711499	-1	31662	2021-12-20 17:14:58.902	69	3	620559	4
20211220-903572269293084235	-1	16661	2021-12-20 03:47:34.107	2	2	6273062	2
20211220--4229012572398392021	0	35193	2021-12-20 03:40:38.409	1	1	5998120	1
20211220-6285349439440825216	-1	28441	2021-12-20 06:22:29.360	65	3	4571736	4
20211220-5552026449413147409	0	25515	2021-12-20 23:00:31.615	1	1	2541187	3
20211220--6006651297007912537	-1	36694	2021-12-20 00:48:47.740	78	3	2467240	4
20211220--6411978122514498926	0	34094	2021-12-20 11:17:22.409	4	4	8610573	1
20211220--8331150941818363447	-1	13699	2021-12-20 20:37:50.942	55	3	2281911	3
20211220--7826924018856730161	-1	28016	2021-12-20 19:30:40.361	5	5	4390783	4
20211220--4753492084933663037	-1	38582	2021-12-20 14:42:11.337	80	3	7941433	4
20211220-294675151794140665	1	12859	2021-12-20 18:27:42.172	4	4	2948681	3
20211220--417265152078306853	1	20656	2021-12-20 22:14:00.641	95	3	3875224	3
20211220-4933789654470337213	1	7358	2021-12-20 23:45:45.413	5	5	6229552	3
20211220-7372351601973323509	-1	2698	2021-12-20 17:15:44.112	4	4	5595426	2
20211220-8599305369386182533	1	25901	2021-12-20 00:25:02.635	1	1	713435	1
20211220--6481290028580423570	1	7387	2021-12-20 19:38:57.636	1	1	827803	3
20211220--1968675743840560747	-1	4732	2021-12-20 18:36:10.730	1	1	5323476	3
20211220--2257194377315925209	0	31000	2021-12-20 08:21:09.411	4	4	652518	2
20211220--8254507697621765962	1	28627	2021-12-20 03:48:54.289	4	4	673301	1
20211220--87039728932741934	1	33632	2021-12-20 18:18:50.506	5	5	624383	1
20211220--3245265250885025818	1	28255	2021-12-20 00:18:20.060	5	5	1648614	4
20211220--7331392476193697171	0	16276	2021-12-20 02:43:17.559	1	1	2837795	4
20211220-5775627952484420074	-1	2120	2021-12-20 10:58:43.248	1	1	3500026	3
20211220-4655564955208484304	-1	25742	2021-12-20 03:50:33.182	1	1	3510931	3
20211220-3638632010426410090	-1	9149	2021-12-20 06:35:05.760	90	3	5557120	2
20211220--3369858267625821373	-1	35243	2021-12-20 12:35:44.611	4	4	9180983	1
20211220--9215554848423767175	-1	27659	2021-12-20 14:55:32.021	5	5	1652301	3
20211220--1319842838914018679	-1	20775	2021-12-20 09:55:42.773	4	4	8236403	3
20211220-5052278623438310953	0	1553	2021-12-20 03:25:37.236	5	5	3925483	3
20211220-4146021880849472179	0	33664	2021-12-20 09:59:53.448	2	2	8503974	2
20211220--4386389162312001629	1	28082	2021-12-20 21:49:17.033	5	5	1949713	1
20211220--5796885443157971833	1	9660	2021-12-20 04:06:23.625	2	2	907571	2
20211220--4908799144850460013	-1	10413	2021-12-20 06:55:21.924	1	1	6557620	2
20211220--336451992565498671	0	23903	2021-12-20 02:18:16.781	1	1	6954497	4
20211220-8636402540275513264	-1	24040	2021-12-20 12:14:57.342	5	5	3304802	4
20211220--4986724596839580457	0	37092	2021-12-20 12:19:06.034	73	3	5611724	3
20211220--7595418790106642283	0	21255	2021-12-20 18:30:52.502	5	5	9015971	2
20211220--8463879181366771086	1	19454	2021-12-20 22:26:24.608	4	4	2692251	1
20211220--8931896074517532926	-1	24276	2021-12-20 02:51:44.485	2	2	6418847	2
20211220-9094935992046047714	-1	25117	2021-12-20 12:41:50.652	5	5	1143112	2
20211220--7461138285738946296	0	24237	2021-12-20 06:52:08.136	1	1	313455	3
20211220--2754209540437852624	0	12521	2021-12-20 03:28:48.955	2	2	4571755	4
20211220--8853348682809652670	-1	23831	2021-12-20 17:44:26.235	1	1	4707762	1
20211220-8877626463316605200	1	19437	2021-12-20 18:50:12.195	81	3	3672109	2
20211220--1271309355526134474	0	36378	2021-12-20 18:58:32.592	5	5	419172	1
20211220--8732494318167678935	-1	1993	2021-12-20 16:02:49.827	5	5	3279457	2
20211220-9157595598764900278	0	5428	2021-12-20 12:31:14.196	5	5	6341862	2
20211220--3003846184629299845	0	33086	2021-12-20 23:07:26.451	76	3	1915650	2
20211220-5514645557716044589	1	20582	2021-12-20 14:11:20.251	5	5	546703	1
20211220-5018189695575231957	0	28723	2021-12-20 15:41:57.544	1	1	8408404	2
20211220--4605027299597287199	-1	25234	2021-12-20 16:45:46.555	86	3	9353536	1
20211220-2573203052189885241	1	9018	2021-12-20 02:23:05.590	77	3	2679980	1
20211220-6991847321664369515	0	6940	2021-12-20 00:56:33.847	1	1	4776050	1
20211220--7479617135756091228	0	10710	2021-12-20 04:41:15.194	5	5	9474596	1
20211220--5370326153027787785	-1	27971	2021-12-20 02:53:38.618	4	4	3744933	3
20211220--7715759989970225926	-1	11856	2021-12-20 22:07:13.138	2	2	515676	2
20211220-6129907041113304142	0	3768	2021-12-20 03:53:06.506	1	1	8356861	2
20211220-2774513930387339967	0	33591	2021-12-20 20:59:07.222	64	3	5760319	2
20211220-9003302928367256331	-1	8365	2021-12-20 12:17:25.258	108	3	78072	3
20211220--217566910666556454	1	25296	2021-12-20 00:39:08.287	1	1	7564338	1
20211220--6487470009686831562	1	4621	2021-12-20 12:27:42.013	4	4	169002	2
20211220-2574489458518126462	1	26385	2021-12-20 04:19:49.795	105	3	3937734	3
20211220--5586141695708929391	0	30838	2021-12-20 06:59:53.281	101	3	9885172	2
20211220--1717459221895084420	1	20326	2021-12-20 19:58:52.626	2	2	6177352	1
20211220--1406999383178827886	1	35679	2021-12-20 09:21:47.955	4	4	3877615	1
20211220--3343896814288907793	-1	29737	2021-12-20 23:43:45.080	58	3	1265569	1
20211220-8807407101405834348	-1	34415	2021-12-20 20:14:45.291	5	5	1069182	2
20211220-8443419786232057083	1	1455	2021-12-20 13:08:39.816	102	3	4533734	1
20211220-1589863717939832506	1	33520	2021-12-20 20:50:32.949	2	2	1807360	4
20211220-5702433749768751162	1	12426	2021-12-20 11:09:18.168	2	2	7964470	1
20211220-6185552450340413545	1	7336	2021-12-20 02:43:40.805	77	3	3315695	2
20211220-2000363849976917848	0	1103	2021-12-20 08:02:16.176	25	3	3609165	4
20211220--3168478109344978254	-1	18701	2021-12-20 16:14:13.935	1	1	2885313	4
20211220-8067090071294952396	-1	39250	2021-12-20 20:15:40.704	1	1	5276251	4
20211220-5855974914433908846	1	30412	2021-12-20 04:15:16.704	81	3	5738743	3
20211220-4676857525489571238	1	26728	2021-12-20 18:42:01.567	5	5	4747868	3
20211220--8052149754992987073	1	27869	2021-12-20 19:39:40.255	5	5	7449710	1
20211220--8124252755355522778	-1	10090	2021-12-20 04:54:10.678	2	2	3855326	1
20211220--3754718227825916222	-1	37169	2021-12-20 00:25:20.423	5	5	8121091	3
20211220--5497788896875046533	0	4771	2021-12-20 13:10:12.163	5	5	8924832	3
20211220--4136735782801450322	-1	24969	2021-12-20 11:52:32.600	105	3	3996258	4
20211220--1472636007015533052	0	10191	2021-12-20 10:36:06.922	4	4	8781330	1
20211220--376223244054306669	-1	31966	2021-12-20 11:41:38.485	2	2	1816421	3
20211220--1837252727186272379	-1	20834	2021-12-20 00:35:35.418	4	4	8855783	3
20211220--5687060690264918355	-1	30674	2021-12-20 12:43:17.461	1	1	5723570	4
20211220-4580397785366232687	0	14233	2021-12-20 17:03:18.186	2	2	6788396	3
20211220--8435900886453560555	0	1251	2021-12-20 19:58:51.754	4	4	5656657	1
20211220-8549564960075165976	1	33427	2021-12-20 13:28:47.187	2	2	568997	2
20211220--2783952929206127206	0	31378	2021-12-20 21:56:50.511	4	4	2011729	2
20211220--3707830007658603434	1	37211	2021-12-20 05:55:41.504	23	3	6658092	4
20211220--4374749010012508245	0	15396	2021-12-20 12:52:30.857	4	4	8840780	1
20211220--6733039613720626163	0	37488	2021-12-20 04:40:28.154	5	5	1778799	4
20211220--8101232477467805378	1	16069	2021-12-20 20:07:04.025	57	3	2741333	1
20211220--7181946436844993317	0	19800	2021-12-20 01:57:56.411	33	3	3642695	4
20211220-3904693998790452118	0	28451	2021-12-20 11:57:00.190	4	4	2141179	2
20211220-4291607237359864203	-1	360	2021-12-20 18:00:43.726	5	5	9491480	2
20211220-5310588580440042053	1	2713	2021-12-20 21:02:52.925	4	4	5175770	2
20211220--2654185488682225556	0	6726	2021-12-20 00:28:58.756	21	3	923321	4
20211220--3137211231741165937	1	10404	2021-12-20 20:20:05.975	1	1	3667203	1
20211220--7285319581798878084	1	19083	2021-12-20 23:06:19.723	54	3	1488074	4
20211220-4874156236625054428	1	15395	2021-12-20 20:43:32.269	28	3	3221565	3
20211220-1556766642520814813	-1	27160	2021-12-20 15:07:11.342	1	1	5582688	1
20211220--4665851571120624173	1	6215	2021-12-20 10:43:42.394	1	1	2349167	2
20211220--3861318263814576817	1	11459	2021-12-20 20:58:14.337	1	1	3948995	2
20211220--3750533660114495860	1	24498	2021-12-20 06:35:48.783	4	4	8073242	4
20211220--6059340227080226495	-1	7412	2021-12-20 13:42:37.995	4	4	2953089	4
20211220-5383775485584349506	-1	31446	2021-12-20 17:42:40.191	1	1	708654	4
20211220--369064317306715523	-1	38380	2021-12-20 18:25:31.006	2	2	7577398	3
20211220-4357025977700665565	1	19270	2021-12-20 18:15:44.929	2	2	330824	2
20211220--1341941058676027879	1	39460	2021-12-20 11:23:25.514	5	5	3640906	2
20211220-35667095755686701	1	9361	2021-12-20 18:12:05.984	56	3	3672649	3
20211220-4323252832680264427	-1	8278	2021-12-20 04:49:20.738	2	2	4445988	3
20211220-4925440741114861957	0	31640	2021-12-20 08:44:36.032	29	3	5323447	1
20211220--8017717413367262564	0	16044	2021-12-20 03:48:16.019	2	2	1019112	1
20211220-6760684294021744653	1	2278	2021-12-20 04:37:50.711	5	5	7156551	1
20211220--2719583044505876711	0	30955	2021-12-20 08:11:30.738	5	5	771603	2
20211220--4090806047047251328	-1	37734	2021-12-20 10:46:01.554	5	5	1301872	2
20211220--6259738595819277085	0	10429	2021-12-20 16:37:59.238	71	3	2239194	3
20211220--2855402883497786118	0	25975	2021-12-20 20:18:06.601	1	1	3573913	3
