transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211221-6430111261510387399	-1	21548	2021-12-21 13:33:15.546	4	4	3759480	4
20211221--3661641284442930169	-1	406	2021-12-21 11:44:15.991	45	3	6525754	2
20211221-1518022368482175644	1	10470	2021-12-21 11:43:27.743	2	2	8827154	2
20211221--8176081372133458006	-1	33645	2021-12-21 03:58:16.300	4	4	8344998	3
20211221-7630544926826677731	1	35572	2021-12-21 18:11:37.639	4	4	5344449	1
20211221--4018804434720855233	1	9065	2021-12-21 20:02:32.428	5	5	4989368	4
20211221--8727548602564586578	0	27081	2021-12-21 15:10:07.100	4	4	5381578	1
20211221--8425953856830171006	0	34289	2021-12-21 21:31:22.380	1	1	3696230	4
20211221--1509574902311342238	1	13831	2021-12-21 18:35:34.865	68	3	4819420	1
20211221--3810861267419678483	1	11848	2021-12-21 23:51:12.001	4	4	1425238	2
20211221-9215643344297572047	1	20448	2021-12-21 14:14:46.035	99	3	1389034	3
20211221-638036680794380373	1	37128	2021-12-21 19:11:46.317	2	2	3236066	1
20211221--1290170954472308789	0	16951	2021-12-21 14:44:13.825	71	3	4731298	4
20211221--6579743488841568852	0	8458	2021-12-21 00:37:00.436	2	2	9249228	2
20211221-3793700169456715884	-1	20019	2021-12-21 18:48:23.243	1	1	9822229	2
20211221--783946657987737966	1	27652	2021-12-21 14:07:39.521	2	2	3503053	2
20211221-9142543982380102742	0	34715	2021-12-21 22:49:16.230	2	2	2795119	4
20211221-1229398551504163259	1	30917	2021-12-21 21:03:50.397	1	1	9960315	4
20211221--8522332555172856335	0	27501	2021-12-21 16:44:32.794	40	3	6491256	1
20211221--6187884211480302433	0	34047	2021-12-21 09:36:13.132	5	5	3465863	3
20211221--6691634386874215682	1	14605	2021-12-21 02:02:34.697	62	3	2842453	1
20211221--4112659060588069365	-1	9154	2021-12-21 13:49:34.483	2	2	5350183	4
20211221--8774733884570975970	1	29189	2021-12-21 01:13:37.564	4	4	5829063	3
20211221--6084548240579044164	1	8697	2021-12-21 20:31:11.204	74	3	5303551	1
20211221-5881274490758421885	0	36090	2021-12-21 00:58:37.615	5	5	8456176	4
20211221-7083442629725491276	1	21601	2021-12-21 10:28:41.560	23	3	1443334	2
20211221-219036603351860742	1	10368	2021-12-21 02:46:46.170	4	4	939770	2
20211221-8072385674134765423	1	19390	2021-12-21 08:52:24.817	5	5	3139601	3
20211221-7027236584376709063	0	14911	2021-12-21 04:18:59.317	2	2	3049270	3
20211221-2823966662546713843	0	32258	2021-12-21 19:51:27.252	1	1	6328879	1
20211221--5887725478881932134	1	5012	2021-12-21 05:53:15.270	2	2	1877731	4
20211221--7609349562769831290	1	3217	2021-12-21 02:57:05.166	2	2	6395461	2
20211221--56741335871216712	-1	4679	2021-12-21 22:11:17.742	43	3	8796168	2
20211221-1558229761481846987	1	37608	2021-12-21 14:22:28.478	78	3	3999426	3
20211221-9073537965523755340	1	12989	2021-12-21 12:15:58.454	1	1	6412338	3
20211221--570973385528083385	0	21538	2021-12-21 22:05:55.051	5	5	9593771	3
20211221-3483087908330560675	0	31573	2021-12-21 13:37:40.223	5	5	7765947	2
