transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211222-6576384749721034347	0	23775	2021-12-22 05:07:04.556	78	3	6512391	3
20211222--2321604868077203338	1	37227	2021-12-22 03:26:40.884	10	3	8200886	4
20211222--6613489127522012172	-1	21912	2021-12-22 09:23:43.599	4	4	3944879	4
20211222-6114279869952592193	-1	14596	2021-12-22 06:42:19.805	1	1	1800497	4
20211222-8515171071727480448	0	27616	2021-12-22 02:12:34.332	84	3	6045237	4
20211222--4159535580668116873	1	10716	2021-12-22 16:36:44.187	4	4	4119060	1
20211222-8964130831190660340	-1	26498	2021-12-22 17:08:23.607	1	1	5338323	1
20211222--7408190357397406576	1	21937	2021-12-22 04:08:27.119	14	3	9011440	1
20211222--9148230431317750023	-1	30185	2021-12-22 02:51:54.664	1	1	9523190	3
20211222-8171439877893535391	1	39635	2021-12-22 09:24:23.335	4	4	7689435	2
20211222--6611649670492231667	-1	24578	2021-12-22 02:39:42.290	2	2	768945	3
20211222--6323286972501319154	1	23711	2021-12-22 11:23:07.794	5	5	4107759	2
20211222--6723137947702350223	1	39557	2021-12-22 16:35:12.103	4	4	2544988	1
20211222--2700517885588659273	1	37986	2021-12-22 22:14:57.478	4	4	4497816	2
20211222-4024454521912191852	-1	36282	2021-12-22 06:23:54.547	4	4	484122	1
20211222-3727101652642419130	1	37927	2021-12-22 23:03:56.267	1	1	2743025	2
20211222--3871238008073785539	1	21283	2021-12-22 03:47:33.845	4	4	1320187	4
20211222-3396715296982438278	1	17741	2021-12-22 20:36:35.489	2	2	5041281	1
20211222-2245401776022752298	-1	35531	2021-12-22 00:08:29.160	5	5	7977443	2
20211222-465153973253550820	-1	14526	2021-12-22 22:35:02.711	2	2	978634	4
20211222-2624196339387656240	0	17536	2021-12-22 22:57:32.259	4	4	6941033	4
20211222-9193491252898174231	-1	2414	2021-12-22 15:28:47.369	5	5	2718691	4
20211222--7970763313889427903	0	18263	2021-12-22 16:59:15.556	1	1	3623080	1
20211222-2110184898460391486	0	11364	2021-12-22 03:43:26.703	2	2	5844517	2
20211222-4164129622960105353	0	15431	2021-12-22 08:14:32.729	5	5	4394269	2
20211222--8650082714595550660	1	25443	2021-12-22 07:05:07.725	2	2	9428966	1
20211222-5387202430832769765	0	8550	2021-12-22 12:09:28.568	1	1	988193	4
20211222-2598680672053246839	1	10372	2021-12-22 01:54:41.429	4	4	8872348	2
20211222--6956985028394910728	-1	12597	2021-12-22 05:17:16.433	1	1	4749892	1
20211222-6855426297652046604	0	7787	2021-12-22 07:56:47.121	1	1	4464349	4
20211222-7059717538857494125	-1	9727	2021-12-22 14:10:49.293	1	1	5316152	4
20211222--7800292652207969087	0	34668	2021-12-22 03:03:15.234	4	4	117679	3
20211222--7622213015017743119	-1	17329	2021-12-22 07:16:41.297	63	3	9593974	1
20211222-7574085163109231734	1	25504	2021-12-22 23:09:58.010	1	1	363009	2
20211222--7727603330293199780	1	18302	2021-12-22 04:45:48.318	1	1	7897545	2
20211222-8147363451138675781	-1	33690	2021-12-22 13:56:01.098	4	4	622158	1
20211222-2401017311350628131	0	29256	2021-12-22 16:14:59.348	2	2	5173295	1
20211222-4382394369794375291	1	35978	2021-12-22 04:09:22.642	2	2	8679621	2
20211222--3701298787140572946	-1	13325	2021-12-22 01:34:03.746	5	5	4314844	1
20211222-3515176441703279939	-1	15591	2021-12-22 09:27:06.265	5	5	2385130	2
20211222-2028981932430104752	-1	23475	2021-12-22 23:03:58.233	5	5	9812826	4
20211222--191010596295449399	0	1278	2021-12-22 16:00:33.123	4	4	9289133	4
20211222--2914627981410380489	0	8546	2021-12-22 13:01:35.541	27	3	7787285	1
20211222--1371917256730280095	-1	7969	2021-12-22 21:28:42.795	2	2	2314214	1
20211222--6705855898193570994	1	31561	2021-12-22 00:26:39.002	4	4	8571200	2
20211222--2269355773818193497	1	22905	2021-12-22 21:50:38.430	70	3	8053293	1
20211222--5843363652651918302	0	14674	2021-12-22 11:24:50.615	54	3	4969458	2
20211222--8667898151150740487	-1	34800	2021-12-22 04:17:57.748	2	2	5546651	3
20211222-6082102600034794012	0	9220	2021-12-22 23:45:46.087	5	5	8315440	1
20211222-8812334943048436867	-1	6112	2021-12-22 02:35:46.448	98	3	6438245	2
20211222-1287322349307860476	-1	23396	2021-12-22 00:32:47.462	86	3	6796810	1
20211222--5752091487253411312	-1	3237	2021-12-22 01:53:40.518	5	5	7969694	4
20211222--685136254708234328	-1	12996	2021-12-22 07:22:30.997	1	1	4212178	4
20211222--8050811578917080907	1	39386	2021-12-22 10:06:52.999	1	1	3386949	3
20211222--8083109371000813695	0	9355	2021-12-22 18:24:21.537	4	4	4155293	1
20211222-6965224127757752235	1	14426	2021-12-22 20:20:10.806	2	2	373259	3
20211222--7394853416347550911	1	27993	2021-12-22 04:25:36.578	5	5	1184644	3
20211222--1555712561604231138	0	34101	2021-12-22 16:25:56.013	2	2	8209956	3
20211222-3587850222447950750	0	24764	2021-12-22 09:21:30.160	69	3	4789883	1
20211222--8069907655966300533	1	4759	2021-12-22 05:17:36.462	96	3	9837789	1
20211222--779051153251878143	0	475	2021-12-22 00:49:41.866	1	1	1713976	1
20211222-8194887097917542372	1	11832	2021-12-22 07:56:20.029	44	3	9216686	3
20211222--646711266689406025	0	8430	2021-12-22 05:09:00.049	4	4	5131302	1
20211222--4780328289768358895	-1	26377	2021-12-22 09:00:36.372	1	1	8220114	3
20211222-1995538409524530006	0	4203	2021-12-22 19:20:36.490	1	1	2080549	3
20211222--5562741985425654983	1	35567	2021-12-22 16:06:53.565	4	4	5024846	3
20211222--8918609671785642606	-1	11935	2021-12-22 16:07:25.792	1	1	5706219	1
20211222--7956807582225571491	0	20338	2021-12-22 15:04:33.736	4	4	3728284	2
20211222-7176476047510063800	0	26385	2021-12-22 00:08:28.989	5	5	8898965	4
20211222--579002760831560592	1	16591	2021-12-22 17:50:08.120	4	4	5199356	1
20211222-1637272035906332655	-1	37276	2021-12-22 23:18:20.628	24	3	7762600	4
20211222-8496671171891570199	1	33270	2021-12-22 16:05:47.290	2	2	2468137	2
20211222--2924419059975404494	-1	15776	2021-12-22 14:25:37.193	2	2	1603801	4
20211222--8676253239582626731	0	39650	2021-12-22 23:41:32.377	76	3	212800	4
20211222-19213648020411011	0	13686	2021-12-22 23:30:43.224	43	3	8923142	2
20211222-4996503163467613017	-1	18876	2021-12-22 20:34:07.684	5	5	7760459	1
20211222--4514266226815889155	0	34022	2021-12-22 04:55:46.755	101	3	6900483	4
20211222--1123222081027014533	0	27186	2021-12-22 19:18:42.902	4	4	9745091	1
20211222--3607455619800580092	1	21337	2021-12-22 14:51:48.716	1	1	2748707	2
20211222-5456460609679171422	-1	24738	2021-12-22 09:35:56.913	4	4	7742218	3
20211222--925095972907080336	1	21605	2021-12-22 18:56:10.933	5	5	5354591	4
20211222-5861201628505095107	-1	22351	2021-12-22 02:51:06.305	5	5	5833692	4
20211222-356670425084692233	0	22007	2021-12-22 20:16:55.588	5	5	1745334	2
20211222--3764263781227646233	0	38516	2021-12-22 21:53:49.123	4	4	141383	4
20211222-5081681974893132676	-1	6624	2021-12-22 02:03:58.410	5	5	1728648	3
20211222--5998993859149875002	-1	26211	2021-12-22 05:33:30.472	61	3	5585584	2
20211222-2157876486006999298	0	34063	2021-12-22 11:13:21.358	1	1	6568387	2
20211222--2475637061874854987	1	14286	2021-12-22 17:25:39.090	5	5	7415510	2
20211222-29640313232336614	-1	20795	2021-12-22 11:26:20.250	5	5	1112767	2
20211222-7435156798682934072	0	14091	2021-12-22 12:24:39.851	2	2	1297525	4
20211222-2069872758309112296	0	5584	2021-12-22 12:23:34.494	2	2	287552	4
20211222-8526661387483307239	-1	4841	2021-12-22 00:08:09.456	2	2	8614241	3
20211222-5295316902243444692	1	4216	2021-12-22 08:11:25.319	5	5	9691271	1
20211222--2954346909970332806	1	12300	2021-12-22 15:39:09.585	1	1	2154575	1
20211222-5649507999201915201	1	37886	2021-12-22 19:42:52.564	4	4	373523	3
20211222-7324574206262200309	0	4935	2021-12-22 00:02:34.856	1	1	1694855	4
20211222--8742799476029840541	1	19775	2021-12-22 12:20:59.119	4	4	9939835	1
20211222-776488942030524874	0	25594	2021-12-22 07:33:41.457	97	3	31877	1
20211222-329723969614374759	1	9244	2021-12-22 14:56:28.121	109	3	7672025	3
20211222-4512626012372258539	-1	20534	2021-12-22 05:16:44.327	4	4	320244	1
20211222-8774349087209640102	-1	19193	2021-12-22 21:57:48.798	83	3	2333719	2
20211222-6124396277107015191	1	30345	2021-12-22 15:54:04.516	1	1	6941707	4
20211222--7613354206696087698	-1	15127	2021-12-22 22:23:10.725	2	2	7300412	3
20211222--5306914443182882055	0	12048	2021-12-22 03:52:19.037	1	1	7897423	3
20211222-546251473547381717	-1	9827	2021-12-22 11:46:50.131	4	4	4056497	4
20211222--4787914906085253659	-1	35363	2021-12-22 00:08:57.770	4	4	3930286	2
20211222-3788010977523713352	-1	274	2021-12-22 00:56:44.378	1	1	620901	4
20211222--4252630258143336905	0	9462	2021-12-22 08:36:17.645	1	1	9894133	1
20211222--952099798991045408	0	27724	2021-12-22 11:06:37.164	5	5	9873624	4
20211222-5346482576662803666	1	20592	2021-12-22 10:23:07.622	2	2	8023903	2
20211222-4512898099067203176	1	1283	2021-12-22 10:08:31.795	4	4	6257899	1
20211222--5418485401137744579	1	5414	2021-12-22 17:44:45.313	5	5	8507433	1
20211222--8792744671611019210	-1	22548	2021-12-22 23:58:14.733	105	3	3079114	1
20211222--8387127395202805749	-1	34211	2021-12-22 01:14:02.981	5	5	1832354	4
20211222--1780114120887541955	1	35758	2021-12-22 15:45:35.243	4	4	9100898	1
20211222-6780819204240155462	0	20051	2021-12-22 04:29:43.509	4	4	2174706	3
20211222--4072949821831516542	0	9497	2021-12-22 08:06:38.328	5	5	170136	4
20211222-4028824125251298228	-1	38308	2021-12-22 05:05:10.096	5	5	8741843	3
20211222-4076139271574768786	1	3382	2021-12-22 13:21:01.426	4	4	5143829	3
20211222--3704076269049477942	0	22273	2021-12-22 18:07:38.283	11	3	6093009	2
20211222-5357267134222563799	0	24647	2021-12-22 09:44:37.106	4	4	5763203	3
20211222-1350752148136873959	-1	10073	2021-12-22 21:11:26.943	65	3	8794632	1
20211222-715204826130408721	0	39350	2021-12-22 03:28:30.116	2	2	6580234	4
20211222--8519566889571463652	-1	10060	2021-12-22 23:41:54.900	88	3	1194389	1
20211222--5134959376249101126	-1	9357	2021-12-22 16:55:09.053	4	4	6641977	3
20211222--4366447472999110076	0	11924	2021-12-22 22:45:30.340	5	5	9496224	2
20211222-2952940779620480412	0	11866	2021-12-22 13:33:25.383	2	2	3491315	2
20211222-7861850035195845885	0	31723	2021-12-22 15:42:47.225	1	1	6930993	1
20211222--7682128796508057398	-1	8708	2021-12-22 14:59:40.255	87	3	1606895	3
20211222--6044973843182553011	-1	30752	2021-12-22 19:07:01.211	1	1	6663594	4
20211222--3305446849966668440	-1	13999	2021-12-22 15:51:11.638	85	3	9232971	3
20211222-7399195163803099207	0	6943	2021-12-22 18:59:19.798	4	4	7747588	3
20211222-4705947983665758957	1	23329	2021-12-22 19:39:06.474	4	4	3121414	2
20211222--8253994855548353592	-1	26951	2021-12-22 15:04:00.412	1	1	4810516	4
20211222-130935797336574879	0	23150	2021-12-22 12:06:49.306	1	1	3887496	1
20211222--3773510120417068568	0	33380	2021-12-22 18:10:00.946	1	1	702460	1
20211222-5828068818722896448	0	38267	2021-12-22 02:38:34.151	5	5	5255809	3
20211222-3646883813389029697	1	35793	2021-12-22 01:31:43.399	57	3	371393	2
20211222--139052943425104649	0	14403	2021-12-22 15:35:29.639	19	3	4034881	4
