transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211224--8327987323500299914	0	33708	2021-12-24 01:43:29.337	1	1	6801264	4
20211224-4278675010665560345	0	8737	2021-12-24 04:56:51.732	4	4	7242136	3
20211224--2251014358667517408	0	20329	2021-12-24 04:23:33.856	2	2	8874067	4
20211224--6635924526256607055	0	798	2021-12-24 17:58:46.892	2	2	9124822	3
20211224-6937147566922193378	-1	16052	2021-12-24 19:58:01.407	89	3	3866866	1
20211224-2216039363908929661	0	91	2021-12-24 01:45:38.607	5	5	1358899	4
20211224--3178637700857310321	1	36070	2021-12-24 11:56:33.762	83	3	4307742	1
20211224-8547528616392674982	1	11294	2021-12-24 04:30:26.056	4	4	4905229	2
20211224-8478833144542504364	-1	28602	2021-12-24 10:12:32.152	5	5	8577402	4
20211224-1837494926049796483	0	9551	2021-12-24 22:51:43.017	2	2	9826627	1
20211224-4551387195605829828	-1	2791	2021-12-24 00:40:29.805	4	4	7342283	4
20211224--7557622284740990079	-1	7817	2021-12-24 14:54:05.340	2	2	8687611	4
20211224--5746260053151845065	-1	14700	2021-12-24 23:05:25.396	4	4	8549461	2
20211224-5377232433386901606	-1	2611	2021-12-24 04:44:58.140	2	2	3630430	3
20211224--3968144301008814742	0	16245	2021-12-24 17:26:29.698	2	2	3626399	1
20211224--4204853385729324144	1	32921	2021-12-24 06:34:40.179	4	4	6076270	3
20211224--1816042360079199029	0	7167	2021-12-24 03:58:52.504	5	5	5237933	1
20211224--6591892576840240128	-1	16772	2021-12-24 16:15:26.271	5	5	159572	3
20211224--7107291188278641643	1	28367	2021-12-24 03:03:36.470	4	4	59781	4
20211224--8972788055025690072	1	34096	2021-12-24 13:06:49.684	5	5	4404910	2
20211224--4061106412120811831	1	34480	2021-12-24 07:02:32.673	4	4	5723778	4
20211224-5437754241719860236	1	28870	2021-12-24 04:03:55.145	1	1	612932	1
20211224--656914767426598571	0	15387	2021-12-24 04:59:17.157	1	1	9920553	1
20211224--1879314495897068464	1	12899	2021-12-24 19:28:14.723	5	5	6582831	2
20211224-8592268747807611974	1	32825	2021-12-24 02:34:27.722	1	1	1082600	2
20211224-1686165522912615474	1	15981	2021-12-24 10:50:09.068	4	4	9405377	2
20211224--1344482687740446418	1	35852	2021-12-24 15:33:27.443	4	4	8554891	1
20211224--1424249297828686117	0	26667	2021-12-24 14:16:13.214	2	2	1194094	1
20211224-5626820416643966201	1	28175	2021-12-24 01:34:15.827	1	1	1976975	2
20211224-1022334938295060793	-1	28545	2021-12-24 13:53:29.211	27	3	2483879	2
20211224--1586519703815014434	1	31615	2021-12-24 03:06:04.081	4	4	2613355	2
20211224--5098374649162714338	-1	12643	2021-12-24 14:40:34.411	2	2	8629854	1
20211224-7621007479368582837	1	4222	2021-12-24 00:58:51.413	1	1	881600	2
20211224--4414162769842158273	-1	11989	2021-12-24 04:03:17.023	1	1	4865646	4
20211224--7325117619357180328	-1	18137	2021-12-24 05:28:15.408	5	5	1176446	3
20211224--4493423139390017768	0	37579	2021-12-24 10:09:20.164	2	2	3594536	3
20211224-6595755967334948952	1	24567	2021-12-24 20:45:17.228	5	5	5178571	1
20211224-5195294161137152122	-1	13454	2021-12-24 16:19:04.913	2	2	6132341	2
20211224--4352217753474763568	-1	285	2021-12-24 21:56:35.636	1	1	8353499	2
20211224-8056388128203439866	0	16943	2021-12-24 06:31:40.171	5	5	9817413	1
20211224--4304039973850899738	1	30695	2021-12-24 21:14:52.302	79	3	1117580	3
20211224--5632102272617226656	0	4426	2021-12-24 10:11:09.445	4	4	1245519	3
20211224-8577597777460050124	-1	39931	2021-12-24 01:42:50.439	5	5	8785095	2
20211224-7011854709439227210	0	30683	2021-12-24 13:23:55.687	5	5	6123272	4
20211224--1020806494883617445	-1	30236	2021-12-24 01:31:07.767	5	5	2631076	2
20211224-6790807344864126521	0	5405	2021-12-24 13:27:15.144	4	4	4643608	2
20211224--8522142516488714105	0	12888	2021-12-24 17:15:12.978	4	4	8691480	4
20211224--6162951583941739560	0	24186	2021-12-24 08:47:35.254	4	4	7276731	3
20211224-6389160421726814487	0	9652	2021-12-24 19:02:25.211	2	2	5739454	1
20211224--6875731421514439343	1	2703	2021-12-24 22:48:58.225	5	5	4978644	1
20211224-4606519836060215329	-1	10415	2021-12-24 14:05:25.290	4	4	7259149	1
20211224-2889431305432029240	-1	18988	2021-12-24 15:16:38.228	71	3	8638127	3
20211224--7641970148191914463	0	37933	2021-12-24 05:46:01.699	5	5	5933477	4
20211224--2992010846212341951	0	6240	2021-12-24 23:56:37.363	1	1	7882456	3
20211224--1336155535563168692	1	36856	2021-12-24 17:46:44.511	2	2	9907299	3
20211224-4205899813035136827	0	7809	2021-12-24 10:43:29.181	29	3	7725108	3
20211224--3443512991183281640	1	32725	2021-12-24 08:03:43.120	4	4	9723344	2
20211224--2622422728523231608	-1	34937	2021-12-24 20:06:10.345	44	3	9413958	4
20211224--6284826104275426913	-1	29770	2021-12-24 05:32:29.686	1	1	6845727	3
20211224-2295489779616018552	1	26198	2021-12-24 12:43:17.393	4	4	9938837	4
20211224-3719962340222573741	-1	22332	2021-12-24 01:04:52.275	1	1	5730644	3
20211224--8102344335430106875	-1	2411	2021-12-24 15:24:51.996	5	5	387463	3
20211224-3348301991457706427	0	6609	2021-12-24 16:33:35.600	14	3	8474299	3
20211224--6182636526486195745	-1	20279	2021-12-24 03:42:47.820	5	5	9258300	4
20211224--960590760982540662	0	27288	2021-12-24 07:46:42.530	2	2	8295806	3
20211224--5486725561887918165	1	6100	2021-12-24 18:47:45.975	83	3	6401024	3
20211224--8778364077713719273	-1	15060	2021-12-24 22:21:44.636	4	4	5193427	4
20211224-6148909906625646934	1	3022	2021-12-24 09:26:06.630	4	4	6293801	2
20211224-8912138927831933597	-1	2497	2021-12-24 10:40:04.444	1	1	8565853	3
20211224-6349762533365277190	0	6904	2021-12-24 16:54:51.018	87	3	8309136	2
20211224--6672404837586595179	0	31511	2021-12-24 13:41:06.718	5	5	889669	3
20211224-1546503391125397681	1	27768	2021-12-24 09:09:01.340	4	4	9519008	4
20211224-1877513775392333594	-1	18374	2021-12-24 17:17:00.781	1	1	7510737	1
20211224--9039025586596856359	1	34800	2021-12-24 14:02:14.151	5	5	6958576	3
20211224-3547674745735150654	1	6784	2021-12-24 04:28:12.855	2	2	7643169	1
20211224--5148424114508186783	1	19870	2021-12-24 11:19:50.729	1	1	3227938	2
20211224-6014864535787475563	-1	2556	2021-12-24 23:36:26.866	1	1	1897201	1
20211224-7851700782301651335	1	176	2021-12-24 05:46:35.409	2	2	6419244	3
20211224--1146161842496413977	-1	30311	2021-12-24 06:33:08.640	2	2	1347092	2
20211224--2162411735140043485	1	23895	2021-12-24 00:11:37.130	1	1	4250873	4
20211224-6454689871318480845	0	38810	2021-12-24 18:45:00.261	2	2	1507664	1
20211224--2551258186249138869	-1	28323	2021-12-24 12:43:06.767	2	2	9911493	3
20211224--4628385058463799059	1	11554	2021-12-24 06:54:17.538	5	5	3078753	1
20211224--7439719843102335457	0	34912	2021-12-24 00:33:04.051	4	4	3950300	2
20211224-1151189737572092292	1	15094	2021-12-24 16:11:05.461	5	5	5723213	4
20211224--6512998456865222149	-1	11108	2021-12-24 16:48:08.771	14	3	8269198	4
20211224-3054504233312300793	-1	33569	2021-12-24 11:20:20.573	1	1	8033539	1
20211224--4106600290590939373	-1	39180	2021-12-24 07:41:41.118	4	4	8381507	1
20211224-4585042410546256565	-1	16258	2021-12-24 09:50:25.083	5	5	8012005	4
20211224-5300749963032445665	1	35184	2021-12-24 03:39:27.977	21	3	3889444	2
20211224-6239023246246372603	-1	21381	2021-12-24 00:20:01.088	73	3	8234276	3
20211224-8526177726083758221	0	37601	2021-12-24 14:31:33.008	1	1	5619446	4
20211224--5294907336545711091	0	23319	2021-12-24 07:04:46.508	4	4	5294558	4
20211224--4257995102011275118	0	36232	2021-12-24 03:41:39.136	5	5	9272673	4
20211224--7204872370196237435	0	17613	2021-12-24 03:25:54.882	5	5	127974	1
20211224-3649611950010617153	0	8151	2021-12-24 11:29:28.019	1	1	9146251	1
20211224--7194769748936590523	0	35900	2021-12-24 00:57:10.159	88	3	1808845	3
20211224-6228117568235370278	-1	33975	2021-12-24 15:18:24.579	5	5	7751677	1
20211224--645216285236851918	1	31815	2021-12-24 07:28:19.511	2	2	9244645	2
20211224--4212531981141768690	0	27101	2021-12-24 19:55:45.201	4	4	5656112	2
20211224-6592564173361550994	0	31637	2021-12-24 22:56:07.954	2	2	4253921	1
20211224-7879494306049106975	1	10966	2021-12-24 18:48:49.304	70	3	3333330	3
20211224-8625803935157922044	0	1637	2021-12-24 06:11:37.559	1	1	9044066	1
20211224-7730353385414283172	-1	22869	2021-12-24 11:59:08.285	2	2	1641315	1
20211224-8237167323428186867	0	8372	2021-12-24 11:08:56.354	2	2	8129596	1
20211224-3266629735764434421	-1	18377	2021-12-24 17:58:55.578	2	2	5441246	1
20211224-7013459417372333094	1	30925	2021-12-24 19:15:14.572	51	3	5249856	4
20211224--2496520122525130464	0	15444	2021-12-24 03:34:30.514	2	2	4406185	4
20211224--153536293778869041	0	21857	2021-12-24 00:00:26.872	46	3	4922145	1
20211224--6416479960206851616	1	10210	2021-12-24 05:57:54.315	4	4	5436032	2
20211224--770721106361754835	0	28003	2021-12-24 14:25:22.394	28	3	7096368	4
20211224-9094415893073406856	0	25254	2021-12-24 06:30:51.089	2	2	5663420	2
20211224--921457455420372767	-1	32134	2021-12-24 02:29:31.364	43	3	9145161	1
