transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211225-8521987737156448762	0	11161	2021-12-25 05:31:18.895	4	4	63170	2
20211225-4374160826671782031	-1	18981	2021-12-25 15:12:11.005	2	2	282171	2
20211225-9167427930856714323	1	10451	2021-12-25 21:19:12.619	74	3	8545810	1
20211225--8761815118412378974	1	26091	2021-12-25 23:33:03.535	72	3	3491885	2
20211225-4456114344598991682	0	10679	2021-12-25 14:29:58.080	1	1	6698334	3
20211225-7528054754452357952	-1	26744	2021-12-25 12:24:29.355	2	2	8841851	4
20211225--3872737386074433928	0	27858	2021-12-25 02:31:15.878	1	1	8606133	1
20211225-858933297683516037	1	39578	2021-12-25 02:33:39.514	4	4	2106125	4
20211225--5475453245688448825	0	37438	2021-12-25 03:46:12.768	5	5	2513089	1
20211225--5295472342071164155	0	19711	2021-12-25 04:01:19.242	2	2	1501519	2
20211225--8389672764787291198	0	10319	2021-12-25 16:39:45.152	1	1	5398791	1
20211225--5264167966316954955	0	25499	2021-12-25 17:33:01.499	2	2	1849232	3
20211225-984887147156338159	0	12714	2021-12-25 18:35:02.653	5	5	918192	4
20211225--8784121041124205241	-1	27150	2021-12-25 11:32:16.147	5	5	2996225	1
20211225--5202856058104376063	-1	39577	2021-12-25 21:40:19.050	1	1	7007503	3
20211225--6846204103297036715	0	25279	2021-12-25 09:10:10.355	2	2	6601351	2
20211225--4766794046276058984	-1	33929	2021-12-25 11:11:38.866	2	2	2791266	4
20211225--2010024721482711919	0	26500	2021-12-25 15:13:29.227	22	3	7306515	2
20211225--524679443519697701	1	38659	2021-12-25 23:37:16.200	5	5	9870614	3
20211225-5243471677117968407	-1	9577	2021-12-25 19:59:21.235	1	1	6478193	3
20211225--5606425392102414527	1	26040	2021-12-25 16:36:55.021	5	5	1008243	1
20211225--131592030610972856	1	26528	2021-12-25 17:31:29.186	5	5	4879896	3
20211225-8150683453991885115	-1	9972	2021-12-25 11:27:20.374	5	5	6831071	2
20211225-2528541660370895471	-1	32016	2021-12-25 04:45:49.736	5	5	2899858	3
20211225-2161780712776795207	-1	20985	2021-12-25 05:06:21.753	1	1	9094892	4
20211225--3560251628523307939	-1	26413	2021-12-25 21:03:02.634	2	2	4985342	2
20211225--2249945381274158365	1	25288	2021-12-25 07:52:05.353	1	1	9753707	2
20211225-2067813925485489908	1	24299	2021-12-25 00:43:44.152	2	2	4228276	1
20211225--1277587189609852484	1	17806	2021-12-25 01:30:06.825	102	3	6539399	4
20211225-6655848929955574709	0	32946	2021-12-25 20:59:44.096	32	3	3878625	1
20211225--7275660528258581669	1	23947	2021-12-25 23:48:25.135	104	3	820614	4
20211225--6376546763292021046	0	4432	2021-12-25 04:50:22.860	80	3	9331437	1
20211225--2963675941220073173	1	5617	2021-12-25 05:03:03.973	4	4	6074252	2
20211225-4219087208020687492	-1	27914	2021-12-25 22:03:44.131	2	2	6405621	2
20211225--7172885500267742729	1	30136	2021-12-25 04:27:32.124	5	5	6990297	4
20211225-4958045309506893751	1	34358	2021-12-25 10:06:27.957	2	2	108378	3
20211225-574202891678827922	1	1995	2021-12-25 00:17:10.739	1	1	5858917	1
20211225-6754603384264351714	-1	25739	2021-12-25 21:57:59.744	4	4	5962934	3
20211225-3749883058470481638	0	25714	2021-12-25 19:09:03.816	5	5	3729865	2
20211225--8250915132790089580	0	15146	2021-12-25 07:50:45.288	5	5	469244	4
20211225-946021846963171870	1	7301	2021-12-25 05:07:30.142	51	3	6972550	2
20211225-6415501661874700148	0	5611	2021-12-25 17:57:42.894	4	4	8185500	3
20211225--3664209703157362193	1	5356	2021-12-25 22:04:58.962	4	4	407038	3
20211225-4971341905181250506	0	9139	2021-12-25 08:54:55.073	4	4	3276945	4
20211225--1988256353592769024	-1	11119	2021-12-25 16:08:16.921	1	1	1737878	2
20211225--7709542338342868632	-1	1782	2021-12-25 15:47:40.564	79	3	1165578	3
20211225-6635507189733556999	-1	36848	2021-12-25 02:27:45.572	2	2	6211871	4
20211225-708168155553892235	0	30869	2021-12-25 13:43:53.379	4	4	8283053	4
20211225-8107392132409378125	1	31824	2021-12-25 10:36:36.957	72	3	9577181	1
20211225--5417751712692184263	1	23007	2021-12-25 00:13:08.060	93	3	2361512	4
20211225-1260051363386881745	1	604	2021-12-25 11:49:11.727	4	4	5159792	2
20211225-3936135535152073995	0	34024	2021-12-25 12:45:07.193	1	1	954981	2
20211225-5680106823522331951	1	15472	2021-12-25 20:33:32.546	55	3	6771117	4
20211225-2377278842762268995	-1	29963	2021-12-25 18:32:40.440	56	3	9363479	3
20211225-8686086867045934441	0	27720	2021-12-25 01:44:57.422	4	4	9326992	1
20211225-131985613030307938	0	29458	2021-12-25 21:36:58.107	5	5	5341234	2
20211225-9159458974240176692	-1	7891	2021-12-25 10:19:47.627	1	1	8141989	2
20211225-7436499777256129548	-1	31808	2021-12-25 18:20:06.145	5	5	8128878	3
20211225-8775316790621862351	-1	18870	2021-12-25 03:54:31.340	4	4	4501386	1
20211225-4744885135017888941	1	15907	2021-12-25 06:11:55.707	5	5	5497864	2
20211225-2146268376908520658	1	22727	2021-12-25 06:39:52.262	1	1	578080	3
20211225-3981852499131680016	0	23647	2021-12-25 19:01:22.979	2	2	5578779	4
20211225-3550536239137372329	0	35201	2021-12-25 14:44:55.583	1	1	9667209	4
20211225--2767363337779127281	1	3379	2021-12-25 04:16:17.934	2	2	1924551	3
20211225--7470903077933334513	-1	32608	2021-12-25 10:34:04.302	5	5	4315371	1
20211225--8908670742124612421	-1	2859	2021-12-25 22:30:32.747	4	4	5830594	3
20211225-7071342802161608533	-1	28446	2021-12-25 07:58:32.241	4	4	1382382	2
20211225-1526548325300655762	-1	28164	2021-12-25 01:40:49.644	1	1	7148388	2
20211225--2615056053338973336	0	6561	2021-12-25 09:07:44.329	4	4	5222404	2
20211225-5417194837339300008	1	38811	2021-12-25 04:12:19.407	41	3	7548872	1
20211225--1748221631028945547	-1	31098	2021-12-25 19:43:12.772	48	3	1333209	3
20211225-5415347962549733448	1	36443	2021-12-25 16:38:11.157	2	2	5761073	4
20211225--243801120459916113	1	9286	2021-12-25 13:14:16.960	2	2	9189668	3
20211225--6296966754834987667	0	13849	2021-12-25 19:44:39.386	5	5	7163952	3
20211225-7868281120241279692	1	6226	2021-12-25 19:41:05.701	5	5	1948259	3
20211225-7751507331526085550	1	29496	2021-12-25 01:27:55.227	55	3	6394718	4
20211225-6264097863411858492	-1	37785	2021-12-25 09:49:32.198	1	1	4864824	2
20211225-6091453413927397996	0	18473	2021-12-25 00:16:32.987	37	3	7187314	4
20211225-392170319027524201	-1	26055	2021-12-25 21:10:35.348	4	4	6079473	1
20211225--4143527907465349069	1	636	2021-12-25 00:21:36.752	92	3	2551716	1
20211225-8281515655635362685	1	1333	2021-12-25 11:11:31.226	2	2	4151829	4
20211225--592768740948615475	-1	982	2021-12-25 06:32:21.419	5	5	3978661	1
20211225--35483654894688181	-1	4888	2021-12-25 07:18:13.268	2	2	7920504	1
20211225-4423834503462655115	0	31136	2021-12-25 19:51:34.718	1	1	8626931	1
20211225-6112182840457135526	-1	22425	2021-12-25 08:00:42.639	4	4	9036265	3
20211225--4266257148265099179	0	3487	2021-12-25 21:39:35.538	1	1	6500414	1
20211225-2136366687693777859	-1	32336	2021-12-25 10:02:30.506	1	1	843520	2
20211225-13416116418980762	1	11717	2021-12-25 20:12:13.407	5	5	8546741	1
20211225-3355057981794675872	-1	27715	2021-12-25 08:30:45.689	1	1	6081676	3
20211225-2308958310906890833	0	38218	2021-12-25 18:56:09.409	4	4	5393262	1
20211225--2126927173255621104	0	12506	2021-12-25 16:01:10.496	68	3	2181838	1
20211225-6462171031427042392	-1	16750	2021-12-25 14:04:13.020	1	1	3035122	3
20211225--4214018708012865466	1	39363	2021-12-25 16:15:41.101	1	1	6585813	2
20211225--346826618338166270	-1	8129	2021-12-25 00:42:30.639	5	5	8437368	3
20211225-8517582912106315126	1	19741	2021-12-25 22:37:48.937	2	2	8174967	4
20211225-4470488370691612841	0	39788	2021-12-25 14:15:47.051	50	3	413414	2
20211225--879590825902707946	1	14473	2021-12-25 09:37:36.640	4	4	2222884	1
20211225-8625447839141461000	1	468	2021-12-25 02:30:50.958	4	4	1682851	4
20211225-402958933181028431	-1	35187	2021-12-25 23:49:59.926	53	3	5776461	1
20211225-2616106335808368322	1	11583	2021-12-25 13:37:30.584	2	2	5981531	2
20211225--5946771059098698126	1	37900	2021-12-25 19:14:23.173	1	1	8812536	1
20211225--2472916457677083262	-1	26069	2021-12-25 10:16:11.339	5	5	5587636	4
20211225-9030940106906324181	-1	22948	2021-12-25 18:44:40.101	105	3	7749802	1
20211225--4964500638939617066	-1	7325	2021-12-25 03:48:57.854	5	5	8212817	1
20211225--4428912131636349478	0	30113	2021-12-25 05:40:03.403	2	2	8610296	2
20211225-798293035933920050	-1	15106	2021-12-25 01:06:14.698	1	1	4027054	3
20211225--3339179425950508510	1	34628	2021-12-25 18:16:04.209	1	1	8493584	3
20211225--1567397346781037374	1	36419	2021-12-25 19:02:36.568	4	4	9030422	4
20211225--8338217697808573187	-1	1975	2021-12-25 02:22:21.876	4	4	8451905	1
20211225--8574920288447531246	0	21883	2021-12-25 10:59:36.136	2	2	2811983	4
20211225-539208098761087736	1	39539	2021-12-25 01:06:58.614	1	1	2769747	3
20211225-696390867950060530	1	35918	2021-12-25 01:09:51.802	91	3	3737894	2
20211225--2404260882872691168	1	37111	2021-12-25 09:52:07.509	5	5	4688075	2
20211225-4723610697855413407	0	17964	2021-12-25 12:15:35.144	2	2	4724714	1
20211225-652397298937962153	1	17055	2021-12-25 00:36:07.229	2	2	7436204	2
20211225-4309875668131304493	0	30199	2021-12-25 15:02:57.075	5	5	5782188	4
20211225-1784322009999797279	-1	28953	2021-12-25 13:57:14.846	1	1	9513367	2
20211225-4598115596334930489	1	29067	2021-12-25 10:02:12.871	2	2	3346947	1
20211225-6886136532558757907	0	33112	2021-12-25 19:15:45.027	5	5	1720877	4
20211225-5684696435285062088	-1	31158	2021-12-25 02:57:16.351	1	1	9969133	2
20211225-8860000436737936662	1	39003	2021-12-25 18:47:59.378	2	2	3306378	3
20211225-1238250334327291871	0	2310	2021-12-25 09:42:32.079	4	4	1440848	1
20211225--7645830321482996208	-1	31552	2021-12-25 07:32:25.175	2	2	9163780	2
20211225--6197666950113444374	1	5093	2021-12-25 20:27:19.911	38	3	82991	3
20211225-5680340492785817580	-1	19231	2021-12-25 12:00:23.523	4	4	8624880	4
20211225-2436139491915103766	-1	38691	2021-12-25 02:24:38.982	1	1	4416247	3
20211225--4449170369530441118	0	23660	2021-12-25 17:40:17.193	4	4	1085369	3
20211225--1198553853521059124	-1	5047	2021-12-25 00:32:25.348	4	4	6492085	3
20211225--3732680562849147200	0	26769	2021-12-25 13:52:32.552	4	4	1597992	2
20211225-8757670387959015646	1	36584	2021-12-25 01:34:42.642	1	1	6597539	3
20211225--2724463335043373793	1	7763	2021-12-25 09:16:01.580	5	5	4265654	1
20211225--5754107384125237321	1	38894	2021-12-25 04:28:08.737	21	3	4887480	1
20211225-8014478758348860051	1	39489	2021-12-25 11:55:21.023	2	2	4493726	1
20211225--6971964127732833756	0	18328	2021-12-25 19:52:14.526	5	5	6076014	4
20211225-8221587611932072553	0	14927	2021-12-25 22:22:22.262	1	1	1766087	2
20211225-5184974317837603318	-1	20410	2021-12-25 05:56:23.620	97	3	9658843	3
20211225-7555668650319879783	0	6971	2021-12-25 23:56:25.838	4	4	383207	3
20211225--2160389621621131592	-1	35266	2021-12-25 14:49:16.948	5	5	7816422	1
20211225-3528628957607732818	0	5173	2021-12-25 10:10:48.783	2	2	2236796	4
20211225--3971064509303983451	-1	5257	2021-12-25 22:59:57.080	1	1	1193723	1
20211225--3603737614158150302	-1	24233	2021-12-25 17:15:14.655	4	4	2750606	1
20211225--1880046092495406361	-1	5196	2021-12-25 00:24:06.610	38	3	685633	1
20211225--3267047898529483742	0	39618	2021-12-25 14:17:10.897	42	3	1948200	2
20211225-7681125389987810991	1	8130	2021-12-25 03:51:12.830	4	4	5341837	1
20211225--6863425091412903900	1	20485	2021-12-25 16:07:09.876	1	1	242736	2
20211225--3423683596208645932	0	11109	2021-12-25 04:44:02.189	2	2	4238576	3
20211225-7679603313491688337	0	1744	2021-12-25 09:48:57.304	5	5	8701514	4
20211225--7305015692857155519	-1	39886	2021-12-25 11:17:05.191	4	4	7237221	1
20211225--4347017004117013896	0	32485	2021-12-25 10:40:43.771	5	5	1356495	3
20211225-5515874419441001124	0	17994	2021-12-25 15:53:19.133	1	1	3477202	1
20211225-743513207011631547	-1	13510	2021-12-25 09:35:00.900	4	4	6100923	4
20211225--4566238998046562159	-1	20704	2021-12-25 06:25:52.965	5	5	2284114	2
20211225-4954597172922495151	1	4219	2021-12-25 13:02:17.443	2	2	6245551	4
20211225--8944265496740973674	0	26066	2021-12-25 20:15:07.421	1	1	4444159	2
20211225-3499454154776405529	-1	9891	2021-12-25 17:25:47.332	12	3	9436370	2
20211225-2241809523596386880	1	2646	2021-12-25 22:56:39.139	4	4	3114701	4
20211225--5215622170691516311	1	2069	2021-12-25 06:18:39.288	5	5	2459877	2
20211225--8745385680393032657	1	30154	2021-12-25 21:55:51.994	5	5	4750819	3
20211225-155051074944624012	0	16568	2021-12-25 21:33:28.595	4	4	4285638	2
20211225--4290675673808445336	-1	32472	2021-12-25 04:28:59.496	73	3	3634322	3
20211225-6033661798507692679	-1	6491	2021-12-25 20:30:57.100	74	3	9753978	4
20211225-3646384895776534757	1	6858	2021-12-25 04:09:42.553	1	1	9108145	1
20211225-8170511103343024646	0	16754	2021-12-25 18:35:48.391	5	5	3423304	1
20211225--6499292104734367134	-1	29138	2021-12-25 03:36:37.022	2	2	4106097	4
20211225-7628665536407242291	0	37564	2021-12-25 09:44:33.181	5	5	7188174	1
20211225--4978258022519400655	-1	9070	2021-12-25 02:02:03.335	5	5	5102118	2
20211225--901121077197444061	0	11312	2021-12-25 05:15:13.445	4	4	4661008	1
20211225--4917420332590887335	1	25611	2021-12-25 11:49:22.471	1	1	5754955	3
20211225--4205081807657105186	-1	33177	2021-12-25 19:27:56.572	1	1	8280067	3
20211225-81895221178598346	-1	36272	2021-12-25 10:20:37.418	1	1	10005621	2
20211225-3163514910666578698	1	28382	2021-12-25 22:17:13.117	24	3	1113151	1
20211225--1400282106878143687	-1	6481	2021-12-25 19:28:28.211	1	1	2653705	3
20211225-6871876552002716442	-1	35683	2021-12-25 20:33:46.779	1	1	3235248	1
20211225--1028449745377070120	-1	2632	2021-12-25 05:02:04.728	5	5	9534043	3
20211225-5077415405386566326	1	6627	2021-12-25 23:56:43.747	1	1	77595	1
20211225--7634792059359871814	0	5912	2021-12-25 15:37:12.263	41	3	2078463	1
20211225-1876067611270507195	1	10800	2021-12-25 08:22:51.640	1	1	1344749	4
20211225--2098813792636014662	0	14151	2021-12-25 22:57:57.186	5	5	7115547	1
20211225--162070229613374567	0	18269	2021-12-25 22:53:11.284	21	3	7359465	2
20211225--8888171149017947252	1	6713	2021-12-25 18:16:45.271	1	1	6999009	1
20211225-4095348936998489029	0	13978	2021-12-25 02:39:43.249	1	1	7111486	1
20211225--7945102398258259680	-1	11880	2021-12-25 16:05:18.691	1	1	6533457	4
20211225-3574925829779731028	-1	102	2021-12-25 03:01:20.183	17	3	8434093	1
20211225--3750564881200682142	1	15135	2021-12-25 14:57:10.347	1	1	5879158	2
20211225-241142861523542019	-1	25611	2021-12-25 23:53:51.268	5	5	7163254	1
20211225--6701328804770696593	1	30841	2021-12-25 06:20:57.493	2	2	3333168	4
20211225--7983259908090268616	0	7177	2021-12-25 01:58:23.209	4	4	7648606	4
20211225-9083235234909156238	1	37370	2021-12-25 00:03:25.722	4	4	2488537	2
20211225--4189240383552817712	0	33547	2021-12-25 04:36:45.305	5	5	9509220	4
