transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211226--4064847593824352589	0	35878	2021-12-26 13:48:17.683	5	5	4981129	1
20211226--7391786855712523602	-1	3684	2021-12-26 02:15:52.900	2	2	8484654	2
20211226--4895554269841070249	-1	16732	2021-12-26 01:17:48.001	4	4	3859771	2
20211226-4908290546482414303	-1	39500	2021-12-26 13:35:36.109	1	1	8267456	4
20211226-4536286359659215656	-1	20676	2021-12-26 22:32:06.729	104	3	8904621	4
20211226-82018632800538988	-1	10888	2021-12-26 06:45:01.495	4	4	5743929	4
20211226--5635833819540897020	0	3839	2021-12-26 00:42:53.784	2	2	9464176	4
20211226-1948220298936133934	-1	38300	2021-12-26 07:09:28.113	2	2	9942397	1
20211226-631770220428046438	-1	17841	2021-12-26 12:09:32.695	39	3	4218221	2
20211226-8988731737209735648	0	15733	2021-12-26 23:20:52.084	88	3	9973320	4
20211226-6337667830028470	1	16200	2021-12-26 20:18:23.193	2	2	1464502	4
20211226-5655269881113523095	0	24171	2021-12-26 00:24:07.608	5	5	1120612	1
20211226--2534019797928897093	-1	30290	2021-12-26 06:35:59.127	2	2	8826537	2
20211226--8470866321569311579	1	28363	2021-12-26 21:32:45.637	1	1	1799862	4
20211226-1009422799670166048	0	25110	2021-12-26 20:24:21.478	2	2	9809051	3
20211226-6001685523708922610	1	22133	2021-12-26 19:11:19.482	42	3	5538876	4
20211226-1012265140721206624	1	3138	2021-12-26 04:27:00.940	2	2	2570420	2
20211226-2653724804872545610	0	39116	2021-12-26 16:38:46.522	5	5	8455119	4
20211226--9094017773278666863	-1	37751	2021-12-26 08:33:42.434	1	1	5188276	1
20211226--344853687683857195	1	13879	2021-12-26 19:29:04.100	1	1	3684155	4
20211226--1522208166549999418	-1	35418	2021-12-26 17:30:33.740	1	1	8242221	3
20211226--1505336475416255868	0	12290	2021-12-26 23:31:24.782	1	1	8895867	4
20211226--6852527349035222688	0	23823	2021-12-26 11:12:54.144	5	5	9324788	2
20211226-5476437773792812582	0	36849	2021-12-26 05:20:03.793	1	1	7948472	3
20211226-8055105418279107261	1	38362	2021-12-26 22:01:25.369	5	5	5620277	4
20211226-1538099263344444488	-1	37346	2021-12-26 13:04:36.045	4	4	3539645	1
20211226-8138806576124510693	-1	18012	2021-12-26 22:22:31.961	2	2	9526185	4
20211226--865026155212743198	1	25875	2021-12-26 17:05:22.471	5	5	4897985	1
20211226--8616685370062398890	-1	22159	2021-12-26 20:02:17.861	5	5	2642009	3
20211226--6983669161651879858	1	3210	2021-12-26 13:03:22.084	2	2	6973175	2
20211226--2375804527537891524	0	13748	2021-12-26 16:44:13.548	75	3	9312538	3
20211226-8446545797195573752	0	7056	2021-12-26 11:24:40.989	84	3	3406799	1
20211226--7716190907143550974	1	618	2021-12-26 11:58:35.106	4	4	1190096	4
20211226--429622186146950019	0	35527	2021-12-26 00:21:01.206	2	2	9811970	2
20211226--4439498289845458105	0	28759	2021-12-26 22:30:19.544	2	2	7912311	4
20211226-5265508986475642260	0	9785	2021-12-26 12:03:11.972	77	3	7202923	4
20211226-952128799107684566	-1	19793	2021-12-26 04:10:15.583	63	3	2881843	4
20211226--6678265626113948342	-1	19791	2021-12-26 10:16:55.276	54	3	7015158	4
20211226--1211275737811468414	0	5795	2021-12-26 01:16:27.628	5	5	9007279	3
20211226-1971464509764514952	0	15182	2021-12-26 03:55:19.905	2	2	8903225	1
20211226-830622217352883058	0	21707	2021-12-26 09:02:08.633	5	5	8361056	2
20211226-3095218472978750562	1	1714	2021-12-26 23:17:49.976	2	2	2680362	1
20211226--3144464705516298118	-1	36808	2021-12-26 07:57:58.503	73	3	2955928	3
20211226--2242613625858724811	-1	25027	2021-12-26 06:16:15.898	2	2	6953229	1
20211226-3155232017865681944	1	8412	2021-12-26 13:13:21.818	2	2	1037361	1
20211226--2262758009863172086	1	11427	2021-12-26 17:09:23.031	4	4	4830050	1
20211226-7539306336888608347	-1	19323	2021-12-26 20:32:45.785	5	5	7591401	2
20211226--7261807125017314228	-1	17239	2021-12-26 04:39:23.093	5	5	983202	4
20211226--1903564654648680197	1	8647	2021-12-26 22:00:19.250	5	5	4693424	3
20211226--3370467834110362917	1	35179	2021-12-26 07:36:08.180	1	1	3194095	1
20211226-7671333899634395818	0	12871	2021-12-26 02:28:17.428	4	4	8832904	4
20211226-7596912064888329052	-1	17774	2021-12-26 17:38:50.891	45	3	2681502	3
