transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211227--6891886206735360433	1	17120	2021-12-27 17:09:35.327	5	5	6071320	1
20211227-3544470786434635828	-1	5529	2021-12-27 04:22:15.032	4	4	2345332	4
20211227--200835176187595274	1	20639	2021-12-27 19:35:54.631	5	5	5916869	4
20211227--1286562595108639206	0	23230	2021-12-27 08:54:07.148	5	5	7332440	2
20211227-8583824641647880947	-1	5907	2021-12-27 00:54:36.662	79	3	6306918	4
20211227--5479188679111670894	1	22617	2021-12-27 14:58:32.789	1	1	1053705	4
20211227-6787344106374880263	0	36767	2021-12-27 02:06:41.299	5	5	2048631	1
20211227--1963971616529374045	0	26728	2021-12-27 23:41:19.098	5	5	6866342	3
20211227-2789428609361224849	1	13420	2021-12-27 05:25:08.731	4	4	5292975	2
20211227-7398184135722589571	0	16607	2021-12-27 13:22:18.220	43	3	7712305	2
20211227-5273080552725558869	1	39064	2021-12-27 12:37:28.017	4	4	9064730	4
20211227-4675197236368547772	1	37769	2021-12-27 13:02:01.116	1	1	3104065	3
20211227--6203086972457336413	0	5373	2021-12-27 03:33:14.753	1	1	5031468	2
20211227--1549093029596994758	1	5044	2021-12-27 14:02:23.911	93	3	2070451	3
20211227-4495873736342163904	0	19433	2021-12-27 00:39:09.534	2	2	1284609	4
20211227-3807727874427193929	-1	28393	2021-12-27 19:10:06.066	1	1	7674171	4
20211227--4342026479722750403	0	13592	2021-12-27 02:30:12.361	5	5	7589210	2
20211227--3959900512389728277	0	23981	2021-12-27 03:11:32.760	5	5	8486847	2
20211227-4345447953267281412	1	5310	2021-12-27 16:48:18.912	5	5	2280039	3
20211227--3560580599739981014	1	30935	2021-12-27 15:10:15.125	4	4	1907784	4
20211227--8697096713260733719	0	15101	2021-12-27 08:34:12.821	5	5	1146807	1
20211227--8971732242882130884	-1	8375	2021-12-27 02:02:01.749	4	4	9101981	3
20211227-4549502700041489235	0	3548	2021-12-27 05:42:22.892	5	5	6308919	4
20211227-5996524737012357271	-1	53	2021-12-27 17:08:38.695	2	2	5189044	3
20211227-8502874495310332915	1	10895	2021-12-27 11:00:46.297	2	2	775013	1
20211227--1405192608823127502	-1	23272	2021-12-27 13:18:50.296	5	5	6916117	1
20211227-2029017438647743624	0	28577	2021-12-27 13:01:52.703	2	2	7763328	2
20211227--2683241796699716375	0	14129	2021-12-27 06:03:36.187	5	5	495281	3
20211227-989884391899350958	1	15261	2021-12-27 15:00:46.017	1	1	8686459	1
20211227--6223777866889630865	1	16928	2021-12-27 00:09:57.138	5	5	8609818	1
20211227--1208256744046649692	-1	31821	2021-12-27 08:32:29.214	93	3	729952	3
20211227--5774866808946227857	-1	18275	2021-12-27 14:37:18.906	25	3	6482898	4
20211227-2415566573030319707	1	8436	2021-12-27 16:23:35.810	5	5	2354388	1
20211227-3067587028182848172	0	32719	2021-12-27 13:56:42.712	19	3	25999	2
20211227--4796432387941244634	1	4072	2021-12-27 23:49:20.994	2	2	2791854	2
20211227--9179279134089028776	0	35994	2021-12-27 01:04:16.420	28	3	8021189	3
20211227-2406113134990682619	1	535	2021-12-27 19:53:36.018	4	4	6351790	2
20211227--8946026529540776031	-1	20008	2021-12-27 16:23:34.851	2	2	3103212	4
20211227-6272586898493411618	0	27584	2021-12-27 02:16:49.561	1	1	7850964	4
