transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211228--7958690427899075169	-1	13780	2021-12-28 07:20:34.013	30	3	1581854	4
20211228-1916403226311281075	0	4165	2021-12-28 01:33:09.662	5	5	9341082	4
20211228-1212393698949901807	-1	22041	2021-12-28 17:45:45.571	5	5	5420543	3
20211228--4065483591648909290	1	9804	2021-12-28 03:15:23.132	60	3	263147	3
20211228-5533348249616662513	0	20806	2021-12-28 02:02:20.673	4	4	8985774	2
20211228--1269912480679722563	-1	11721	2021-12-28 21:25:26.640	4	4	4828648	4
20211228-3664337075410631279	1	27006	2021-12-28 04:34:09.206	5	5	6786515	2
20211228--6266923591598867294	1	11241	2021-12-28 00:56:29.021	5	5	8542811	3
20211228-331241774671350762	1	36533	2021-12-28 13:30:19.794	2	2	955692	1
20211228-8705810469796484618	0	7511	2021-12-28 11:13:28.233	5	5	3434817	2
20211228--5408578642805801387	1	4958	2021-12-28 17:44:34.670	1	1	7274901	4
20211228-4866796348356127174	1	37593	2021-12-28 11:05:56.160	2	2	1798323	4
20211228--7724087456404687692	1	28080	2021-12-28 07:56:51.971	4	4	6332021	1
20211228--734708980297729189	-1	12877	2021-12-28 22:35:09.915	1	1	8263913	1
20211228-2235859351474337461	1	20966	2021-12-28 01:09:35.698	11	3	6328563	4
20211228-7604749272749368699	1	15373	2021-12-28 16:06:19.875	2	2	8911852	3
20211228-2944963119931032609	-1	4004	2021-12-28 20:03:30.341	1	1	461622	4
20211228--1378337086149302633	1	37353	2021-12-28 09:56:10.697	4	4	812181	3
20211228--2980781760818349741	0	5091	2021-12-28 19:10:32.104	2	2	2506394	3
20211228--1101655996521819222	1	15365	2021-12-28 04:55:28.658	1	1	4557072	3
20211228--9143056945183003931	-1	24655	2021-12-28 22:35:32.696	1	1	8867588	4
20211228--6037701559526032251	1	1237	2021-12-28 04:55:07.929	5	5	6367035	4
20211228-4071316576245983222	1	24157	2021-12-28 02:28:04.956	1	1	5192958	1
20211228-2433263283828328913	1	18619	2021-12-28 00:05:42.537	5	5	8890719	4
20211228--5730621999100543052	-1	27795	2021-12-28 10:23:35.696	4	4	5762034	4
20211228--3017529849638058941	-1	25819	2021-12-28 20:53:05.657	2	2	5184501	2
20211228-1086342566909801611	-1	32781	2021-12-28 08:13:34.871	2	2	8654952	3
20211228--3803067525736427299	1	37431	2021-12-28 19:45:22.154	2	2	4757208	4
20211228-6891219622797104731	0	26371	2021-12-28 19:41:25.825	5	5	183479	3
20211228--4940401325502503634	1	19823	2021-12-28 00:21:57.830	1	1	3292164	4
20211228-4336796113637571144	1	37698	2021-12-28 06:40:20.186	5	5	3993417	4
20211228-7090013305963703766	-1	31811	2021-12-28 08:57:26.585	2	2	6052460	2
20211228--5948464196823964029	-1	33770	2021-12-28 22:13:45.875	54	3	8639317	2
20211228--6490724052825395504	1	4909	2021-12-28 17:29:01.143	1	1	6869818	4
20211228--1913479648911037367	1	31611	2021-12-28 14:38:07.838	5	5	1419180	4
20211228-4201996379638423893	1	39282	2021-12-28 06:56:42.131	27	3	6958906	4
20211228--8293160737772343827	-1	2312	2021-12-28 19:09:41.600	98	3	4989811	4
20211228-1312523232895049545	0	38037	2021-12-28 14:34:52.095	5	5	273685	1
20211228-6518323738609585832	-1	17390	2021-12-28 03:12:56.685	38	3	458706	2
20211228--5997083523031146389	1	11728	2021-12-28 22:55:31.672	5	5	6456756	1
20211228-1831065357269450308	0	27430	2021-12-28 09:54:59.818	4	4	9120352	3
20211228-4273390141144375486	1	15890	2021-12-28 04:26:21.367	96	3	3774052	3
20211228-3459768715309821575	1	37426	2021-12-28 09:25:56.456	60	3	1411829	4
20211228-5802279608999848479	1	14568	2021-12-28 12:27:19.597	5	5	3894403	1
20211228--7010791423560514737	-1	23145	2021-12-28 00:38:11.870	4	4	9025268	3
20211228--5635935267816053254	-1	19486	2021-12-28 04:59:05.163	60	3	2026402	3
20211228-5320176601129512942	1	18613	2021-12-28 09:04:38.723	62	3	258626	1
20211228--723268095091137098	0	6068	2021-12-28 16:13:37.661	4	4	9936169	2
20211228--2031772194073029370	0	28173	2021-12-28 07:53:02.817	1	1	5047149	4
20211228--5969447707888105415	-1	37251	2021-12-28 06:19:21.273	5	5	4009757	2
20211228--4693213441668684174	1	13784	2021-12-28 09:12:49.610	1	1	4848777	2
20211228--2101270220878922705	1	39069	2021-12-28 20:22:27.607	107	3	1852822	2
20211228--2163352103881386472	1	16502	2021-12-28 15:52:29.846	1	1	2353239	4
20211228--8139760763929141212	1	14523	2021-12-28 13:05:27.992	2	2	8677109	3
20211228-4117398655631429528	-1	31026	2021-12-28 22:05:13.664	4	4	5668255	1
20211228--4089104227163072073	-1	16288	2021-12-28 09:26:53.081	4	4	9697007	4
20211228--4634149594149348142	-1	13717	2021-12-28 01:59:59.414	5	5	9861912	4
20211228--356946641494990987	-1	29734	2021-12-28 05:16:32.057	2	2	9596862	2
20211228--6084508070207749867	0	1713	2021-12-28 15:06:12.056	1	1	9995344	2
20211228--8526019757810828769	0	26674	2021-12-28 10:58:03.453	4	4	1344285	4
20211228-1002166075475046916	0	27613	2021-12-28 11:58:23.692	5	5	5894132	4
20211228--475212083087055365	-1	27015	2021-12-28 08:46:28.975	72	3	3090399	1
20211228-7387238674202524122	1	13913	2021-12-28 20:20:53.681	1	1	1057744	1
20211228-1021377884530809706	-1	801	2021-12-28 16:27:39.856	2	2	1622839	4
20211228--5123452039855952995	1	21291	2021-12-28 05:44:04.383	5	5	7966762	2
20211228-7728997892410691873	0	23890	2021-12-28 16:40:07.605	92	3	5292014	4
20211228--4157369171657713246	0	33386	2021-12-28 11:30:06.741	4	4	2148233	1
20211228--5110218086018609842	-1	10342	2021-12-28 09:55:07.712	23	3	9442817	2
20211228-7833501019180443218	-1	25524	2021-12-28 21:06:22.477	5	5	5385976	4
20211228-2910741782127870258	0	11608	2021-12-28 17:07:54.306	14	3	264804	1
20211228--6694055317635501434	1	1877	2021-12-28 12:58:50.000	19	3	1918752	2
20211228-3181553797949027083	0	20216	2021-12-28 21:57:41.455	5	5	9756720	3
20211228-1972667100855990099	-1	36089	2021-12-28 21:17:05.157	4	4	7707600	1
20211228--187513484708903185	0	37089	2021-12-28 13:54:51.274	2	2	7180266	3
20211228-7151657087866710940	0	28339	2021-12-28 03:16:08.879	4	4	1353504	2
20211228-3888444636617880486	1	28377	2021-12-28 19:28:41.141	5	5	4117012	2
20211228-6507484381490360706	-1	4245	2021-12-28 20:30:05.032	5	5	5824356	4
20211228-4053841707338322133	-1	33644	2021-12-28 03:52:53.655	2	2	8130923	4
