transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211229-8610400380447128720	-1	26724	2021-12-29 04:34:12.597	103	3	8864103	3
20211229-4315795025110976174	1	17545	2021-12-29 20:29:22.840	2	2	9417789	1
20211229-5808469467480314614	0	6982	2021-12-29 11:19:01.938	2	2	5358968	1
20211229--6483440883344204892	0	23873	2021-12-29 23:41:15.685	4	4	9648639	2
20211229--4835384339376708294	1	19504	2021-12-29 14:39:45.028	5	5	1658735	2
20211229-4432159915349825917	-1	39686	2021-12-29 17:49:06.342	4	4	5298407	3
20211229--676440194749927500	-1	25815	2021-12-29 03:00:06.734	4	4	591954	4
20211229--4063181226551252009	1	34653	2021-12-29 04:34:46.399	5	5	661746	4
20211229-9039445728558428116	1	4235	2021-12-29 08:30:36.305	5	5	506180	4
20211229--1786460857827607270	1	7586	2021-12-29 09:24:58.079	4	4	2738131	4
20211229-2596120153424967221	-1	13335	2021-12-29 16:21:03.325	5	5	8285664	3
20211229-6842103020221356268	1	11651	2021-12-29 03:25:59.336	4	4	4771468	3
20211229--686679334714002545	1	20690	2021-12-29 10:23:38.479	2	2	9464906	2
20211229--7893136095145526422	-1	20454	2021-12-29 13:10:15.950	5	5	6780118	3
20211229-2491720959658684252	0	26061	2021-12-29 02:57:00.214	4	4	6189398	4
20211229--2150766235902211605	0	32664	2021-12-29 10:26:24.553	5	5	4991253	1
20211229-6050620028164393430	-1	10276	2021-12-29 00:14:41.879	78	3	9097887	4
20211229--7762461840687212898	-1	5898	2021-12-29 17:00:17.773	1	1	6443936	3
20211229-4173963293898949114	0	927	2021-12-29 16:08:49.676	5	5	8560383	1
20211229--9120477113811500418	1	27530	2021-12-29 01:31:57.427	5	5	4278529	1
20211229--6005854375289193037	0	39243	2021-12-29 22:21:33.651	25	3	1241566	2
20211229--7436278792977868514	0	14711	2021-12-29 21:16:03.999	5	5	5346757	2
20211229--1333420329832364243	1	1484	2021-12-29 01:10:44.852	101	3	89292	3
20211229-8058613925640370186	1	15513	2021-12-29 06:20:21.412	1	1	1779128	3
20211229--8047844873714728208	0	6988	2021-12-29 15:04:20.926	4	4	885057	2
20211229-8203456227445595667	-1	18899	2021-12-29 04:15:07.566	70	3	1040165	2
20211229-8892131173602789479	-1	1774	2021-12-29 12:35:46.023	1	1	7261543	3
20211229-4596488738200121769	1	3066	2021-12-29 21:13:43.996	1	1	8445996	1
20211229--1960213963224094581	-1	17983	2021-12-29 02:03:29.776	2	2	3374203	4
20211229--3704713704160832207	0	37334	2021-12-29 03:34:27.477	4	4	4179309	1
20211229-7887447838717371150	0	9885	2021-12-29 20:17:48.648	101	3	8997722	3
20211229--30386384476542134	1	14516	2021-12-29 10:39:20.640	5	5	9127678	4
20211229-1126911495015750291	1	22063	2021-12-29 10:57:49.860	1	1	1354833	3
20211229-2242857553065870197	1	27633	2021-12-29 13:42:44.574	14	3	2839665	1
20211229-6936449071514846185	1	9014	2021-12-29 16:16:38.907	5	5	2669348	1
20211229-5650041633258569478	-1	532	2021-12-29 21:22:51.367	46	3	1679984	3
20211229-3898944244788003669	-1	21360	2021-12-29 00:15:48.129	95	3	205479	2
20211229-4578498343448835034	-1	2851	2021-12-29 20:47:17.617	58	3	7514928	3
20211229--7663883228552341699	0	18129	2021-12-29 17:48:50.542	62	3	297861	3
20211229--2653086723807553413	0	31788	2021-12-29 02:00:03.134	2	2	5625343	2
20211229--5098913619615047614	0	20740	2021-12-29 00:30:45.442	1	1	5154760	1
20211229-8456986370505044421	0	18814	2021-12-29 17:39:15.753	2	2	7318386	3
20211229--4228231873008474589	-1	27327	2021-12-29 22:14:04.728	2	2	1296985	3
20211229--2422458017345155867	1	12801	2021-12-29 16:08:04.620	32	3	4840548	4
20211229-4921959660224603725	-1	32232	2021-12-29 08:08:42.541	5	5	8993010	2
20211229-8973065354891651651	-1	25863	2021-12-29 20:49:15.715	2	2	9439276	2
20211229-5951840144598002424	-1	22484	2021-12-29 09:44:04.452	5	5	5295686	1
20211229-1111559786999236929	-1	19093	2021-12-29 09:26:12.621	4	4	7423484	4
20211229-5684680269113213407	0	31061	2021-12-29 23:43:04.101	5	5	9412885	4
20211229--2670487846675117261	1	10953	2021-12-29 04:25:09.122	1	1	6396857	1
20211229-908899103554348061	-1	6731	2021-12-29 23:54:47.939	11	3	606396	4
20211229-8432363232018974410	0	16574	2021-12-29 07:07:16.710	4	4	5444127	2
20211229-7137956236871207521	1	34246	2021-12-29 09:02:42.819	2	2	6711226	4
20211229--1533936203496913220	0	910	2021-12-29 16:28:36.815	107	3	843127	2
20211229-3366104352995908052	-1	21987	2021-12-29 21:22:37.779	1	1	1984377	3
20211229--212147771740047406	0	11323	2021-12-29 18:04:20.716	107	3	2362167	3
20211229-2278100617208124399	-1	4643	2021-12-29 20:12:05.369	1	1	7405397	3
20211229--7724423758139849812	-1	39777	2021-12-29 18:44:03.440	76	3	3393384	2
20211229-8870017119212977310	0	4495	2021-12-29 13:25:48.674	4	4	6079189	4
20211229--7446181200962261368	1	37229	2021-12-29 07:40:49.096	5	5	8014895	3
20211229--7540738223831459503	1	39158	2021-12-29 08:24:12.056	1	1	1069370	3
20211229--3131637443655635708	0	23721	2021-12-29 09:37:07.407	5	5	7340277	3
20211229--4337202375614570034	1	26756	2021-12-29 07:08:03.170	2	2	1385751	1
20211229--6444711163714195773	-1	23305	2021-12-29 16:40:56.339	21	3	7634897	1
20211229--2372691050082115813	-1	8782	2021-12-29 06:10:40.061	5	5	3710920	2
20211229--8549743956220519685	-1	9947	2021-12-29 09:50:40.200	5	5	2486414	1
20211229--920868170874793440	1	21655	2021-12-29 16:38:20.226	5	5	8331666	3
20211229--5210922327606422065	-1	34252	2021-12-29 20:25:01.258	1	1	1317775	4
20211229-4426528825156840952	1	37239	2021-12-29 02:59:07.357	1	1	7140354	4
20211229--4250226976256399557	-1	9200	2021-12-29 12:14:28.146	5	5	5862732	1
20211229-7275348296227093865	1	32952	2021-12-29 12:05:49.103	5	5	8234180	3
20211229-4983240401501976226	1	20801	2021-12-29 21:09:25.850	103	3	8076768	3
20211229--5928099668538445203	1	34124	2021-12-29 00:28:09.878	5	5	6787519	1
20211229--7953812762254155911	1	38082	2021-12-29 10:02:42.904	2	2	2145878	4
20211229--6507181111433723169	-1	34334	2021-12-29 07:07:38.416	5	5	9001241	2
20211229--9048067613913870401	1	22213	2021-12-29 17:16:49.904	1	1	7395704	1
20211229-6498068590916008834	0	8550	2021-12-29 10:55:09.452	2	2	8980139	2
20211229--644168232246143022	1	10614	2021-12-29 12:57:45.050	2	2	8632725	2
20211229--2085874460267924773	1	33671	2021-12-29 16:41:29.048	4	4	5964769	2
20211229--6084225362450848195	0	21139	2021-12-29 19:45:40.773	2	2	3658296	1
20211229--8801570707500532351	0	4418	2021-12-29 04:04:09.047	74	3	4220823	1
20211229--8008760951156122941	1	3795	2021-12-29 18:09:26.334	5	5	7361152	2
20211229-7277833744325153379	-1	3828	2021-12-29 19:29:18.409	4	4	569777	2
20211229-2527484770964978144	1	2793	2021-12-29 21:01:32.996	1	1	7224622	4
20211229-3714104184008635973	0	16685	2021-12-29 16:43:11.712	5	5	5374400	1
20211229--7489141453793884048	1	28570	2021-12-29 18:19:06.347	1	1	3303814	2
20211229--8597567783699586963	1	5442	2021-12-29 19:03:42.180	1	1	4782004	1
20211229-6879681526401887738	1	13704	2021-12-29 11:35:39.912	5	5	8745920	2
20211229-8345956803632009725	1	6586	2021-12-29 06:58:10.106	105	3	1579483	4
20211229--7855915184419918263	-1	15467	2021-12-29 04:11:40.272	4	4	3764424	1
20211229--12639974481528936	-1	25039	2021-12-29 09:57:52.087	2	2	5084783	3
20211229-698410310696962745	0	33506	2021-12-29 03:16:38.044	5	5	6764954	2
20211229--8858347781677668191	0	27655	2021-12-29 02:05:48.229	2	2	7161737	3
20211229--7017161883918583554	-1	36495	2021-12-29 13:33:04.750	1	1	5802547	1
20211229-3567882217167011694	1	4061	2021-12-29 23:54:11.817	5	5	7829871	2
20211229-5535949614322431829	1	4481	2021-12-29 19:39:27.121	2	2	4681750	4
20211229-109232631855482326	1	5559	2021-12-29 08:10:37.973	2	2	5421005	2
20211229-4111215566318442260	-1	31758	2021-12-29 01:09:33.084	4	4	9806205	3
20211229-5146793849311591555	1	9565	2021-12-29 08:07:23.284	5	5	1249097	1
20211229--9155799648497563646	1	14622	2021-12-29 08:24:18.493	5	5	4054744	4
20211229--4544928478095261461	0	9282	2021-12-29 08:09:29.733	4	4	1795820	2
20211229-2836669216622744965	1	1183	2021-12-29 08:39:15.140	4	4	6642467	2
20211229-318660472574537518	1	32660	2021-12-29 22:45:27.306	24	3	3872689	2
20211229-2305430164950735725	-1	22293	2021-12-29 23:14:10.553	2	2	9651787	3
20211229--8267209917541090158	0	38886	2021-12-29 16:51:17.524	2	2	4769307	4
20211229--5055101256433534254	-1	29470	2021-12-29 17:56:02.699	4	4	6261262	3
20211229-864970787535472938	1	21501	2021-12-29 00:13:49.043	1	1	8549703	2
20211229--7861274833814760957	-1	5885	2021-12-29 23:02:40.668	4	4	8421274	1
20211229-4609140859584911605	1	23423	2021-12-29 12:35:43.686	2	2	5505289	4
20211229--6364031669959174100	-1	23402	2021-12-29 19:34:43.438	2	2	4678399	3
