transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211230--6160664555196228293	-1	808	2021-12-30 13:29:51.802	2	2	1291287	4
20211230--4299767505407091554	-1	35966	2021-12-30 06:42:46.453	67	3	1592616	1
20211230-5859735486051686949	0	20861	2021-12-30 09:44:34.020	5	5	5995300	2
20211230-207189520861093680	1	30543	2021-12-30 15:45:36.833	2	2	9511913	4
20211230-2558244552169007658	1	14331	2021-12-30 12:31:36.639	1	1	8435697	3
20211230-912626935060525723	-1	39374	2021-12-30 07:55:13.850	53	3	6494511	4
20211230--5545842362563427679	-1	31791	2021-12-30 14:03:29.037	5	5	7286103	1
20211230-311717418801640292	1	28449	2021-12-30 08:33:51.713	2	2	7197604	3
20211230-1724065032930387176	-1	15685	2021-12-30 01:32:43.781	1	1	3143160	2
20211230--1472263540763070562	-1	32205	2021-12-30 03:48:55.412	5	5	8309416	3
20211230-7661141302453504524	0	3061	2021-12-30 15:59:39.182	44	3	9822408	3
20211230--5622546270093649956	-1	18561	2021-12-30 20:48:56.868	2	2	5232079	2
20211230--8609785300275970641	0	4118	2021-12-30 20:15:40.365	1	1	3157861	3
20211230--4383663407165041526	-1	10591	2021-12-30 08:04:57.777	5	5	5380130	4
20211230--8923485192779673582	1	15924	2021-12-30 20:12:44.441	2	2	8827362	3
20211230-6128537127799135159	0	15780	2021-12-30 17:36:58.408	2	2	2500776	3
20211230--6064019745759588117	1	22317	2021-12-30 21:55:21.140	2	2	5769007	1
20211230--3644993526496859033	0	295	2021-12-30 13:19:43.421	4	4	7678631	3
20211230-4980441331663961101	1	18371	2021-12-30 00:11:46.810	1	1	5322714	1
20211230--3074780029069565191	1	25983	2021-12-30 17:50:50.044	4	4	7440296	3
20211230--554741689919584575	0	6568	2021-12-30 05:51:42.130	108	3	9965215	4
20211230-7563022842479165651	-1	8206	2021-12-30 02:30:50.643	4	4	2700893	3
20211230-4312932297949000236	-1	870	2021-12-30 14:05:12.351	1	1	4441561	4
20211230--7226274868243510273	-1	34938	2021-12-30 14:35:28.280	4	4	6305908	3
20211230-3351851287450227422	-1	25743	2021-12-30 04:25:48.169	72	3	6138290	1
20211230--4914737269513765968	-1	35511	2021-12-30 23:58:06.851	1	1	6491604	3
20211230-7491321415768814994	1	4142	2021-12-30 20:50:51.392	4	4	6864636	3
20211230-9172183627362200946	-1	16157	2021-12-30 06:33:38.399	4	4	8005305	1
20211230-6920663644385516807	1	36119	2021-12-30 22:50:28.125	54	3	7116203	2
20211230-702861795218305207	-1	17462	2021-12-30 19:03:25.895	2	2	9832658	1
20211230-4113065248108502144	1	32973	2021-12-30 13:40:24.054	4	4	5634353	1
20211230--2042073794918632742	-1	22738	2021-12-30 17:01:51.357	4	4	4436717	2
20211230--7654859728685532134	1	9019	2021-12-30 00:21:54.396	5	5	7153589	3
20211230--8592828692134119604	-1	12454	2021-12-30 23:10:44.283	1	1	2317578	2
20211230--4676829124941792642	1	33139	2021-12-30 03:58:19.917	4	4	4227388	1
20211230--3640157671310776281	-1	35465	2021-12-30 01:36:16.917	5	5	8033389	2
20211230--2649917859952639643	0	38592	2021-12-30 02:52:00.908	5	5	8850043	1
20211230-9083627083742465416	0	38696	2021-12-30 23:00:19.154	4	4	9728507	3
20211230-2243634876779140118	0	13591	2021-12-30 16:42:59.844	77	3	2082158	2
20211230-8155758940595130451	1	25955	2021-12-30 08:38:58.132	2	2	3118028	4
20211230-2187611702173917536	0	22893	2021-12-30 16:08:36.965	5	5	6995599	2
20211230-2163694224060636668	0	13565	2021-12-30 22:18:23.322	1	1	7350579	1
20211230-1212839510769244361	0	6156	2021-12-30 18:05:06.794	1	1	3888628	1
20211230-4012938304579104314	1	37894	2021-12-30 20:29:33.352	27	3	4585055	4
20211230-4447747950686452076	-1	28661	2021-12-30 12:54:22.941	5	5	9774752	1
20211230-12848851118511350	-1	15292	2021-12-30 18:42:52.791	4	4	2185251	2
20211230-5151626849652788879	0	20475	2021-12-30 20:52:50.317	4	4	3939974	1
20211230--7703016971760737061	1	33258	2021-12-30 07:33:00.591	5	5	3391611	4
20211230--4720664274529693606	0	6414	2021-12-30 09:49:45.595	5	5	3589961	3
