transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211231--8944039535048403473	-1	1488	2021-12-31 02:56:45.412	4	4	1748727	2
20211231--190659287467502035	0	14198	2021-12-31 16:41:27.496	5	5	7423192	4
20211231-6699985444508019691	1	35340	2021-12-31 08:46:24.622	1	1	1994843	4
20211231-8501098370398265932	1	30472	2021-12-31 09:36:36.841	5	5	963564	2
20211231-8743153071597641401	1	1115	2021-12-31 12:05:12.200	1	1	5303448	4
20211231--6594270872911387861	1	434	2021-12-31 02:30:38.458	4	4	4668971	3
20211231--476467756276474194	0	35001	2021-12-31 18:24:44.406	4	4	5234897	3
20211231--4957283312071041631	1	33590	2021-12-31 05:22:10.361	82	3	8777041	1
20211231-2220529470098190106	1	18467	2021-12-31 07:24:37.017	5	5	5757305	2
20211231--6679537078111764132	1	14205	2021-12-31 15:24:18.769	1	1	1717601	2
20211231--8836907319327461196	-1	13349	2021-12-31 13:11:27.199	5	5	8181940	2
20211231-6757641975795321522	1	35685	2021-12-31 12:58:29.606	51	3	2835104	4
20211231-949094735580128480	1	30042	2021-12-31 13:41:46.874	4	4	8358340	4
20211231-4157358413244990670	1	193	2021-12-31 22:25:16.714	4	4	4581284	1
20211231--3130563489045096854	1	24287	2021-12-31 13:38:01.474	5	5	5295409	3
20211231-6341447263370177048	0	28813	2021-12-31 14:43:39.985	1	1	5305395	1
20211231--8276293011842992852	1	39699	2021-12-31 03:51:31.022	1	1	6684933	2
20211231-5652304806429821926	-1	20177	2021-12-31 02:34:20.434	1	1	2227078	2
20211231-6599558052155110604	0	27435	2021-12-31 20:14:37.041	107	3	810863	2
20211231-7061062073005851481	-1	1676	2021-12-31 21:16:12.684	2	2	74550	3
20211231-2139505389866341569	0	23543	2021-12-31 23:45:17.144	5	5	9367491	3
20211231-3150036888273982760	-1	31236	2021-12-31 12:47:52.932	5	5	6337413	4
20211231-3780969858956647681	-1	31507	2021-12-31 10:23:54.275	1	1	7282766	2
20211231-7587107083237529804	1	20587	2021-12-31 21:15:45.107	5	5	1115733	3
20211231--5219924115491294277	-1	36655	2021-12-31 14:15:17.917	4	4	3497403	4
20211231-5189127357100799693	-1	28285	2021-12-31 10:26:30.356	4	4	1356628	3
20211231--1210002243886757164	-1	29510	2021-12-31 14:41:03.519	74	3	1302039	2
20211231--2076842180168561721	1	28108	2021-12-31 02:29:52.238	70	3	2474644	4
20211231-6227865337637888228	0	23028	2021-12-31 02:04:33.213	42	3	6913129	1
20211231--6896338790040869171	-1	36004	2021-12-31 08:49:38.640	5	5	4252185	2
20211231-2401057167698342267	0	816	2021-12-31 03:19:52.927	5	5	2952519	3
20211231-3530701635097914826	1	6789	2021-12-31 05:34:29.665	43	3	8884642	2
20211231-1061160510117118368	-1	25959	2021-12-31 10:42:49.206	79	3	1031089	2
20211231--2770935073558341723	1	4352	2021-12-31 00:17:06.019	12	3	827031	4
20211231-2497222095650328254	1	24949	2021-12-31 03:49:35.266	2	2	4839319	2
20211231-2495903143427035586	1	26509	2021-12-31 13:59:42.876	1	1	7093644	3
20211231-1529258227984500152	1	8937	2021-12-31 16:22:17.296	4	4	8810309	4
20211231--2981863831871890474	1	36061	2021-12-31 16:29:23.663	41	3	9809739	1
20211231--1200523792708554241	1	20542	2021-12-31 01:49:29.347	5	5	5044398	3
20211231--3505445931390662649	-1	19700	2021-12-31 09:53:53.213	79	3	1434682	1
20211231-9189968561887138375	1	26215	2021-12-31 05:39:03.730	1	1	5103778	1
20211231--4536324440404504232	-1	37290	2021-12-31 14:34:56.812	2	2	7869756	4
20211231--1306310860833892110	1	37359	2021-12-31 20:53:54.867	1	1	4782358	2
20211231-1273871569598015721	-1	30827	2021-12-31 23:56:47.334	44	3	585714	3
20211231--7824093665181163108	0	7016	2021-12-31 17:28:00.297	1	1	3603415	2
20211231-818019939699987808	1	19256	2021-12-31 23:08:13.078	4	4	8457128	1
20211231--3377980469333451844	0	14082	2021-12-31 00:22:42.509	5	5	5803295	1
20211231--8567932303725847446	1	5572	2021-12-31 18:47:07.708	5	5	4918354	4
20211231--3499194332712644880	1	24624	2021-12-31 14:33:16.142	4	4	8151246	1
20211231--6676088016556621347	-1	34638	2021-12-31 04:42:24.223	25	3	6973621	1
20211231-7626480521600009867	-1	7094	2021-12-31 07:11:28.964	2	2	6103770	3
20211231-4931272485307043811	-1	26641	2021-12-31 04:12:48.201	2	2	3856855	1
20211231-4157938211740815581	1	34861	2021-12-31 12:42:10.776	5	5	4814549	3
20211231--1615082357734392470	0	36941	2021-12-31 14:04:07.153	2	2	460433	4
20211231-6019949760322470864	0	11815	2021-12-31 08:09:39.050	2	2	7868958	2
20211231-1002942499185438773	1	31326	2021-12-31 09:13:58.477	4	4	8536528	4
20211231--7744681945589324336	0	13351	2021-12-31 15:15:45.587	2	2	645084	3
20211231--3594251825812381084	1	33376	2021-12-31 13:28:37.360	2	2	3252120	2
20211231--1797747023529437886	-1	19965	2021-12-31 19:27:15.470	4	4	4920921	3
20211231-1539499728151588466	0	39925	2021-12-31 04:35:54.657	63	3	2658020	4
20211231--7896240303754676208	0	11651	2021-12-31 11:41:47.200	4	4	5316797	3
20211231-8846391691109657157	1	1066	2021-12-31 08:38:57.101	102	3	8498709	3
20211231--7964083406701998631	0	39630	2021-12-31 10:22:13.843	2	2	6665024	1
20211231--2081038376890407539	1	21761	2021-12-31 09:01:15.586	25	3	4378214	4
20211231--1177715085978441113	0	24387	2021-12-31 06:20:15.519	1	1	3684628	1
20211231-6992146718221105998	1	13250	2021-12-31 16:05:29.449	57	3	6568470	2
20211231-4094650605945342007	1	13290	2021-12-31 10:44:14.930	1	1	8612154	4
20211231-777565279018019197	0	19821	2021-12-31 20:30:45.735	5	5	384574	2
20211231-8803228316272591055	-1	12832	2021-12-31 11:50:48.179	2	2	6734722	4
20211231--7858103979903417617	0	34726	2021-12-31 19:42:00.028	4	4	5580238	3
20211231-5021281655560153079	1	12309	2021-12-31 03:11:30.565	14	3	7567147	2
20211231-5398979907131389137	0	36905	2021-12-31 04:38:00.311	85	3	4386390	2
20211231-8532546580178178537	1	10484	2021-12-31 16:10:28.314	5	5	3021253	3
20211231-2966530574625182162	0	9911	2021-12-31 13:01:06.107	53	3	5454151	2
20211231--8573798336320032568	1	18276	2021-12-31 08:53:59.863	2	2	4421217	2
20211231-3838522332764830195	0	7954	2021-12-31 17:39:19.416	4	4	3129304	3
20211231--3960988747555151817	-1	1461	2021-12-31 04:07:23.422	2	2	4923092	3
20211231-2642668240471911350	0	1351	2021-12-31 11:46:28.565	4	4	5214637	2
20211231--4692657866395665090	1	4983	2021-12-31 14:09:47.829	5	5	7742607	4
20211231--2331449497645540707	-1	26220	2021-12-31 18:35:34.419	1	1	6130071	2
20211231-710853568649384710	0	21620	2021-12-31 06:08:54.838	4	4	6824021	1
20211231-3087058797832361884	1	683	2021-12-31 11:57:03.582	1	1	2781579	3
20211231--9124836948874647497	-1	29113	2021-12-31 05:00:24.395	1	1	4011466	1
20211231-2863573368971810244	0	22029	2021-12-31 01:18:18.084	2	2	4068782	1
20211231--6337925080768714751	0	35747	2021-12-31 11:52:16.616	1	1	4848294	4
20211231--2793725836744890628	0	26347	2021-12-31 05:39:45.439	26	3	7989351	4
20211231--3080226673194574015	0	10411	2021-12-31 09:11:11.253	5	5	9815162	2
20211231-1009234381085705781	1	13863	2021-12-31 22:47:55.656	5	5	2209452	3
20211231--1026213313801612984	1	2857	2021-12-31 22:52:43.558	105	3	110784	1
20211231-1822968584620641250	1	11414	2021-12-31 08:47:40.573	1	1	4000693	3
20211231-3861665851309517139	1	35488	2021-12-31 10:31:52.452	4	4	5336218	3
20211231--4160858753055019368	-1	5320	2021-12-31 07:31:18.176	1	1	357662	3
20211231--6015007302001162877	0	8587	2021-12-31 11:36:18.034	2	2	7805126	1
20211231--8533991381165406453	1	24991	2021-12-31 13:43:13.018	23	3	798651	3
20211231--4276215597270184050	1	154	2021-12-31 22:54:08.549	4	4	2980856	4
20211231--5606018035625058940	-1	20038	2021-12-31 19:04:12.202	1	1	9832947	1
20211231-5880793422132486628	0	19212	2021-12-31 16:42:58.382	5	5	9612590	2
20211231-4351751182805603424	1	31266	2021-12-31 21:36:12.522	5	5	6370834	3
20211231--5057739256816556205	-1	25157	2021-12-31 14:09:29.311	1	1	9838268	4
20211231-3067046177285961873	0	32607	2021-12-31 13:08:10.966	2	2	2744581	1
20211231--606260673119678449	-1	11481	2021-12-31 19:22:47.823	4	4	2612804	3
20211231--5858324032161571344	1	39266	2021-12-31 19:00:55.120	1	1	3482702	4
20211231-394186727227274825	-1	16988	2021-12-31 00:13:07.610	4	4	176432	1
20211231--3024829540384134386	1	5407	2021-12-31 05:28:55.226	4	4	7672260	4
20211231--4050404733559577810	0	18213	2021-12-31 14:52:16.244	5	5	5123976	4
20211231-2394763510428516371	1	12979	2021-12-31 13:21:23.448	4	4	8188377	2
20211231--4215197940882756786	-1	34838	2021-12-31 11:10:53.780	4	4	6763783	4
20211231--1075922460875852866	-1	32216	2021-12-31 20:39:00.361	1	1	3021066	4
20211231--8520801683605567718	1	33894	2021-12-31 17:57:20.618	2	2	6416904	1
