transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220101--4927888222025662729	1	31544	2022-01-01 03:22:37.153	5	5	7194624	2
20220101-542351453892913383	-1	11310	2022-01-01 05:58:03.848	4	4	478857	4
20220101--6781181389386211321	-1	18615	2022-01-01 17:39:32.553	1	1	3749853	1
20220101-8996642898827415961	-1	30181	2022-01-01 14:19:42.067	1	1	1685497	4
20220101--4531115724074278784	-1	26174	2022-01-01 19:44:57.280	4	4	272322	4
20220101-9099076111998778485	-1	11637	2022-01-01 02:29:50.433	34	3	3685207	4
20220101--5475447071613108501	0	22421	2022-01-01 03:49:43.035	1	1	6851823	4
20220101--6535316839500925716	-1	9478	2022-01-01 07:05:37.157	2	2	6885162	4
20220101-2193830999305266083	-1	3603	2022-01-01 16:49:13.669	1	1	6071088	2
20220101-3004132951428010919	1	6986	2022-01-01 10:25:33.306	109	3	7471643	3
20220101--2761230093227806546	0	30393	2022-01-01 10:10:54.578	5	5	4502192	1
20220101-6821396830730894940	1	39630	2022-01-01 23:25:28.791	4	4	1071137	4
20220101-1567337939182840769	1	31984	2022-01-01 17:23:04.528	2	2	1993132	4
20220101--7568573082482165795	-1	35005	2022-01-01 16:36:55.450	5	5	6418816	1
20220101-2963305419684426429	1	22851	2022-01-01 03:36:56.163	5	5	6881645	2
20220101-7519041505495935310	0	1892	2022-01-01 14:47:36.122	2	2	1718635	1
20220101-4384119834701162563	0	25472	2022-01-01 14:23:32.311	4	4	584829	1
20220101-1812941446089916505	0	29352	2022-01-01 15:08:33.107	4	4	4216830	1
20220101--3266202973486942509	0	38824	2022-01-01 09:30:30.347	4	4	6416127	2
20220101-1927226491118832185	-1	34556	2022-01-01 07:44:46.477	14	3	1372957	3
20220101-3200317532250949623	1	18297	2022-01-01 22:43:08.994	5	5	8995093	2
20220101-5707816291476864014	1	28408	2022-01-01 07:41:40.542	4	4	4854472	1
20220101-4717090905370388767	1	30188	2022-01-01 00:36:01.452	76	3	3486419	2
20220101--7321801007840423049	0	25292	2022-01-01 09:07:03.254	4	4	7527741	3
20220101-5822597407620332704	0	23990	2022-01-01 06:20:36.123	1	1	3686590	4
20220101-489873671072375781	0	10061	2022-01-01 00:35:15.507	2	2	9251995	4
20220101--5822212522841207352	1	15783	2022-01-01 08:52:39.919	4	4	428721	3
20220101--2412485467015842268	0	39942	2022-01-01 12:52:33.884	2	2	7141553	4
20220101--6449128076401249553	0	24373	2022-01-01 10:49:55.114	4	4	859080	2
