transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220102-821160129622080043	0	35800	2022-01-02 08:12:33.598	2	2	9440124	3
20220102-8734742610486456393	0	18096	2022-01-02 15:01:47.497	105	3	6242862	3
20220102-7969600113527591811	0	32400	2022-01-02 09:54:54.603	5	5	537304	2
20220102--329122697155226764	-1	37498	2022-01-02 01:09:09.892	2	2	5317231	2
20220102--3038427647062617403	0	29550	2022-01-02 20:31:32.597	4	4	2993277	4
20220102-6938579199189848590	0	7716	2022-01-02 09:59:34.249	4	4	1928330	4
20220102--7829563567856406682	1	17280	2022-01-02 17:48:55.128	1	1	8892362	4
20220102--7806834140312852523	-1	32915	2022-01-02 18:52:16.278	2	2	9265282	4
20220102-1916089969632836193	0	8300	2022-01-02 01:41:37.152	5	5	3731938	1
20220102--8015939065486154397	0	26013	2022-01-02 15:33:45.668	1	1	8414310	4
20220102--1037624618575972681	-1	2091	2022-01-02 11:50:13.402	1	1	2806529	4
20220102--2243438769203273486	0	23406	2022-01-02 11:48:06.405	1	1	3746994	4
20220102-9169930666949985298	1	39924	2022-01-02 10:51:41.805	48	3	3542086	4
20220102--1767401998109160326	1	29456	2022-01-02 08:10:32.836	4	4	609424	3
20220102--6942166227907832108	1	17180	2022-01-02 07:10:40.968	5	5	9291535	4
20220102--6182639635394095645	0	12899	2022-01-02 19:56:08.091	4	4	8678146	2
20220102--7843794046455623683	-1	39228	2022-01-02 07:58:55.742	65	3	6721493	2
20220102-3863003676300055934	1	17715	2022-01-02 10:54:44.126	84	3	3131998	4
20220102-5112219621240726748	0	11852	2022-01-02 04:53:00.986	2	2	6975570	4
20220102-9074085408226343200	-1	19773	2022-01-02 01:23:07.143	4	4	5102134	3
20220102-5744983865746011540	0	16106	2022-01-02 04:30:21.982	2	2	7219667	2
20220102--1774277499878490614	-1	14259	2022-01-02 09:57:58.792	2	2	6962619	3
20220102-4412314823443519374	1	31059	2022-01-02 11:52:52.541	4	4	1088660	3
20220102-3714315989026549697	1	5765	2022-01-02 17:25:37.224	5	5	4700553	1
20220102--8058848469151256115	-1	23503	2022-01-02 10:28:35.777	2	2	3693165	1
20220102-3800212290909106970	0	2934	2022-01-02 08:15:47.470	2	2	8033148	4
20220102--9173001769263525838	1	3283	2022-01-02 02:51:17.258	5	5	437860	3
20220102--8242682278900170885	-1	12361	2022-01-02 05:15:02.364	4	4	6661136	1
20220102-2648432842541317064	1	26660	2022-01-02 01:28:08.416	5	5	6224813	2
20220102-6443522528619692211	1	19973	2022-01-02 04:01:24.094	2	2	6983741	2
20220102-8118963866932800588	-1	12275	2022-01-02 10:59:29.193	4	4	3605106	3
20220102-5472251013201209691	1	20590	2022-01-02 10:00:34.071	1	1	4876907	1
20220102--6723422930215653208	1	24648	2022-01-02 01:25:01.626	4	4	7316229	2
20220102--3794065060360540186	1	8329	2022-01-02 02:18:14.007	38	3	3787786	2
20220102-9087972002463464950	-1	37868	2022-01-02 18:34:35.171	1	1	8347306	4
20220102--5643449723762843405	1	26578	2022-01-02 18:43:53.541	1	1	4939058	3
20220102--6611707656859542731	-1	29351	2022-01-02 11:59:11.441	23	3	8705606	3
20220102-2330070182739009194	0	15508	2022-01-02 15:58:17.676	2	2	859100	2
20220102--254891931543796392	-1	25494	2022-01-02 02:46:31.557	4	4	6255416	4
20220102--1380550063133449123	1	12515	2022-01-02 14:09:04.421	4	4	2182546	2
20220102-2385610806797407346	1	7254	2022-01-02 01:26:31.904	4	4	43164	4
20220102-1521197359499962411	1	18403	2022-01-02 16:44:12.102	5	5	1801811	3
20220102--1551085341296847524	0	4530	2022-01-02 07:26:06.820	30	3	3541794	1
20220102--6302775815510078851	0	33579	2022-01-02 02:05:10.912	5	5	6656362	2
20220102-2632674109945633025	0	32460	2022-01-02 08:09:06.616	4	4	3730395	1
20220102-8292227981102169653	1	2223	2022-01-02 06:11:56.624	1	1	1502902	2
20220102--6690539571018256443	1	10756	2022-01-02 20:14:32.994	4	4	851916	1
20220102--5768884757944968338	1	24910	2022-01-02 22:29:00.585	1	1	820076	2
20220102-5740865451496162044	0	26954	2022-01-02 10:59:50.668	1	1	8113336	4
20220102--8413756364480098953	1	34222	2022-01-02 12:08:29.240	2	2	1231620	2
20220102--4038291703905893580	0	1931	2022-01-02 11:14:48.039	5	5	9733837	3
20220102-269153328978614050	-1	12472	2022-01-02 02:09:15.468	16	3	7413253	4
20220102-5452249849423851078	-1	31585	2022-01-02 12:27:23.303	2	2	265064	1
20220102-3614117245985576322	1	34628	2022-01-02 10:10:15.066	4	4	4526163	3
20220102-2694719697554970120	0	24039	2022-01-02 02:46:05.186	5	5	7001239	2
20220102--7428809207071293282	0	34376	2022-01-02 05:01:41.759	95	3	4160157	4
20220102-7787547047540689866	-1	3487	2022-01-02 05:23:36.596	2	2	3889448	4
20220102-7332062426647805690	0	20571	2022-01-02 02:46:27.858	1	1	542104	4
20220102-5367931930730367692	-1	24800	2022-01-02 08:54:37.651	5	5	1883224	1
20220102--1391440066373488109	-1	5995	2022-01-02 14:38:59.168	5	5	8255531	3
20220102-2298954380505930958	-1	19639	2022-01-02 09:28:34.513	1	1	9971548	2
20220102--5747927803085797640	-1	36337	2022-01-02 12:05:23.099	1	1	3891874	2
20220102--8581878197294802132	1	8072	2022-01-02 21:21:19.749	1	1	1997212	2
20220102--2061110607389635050	-1	33684	2022-01-02 18:49:52.502	4	4	5161904	2
20220102--4637439083218333450	1	7843	2022-01-02 06:58:23.786	4	4	8132134	4
20220102-7361829069318532986	-1	2107	2022-01-02 08:22:40.318	5	5	6031627	3
20220102--3646513420235466098	0	5558	2022-01-02 12:41:44.540	4	4	827018	2
20220102-8320983399020185302	0	22095	2022-01-02 20:27:13.021	5	5	8452821	2
20220102--3428329052535587615	0	38937	2022-01-02 18:44:48.151	4	4	5047640	4
20220102--8084102965360622646	1	17098	2022-01-02 02:09:46.703	1	1	3810547	1
20220102-828476679675540927	1	27876	2022-01-02 03:38:39.225	5	5	8160992	4
20220102-1041727431267747934	-1	19347	2022-01-02 03:07:47.162	1	1	5707964	2
20220102--6812723041278986332	-1	10988	2022-01-02 13:24:23.821	5	5	9959500	2
20220102-8740960855534494095	0	2826	2022-01-02 17:40:30.349	83	3	9178395	3
20220102--6579881333329783569	0	5473	2022-01-02 23:34:13.272	4	4	5879325	3
20220102-7012207973140377247	-1	7767	2022-01-02 13:25:11.787	5	5	7607850	2
20220102--8626207659696144106	-1	36494	2022-01-02 20:40:25.562	4	4	5829515	4
20220102--2174892515798308280	-1	33642	2022-01-02 18:04:21.669	2	2	1850006	4
20220102--3342695947185757678	0	28676	2022-01-02 14:05:02.189	2	2	2505436	4
20220102-5346506052321949397	0	14003	2022-01-02 20:50:32.117	4	4	4895835	3
20220102-5865709314818609297	1	10739	2022-01-02 14:16:28.567	63	3	1389781	2
20220102-7708809627171684356	-1	17983	2022-01-02 11:20:24.719	1	1	7834156	1
20220102-2412264833336750230	1	28159	2022-01-02 23:47:30.927	1	1	164143	2
20220102-9089848514474543625	0	29908	2022-01-02 09:28:30.239	20	3	3130459	1
20220102--1700558577967866324	0	11275	2022-01-02 15:19:22.333	1	1	1888404	1
20220102--2577634264725288811	0	36933	2022-01-02 10:11:16.964	1	1	9864580	4
20220102-7871686499866870320	1	9836	2022-01-02 06:21:42.906	1	1	9341467	1
20220102--8597721258384724886	1	2548	2022-01-02 01:20:33.057	5	5	3400706	2
20220102-7584941760402900787	-1	36506	2022-01-02 15:58:06.701	4	4	5325505	1
20220102--817296751176814679	1	33016	2022-01-02 00:39:14.395	2	2	988789	2
20220102--7521091020983639216	-1	9061	2022-01-02 15:47:59.670	4	4	5939459	2
20220102-8745251899806790771	1	36313	2022-01-02 17:03:56.278	59	3	3870162	1
20220102--8932290716345459136	1	1998	2022-01-02 07:01:26.481	4	4	6229144	2
20220102-6792323861842648498	1	38637	2022-01-02 10:03:32.048	95	3	898595	3
20220102-859736925628374748	-1	31888	2022-01-02 04:13:17.140	5	5	2070262	2
20220102--7257636909034990497	1	36185	2022-01-02 19:36:07.576	4	4	7130842	4
20220102-7212530660746763399	0	31223	2022-01-02 10:16:58.039	4	4	7152789	3
20220102--7443911541413300128	1	17394	2022-01-02 00:03:23.613	5	5	2923147	2
20220102-3801999297390967015	0	21734	2022-01-02 16:22:44.926	1	1	6338270	1
20220102-2734775430988598183	0	12046	2022-01-02 03:14:52.968	46	3	4892340	4
20220102--1079655622680670327	0	27517	2022-01-02 03:42:20.761	21	3	9797568	2
20220102-2945529029689647246	1	27312	2022-01-02 13:28:03.771	5	5	9925304	1
20220102-3471841738748666070	-1	15062	2022-01-02 21:08:11.219	99	3	4948683	3
