transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220103-4208171962897379271	0	33697	2022-01-03 02:50:01.466	5	5	2079852	2
20220103--7998078311240218344	0	36876	2022-01-03 11:16:28.285	4	4	2443814	3
20220103-7907044153330771852	1	8147	2022-01-03 04:01:04.010	78	3	2637542	2
20220103-330833460152833546	-1	35374	2022-01-03 21:44:16.558	2	2	4263524	1
20220103--237026902440097118	-1	30590	2022-01-03 03:14:20.132	65	3	9307607	2
20220103--4356431800539332320	0	32368	2022-01-03 11:58:53.040	5	5	1213052	1
20220103--3667177177128904206	0	36138	2022-01-03 13:51:48.409	1	1	2702827	1
20220103-1626996672253295361	-1	19375	2022-01-03 04:06:38.488	2	2	9642162	4
20220103-7648881682789206404	-1	34025	2022-01-03 17:09:55.383	5	5	534635	1
20220103-3266178658457317278	-1	37274	2022-01-03 02:54:46.137	2	2	7516194	1
20220103-405003443332177517	0	2492	2022-01-03 15:33:43.265	4	4	5557586	4
20220103--6899159785893896681	1	28093	2022-01-03 05:32:20.425	2	2	3474684	2
20220103-2506638754219941446	0	37959	2022-01-03 12:29:48.786	4	4	4949131	4
20220103-6715748042121260323	1	24322	2022-01-03 03:55:43.166	2	2	7069000	1
20220103-1866743307371003672	1	15933	2022-01-03 08:46:23.887	45	3	4166191	3
20220103--8125366225920164932	-1	33777	2022-01-03 00:52:04.236	55	3	9233426	2
20220103-191372739596088999	1	29334	2022-01-03 00:30:16.943	5	5	2872008	1
20220103-839378051593984265	0	31605	2022-01-03 04:02:36.940	2	2	4981797	3
20220103-8369444881637868881	1	14650	2022-01-03 14:01:17.301	4	4	7491440	1
20220103-2335167255088791418	-1	38254	2022-01-03 13:38:54.951	1	1	2799921	4
20220103--7482711657270058380	1	18071	2022-01-03 14:38:31.960	5	5	4358505	4
20220103-4326516829383546563	0	39243	2022-01-03 10:32:41.938	58	3	2111785	2
20220103-8524629638894793707	0	22384	2022-01-03 12:01:34.904	5	5	4235588	3
20220103--3907794978323391621	-1	33936	2022-01-03 14:18:06.772	5	5	2766167	1
20220103-2201709693883804220	-1	30143	2022-01-03 02:48:55.123	95	3	3393690	1
20220103-2809995205332114712	1	27101	2022-01-03 04:51:09.366	2	2	1270001	4
20220103-5318613094247737369	0	25450	2022-01-03 05:57:29.588	106	3	3641473	2
20220103-2787813805036379897	0	23731	2022-01-03 21:46:13.502	99	3	6643333	3
20220103--4639070948390333100	1	36661	2022-01-03 16:45:26.365	5	5	5353468	3
20220103--1028671937198492936	-1	12937	2022-01-03 06:06:48.139	2	2	4682325	3
20220103-6560106255649360281	1	5874	2022-01-03 13:44:53.447	2	2	23427	2
20220103--2024242306563507552	-1	31430	2022-01-03 03:23:52.506	4	4	5241031	2
20220103--2413273357523156315	1	1260	2022-01-03 17:47:55.203	2	2	2152156	4
20220103--4695303182297878134	0	20251	2022-01-03 00:46:01.601	5	5	3502796	4
20220103-6049221805849513773	0	34795	2022-01-03 19:24:16.203	1	1	7742061	4
20220103-8446629706907377528	1	37793	2022-01-03 19:49:07.573	74	3	6384352	4
20220103-5781156622040193480	-1	9389	2022-01-03 06:16:15.263	5	5	168112	3
20220103--865675097861329801	-1	21631	2022-01-03 07:54:37.310	5	5	175701	3
20220103--6374310806192529027	0	38197	2022-01-03 00:05:50.511	4	4	6880133	4
20220103-884169399439240329	-1	20585	2022-01-03 20:59:02.985	5	5	6974461	2
20220103-8596710016473257628	0	16659	2022-01-03 23:33:40.182	2	2	2209873	4
20220103--2627974819087290087	-1	34146	2022-01-03 15:30:06.138	5	5	7958636	4
20220103--6126952277261341847	0	25424	2022-01-03 02:28:16.208	1	1	754687	1
20220103--2798402277890165062	1	9178	2022-01-03 09:19:06.909	4	4	3149152	2
20220103-5337529337271809593	0	26726	2022-01-03 10:20:35.031	1	1	9616875	4
20220103-7494773031290425400	-1	31837	2022-01-03 18:11:58.592	5	5	3583620	4
20220103-8596455993853559125	-1	25903	2022-01-03 20:46:22.384	103	3	3250961	1
20220103--8175586093671707382	0	3978	2022-01-03 17:05:43.249	1	1	4076994	1
20220103-7731608360699417164	1	36823	2022-01-03 20:35:12.853	87	3	2316854	3
20220103--725428607763231737	1	14743	2022-01-03 18:59:58.466	2	2	7956208	2
20220103--5847239768299486938	1	30533	2022-01-03 22:23:01.499	5	5	9224211	3
20220103--2899266143543098903	-1	29	2022-01-03 21:03:03.449	27	3	3364502	4
20220103-5608200256898287022	1	9132	2022-01-03 14:04:16.220	5	5	7507437	2
20220103-2499584831577914559	-1	30658	2022-01-03 04:33:55.484	1	1	9494612	2
20220103--764126099215098501	-1	16484	2022-01-03 09:00:34.274	1	1	9816909	4
20220103-8876008087422919343	1	121	2022-01-03 02:18:38.944	5	5	3373520	4
20220103--848009291844427035	-1	35931	2022-01-03 15:11:51.493	2	2	8487747	1
20220103-7966891174583733138	0	16211	2022-01-03 18:38:23.544	1	1	6055078	1
20220103-1772248732524547283	-1	15610	2022-01-03 14:15:24.757	1	1	2635007	3
