transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220104--4369756552175111414	1	37118	2022-01-04 06:40:03.615	1	1	6597966	3
20220104--8087582191859093926	0	39164	2022-01-04 14:28:17.959	5	5	6605463	4
20220104--1733177865867556239	-1	3175	2022-01-04 12:29:18.956	1	1	9251760	3
20220104-8887963636195029877	0	14168	2022-01-04 09:35:28.630	1	1	1832260	3
20220104--7641201381822219646	0	22439	2022-01-04 08:10:15.471	4	4	1858913	3
20220104--2095346267684099943	-1	32300	2022-01-04 22:10:23.967	99	3	2016906	1
20220104-3333242751940347118	-1	31102	2022-01-04 01:55:57.912	2	2	2195153	4
20220104--1354146911722820481	0	15935	2022-01-04 14:11:12.645	4	4	4658563	1
20220104-8017179635752972781	-1	27019	2022-01-04 00:23:22.349	5	5	8994928	1
20220104--4441695951626353090	0	1823	2022-01-04 06:20:28.225	2	2	1162388	3
20220104-4641839067918208909	0	20063	2022-01-04 23:04:43.425	5	5	9580814	1
20220104--1894623130121341827	-1	39874	2022-01-04 18:08:18.830	1	1	8021884	1
20220104--4900076607563960152	0	37377	2022-01-04 11:23:15.233	2	2	700539	4
20220104--7096134005298926825	1	6778	2022-01-04 09:19:04.651	4	4	546249	4
20220104-1959071767746058557	1	31262	2022-01-04 15:39:10.724	2	2	9220374	1
20220104-4255804813783591902	1	23931	2022-01-04 03:45:24.902	2	2	3459507	1
20220104--8294010484842076156	0	4838	2022-01-04 00:21:20.275	2	2	5304438	3
20220104--2500112237935907930	1	380	2022-01-04 23:35:29.834	2	2	1409131	1
20220104-5229749781001114316	1	26090	2022-01-04 20:59:33.717	20	3	2702024	1
20220104--7274455360633898721	-1	39122	2022-01-04 02:11:48.660	5	5	2565542	3
20220104-7571504387740628736	0	21881	2022-01-04 20:09:49.877	47	3	2592813	1
20220104--6394402868149888479	-1	34854	2022-01-04 09:44:59.059	94	3	8724371	2
20220104-1780871328154399232	0	28513	2022-01-04 15:31:19.609	76	3	6344992	1
20220104--7402587362604869117	1	4990	2022-01-04 16:42:24.172	2	2	3258770	1
20220104--2563993711826884677	-1	39910	2022-01-04 00:53:36.795	4	4	3149890	1
20220104--5997842036274777312	-1	19386	2022-01-04 05:53:29.269	5	5	2751202	3
20220104-455140139653784908	-1	15083	2022-01-04 10:16:23.783	63	3	8651662	3
20220104-226633878252305334	1	18281	2022-01-04 21:52:29.827	2	2	1224034	3
20220104--5190226983351065390	0	6924	2022-01-04 11:06:51.256	2	2	3744608	3
20220104-9070705805316581825	0	14647	2022-01-04 01:23:31.100	4	4	9554732	2
20220104-7727363728511278542	-1	16231	2022-01-04 05:04:37.942	1	1	2137186	4
20220104-605548966444806126	-1	36476	2022-01-04 16:59:50.346	1	1	1417686	1
20220104-8687011363490876936	-1	15783	2022-01-04 05:13:40.349	5	5	468177	3
20220104--3459244052637222126	-1	20225	2022-01-04 23:36:04.698	2	2	4149194	3
20220104-2805729076284891221	0	7350	2022-01-04 08:23:03.097	1	1	1527224	1
20220104--7776308720105205794	-1	9787	2022-01-04 10:16:48.413	5	5	469710	2
20220104--1707355047907940156	1	11338	2022-01-04 19:09:12.059	1	1	5724982	2
20220104-5402277631055399924	1	2607	2022-01-04 07:14:28.715	5	5	6810581	4
20220104--3554697715277668353	-1	36198	2022-01-04 10:05:33.885	2	2	6205505	3
20220104--1891902023209049762	-1	1055	2022-01-04 18:55:54.738	2	2	3942696	3
20220104--267519247439571538	-1	20731	2022-01-04 08:53:30.485	4	4	8033756	2
20220104--8847624244829437832	-1	2059	2022-01-04 16:43:38.742	5	5	9137476	1
20220104--6249474644923251929	0	18988	2022-01-04 10:19:50.561	5	5	2935665	3
20220104-3893532358894689540	0	25114	2022-01-04 13:21:59.577	1	1	8178154	2
20220104--3934329761282451581	-1	4752	2022-01-04 18:07:54.179	2	2	1474876	3
20220104-8681473041656728922	1	7024	2022-01-04 15:24:51.956	90	3	1252864	2
20220104-4046681960638499473	0	21348	2022-01-04 02:15:17.504	5	5	679158	1
20220104-5521713181366998645	1	35420	2022-01-04 18:45:40.500	5	5	1566493	3
20220104--4659413448308975526	-1	18557	2022-01-04 14:27:20.611	1	1	7724919	4
20220104--8032101267122686802	0	26906	2022-01-04 10:26:08.948	4	4	3658533	2
20220104-5906000289854673570	-1	6594	2022-01-04 03:10:03.205	5	5	8228325	3
20220104-8287321451152520737	-1	10084	2022-01-04 19:59:06.700	1	1	1127121	1
20220104-8656123958969543622	-1	4259	2022-01-04 07:46:01.516	68	3	282707	2
20220104-16400250733219016	-1	21718	2022-01-04 06:36:08.529	5	5	2301208	2
20220104-552063147446108602	0	3877	2022-01-04 14:32:38.635	4	4	2158238	1
20220104--5987202129703837893	0	10925	2022-01-04 19:10:19.069	4	4	1151051	3
20220104-6962640047010686399	-1	22549	2022-01-04 21:13:25.454	5	5	2050417	1
20220104--461967998936783938	0	37630	2022-01-04 16:58:39.409	73	3	2935044	2
20220104--5201640325588247625	0	24667	2022-01-04 11:26:21.138	4	4	7895085	1
20220104--4175366033932148575	0	33886	2022-01-04 08:46:29.741	2	2	6775906	3
20220104-2365570101204860932	0	5547	2022-01-04 11:16:18.889	11	3	3146999	3
20220104-9176278897113694544	1	932	2022-01-04 09:26:50.252	73	3	1405342	4
20220104-7581696874366315802	1	21262	2022-01-04 07:49:41.700	5	5	9855962	1
20220104-6514433236169042448	-1	30638	2022-01-04 12:39:42.686	45	3	4291101	4
20220104--8522101623559285250	0	31107	2022-01-04 19:21:28.160	5	5	690822	4
20220104-3897878811027434891	1	7052	2022-01-04 01:59:23.628	2	2	9724901	3
20220104--4567565446796887693	1	25115	2022-01-04 00:10:08.727	42	3	4260042	4
20220104--5646795149033415260	1	20884	2022-01-04 21:20:13.080	5	5	1156248	4
20220104--152916126604456942	0	38103	2022-01-04 13:07:40.410	2	2	4890192	1
20220104--388485686381904029	1	13050	2022-01-04 18:29:26.587	2	2	1590146	3
20220104-8621744092443676807	0	10442	2022-01-04 18:07:10.713	4	4	577469	2
20220104--809240579410466300	1	7319	2022-01-04 10:07:39.217	4	4	4424310	2
20220104--5997596264466812390	1	24393	2022-01-04 11:09:00.573	2	2	7574315	3
20220104--2750850438162992364	0	9519	2022-01-04 12:21:32.150	5	5	738609	3
20220104--2061794193690745966	1	12600	2022-01-04 23:03:42.618	1	1	8102589	2
20220104-7194795133621856628	1	23969	2022-01-04 15:27:52.950	2	2	5189326	2
20220104--8012636301280305280	-1	1352	2022-01-04 18:17:33.988	2	2	3609662	2
20220104-2637581079324297892	0	17995	2022-01-04 00:24:34.181	56	3	7882407	3
20220104--8957806847709376705	1	14115	2022-01-04 13:21:53.991	1	1	2421348	3
20220104-1870654170730445607	-1	23226	2022-01-04 12:15:33.358	1	1	4740061	4
20220104--7841318235292767252	0	25112	2022-01-04 23:26:53.938	5	5	2680509	3
20220104-4639629231831819317	0	7831	2022-01-04 22:24:03.809	4	4	6491439	1
20220104--7522539096624111958	-1	27011	2022-01-04 23:36:32.181	1	1	1972505	3
20220104--1403448350443062159	-1	30456	2022-01-04 15:09:43.803	5	5	7655680	4
20220104--4992815878604915916	-1	33052	2022-01-04 12:52:19.536	13	3	972415	4
20220104-9097620464758492272	1	6638	2022-01-04 23:55:43.566	56	3	6788729	3
20220104-3318721628483566973	-1	26414	2022-01-04 16:47:47.624	100	3	6784105	4
20220104-362303809075856537	0	23160	2022-01-04 12:20:22.490	1	1	2007984	1
20220104--4713194661220222438	1	35779	2022-01-04 20:25:44.195	4	4	9626162	2
20220104-3431745949539580887	0	11158	2022-01-04 11:56:31.137	4	4	7193631	1
20220104-5880180029053432633	-1	2281	2022-01-04 06:36:38.974	99	3	5945028	4
20220104--6096607098753682339	-1	31221	2022-01-04 06:05:20.314	4	4	2195054	4
20220104--2833174230115216970	0	21076	2022-01-04 21:44:38.418	2	2	4592301	4
