transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220105--5334293367845867770	-1	35495	2022-01-05 18:34:35.063	2	2	4178152	1
20220105--8857252284987256759	1	23752	2022-01-05 06:14:16.116	2	2	1877948	4
20220105--9014887191417351578	0	28819	2022-01-05 03:33:15.626	2	2	8067800	4
20220105-5169255461524813710	0	15728	2022-01-05 09:15:47.080	5	5	1449884	2
20220105-7030703428446816824	1	33108	2022-01-05 13:08:24.062	5	5	9207580	4
20220105-6763524865677992012	0	30904	2022-01-05 10:46:03.825	4	4	1449759	2
20220105--2934166563870675592	0	235	2022-01-05 03:17:19.595	1	1	3692875	1
20220105-6750349614663806714	0	6087	2022-01-05 08:57:11.481	1	1	4538693	4
20220105--8230277524846112671	0	19243	2022-01-05 11:51:15.185	4	4	7670426	4
20220105-8255088245872734731	1	7446	2022-01-05 11:00:03.767	5	5	7417113	2
20220105--771999240311500011	-1	24959	2022-01-05 13:16:53.657	4	4	621265	4
20220105--3868487488997419868	-1	12728	2022-01-05 07:03:38.657	1	1	5269098	3
20220105--510024677055643282	1	20495	2022-01-05 02:58:27.084	1	1	2423735	2
20220105--1227508880391172082	0	36017	2022-01-05 18:59:35.818	4	4	7117537	1
20220105-7680177934451111928	1	28992	2022-01-05 07:49:43.508	1	1	4073754	4
20220105--7638592832554914460	0	20942	2022-01-05 02:47:23.735	81	3	6085500	3
20220105-4252165671822502296	0	29128	2022-01-05 13:31:37.619	2	2	6254266	3
20220105-346549770876124768	0	26909	2022-01-05 04:06:50.317	5	5	4745646	1
20220105-3058440968487719375	-1	29818	2022-01-05 14:48:44.654	1	1	7802076	2
20220105--5367999675187210065	0	21233	2022-01-05 00:30:57.066	4	4	8920282	1
20220105-71844639152091297	1	35886	2022-01-05 14:12:46.454	100	3	1043829	1
20220105-4250689123558803847	0	36778	2022-01-05 14:37:13.933	4	4	6273047	2
20220105--2456044249419033356	-1	28662	2022-01-05 15:33:16.443	5	5	1516202	3
20220105-549726278492171881	1	26689	2022-01-05 08:14:24.098	2	2	1141722	4
20220105--4983143905088783487	0	11686	2022-01-05 22:21:50.579	40	3	8672921	1
20220105-8044875921518533732	0	14380	2022-01-05 04:18:05.598	4	4	6463104	2
20220105--7903961452828749086	-1	25948	2022-01-05 17:44:32.698	98	3	9511119	2
20220105--6065353852260167411	0	17116	2022-01-05 17:03:35.253	2	2	1346906	2
20220105-2565500212734624047	-1	22078	2022-01-05 09:32:19.332	4	4	1420106	3
20220105-6203968548830640924	-1	23821	2022-01-05 16:43:41.204	2	2	3805626	3
20220105--6745648320645193227	0	6259	2022-01-05 10:31:50.787	1	1	8875185	3
20220105-2178513241728174239	0	35973	2022-01-05 17:28:34.201	1	1	5182228	2
20220105--7615384080473080233	0	26265	2022-01-05 14:29:03.037	85	3	1580643	4
20220105-5176732036125202102	0	16119	2022-01-05 07:58:19.292	5	5	6961391	3
20220105--8499364136003038209	1	21575	2022-01-05 16:03:45.899	5	5	4717009	1
20220105-8746640205859376073	-1	23656	2022-01-05 00:54:20.595	4	4	1747407	3
20220105-5311328258817119902	1	14316	2022-01-05 14:50:36.813	5	5	9189739	4
20220105-7083022713983008545	0	20092	2022-01-05 01:26:47.482	58	3	4363596	4
20220105--5681114578322072709	-1	10662	2022-01-05 21:01:17.573	5	5	9868616	4
20220105-5726482749757072952	0	37156	2022-01-05 18:50:41.810	82	3	9630202	1
20220105--5927130413583629620	-1	3258	2022-01-05 16:55:18.991	1	1	957633	1
20220105-3294851254905836076	1	23174	2022-01-05 21:28:26.473	49	3	3598242	2
20220105--9081873531691495990	-1	9709	2022-01-05 22:05:05.333	2	2	7809815	2
20220105-5918869560959955092	-1	19375	2022-01-05 02:12:16.049	4	4	6339222	4
20220105-5755900796278361947	-1	26283	2022-01-05 19:55:36.245	4	4	2010941	2
20220105--4510756292940568008	-1	21980	2022-01-05 22:58:26.363	94	3	6048204	4
20220105--6122844885250634456	1	28808	2022-01-05 20:21:13.924	2	2	9396996	2
20220105--4869670709652153050	0	847	2022-01-05 05:06:56.302	5	5	7354103	3
20220105-1258951399623558934	0	35719	2022-01-05 19:07:18.642	5	5	769032	1
20220105--5776553175046531722	1	18785	2022-01-05 15:42:40.776	4	4	6152371	2
20220105-1486625314120805806	-1	14338	2022-01-05 00:09:36.082	4	4	1691493	4
20220105--8547419354172095965	0	13890	2022-01-05 21:35:11.890	2	2	6161603	2
20220105--1051729431158207210	-1	21032	2022-01-05 12:53:12.076	1	1	1280514	1
20220105--6861224865699113055	0	7521	2022-01-05 07:33:02.411	2	2	7070038	2
20220105--1631627262436620561	-1	18795	2022-01-05 13:07:04.848	4	4	4061832	2
20220105-6936850507095045395	0	37805	2022-01-05 20:00:02.373	48	3	5593896	4
20220105-3669802457621200431	0	6508	2022-01-05 03:59:08.449	1	1	4287877	1
20220105--8808233151512453146	1	12225	2022-01-05 02:58:30.243	53	3	3446317	4
20220105-8255131981575458683	-1	3979	2022-01-05 12:41:07.908	5	5	5237494	1
20220105-3594024332341216877	1	34307	2022-01-05 05:26:06.399	1	1	5245712	3
20220105-7006237424021910020	-1	5325	2022-01-05 12:03:04.307	1	1	3660545	4
20220105--9053744147621382031	0	33912	2022-01-05 14:36:58.217	1	1	7188202	2
20220105-8098610645693154946	0	27956	2022-01-05 02:49:07.913	5	5	1042396	3
20220105-499366334972795642	-1	39093	2022-01-05 02:37:26.678	4	4	3591121	4
20220105-7220688199187606060	-1	15624	2022-01-05 18:58:41.475	2	2	2824105	3
20220105-6181414729754705271	-1	25717	2022-01-05 22:12:17.306	2	2	3279275	1
20220105--8661912080282114985	1	12186	2022-01-05 03:53:09.120	1	1	3539643	4
20220105-6314067834003549829	1	8898	2022-01-05 15:39:30.255	12	3	2067573	2
20220105-2550352889153551858	1	38511	2022-01-05 20:16:55.488	5	5	4852111	2
20220105-6543138292567119331	1	33203	2022-01-05 01:01:21.252	5	5	9399024	4
20220105-6368782128727195001	0	3550	2022-01-05 01:56:45.316	48	3	3395459	4
20220105--4367091860076699168	0	17408	2022-01-05 19:48:31.979	4	4	3767650	2
20220105--8596654594069314211	-1	21488	2022-01-05 14:51:36.695	5	5	2126361	4
20220105--7827681662154376867	0	20871	2022-01-05 10:57:47.643	2	2	7691488	3
20220105-2482348609182807096	1	5357	2022-01-05 04:48:46.911	79	3	3896072	4
20220105-4143393917261950164	-1	7527	2022-01-05 07:18:53.109	4	4	2958921	3
20220105-7403566652394797045	1	10821	2022-01-05 12:01:24.274	1	1	8703270	4
20220105--672801619728388786	-1	20390	2022-01-05 06:05:02.576	5	5	607792	3
20220105--913529728334573482	-1	28442	2022-01-05 16:47:40.084	5	5	3759285	1
20220105--454026936333809430	1	8965	2022-01-05 14:49:39.884	4	4	7038066	4
20220105--6992183809754814483	0	15196	2022-01-05 20:34:43.941	60	3	1193451	4
20220105--6550491970651664598	-1	231	2022-01-05 16:00:56.241	5	5	5602505	4
20220105--4160614010389002277	1	4292	2022-01-05 18:41:03.209	52	3	8505926	1
20220105-2454927776502261360	1	5339	2022-01-05 18:11:53.559	45	3	9553950	4
20220105-2074228819554095617	0	22879	2022-01-05 09:52:42.983	1	1	2286541	2
20220105--222312128311551177	1	12274	2022-01-05 20:29:52.113	30	3	3473041	4
20220105--3635356007886414879	1	5637	2022-01-05 17:52:09.538	1	1	6933795	4
20220105--6632603761537357847	-1	6630	2022-01-05 02:41:50.047	5	5	5004873	1
20220105--6090242724547175229	0	5373	2022-01-05 20:58:24.593	23	3	7132323	3
20220105--1027986329750022124	1	6929	2022-01-05 00:51:47.214	4	4	8206910	3
20220105--2569690629159176221	1	38714	2022-01-05 00:54:47.461	5	5	874204	1
20220105--4887319602615306765	1	13139	2022-01-05 22:51:05.418	5	5	1513438	4
20220105-1149423631221765884	1	38444	2022-01-05 06:25:03.334	2	2	758554	2
20220105-228385238373513960	1	23408	2022-01-05 21:00:35.986	1	1	7959332	2
20220105-3074412525226742752	-1	13793	2022-01-05 00:21:30.747	5	5	5897898	3
20220105--5230886859592922656	1	24067	2022-01-05 10:03:31.801	4	4	1433145	3
20220105--5787026370274964371	1	33578	2022-01-05 07:16:55.649	89	3	2142615	2
20220105-156742584805266947	0	27527	2022-01-05 13:03:28.642	2	2	8630389	4
20220105-4695206792850951881	1	17835	2022-01-05 19:57:52.514	83	3	4205580	4
20220105--7699681052354581565	-1	7173	2022-01-05 03:58:39.155	4	4	4824428	4
20220105-7612991989420541638	1	35031	2022-01-05 08:09:25.317	4	4	7122920	3
20220105-5632411279554980387	1	10469	2022-01-05 14:20:34.493	2	2	9996181	4
20220105-6861563606768662601	1	10280	2022-01-05 11:04:03.804	50	3	9021377	1
20220105-2914557761498706119	0	12518	2022-01-05 22:20:54.309	2	2	7998100	1
20220105--1254271158451439420	0	12128	2022-01-05 22:18:47.316	1	1	6464662	2
20220105-1351351912103878434	1	39056	2022-01-05 22:11:08.180	5	5	3578420	3
20220105--6445722682193258570	1	2153	2022-01-05 21:02:07.756	5	5	6628512	2
20220105-7667838115391209014	0	14046	2022-01-05 00:32:48.122	4	4	5615810	3
20220105-1585047438971298196	-1	18423	2022-01-05 21:27:16.160	14	3	8307706	3
20220105-7877590105397487729	-1	485	2022-01-05 11:06:45.549	2	2	1839951	2
20220105-272228897651002658	1	30460	2022-01-05 18:10:38.904	1	1	436089	4
20220105-3520776565191527265	1	5858	2022-01-05 05:13:12.908	2	2	2444225	1
20220105-5637447369916473065	0	33763	2022-01-05 14:02:17.631	22	3	6726565	1
20220105--8558651134029690573	0	20508	2022-01-05 01:07:07.676	5	5	7427220	1
20220105-5822112863443668837	-1	19547	2022-01-05 07:46:25.405	66	3	4067401	4
20220105-4259520336342480449	-1	16652	2022-01-05 07:01:54.999	1	1	4165240	1
20220105-290448945390072314	0	29520	2022-01-05 02:41:38.716	92	3	3816686	1
20220105-3293255410414934883	-1	18275	2022-01-05 02:51:34.918	4	4	5592836	3
20220105-4232455696811617636	0	29143	2022-01-05 08:08:22.456	1	1	6231690	3
20220105-1994093067199637533	-1	26492	2022-01-05 21:16:30.517	2	2	3518427	1
20220105-3653169634145877159	-1	1644	2022-01-05 14:53:31.345	1	1	6916612	1
20220105--2637765656026847451	-1	39252	2022-01-05 02:26:07.579	1	1	8467505	3
20220105--4174866556797385629	-1	15355	2022-01-05 11:59:06.120	1	1	1981453	1
20220105-3659112199571900758	-1	4294	2022-01-05 08:50:07.348	1	1	8162831	1
20220105-1664643867407260088	-1	23196	2022-01-05 14:16:38.468	2	2	1617465	1
20220105-3660912222638574512	1	5516	2022-01-05 08:33:18.101	2	2	1997511	4
20220105--6392254875663510541	0	4753	2022-01-05 01:49:23.027	5	5	7335332	4
20220105-5047269828194645875	0	1198	2022-01-05 11:37:50.313	34	3	99392	1
20220105--1775253767340354028	0	3516	2022-01-05 04:33:12.728	2	2	4716915	1
20220105-8505652310973189360	0	8543	2022-01-05 15:40:08.639	2	2	2137345	4
20220105--7413537016180788474	-1	23865	2022-01-05 10:22:40.980	19	3	6056720	2
20220105-7927825990433293312	0	39215	2022-01-05 13:50:28.307	94	3	7841851	4
20220105-8678269882715737809	0	20605	2022-01-05 08:53:53.074	4	4	5761183	2
20220105-26661024066068051	-1	27376	2022-01-05 22:15:56.120	1	1	6270109	2
20220105-5360368625338640675	1	27516	2022-01-05 18:06:44.618	4	4	1386646	3
20220105-3270806084381037989	-1	11139	2022-01-05 06:55:08.727	56	3	1036491	3
20220105-2795499877601501349	1	15375	2022-01-05 22:41:51.136	5	5	2454634	3
20220105--1814012594506363436	1	32978	2022-01-05 06:02:26.199	98	3	4652333	4
20220105-3954772127086073420	-1	19656	2022-01-05 14:50:27.621	96	3	5332406	1
20220105--2073064519493759654	0	21931	2022-01-05 20:58:50.952	2	2	7001545	3
20220105--3982589808064351852	-1	12576	2022-01-05 13:06:26.622	2	2	5967153	1
20220105-2804341181656047075	1	15426	2022-01-05 03:00:24.063	2	2	4466089	4
20220105-3226258857181037337	1	27698	2022-01-05 18:03:37.340	15	3	8040827	2
20220105--2652759904981932455	0	18422	2022-01-05 16:32:33.219	5	5	4444039	3
20220105-7478288922240056703	0	4566	2022-01-05 22:09:58.608	2	2	2500886	3
20220105-482876812235382591	0	3861	2022-01-05 03:31:05.812	1	1	6737394	3
20220105--8146674761409962621	0	21790	2022-01-05 22:35:56.668	5	5	2784650	1
20220105-3822586476845160627	0	14075	2022-01-05 07:05:02.375	5	5	8277560	4
20220105-4259231655410876848	1	7840	2022-01-05 04:43:56.008	1	1	8324390	2
20220105-4849836152753181053	-1	37553	2022-01-05 16:49:24.463	2	2	6436258	4
20220105-8954774510362630415	-1	12549	2022-01-05 00:14:17.433	4	4	5986966	1
20220105-4371257686289558978	1	19885	2022-01-05 01:58:28.107	4	4	4885296	3
20220105-5543066161009249808	-1	4975	2022-01-05 00:10:23.698	5	5	9358965	2
20220105-3714550137231643009	0	24084	2022-01-05 02:23:17.636	2	2	6188650	2
20220105--9094288534939945709	0	38843	2022-01-05 11:46:55.383	5	5	5161249	3
20220105-4268393034080965943	1	39272	2022-01-05 00:45:55.793	1	1	2026508	1
20220105--6150238533532243668	1	9976	2022-01-05 16:35:17.794	5	5	2250885	3
20220105-6711767709591552550	-1	8068	2022-01-05 18:39:36.944	60	3	9441984	2
20220105-500247110898346350	1	4905	2022-01-05 01:08:03.537	4	4	7138560	2
20220105--4052073314871804872	-1	22946	2022-01-05 08:47:32.752	4	4	1005181	1
20220105--4143035944450340712	0	35756	2022-01-05 14:23:46.334	5	5	2693481	4
20220105-7174228622375496981	-1	11060	2022-01-05 02:40:49.719	1	1	8551651	4
20220105--2516906640511088735	0	3874	2022-01-05 06:44:48.294	2	2	7374910	4
20220105-6697255497793251175	-1	13486	2022-01-05 14:23:32.972	2	2	1145498	3
20220105-7912551324530371770	0	30075	2022-01-05 22:38:56.191	20	3	5682366	4
20220105--4838960222325843070	0	13765	2022-01-05 15:12:07.979	85	3	1320389	2
20220105-1054227798406092821	-1	10031	2022-01-05 12:34:40.197	79	3	7647899	4
20220105-9096312332194534876	0	7951	2022-01-05 07:05:41.369	85	3	5775422	3
20220105--683665568737042987	0	27597	2022-01-05 18:26:34.030	61	3	9938030	4
20220105--3671372711230819748	-1	26291	2022-01-05 16:30:40.175	107	3	2981076	2
20220105-6472573452181930024	-1	27838	2022-01-05 05:29:33.704	2	2	1336012	1
20220105--6936919140569522506	0	25078	2022-01-05 00:51:38.675	4	4	9193922	4
20220105--6132006999209599924	-1	7283	2022-01-05 20:08:35.595	5	5	4812041	4
20220105--7509522234441213710	-1	34511	2022-01-05 03:33:53.359	1	1	5889258	2
