transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220106--4105472609858843625	0	34716	2022-01-06 15:31:02.611	107	3	7138164	1
20220106--1837180798574410088	1	32067	2022-01-06 08:15:13.709	54	3	2541778	2
20220106--6389177505333483888	0	7141	2022-01-06 04:17:21.687	1	1	1734913	3
20220106-7519321660965629743	1	33739	2022-01-06 19:01:09.206	5	5	9286406	1
20220106-6135389358012870111	1	865	2022-01-06 22:39:47.159	5	5	3540702	2
20220106--4033897768693961757	-1	16235	2022-01-06 23:25:45.204	2	2	2881366	3
20220106--423823161832299711	-1	25325	2022-01-06 00:37:23.016	2	2	8749139	1
20220106--5121162346225813748	1	15876	2022-01-06 19:10:05.913	4	4	6475800	1
20220106-4644355118181061600	1	25688	2022-01-06 07:29:43.433	2	2	5702131	2
20220106--7721385219507810353	-1	31512	2022-01-06 08:33:06.503	2	2	8461660	1
20220106--4858477169605242836	-1	13130	2022-01-06 07:03:00.298	1	1	682810	2
20220106-5116629249649679102	1	24496	2022-01-06 12:42:22.648	61	3	7168151	4
20220106--8575103540891130733	0	38187	2022-01-06 01:39:57.489	1	1	1825864	1
20220106-5208049240718890360	-1	3340	2022-01-06 06:35:51.549	11	3	6000877	4
20220106-7069720860330098105	1	22999	2022-01-06 17:59:36.677	64	3	3035035	3
20220106--8923083652127573550	1	35684	2022-01-06 12:13:32.916	10	3	7573145	4
20220106--7186417837232343705	0	21736	2022-01-06 21:57:51.578	2	2	6161875	3
20220106--1511927835020733079	0	5825	2022-01-06 08:37:43.891	2	2	6967102	2
20220106--7503593867189697036	0	20423	2022-01-06 15:24:24.021	2	2	920187	3
20220106-7710451088372627573	0	12395	2022-01-06 20:49:25.691	60	3	9132321	1
20220106--3498105435005672570	1	10363	2022-01-06 05:02:30.100	1	1	6932568	4
20220106-5291299360673273026	1	19676	2022-01-06 18:30:36.516	100	3	9228747	4
20220106--6619843394587372641	1	2914	2022-01-06 15:26:17.675	2	2	232311	1
20220106--1398418505149397675	-1	38737	2022-01-06 14:00:08.851	2	2	6413747	2
20220106--4099744778108655263	0	18438	2022-01-06 11:02:36.949	2	2	1609095	4
20220106-9181008600424058699	1	37375	2022-01-06 15:28:33.857	90	3	8113695	3
