transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220108--9071443260832162648	0	26358	2022-01-08 22:38:56.522	5	5	1366968	4
20220108-6551238198630811199	1	17085	2022-01-08 07:20:21.215	5	5	7570472	2
20220108-4038446480043081461	-1	19002	2022-01-08 03:54:53.545	1	1	9843420	1
20220108--6257485474271501997	0	24619	2022-01-08 07:13:35.218	4	4	6532376	2
20220108-6385784395782351443	-1	22456	2022-01-08 18:21:49.878	1	1	5926982	1
20220108-8533559787861061921	-1	21341	2022-01-08 23:43:15.560	2	2	3314214	3
20220108--8383495923020422384	1	29717	2022-01-08 00:19:06.969	2	2	1177698	1
20220108--211373570286804000	1	34629	2022-01-08 10:49:12.597	4	4	9406715	1
20220108--1319546852498323065	0	2279	2022-01-08 18:50:38.554	4	4	2801753	3
20220108--9091000351187305718	0	2697	2022-01-08 05:15:05.864	1	1	8329692	4
20220108--3706612398125603950	0	10358	2022-01-08 11:50:43.896	4	4	8101465	4
20220108-3957692452483703066	0	22625	2022-01-08 04:51:38.100	46	3	7941456	3
20220108-7246229633552191227	-1	29338	2022-01-08 00:38:28.702	22	3	9452527	1
20220108-3728791616482555155	0	32914	2022-01-08 03:49:10.679	1	1	4074346	4
20220108--9148462535648318294	-1	36882	2022-01-08 00:03:59.255	4	4	4395442	2
20220108--4097169275955355271	1	33270	2022-01-08 11:57:26.635	1	1	2723083	1
20220108-7823885208403527804	-1	2614	2022-01-08 06:02:45.264	5	5	5157371	4
20220108-5140535225158101263	0	38863	2022-01-08 21:20:17.218	86	3	8584858	1
20220108--3344082541867674237	0	38697	2022-01-08 07:55:33.599	1	1	6459311	2
20220108--2250815947838188951	1	23438	2022-01-08 18:15:52.523	18	3	8681580	1
20220108--4960892126806352802	1	28558	2022-01-08 00:40:48.156	61	3	1252349	4
20220108-9027026835897954140	1	27042	2022-01-08 14:31:43.007	2	2	9635370	4
20220108-4623285508317834539	-1	23324	2022-01-08 20:17:18.823	5	5	2944874	1
20220108-2022738710267266541	0	22027	2022-01-08 11:30:14.057	1	1	8651473	4
20220108--1207838849020253988	0	39785	2022-01-08 15:25:02.507	2	2	3510563	2
20220108-2479823352966373665	0	1842	2022-01-08 08:47:07.097	2	2	2630332	1
20220108--2054324672501157213	-1	38671	2022-01-08 09:55:06.452	4	4	2101814	3
20220108--6765417721550979432	0	19682	2022-01-08 02:57:20.094	46	3	3349516	4
20220108--1082572344522279986	1	20381	2022-01-08 14:52:03.023	1	1	9891530	4
20220108--4656039798168725871	0	38302	2022-01-08 11:04:22.419	4	4	5931220	2
20220108--957584331414068468	1	27298	2022-01-08 00:56:27.703	4	4	2349698	2
20220108--3755576487745364536	0	35777	2022-01-08 17:21:42.383	5	5	7793564	4
20220108-8895601385100712222	1	33560	2022-01-08 14:25:02.876	86	3	96227	1
20220108-6569191393612005546	-1	25158	2022-01-08 23:38:41.073	88	3	5369602	4
20220108--1093734912081598328	1	34994	2022-01-08 18:10:33.768	4	4	6179949	2
20220108--6601302355731401024	1	38712	2022-01-08 00:04:21.279	4	4	2727668	1
20220108-236893400886182875	0	15209	2022-01-08 00:32:56.586	1	1	8393302	2
20220108--4945157924347402419	0	13165	2022-01-08 13:35:27.610	2	2	8533201	2
20220108-5626352527106310670	1	17929	2022-01-08 10:57:25.479	2	2	9124164	1
20220108--8864328233767677448	0	19050	2022-01-08 20:57:32.585	2	2	6218543	2
20220108-2164610056295865873	0	33457	2022-01-08 06:45:25.272	5	5	7118296	3
20220108-1284167899666777994	-1	21667	2022-01-08 22:46:38.739	67	3	1998734	2
20220108--1604273645822962187	1	15786	2022-01-08 12:58:21.955	1	1	7870409	4
20220108--189342182443100307	0	15142	2022-01-08 17:50:19.765	5	5	7374635	2
20220108--5076402112723539896	-1	25041	2022-01-08 20:14:01.695	80	3	597882	4
20220108-1709400314417540554	0	32955	2022-01-08 18:28:41.315	4	4	8906483	3
20220108--377134812289740715	-1	36168	2022-01-08 03:14:16.073	26	3	3364272	3
20220108-6900049865287505519	1	17211	2022-01-08 05:29:04.631	2	2	5868069	1
20220108--4478993773986079432	0	35206	2022-01-08 18:51:30.662	4	4	5915583	3
20220108--3634006333414649730	0	30767	2022-01-08 04:04:35.162	43	3	9229257	3
20220108--970014433808639611	0	28499	2022-01-08 22:03:12.525	98	3	272930	1
20220108--1971256072410051104	-1	3770	2022-01-08 22:50:55.469	2	2	3706236	1
20220108-7755468400517820512	-1	30924	2022-01-08 22:17:09.240	2	2	1933216	4
20220108-833680204977205164	-1	9412	2022-01-08 22:14:39.370	2	2	1049206	4
20220108-6819423659023225514	1	19122	2022-01-08 15:16:38.588	2	2	7387913	2
20220108--7314711036754292124	0	15543	2022-01-08 12:52:46.853	36	3	3706878	3
20220108--2756228454618230733	0	8376	2022-01-08 21:45:46.536	4	4	833018	2
20220108--5313511947115959327	-1	30099	2022-01-08 15:29:33.906	5	5	3584940	3
20220108-1563609475705986743	0	17667	2022-01-08 12:41:49.090	4	4	201190	3
20220108--8770971333957098956	0	7002	2022-01-08 23:42:42.739	1	1	612010	4
20220108-1700600191993829960	-1	668	2022-01-08 01:40:33.222	4	4	3555675	4
20220108--414979817569024519	1	19205	2022-01-08 17:07:20.250	4	4	7576018	3
20220108-6220004431900048356	-1	14384	2022-01-08 12:15:45.976	64	3	4374616	1
20220108--983029994823447912	-1	18544	2022-01-08 07:52:02.995	4	4	4613930	2
20220108--7468035987066572619	-1	9673	2022-01-08 02:19:19.581	5	5	8335175	1
20220108-1662634062618623606	1	23694	2022-01-08 03:15:29.616	1	1	1513727	2
20220108-1177582433831566176	0	22035	2022-01-08 16:32:56.575	1	1	8283970	1
20220108-1193282548107254042	0	22481	2022-01-08 01:58:02.878	1	1	6514109	3
20220108--68913281802932852	0	33086	2022-01-08 01:23:44.214	4	4	1396272	2
20220108-733245648608044991	-1	5165	2022-01-08 09:30:39.905	77	3	82496	3
20220108-7791719082935967263	-1	5933	2022-01-08 14:29:30.292	89	3	5869175	1
20220108-5207405122302936846	0	21093	2022-01-08 18:38:17.083	57	3	4706264	3
20220108--1445805411671151976	0	39435	2022-01-08 23:27:12.834	2	2	1467411	3
20220108-871421290521225974	1	22842	2022-01-08 05:20:06.751	4	4	4345376	3
20220108-4805969302209303212	-1	23796	2022-01-08 05:36:03.898	5	5	981927	4
20220108--4367842074976005902	1	38402	2022-01-08 07:04:22.334	4	4	8855919	3
20220108-6304968205657697008	1	2689	2022-01-08 05:43:35.158	4	4	1934379	3
20220108--3542501790789838543	1	21081	2022-01-08 14:27:19.357	4	4	8473602	4
20220108--7801855020930665462	0	37838	2022-01-08 07:19:16.183	2	2	9789701	1
20220108--6520419059300047990	-1	10305	2022-01-08 07:14:09.012	1	1	1320980	1
20220108-4669199409327220925	-1	16656	2022-01-08 07:34:40.214	4	4	2952202	4
20220108-7250536036748314537	0	39537	2022-01-08 05:28:36.921	93	3	6830181	1
20220108-8967731001740254216	0	18015	2022-01-08 18:19:05.276	4	4	9517382	1
20220108-4171173123229954475	-1	28057	2022-01-08 12:23:56.867	5	5	7386473	3
20220108-7976768233172570283	1	26276	2022-01-08 06:23:01.826	4	4	6925163	4
20220108-2899208529937341246	-1	8147	2022-01-08 01:14:52.812	83	3	3018128	1
20220108-7612655699269676883	0	13312	2022-01-08 10:03:46.795	4	4	3250947	1
20220108-1037197265514746726	1	20021	2022-01-08 09:10:34.438	2	2	1626080	3
20220108--8337503905110407222	1	14512	2022-01-08 19:15:23.881	42	3	3679989	3
20220108--763424132226492424	-1	2203	2022-01-08 03:26:56.670	50	3	2147117	4
20220108-5622121723346756795	-1	5610	2022-01-08 21:52:43.212	70	3	2922900	2
20220108-1840034786927133278	-1	36314	2022-01-08 00:01:16.842	5	5	765118	3
20220108-8796444696099876356	0	24752	2022-01-08 16:07:05.054	78	3	1808344	2
20220108-2973416742463491693	1	18820	2022-01-08 05:52:52.971	61	3	7222461	3
20220108-3800695452605350751	0	7154	2022-01-08 06:09:03.166	4	4	2342996	3
20220108--1811454185590860901	-1	4986	2022-01-08 21:38:17.894	106	3	56862	3
20220108--1710051201177901450	1	2953	2022-01-08 09:45:06.625	4	4	7391603	3
20220108-8329968527366748630	1	32277	2022-01-08 02:02:38.421	5	5	8065084	2
20220108--3532656086857364555	0	730	2022-01-08 13:26:51.064	56	3	6438369	2
20220108-8203739695871229283	-1	11999	2022-01-08 21:05:17.082	2	2	463981	2
20220108-4254429765407810436	0	15996	2022-01-08 09:31:03.064	4	4	389597	3
20220108-7621262016625678075	1	17777	2022-01-08 18:05:31.508	55	3	1329355	3
20220108-7253293387724132390	-1	38304	2022-01-08 12:20:46.909	2	2	2471139	3
20220108--8121818762397529866	-1	26060	2022-01-08 18:14:59.961	5	5	6885448	3
20220108--2080752388732235067	0	14590	2022-01-08 03:33:09.048	1	1	3704267	4
20220108--8251568338572493514	1	38079	2022-01-08 05:56:18.418	59	3	1276415	4
20220108--2967810225708085111	1	18346	2022-01-08 08:37:50.706	5	5	6884842	4
20220108--6702660928328654265	-1	29368	2022-01-08 07:16:05.056	77	3	576165	2
20220108--1205383512224503937	1	4300	2022-01-08 15:28:27.734	2	2	315687	1
20220108-1024401430441729147	0	3531	2022-01-08 04:57:42.103	66	3	768758	1
20220108-6774654497235440260	-1	9588	2022-01-08 12:04:38.899	1	1	499662	2
20220108--9107922087283281407	-1	21707	2022-01-08 13:14:19.696	4	4	5357199	4
20220108--5763967063344315832	1	15817	2022-01-08 04:19:33.978	4	4	7501266	1
20220108--7665849473558591946	0	30602	2022-01-08 10:16:40.298	2	2	9097793	4
20220108-434249239310011056	1	33867	2022-01-08 08:22:22.634	5	5	8271339	1
20220108--4737427400790503261	-1	14535	2022-01-08 05:01:49.217	2	2	6690720	1
20220108--6104468726269462620	1	23115	2022-01-08 05:20:56.096	64	3	6207096	2
20220108-1839458935726053394	-1	19504	2022-01-08 01:34:10.582	84	3	804949	2
20220108--3457066349071988568	-1	35380	2022-01-08 10:17:35.995	10	3	98026	4
20220108--1882161453806964001	1	36216	2022-01-08 17:31:14.208	1	1	9667372	4
20220108-3970333647672102349	0	6556	2022-01-08 11:19:35.385	96	3	2787014	3
20220108--3472364414080238803	0	27763	2022-01-08 07:34:03.350	4	4	3351405	4
20220108--8482771465608684823	1	34063	2022-01-08 21:36:48.409	2	2	4034194	3
20220108-2214684988209425237	-1	38360	2022-01-08 21:06:16.645	1	1	5854026	3
20220108-7352629321620955130	1	37923	2022-01-08 17:32:00.057	1	1	4524640	3
20220108--6741525071969326525	0	7430	2022-01-08 19:11:51.150	4	4	9751872	2
20220108-6686666392487960792	1	25282	2022-01-08 06:04:38.103	2	2	9386373	4
20220108-9061502971602172247	0	31117	2022-01-08 20:04:34.378	4	4	5191386	4
20220108-9199650806627601150	1	10512	2022-01-08 02:26:26.860	1	1	6284210	1
20220108--9029580226581994852	0	17622	2022-01-08 23:56:19.210	4	4	2561904	1
20220108--8001379297768922589	1	37953	2022-01-08 03:36:07.430	89	3	4209817	3
20220108--205668787274641000	-1	18637	2022-01-08 20:35:27.420	5	5	602686	4
20220108--9163024657269207547	1	22536	2022-01-08 08:31:55.838	37	3	8031148	3
20220108--2440863096905575345	-1	719	2022-01-08 13:30:49.094	5	5	68692	3
20220108-4769108288061017326	0	15040	2022-01-08 23:00:06.424	2	2	5273825	1
20220108-2245997242655791958	0	5117	2022-01-08 18:00:12.178	84	3	6609419	4
