transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220110--5742467821784930436	0	28308	2022-01-10 00:41:33.560	67	3	5078077	4
20220110--944247512159318156	1	21457	2022-01-10 06:40:48.231	98	3	8597132	2
20220110-8511067409988344811	1	22795	2022-01-10 12:39:26.983	23	3	8945746	4
20220110--7101643421574810650	-1	37519	2022-01-10 04:57:00.176	103	3	5233832	2
20220110--2537523593658856456	1	5815	2022-01-10 21:22:22.298	77	3	3770884	1
20220110-3777008414118582191	0	13731	2022-01-10 21:36:07.904	2	2	6323956	4
20220110-7952730362812325917	1	8556	2022-01-10 14:43:40.482	52	3	1778715	1
20220110-2342054318665975520	0	4467	2022-01-10 17:46:54.078	4	4	5610220	4
20220110-7775526592828769514	-1	21554	2022-01-10 22:09:23.855	4	4	8026801	3
20220110-8014162843591979907	1	35859	2022-01-10 22:06:05.305	5	5	1394958	1
20220110-9054332948378503214	0	24238	2022-01-10 01:05:49.458	84	3	7210404	4
20220110--546554410956835507	0	131	2022-01-10 18:59:35.002	2	2	854367	1
20220110-3202043734198805733	1	18797	2022-01-10 03:00:01.964	4	4	5346555	3
20220110-2022038393260868404	1	14121	2022-01-10 04:06:17.484	2	2	6368399	3
20220110-5818917206084911065	0	36387	2022-01-10 11:07:02.221	2	2	1844212	2
20220110-3238179322538323114	1	25612	2022-01-10 11:58:15.658	42	3	132998	1
20220110--4037031982735150893	-1	37701	2022-01-10 00:51:23.329	5	5	9445488	4
20220110--3810453369885509710	0	5670	2022-01-10 12:58:47.992	1	1	1048341	1
20220110--3154954515299871876	0	32201	2022-01-10 15:56:06.069	5	5	751882	1
20220110--6827085379121465573	1	28872	2022-01-10 00:04:42.011	5	5	7359291	3
20220110-4789213013302084849	1	19212	2022-01-10 23:40:33.753	5	5	9971124	3
20220110--6385968119909546448	1	11512	2022-01-10 05:06:05.371	2	2	2400430	3
20220110--3041046182275603522	-1	17415	2022-01-10 16:16:40.037	2	2	2512025	3
20220110-7142062622162319154	0	22654	2022-01-10 21:46:09.785	69	3	2253612	1
20220110-638597304997885719	0	8530	2022-01-10 11:55:18.224	1	1	9513703	1
20220110--8815442686938847083	0	13257	2022-01-10 14:02:56.745	2	2	8923344	4
20220110--9098067534129492360	1	3028	2022-01-10 09:55:27.091	35	3	6751202	4
20220110--1560475902289569685	0	28760	2022-01-10 00:40:01.133	4	4	6114994	1
20220110-3231048637604783623	-1	12504	2022-01-10 11:51:43.800	11	3	8818640	2
20220110-930959594125460290	-1	9650	2022-01-10 21:05:45.365	5	5	3045022	2
20220110-3136532981024175995	0	19387	2022-01-10 09:03:09.115	5	5	5534027	3
20220110--7015892693900718762	1	27720	2022-01-10 22:49:41.975	5	5	9622574	2
20220110--2058292566204695267	-1	12353	2022-01-10 06:52:56.684	1	1	4484060	2
20220110-6865289317848113799	1	9068	2022-01-10 20:10:53.576	2	2	6349888	2
20220110--316496380429104386	-1	36675	2022-01-10 15:07:58.986	4	4	9042547	1
20220110--4386928390030353322	1	12445	2022-01-10 17:39:26.850	1	1	4624457	3
20220110--8991622308529400032	-1	32819	2022-01-10 09:21:39.192	4	4	543744	4
20220110--2814254944502094238	1	13865	2022-01-10 09:28:24.876	5	5	5925785	2
20220110--3005799475868432082	1	5398	2022-01-10 16:29:24.317	91	3	560585	1
20220110--5419540420341848128	-1	14799	2022-01-10 16:59:25.461	4	4	3656642	4
20220110--9020435605646821185	0	23868	2022-01-10 00:46:32.851	1	1	6682330	3
20220110-5889291009413782575	1	17130	2022-01-10 03:43:31.050	4	4	9063429	3
20220110-8794082966503658845	0	1651	2022-01-10 20:34:03.536	4	4	9703546	4
20220110-6439190070592821951	0	7397	2022-01-10 05:33:38.485	5	5	136425	1
20220110-7264843264517305498	-1	1498	2022-01-10 08:20:43.520	16	3	5484110	3
20220110-2916145874528999453	0	22174	2022-01-10 00:16:58.608	63	3	9702704	2
20220110-9113028169319952377	0	11666	2022-01-10 19:19:42.723	2	2	9686847	3
20220110--8506176936848077264	1	34432	2022-01-10 00:23:15.629	5	5	1364791	4
20220110--4478916975601607997	0	23338	2022-01-10 19:31:01.585	2	2	5045474	4
20220110--5758302801255045182	-1	15324	2022-01-10 22:01:37.306	2	2	1998949	2
20220110--6994235402181304891	1	6672	2022-01-10 14:09:44.903	1	1	5480574	2
20220110--4680615000216543346	-1	18515	2022-01-10 03:54:33.844	5	5	9522430	2
20220110--6385637247421152542	-1	18502	2022-01-10 09:16:32.442	4	4	9112225	4
20220110-2781941061785901842	0	25840	2022-01-10 15:40:33.170	108	3	2112059	3
20220110--5893759399350638064	-1	1180	2022-01-10 00:02:19.912	4	4	3647130	3
20220110--2816589932806175264	-1	27678	2022-01-10 07:41:51.682	4	4	5154063	3
20220110--2546545043824580257	-1	13870	2022-01-10 23:31:09.423	106	3	7867691	2
20220110-750328986123194199	1	29453	2022-01-10 09:47:38.443	4	4	8781755	1
20220110--8391645343048117290	1	8726	2022-01-10 03:47:13.238	2	2	2634010	3
20220110--2437549549749763498	1	11316	2022-01-10 02:34:19.062	5	5	8429531	3
20220110-390828489923580179	0	11929	2022-01-10 14:21:11.479	1	1	3785747	1
20220110-8695829125990343201	0	27091	2022-01-10 06:30:36.579	5	5	4159132	3
20220110-1482380588665155422	-1	10513	2022-01-10 20:46:40.779	2	2	9394635	4
20220110-3585689205336045082	1	25570	2022-01-10 18:37:24.780	42	3	2309324	1
20220110-4141377619333997071	1	5378	2022-01-10 15:32:57.512	2	2	789757	4
20220110-4700787304685580899	-1	18545	2022-01-10 03:44:56.230	46	3	7404695	3
20220110-8185720902795166475	1	5418	2022-01-10 17:33:53.563	2	2	9424903	2
20220110-7344933034483305101	-1	8930	2022-01-10 15:10:18.922	2	2	2980182	4
20220110-6992624717031587288	-1	18960	2022-01-10 03:41:19.401	5	5	9652211	2
20220110-8697568703938302992	1	14576	2022-01-10 09:10:21.119	51	3	8578887	1
20220110-3957134229717523401	1	38391	2022-01-10 03:47:33.592	1	1	4356758	2
20220110-1680782179862577050	-1	26015	2022-01-10 02:23:40.695	1	1	2593540	4
20220110--6157413557927499379	-1	14951	2022-01-10 06:15:44.604	95	3	9075578	4
20220110--4139407110646615699	-1	24567	2022-01-10 18:49:19.470	4	4	2424584	1
20220110--3780325773840959947	0	12543	2022-01-10 19:24:08.593	5	5	9757882	3
20220110-3397895450968320524	-1	1601	2022-01-10 10:40:23.582	39	3	989050	4
20220110--1078076311660366776	0	3617	2022-01-10 08:19:53.555	4	4	5489910	1
20220110-4279767227791007168	0	37382	2022-01-10 23:55:59.950	25	3	7142110	4
