transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220111--5967540365756018576	1	22253	2022-01-11 05:15:44.428	2	2	7149451	1
20220111--8858332524381345988	-1	31207	2022-01-11 16:04:14.526	4	4	4062196	4
20220111--560922461573494943	1	11708	2022-01-11 10:45:14.513	104	3	4835352	3
20220111--2623500667906708278	1	28379	2022-01-11 05:26:31.473	2	2	1678296	2
20220111-155936648012450573	0	24330	2022-01-11 18:48:53.690	5	5	4346073	4
20220111-7188350686808659294	0	23272	2022-01-11 22:21:36.610	1	1	7598569	1
20220111-8311560666958851153	0	39262	2022-01-11 21:09:33.435	2	2	8445173	3
20220111-2953520067973160491	1	31523	2022-01-11 15:58:16.010	2	2	1019683	2
20220111-6540896734346586787	0	36020	2022-01-11 08:38:24.780	4	4	7484668	2
20220111--1865931151589349399	0	29047	2022-01-11 15:34:51.766	1	1	2787435	1
20220111--4685332586691022259	-1	29378	2022-01-11 11:52:46.501	2	2	8596633	3
20220111--2803646548183001383	-1	36216	2022-01-11 21:45:23.337	4	4	3511587	1
20220111--6972860080184348166	1	33433	2022-01-11 01:49:56.825	4	4	1144338	2
20220111--1128671633398428467	1	21940	2022-01-11 04:22:54.704	4	4	7343243	1
20220111--260176273786473869	1	2050	2022-01-11 19:10:26.484	5	5	1814913	3
20220111-4045927254715383205	-1	18577	2022-01-11 09:38:48.115	1	1	372098	4
20220111--2858346437113553933	0	35095	2022-01-11 06:13:15.521	4	4	9572206	4
20220111-1180273019221763551	-1	5093	2022-01-11 13:39:15.096	4	4	475233	1
20220111--1531909016398682405	0	20428	2022-01-11 00:13:32.741	1	1	1156405	4
20220111--4620409755170781500	-1	10214	2022-01-11 05:33:56.263	5	5	9607648	4
20220111--8124587998482786881	0	37577	2022-01-11 07:38:17.719	1	1	5273850	2
20220111-1959245585130232602	0	19344	2022-01-11 09:38:11.373	1	1	7808141	2
20220111-4341251267967129479	1	34324	2022-01-11 12:32:37.632	106	3	6891632	2
20220111-5911518671731482153	0	7535	2022-01-11 15:14:03.993	4	4	230735	1
20220111-7119434048588056196	-1	30133	2022-01-11 16:57:58.300	2	2	5410151	2
20220111-2695031256048154008	1	35321	2022-01-11 04:27:32.501	1	1	2417795	3
20220111-8461945814527470970	0	38939	2022-01-11 12:55:14.876	81	3	8132140	4
20220111-4329328479600986589	1	31554	2022-01-11 17:49:46.396	1	1	3230797	4
20220111-3746134821750061414	1	14068	2022-01-11 15:17:23.194	5	5	4444415	4
20220111-5895960052890032645	1	21506	2022-01-11 14:52:06.929	2	2	8377126	3
20220111-1490025214252726067	-1	9289	2022-01-11 14:50:32.679	5	5	1227178	4
20220111-4897251035770358003	1	36427	2022-01-11 06:05:24.746	4	4	9926904	3
20220111--5217926129744180468	1	18451	2022-01-11 16:03:15.605	1	1	8040743	4
20220111--5900103667150571190	1	7306	2022-01-11 00:34:02.133	5	5	2399637	3
20220111-863529578125368516	1	31969	2022-01-11 11:56:45.080	4	4	1770695	1
20220111--1289348552531085715	-1	27358	2022-01-11 00:32:34.784	4	4	6314521	4
20220111--7434353211480093070	-1	7721	2022-01-11 18:04:13.835	2	2	3208845	1
20220111--6246543152290553135	0	2887	2022-01-11 14:13:49.767	2	2	3253652	1
20220111-668948225690779109	-1	25845	2022-01-11 17:44:12.358	78	3	1108496	4
20220111-255691492449225199	0	4192	2022-01-11 14:52:23.089	5	5	9284612	3
20220111-630866469273754036	0	30444	2022-01-11 08:55:22.199	91	3	8943457	4
20220111-7321717341636539688	-1	15693	2022-01-11 12:34:44.756	77	3	699339	1
20220111-2625427468303156831	0	6130	2022-01-11 20:18:35.837	5	5	9102725	2
20220111--3708659690196711755	1	11233	2022-01-11 01:31:36.235	2	2	5607432	3
20220111--5184340604080401962	1	33644	2022-01-11 00:04:45.363	5	5	9417356	2
20220111--2599763657413999808	1	25008	2022-01-11 00:52:47.085	4	4	8325529	1
20220111--5844202595862091883	0	30115	2022-01-11 18:10:24.577	5	5	8571568	2
20220111-2740948017430436722	-1	23744	2022-01-11 17:47:16.389	4	4	9583148	1
20220111-2996799786596838527	0	23651	2022-01-11 07:15:54.408	5	5	8183033	4
20220111--132185422505128278	1	25475	2022-01-11 16:26:35.602	109	3	444709	2
20220111-7736660323982496648	1	4307	2022-01-11 07:25:50.775	71	3	1480983	1
20220111-3578872632921115627	0	8167	2022-01-11 03:44:27.692	5	5	7418862	3
20220111--2872306767421203752	-1	35123	2022-01-11 22:35:06.175	5	5	9219978	2
20220111--3437763168507381828	1	18905	2022-01-11 04:39:14.252	4	4	6652333	3
20220111--1011622295049830883	1	32569	2022-01-11 21:47:30.282	109	3	2093805	4
20220111-6594953141292933737	1	21475	2022-01-11 03:49:20.472	4	4	3904645	4
20220111--8946486881141302009	1	32076	2022-01-11 03:58:07.622	26	3	8461682	2
20220111-7312640267238727069	0	1744	2022-01-11 10:47:56.612	5	5	2213040	3
20220111-4199860064135568862	-1	18296	2022-01-11 06:53:26.613	1	1	7099521	2
20220111--2494401300620482017	0	4592	2022-01-11 18:45:14.073	2	2	7728430	3
20220111--8045850973101526208	-1	16116	2022-01-11 17:32:26.050	5	5	9679575	4
20220111--708939879571662281	0	2775	2022-01-11 14:20:26.290	1	1	202981	3
20220111-4047418182191117316	-1	33961	2022-01-11 09:03:54.948	4	4	1521762	2
20220111-2769303920064869039	0	23027	2022-01-11 18:03:11.925	2	2	9830349	1
20220111-6360010376851819334	0	9462	2022-01-11 16:03:55.942	103	3	3256261	3
20220111--2714307695167570822	0	5097	2022-01-11 01:05:07.746	2	2	7789100	1
20220111-8218617276052978118	0	15133	2022-01-11 11:31:39.805	2	2	5822862	3
20220111--5201149014220422073	-1	13216	2022-01-11 07:45:15.964	82	3	3436356	1
20220111-5455649935611350117	0	18246	2022-01-11 11:36:42.183	2	2	2030717	2
20220111-3618079738322068580	1	33799	2022-01-11 19:55:51.426	1	1	1343122	4
20220111-941488951826616883	1	31260	2022-01-11 23:11:13.206	1	1	7662371	4
20220111-6882266545591343363	0	28413	2022-01-11 11:51:49.128	57	3	1014941	3
20220111--2242195960279507378	-1	11706	2022-01-11 06:09:34.622	1	1	4015064	3
20220111--7937020985017184101	1	6085	2022-01-11 15:32:38.988	4	4	1805309	1
20220111--7712383351276065586	0	12643	2022-01-11 01:49:00.766	5	5	9528334	2
20220111-4768349311470022711	0	780	2022-01-11 11:03:01.302	51	3	9415234	2
20220111--5541544577592595327	-1	25757	2022-01-11 16:09:15.224	1	1	618732	2
20220111-3103264056847991396	0	39795	2022-01-11 02:40:47.328	69	3	9161431	1
20220111--102932312767053025	1	4783	2022-01-11 12:29:29.994	5	5	2611350	2
20220111-7653701028157824668	-1	16183	2022-01-11 18:17:34.517	67	3	5759893	1
20220111--8401233612148379153	1	24292	2022-01-11 23:24:04.472	1	1	582920	2
20220111--8104475937257225283	1	1880	2022-01-11 23:21:44.179	4	4	2302961	1
