transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220112--5712221153666657380	-1	37070	2022-01-12 12:38:55.835	94	3	411222	2
20220112--484431929312596709	1	12718	2022-01-12 05:08:28.080	5	5	6084429	2
20220112-6971412757887865077	0	20449	2022-01-12 05:19:36.485	1	1	4076223	4
20220112--6367511096459787824	1	16117	2022-01-12 21:39:47.097	95	3	3293040	3
20220112--7440625124232581323	0	36038	2022-01-12 04:29:40.150	5	5	5568853	3
20220112-733539476408004600	0	24324	2022-01-12 09:09:01.070	4	4	4072744	4
20220112-7735844358579960018	0	34262	2022-01-12 09:47:36.513	5	5	3864575	2
20220112--1497152550244681839	0	31999	2022-01-12 11:44:52.644	1	1	4494303	3
20220112--4430631013876976746	0	19593	2022-01-12 12:56:19.078	1	1	5616425	3
20220112--1740764279926278926	0	20419	2022-01-12 15:31:42.087	100	3	5297779	4
20220112-7465667046079245135	1	21622	2022-01-12 18:18:51.915	70	3	2023628	2
20220112-8977452164910530710	1	324	2022-01-12 19:50:08.501	5	5	4951506	3
20220112--961388859041330472	1	10845	2022-01-12 18:06:57.279	5	5	1474223	1
20220112-5900762916533167636	1	36554	2022-01-12 11:30:23.428	41	3	9225256	4
20220112-7532035382927771124	-1	31400	2022-01-12 06:22:33.993	2	2	9954292	4
20220112--5022358999182336248	1	3690	2022-01-12 06:31:09.548	26	3	495688	1
20220112--3954417373053729738	1	11418	2022-01-12 04:57:45.932	2	2	9803739	4
20220112-785733643913186158	0	29337	2022-01-12 09:18:07.554	1	1	1361218	1
20220112-2549159328929162546	-1	25022	2022-01-12 00:40:20.186	26	3	7280679	3
20220112--7422531182566235400	0	11473	2022-01-12 22:49:24.837	5	5	134488	3
20220112-1337081112308986274	1	27430	2022-01-12 00:02:01.961	96	3	7533439	2
20220112-4251480809934842049	1	6462	2022-01-12 10:55:14.217	5	5	3761888	2
20220112--7319455839722585684	-1	32566	2022-01-12 04:10:30.078	1	1	9938962	3
20220112-4336689101108878725	0	30331	2022-01-12 10:21:32.600	39	3	7818370	3
20220112-5475168320453119604	1	5233	2022-01-12 19:29:08.728	43	3	7085490	2
20220112-4404206632836509304	-1	1795	2022-01-12 22:00:13.482	4	4	9027447	4
20220112--6741401952961211780	0	21414	2022-01-12 02:32:33.859	5	5	1924411	1
20220112-4541014267528469307	1	16800	2022-01-12 02:44:36.177	11	3	4566902	2
20220112--5428614990439585809	1	17344	2022-01-12 17:10:26.050	4	4	1066014	2
20220112--3707694228260354502	1	37579	2022-01-12 07:38:23.388	1	1	6391822	3
20220112--1773908280666011312	-1	12512	2022-01-12 17:48:40.344	1	1	343133	4
20220112--7277453652711493277	0	18007	2022-01-12 19:42:51.944	5	5	5629718	2
20220112-8280218738973982356	-1	37334	2022-01-12 22:22:04.820	2	2	4907698	2
20220112-2217971101103913283	1	35628	2022-01-12 05:50:55.346	22	3	3602972	2
20220112-6837101683195412347	0	32584	2022-01-12 03:17:27.246	5	5	2482927	3
20220112--7007513085271594676	0	39745	2022-01-12 19:15:01.334	5	5	321206	4
20220112--9088773041476873715	-1	14432	2022-01-12 11:37:12.965	1	1	947293	4
20220112-1724539575774783256	-1	12017	2022-01-12 15:35:11.207	2	2	180031	2
20220112--4797001377001452257	0	4151	2022-01-12 16:57:50.228	86	3	7624025	2
20220112-477132035699461889	1	25930	2022-01-12 01:52:09.191	5	5	4557601	2
20220112--299060583102800085	0	31350	2022-01-12 02:09:39.953	1	1	8447781	2
20220112-8952464944727968411	-1	27790	2022-01-12 20:16:02.878	5	5	4813369	4
20220112-1775304086630558357	-1	38547	2022-01-12 04:20:31.265	1	1	7118445	1
20220112--4219090330459668219	-1	16055	2022-01-12 03:09:29.343	100	3	972513	1
20220112-218034464131763664	-1	15813	2022-01-12 22:18:46.377	1	1	7969002	3
20220112-912267140204063944	-1	39432	2022-01-12 23:52:02.118	1	1	3306119	3
20220112--4385093791736428253	0	14884	2022-01-12 00:32:32.485	4	4	1856061	1
20220112-3829252197860049078	0	15219	2022-01-12 17:29:51.238	4	4	8742406	2
20220112--4818140762424506207	1	9041	2022-01-12 09:42:35.230	5	5	6092696	3
20220112--5799965221720713266	1	13368	2022-01-12 09:49:36.077	31	3	867182	1
20220112--6991070873820262480	0	37012	2022-01-12 10:09:54.665	5	5	8875788	1
20220112-7833760104433706891	1	8093	2022-01-12 22:40:08.251	1	1	4508663	1
20220112--8656261141595768073	1	36128	2022-01-12 04:53:10.736	78	3	6974280	2
20220112--7813002285768095531	0	29402	2022-01-12 20:40:34.380	5	5	49787	4
20220112-2606214704754664248	1	10405	2022-01-12 19:09:31.541	4	4	2227765	1
20220112--8712624609303303635	-1	38912	2022-01-12 03:55:14.377	4	4	1910617	4
20220112-8940131801574896786	1	15140	2022-01-12 11:22:04.299	2	2	4931640	1
20220112-2416308616255853722	0	35846	2022-01-12 01:23:47.987	2	2	9990975	4
20220112--2515855419355127969	-1	36989	2022-01-12 05:56:27.139	1	1	1133671	3
20220112-561973912387723208	-1	24485	2022-01-12 11:20:02.105	5	5	7260302	4
20220112-1007086002665603037	-1	5701	2022-01-12 09:26:57.480	2	2	4741658	1
20220112-5647062599234767559	1	17961	2022-01-12 07:50:47.315	77	3	5516073	3
20220112--7273695993314499802	0	18805	2022-01-12 00:46:48.393	5	5	2080167	3
20220112--8363169312764407663	1	1628	2022-01-12 23:00:56.228	104	3	590020	4
20220112-6868089098089136667	-1	36138	2022-01-12 17:48:09.433	1	1	8522875	4
20220112--8961397493504243025	0	34817	2022-01-12 14:25:08.702	5	5	2589463	1
20220112-6524922511224384436	0	20895	2022-01-12 02:14:47.090	5	5	7937534	4
20220112--1183177518889878900	-1	25251	2022-01-12 10:24:44.488	5	5	2494951	1
20220112-2929005154254175069	-1	2346	2022-01-12 17:40:29.442	4	4	1441347	4
20220112--5179844091196829610	-1	28858	2022-01-12 14:31:31.230	5	5	8543362	1
20220112--9006277601015310628	-1	24446	2022-01-12 10:40:58.149	1	1	9967749	3
20220112-5987736585052327410	1	8027	2022-01-12 22:04:12.041	2	2	3629244	3
20220112--5189739102038900744	-1	11085	2022-01-12 16:17:48.184	1	1	2035047	1
20220112-3264236776100651518	-1	37211	2022-01-12 08:07:45.676	4	4	1111898	2
20220112-3838181534978005887	0	31870	2022-01-12 07:12:48.615	1	1	3558701	4
20220112-1879813592997863206	0	7828	2022-01-12 23:56:47.461	2	2	8140477	3
20220112--151325438684587785	0	25547	2022-01-12 09:15:37.290	4	4	1977407	3
20220112-4017123281407342076	-1	33782	2022-01-12 16:28:41.676	2	2	6809265	1
20220112-3278589888625398388	0	22127	2022-01-12 00:59:10.123	2	2	5036155	3
20220112-3681797152656497502	-1	36172	2022-01-12 09:35:18.082	93	3	6667890	4
20220112--7499917276978161139	-1	22803	2022-01-12 07:34:30.224	1	1	3103763	3
20220112-7038301309810745648	-1	36683	2022-01-12 01:44:51.748	88	3	4248455	1
20220112--8502630875972000832	-1	3815	2022-01-12 07:24:07.010	1	1	6463807	2
20220112--7624213812594488584	0	20060	2022-01-12 17:23:46.602	5	5	2577531	1
20220112--3163990642808465304	1	12129	2022-01-12 04:17:29.412	5	5	4194217	1
20220112--700526864201246385	0	946	2022-01-12 20:54:30.905	4	4	1113008	1
20220112-5939850725979997619	1	39618	2022-01-12 02:38:46.103	4	4	6870773	2
20220112-4527192892134718163	0	27677	2022-01-12 19:43:16.664	48	3	3110418	2
20220112--153083719900331165	0	9485	2022-01-12 01:53:08.657	5	5	8217940	1
20220112--1456124402735217422	1	22906	2022-01-12 21:04:52.593	5	5	3919597	4
20220112-1005753623928828433	-1	37190	2022-01-12 17:45:15.176	4	4	8130512	2
20220112--2632457686750498427	-1	4227	2022-01-12 14:06:32.430	4	4	3747275	3
20220112-8780716423307095392	0	34209	2022-01-12 16:06:33.678	4	4	4841409	1
20220112-8622911934028409712	1	34926	2022-01-12 07:53:22.793	2	2	2946085	2
20220112-5441999784059184123	0	28427	2022-01-12 10:03:57.538	1	1	3561651	2
20220112--5026212860396546853	-1	8302	2022-01-12 23:22:17.416	5	5	1168939	4
20220112-9103394295458641840	0	33301	2022-01-12 12:53:16.468	5	5	7301133	3
20220112-2025410252745791855	-1	9313	2022-01-12 01:24:23.926	5	5	2679921	3
20220112-7231018046089471810	1	1683	2022-01-12 23:20:59.119	77	3	1134289	3
20220112--5298050657284168685	1	3569	2022-01-12 11:39:54.700	5	5	1046715	4
20220112-6228369358880470604	-1	10401	2022-01-12 09:39:04.580	105	3	9089393	3
20220112-8548602521096906403	-1	22447	2022-01-12 05:37:27.649	1	1	2483127	2
20220112-2574412478156814663	0	29692	2022-01-12 14:36:41.836	1	1	4967183	2
20220112-8716422101544853539	-1	7943	2022-01-12 07:26:04.488	5	5	5130459	3
20220112-8232252611222537894	-1	36270	2022-01-12 09:13:36.081	4	4	1158955	1
20220112-8958109628779767024	-1	26459	2022-01-12 01:19:02.153	2	2	7967688	1
20220112--6756555935895923767	-1	28989	2022-01-12 05:50:04.980	2	2	2571829	2
20220112-135125541139249045	-1	10107	2022-01-12 09:52:26.537	1	1	4356086	1
20220112-3783832781626190708	-1	13387	2022-01-12 22:44:44.614	1	1	8464458	3
20220112--2029650184752262166	-1	22345	2022-01-12 20:32:46.921	1	1	6858712	3
20220112-6700856006227368747	-1	17738	2022-01-12 01:13:38.292	4	4	7763198	3
20220112--8799331453569297615	1	11363	2022-01-12 08:44:53.905	2	2	72098	4
20220112-1638214431260885681	-1	6459	2022-01-12 02:30:36.657	5	5	5604000	4
20220112-5869411562441457637	1	30158	2022-01-12 11:08:36.210	5	5	5163172	4
20220112--6832991155141847598	1	8929	2022-01-12 20:21:33.800	2	2	3367243	3
20220112-6135777781513619260	-1	14242	2022-01-12 21:14:38.868	36	3	9387275	4
