transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220113-8069810909801928271	1	2206	2022-01-13 08:29:34.328	4	4	2308436	4
20220113-7556535133521998751	1	26663	2022-01-13 18:40:34.451	57	3	2949074	2
20220113--2294955097182278289	1	27234	2022-01-13 12:19:49.448	4	4	8328166	2
20220113--2585993424485033168	1	39357	2022-01-13 05:04:21.331	4	4	8800600	1
20220113-5129074836654871384	-1	30998	2022-01-13 20:42:30.762	4	4	792918	1
20220113-4365100971212442984	0	30000	2022-01-13 06:53:55.025	1	1	1221735	3
20220113-6854590361261877302	0	31469	2022-01-13 13:55:17.090	4	4	8380161	4
20220113-1127125062903531283	1	9187	2022-01-13 19:41:55.363	1	1	5313072	2
20220113-1714665207352349340	0	8060	2022-01-13 06:07:33.710	53	3	456304	2
20220113-197321815536783127	0	39981	2022-01-13 18:17:20.556	2	2	2168886	4
20220113--7190291762329045627	-1	39648	2022-01-13 21:57:14.959	4	4	2039848	1
20220113--7286739510573455426	1	13827	2022-01-13 23:34:15.181	5	5	9791123	2
20220113-2601107375509433157	1	4443	2022-01-13 13:28:41.733	30	3	5295041	4
20220113--1271751858340524300	0	5713	2022-01-13 01:00:09.004	5	5	5707543	4
20220113-8866310869747712610	1	413	2022-01-13 10:14:50.812	1	1	6680688	3
20220113-5651196598902735447	-1	6763	2022-01-13 11:28:16.968	53	3	4906411	3
20220113-1343789191545282347	1	5978	2022-01-13 13:31:10.983	1	1	8036775	4
20220113-142234388740034413	-1	31746	2022-01-13 06:16:37.654	4	4	3393036	1
20220113-844789431680627765	-1	15110	2022-01-13 12:43:08.980	1	1	3204360	1
20220113--5007792847504098337	-1	25707	2022-01-13 16:47:33.735	5	5	4234456	3
20220113-7650562212797558784	-1	31553	2022-01-13 23:33:02.837	57	3	9218478	4
20220113-5140244769971171590	1	37207	2022-01-13 08:14:17.378	55	3	4436307	3
20220113-8280501775284230566	-1	26649	2022-01-13 10:54:37.110	2	2	1380017	2
20220113--104388279533090826	0	15251	2022-01-13 06:09:55.515	61	3	3782810	1
20220113-7694603646052482224	1	6533	2022-01-13 13:02:26.429	5	5	4173392	3
20220113-4885829775581514670	-1	22947	2022-01-13 16:45:34.067	1	1	3251260	3
20220113--8187214209005099443	0	31432	2022-01-13 11:26:50.155	4	4	4190650	3
20220113-849013095364917182	-1	20021	2022-01-13 07:52:02.698	1	1	2773747	3
20220113--5964524103083655005	-1	36946	2022-01-13 18:26:24.087	2	2	2682953	2
20220113--1461232952610799802	1	2068	2022-01-13 03:23:52.083	5	5	4007537	4
20220113-197407474861791256	0	17968	2022-01-13 23:36:15.538	34	3	840036	4
20220113-5510919951638915958	-1	14318	2022-01-13 21:43:10.437	78	3	7733260	2
20220113--6481305710398740567	1	7960	2022-01-13 09:41:28.681	90	3	3493931	2
20220113-2132944368883244630	-1	191	2022-01-13 06:32:00.086	1	1	6242365	3
20220113--7591109352729217613	-1	10565	2022-01-13 20:29:39.195	4	4	7813829	3
20220113-5046677246993092783	0	38109	2022-01-13 10:58:33.873	2	2	8713360	4
20220113--1177231538378775742	1	24030	2022-01-13 17:09:12.773	68	3	6448482	2
20220113--3115618588265593410	-1	17149	2022-01-13 11:44:32.888	12	3	6772447	3
20220113--7779035252424133272	0	14177	2022-01-13 21:20:29.285	4	4	6576537	2
20220113-4725216714656512355	0	32792	2022-01-13 12:12:17.802	1	1	295156	3
20220113-5846412369897666955	0	20865	2022-01-13 10:33:28.149	93	3	4449130	4
20220113--6269430757209461034	1	37428	2022-01-13 17:02:53.311	5	5	84991	2
20220113-3025121022082498982	0	11111	2022-01-13 10:14:54.511	2	2	9491306	1
20220113--5938346167861497329	1	17318	2022-01-13 14:04:50.389	35	3	8799735	2
20220113-8257782812705883516	0	193	2022-01-13 09:47:01.987	5	5	6814469	4
20220113-1051642095991047208	-1	1747	2022-01-13 18:43:36.531	4	4	2779157	1
20220113--6500540761384215558	0	25228	2022-01-13 12:57:29.782	2	2	5868656	1
20220113--5315449685228827407	-1	29649	2022-01-13 21:42:19.540	2	2	3384169	2
20220113--3033753970344721948	-1	11970	2022-01-13 05:24:17.105	101	3	5685011	3
20220113--7379846179847053772	-1	3979	2022-01-13 07:28:26.719	1	1	9297730	4
20220113--2932482324225190715	1	36888	2022-01-13 17:14:35.348	5	5	8031185	4
20220113-2753103210759326394	1	10393	2022-01-13 23:55:16.298	5	5	2763166	4
20220113-955604885861968096	-1	10304	2022-01-13 01:47:12.950	4	4	6592719	2
20220113--4497795014848502468	1	27972	2022-01-13 20:16:05.651	53	3	9361178	3
20220113-7617776530718016591	1	21113	2022-01-13 17:31:02.756	4	4	7281716	4
20220113-505487745186407518	-1	37275	2022-01-13 12:15:46.605	4	4	5417376	4
