transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220114--1280133323265435050	1	6818	2022-01-14 15:04:30.184	1	1	9774529	2
20220114--6002445400997282380	0	23570	2022-01-14 12:41:00.279	40	3	5164971	3
20220114-4681273215263973902	0	19661	2022-01-14 08:46:03.168	5	5	8432882	2
20220114--565330148349348013	1	15312	2022-01-14 02:53:05.763	55	3	5364192	3
20220114--5766237349373617280	1	23754	2022-01-14 17:30:50.750	1	1	8872114	2
20220114-1121416365340634071	0	1125	2022-01-14 03:05:31.980	1	1	3329548	1
20220114--9096666578483519886	0	38937	2022-01-14 22:55:58.380	4	4	9912404	2
20220114--5597601146678130985	-1	39093	2022-01-14 05:14:48.694	4	4	4903759	1
20220114--6362139473597499086	0	37066	2022-01-14 08:31:08.056	5	5	1475621	2
20220114--5714635782360115414	1	23613	2022-01-14 18:48:50.742	61	3	1213287	1
20220114-6307896224880779499	-1	26945	2022-01-14 04:47:04.511	1	1	5902523	3
20220114--7301604825575845038	1	35446	2022-01-14 10:23:08.828	4	4	4255795	2
20220114--9158647534400760078	-1	14292	2022-01-14 06:53:04.514	2	2	4973247	1
20220114--5163996864871038975	0	4286	2022-01-14 07:05:00.086	2	2	657956	3
20220114--926476592127316857	1	23432	2022-01-14 03:59:52.035	4	4	8106767	1
20220114--5109149267620314191	0	39291	2022-01-14 12:37:33.058	5	5	7007002	4
20220114-7753996228325554784	1	21993	2022-01-14 03:53:47.450	5	5	9580876	1
20220114-1747897810176104530	-1	18485	2022-01-14 08:23:49.601	1	1	8511951	4
20220114--5354574292141189133	0	32224	2022-01-14 15:17:17.083	1	1	3320910	1
20220114-6976256866305428540	-1	1982	2022-01-14 00:04:12.082	1	1	6637412	4
20220114-8592634011002164299	1	38483	2022-01-14 14:09:28.706	2	2	3648275	1
20220114-2514960381000260876	-1	23645	2022-01-14 15:38:03.596	2	2	7227960	3
20220114-1846436883991109093	1	30511	2022-01-14 13:42:33.967	67	3	5427260	3
20220114-1041169149930407478	-1	11700	2022-01-14 22:24:49.827	55	3	4088491	3
20220114--5671355733925300713	0	11848	2022-01-14 13:03:46.155	102	3	8347469	2
20220114--2088690282949881335	0	23530	2022-01-14 00:47:21.082	4	4	4632243	4
