transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220115-9101194420930115162	1	24737	2022-01-15 08:47:43.688	1	1	9334052	2
20220115-1546713641481512766	-1	630	2022-01-15 21:04:39.040	4	4	269920	2
20220115--474953619956111757	1	11648	2022-01-15 12:31:09.445	2	2	5359038	1
20220115-4823471155816986487	-1	24188	2022-01-15 07:26:34.471	4	4	215732	4
20220115--2840021129633944135	1	18289	2022-01-15 01:48:03.865	4	4	8478393	2
20220115--4970082351727413379	-1	39734	2022-01-15 15:34:29.937	4	4	4550535	3
20220115-1955528217486879829	0	31916	2022-01-15 09:50:55.367	26	3	4273858	3
20220115--3446998193130351498	-1	15040	2022-01-15 06:30:21.652	48	3	552717	4
20220115-8365636215246219142	0	10655	2022-01-15 11:18:19.796	5	5	3874090	1
20220115-5798278265770106840	-1	21116	2022-01-15 10:59:13.216	2	2	1249709	3
20220115-3120840938904765360	-1	30656	2022-01-15 21:55:14.048	93	3	7245945	1
20220115-1976294465266219478	1	18918	2022-01-15 13:16:47.277	2	2	3221023	1
20220115-4110205711199999537	0	31100	2022-01-15 11:05:43.456	4	4	5881352	1
20220115--3663741245477907402	0	13181	2022-01-15 20:21:10.077	103	3	9183780	2
20220115--1532695458576227903	1	33306	2022-01-15 21:36:26.290	1	1	3472379	2
20220115--5615377213196633494	0	8339	2022-01-15 07:52:53.132	5	5	3060052	1
20220115--25874817154135848	0	34654	2022-01-15 14:10:59.253	65	3	8020719	1
20220115-5086079175109760299	0	16087	2022-01-15 08:47:28.404	52	3	6789091	3
20220115-2813081617597331102	0	19560	2022-01-15 03:53:43.230	2	2	549282	2
20220115-7678368374170140154	0	13984	2022-01-15 07:04:15.102	4	4	2805183	1
20220115--2884775368834552236	-1	3664	2022-01-15 10:14:39.398	75	3	5456359	1
20220115-8257763191427694851	1	7124	2022-01-15 03:49:40.391	4	4	8886503	2
20220115-5239141077322156454	1	32786	2022-01-15 12:53:19.886	2	2	5597279	4
20220115--9053845662981761494	0	32927	2022-01-15 16:55:25.268	74	3	2132649	3
20220115--8362383601501266138	-1	14690	2022-01-15 02:05:06.827	45	3	7760721	2
20220115--8030607908111164957	0	31305	2022-01-15 05:57:43.783	83	3	7202089	2
20220115-5721408174325229046	1	19926	2022-01-15 15:30:49.698	2	2	5070718	3
20220115--4035510907142744300	-1	4634	2022-01-15 19:06:22.387	99	3	4940737	4
20220115-8517246293680246639	1	19240	2022-01-15 13:44:11.191	4	4	4847116	1
20220115-8526344915163315813	0	27701	2022-01-15 00:18:23.283	1	1	6042732	1
20220115--8041156927141719757	0	23685	2022-01-15 22:41:16.399	1	1	6669122	2
20220115-2198990160838731340	1	22541	2022-01-15 17:16:54.192	80	3	9452735	4
20220115-4528063366356004775	1	29499	2022-01-15 20:53:32.191	5	5	4772479	4
20220115--5381205897633728272	-1	13270	2022-01-15 01:27:54.061	88	3	1654170	2
20220115--5048428632918688259	1	6695	2022-01-15 20:17:21.254	5	5	2249647	2
20220115--4160319736701415496	-1	24373	2022-01-15 02:18:20.999	4	4	2665483	2
