transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220116-814813600134388901	-1	15054	2022-01-16 22:29:28.071	2	2	6088809	1
20220116--3288461758738113851	0	39749	2022-01-16 19:31:37.737	2	2	5375236	2
20220116--445624725998344848	0	35620	2022-01-16 23:12:31.763	71	3	7322752	3
20220116--4949780762186332564	-1	35778	2022-01-16 10:36:22.383	5	5	3187738	1
20220116--9038451050361394345	-1	581	2022-01-16 20:42:36.315	4	4	8200860	4
20220116--993770154661378357	0	35515	2022-01-16 07:14:43.592	32	3	6476954	2
20220116-5416800419878896231	-1	33903	2022-01-16 05:37:53.616	2	2	2821190	4
20220116-7234298960590826358	1	14664	2022-01-16 16:48:52.879	2	2	5970165	4
20220116--4524489137434527089	-1	38447	2022-01-16 09:00:02.494	4	4	4120175	2
20220116-8046783515841908264	0	5484	2022-01-16 22:49:30.025	4	4	1527044	2
20220116-4272221105641748487	1	39520	2022-01-16 03:22:35.949	5	5	349107	4
20220116-8322195221207722013	-1	6359	2022-01-16 03:02:33.468	2	2	8131244	2
20220116--1773345806146471383	0	2424	2022-01-16 02:00:32.780	4	4	5389855	1
20220116-8705037910778459913	-1	24982	2022-01-16 08:25:11.734	4	4	3196171	1
20220116-7007458350084719923	-1	30730	2022-01-16 13:52:51.134	2	2	4112353	2
20220116-3021277283452488015	0	28659	2022-01-16 08:38:57.925	2	2	6752548	4
20220116-1048671795095711174	-1	18917	2022-01-16 17:10:34.759	32	3	3492742	1
20220116--105030156364310729	0	31930	2022-01-16 20:43:15.900	4	4	5090752	1
20220116--6497295136588395741	0	35778	2022-01-16 17:53:45.249	2	2	8482584	4
20220116-1291016189903630702	1	33796	2022-01-16 23:06:48.202	1	1	4189985	1
20220116-7623611677162531756	0	14141	2022-01-16 19:40:09.056	5	5	1335113	3
20220116-4155550096066523431	0	10353	2022-01-16 05:00:22.825	1	1	7964476	4
20220116--437155759207121324	0	9236	2022-01-16 16:05:58.148	2	2	768825	1
20220116--2687703033217752535	-1	5345	2022-01-16 00:34:12.424	5	5	3530384	3
20220116-931721846643710609	-1	38840	2022-01-16 12:10:12.760	4	4	8107077	4
20220116--6412727744856486459	-1	24171	2022-01-16 04:06:11.384	4	4	9653594	4
20220116-7399790230368661570	0	36983	2022-01-16 17:46:51.201	2	2	7104284	2
20220116--7925836696155246740	-1	34366	2022-01-16 06:04:49.568	1	1	9974189	1
20220116-7977297213633988015	0	24282	2022-01-16 17:47:36.684	20	3	6892415	3
20220116--4122610577043689693	1	18247	2022-01-16 16:33:42.198	1	1	8578901	4
