transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220117--520043273010318796	0	3509	2022-01-17 22:08:44.067	1	1	910727	3
20220117--7696284993522416279	0	37775	2022-01-17 10:50:01.716	2	2	3399976	1
20220117--4270800504813797126	0	15910	2022-01-17 01:39:06.489	90	3	5198175	2
20220117--3654426228347081260	0	288	2022-01-17 13:15:56.460	2	2	9212240	1
20220117-6401782713368360473	0	212	2022-01-17 13:06:19.898	4	4	4786307	1
20220117--2519124431899580253	1	16689	2022-01-17 17:19:27.781	1	1	3208996	1
20220117--2818587755643836344	1	22165	2022-01-17 13:28:03.600	72	3	2512113	3
20220117--7191474478329019673	1	38284	2022-01-17 18:52:02.178	4	4	9287012	1
20220117-6578276141201185853	1	20402	2022-01-17 16:52:24.109	27	3	8922577	2
20220117--4478893922815023200	1	27755	2022-01-17 14:35:08.152	2	2	2828677	2
20220117--5431021707914658708	1	30949	2022-01-17 13:05:06.590	4	4	2424264	4
20220117-2465117610687439656	-1	11116	2022-01-17 01:39:39.787	1	1	9884337	3
20220117--3307608536600346337	-1	18465	2022-01-17 07:37:47.656	4	4	5230859	2
20220117--3519680180808217531	1	9609	2022-01-17 21:31:43.299	4	4	3197570	4
20220117-358297762013918373	1	3204	2022-01-17 15:02:32.654	1	1	4401100	3
20220117--7370905193381689122	1	28355	2022-01-17 20:14:51.690	4	4	7274181	3
20220117--5090718954666664918	1	27158	2022-01-17 03:53:21.663	4	4	4576648	2
20220117-6790121576108590206	-1	19521	2022-01-17 15:49:23.264	2	2	8707113	3
20220117-2917307560309609957	-1	19827	2022-01-17 08:17:03.926	5	5	9723523	4
20220117-8340006089944170299	0	35535	2022-01-17 18:34:18.815	2	2	9974841	3
20220117--1204282737735383121	0	21576	2022-01-17 18:47:08.536	5	5	2645229	3
20220117-6614105873158290186	-1	18275	2022-01-17 22:05:29.221	2	2	3577310	4
20220117-9033244190763630237	1	29587	2022-01-17 11:21:23.212	1	1	7943042	4
20220117--8507677069099675733	0	12039	2022-01-17 05:53:02.555	93	3	6718670	2
20220117-5451240558385536069	-1	1363	2022-01-17 16:38:48.683	77	3	8001721	1
20220117--4777976888447288758	1	20270	2022-01-17 23:20:25.118	2	2	588369	3
20220117-2029354556298305826	0	19604	2022-01-17 02:32:23.559	4	4	7914344	4
20220117-3123984876660170301	0	23617	2022-01-17 23:14:36.177	5	5	5367520	1
20220117-3614668640371155950	0	31055	2022-01-17 15:58:14.878	108	3	8422479	2
20220117-6584970041080153258	1	12010	2022-01-17 01:55:38.743	2	2	9572397	3
20220117--6363151510853841458	0	19013	2022-01-17 06:08:39.210	5	5	8530159	3
20220117--1119387836740575482	0	32754	2022-01-17 16:01:09.892	1	1	5773846	3
20220117--6496656012856576843	-1	13241	2022-01-17 12:10:26.479	107	3	6031155	1
20220117-6682595789598996260	-1	5025	2022-01-17 03:01:33.786	1	1	2854598	1
