transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220118--15629265800365264	-1	12677	2022-01-18 17:10:29.503	4	4	1889997	3
20220118--8292033969507698344	-1	37326	2022-01-18 15:10:55.914	108	3	5843504	2
20220118--8946398717031666835	1	23274	2022-01-18 14:18:32.510	1	1	5219721	3
20220118--7094439126897620203	1	26540	2022-01-18 05:03:13.194	2	2	2110195	1
20220118--2490944968754562589	0	31293	2022-01-18 19:31:51.171	2	2	3695133	2
20220118-1173954034525252983	1	18287	2022-01-18 07:17:51.403	1	1	2848942	3
20220118--1003981941321167939	0	17126	2022-01-18 16:07:44.605	2	2	4565604	1
20220118-7549312641664900816	-1	34469	2022-01-18 14:44:56.721	57	3	2830998	3
20220118-136485357266372336	-1	24543	2022-01-18 12:59:50.336	5	5	4408532	3
20220118--4634528708532600848	1	23498	2022-01-18 04:27:58.137	4	4	2610540	1
20220118--5067514767506581580	0	30107	2022-01-18 09:28:33.214	2	2	5614506	3
20220118-3133973898069533747	0	5503	2022-01-18 06:14:22.789	4	4	6153869	1
20220118--1369894897504269046	1	13047	2022-01-18 06:55:46.202	2	2	218895	3
20220118-347253747740069920	1	2076	2022-01-18 11:52:35.853	2	2	8983616	1
20220118-8341754277204328027	1	31962	2022-01-18 12:10:06.507	5	5	3853353	1
20220118--5494755163648351164	1	11370	2022-01-18 04:49:25.973	2	2	3584484	4
20220118--1112045897443450793	1	15025	2022-01-18 03:06:19.134	2	2	2548341	3
20220118-6315308369894867176	1	21224	2022-01-18 04:23:17.086	4	4	8244942	4
20220118--2066547547853203609	1	24576	2022-01-18 20:36:05.208	82	3	2531325	1
20220118--5176570918695771698	-1	32095	2022-01-18 06:14:41.014	5	5	5041581	1
20220118--5222795939395205211	-1	8671	2022-01-18 10:25:50.389	5	5	6436421	4
20220118-1844682509853660030	-1	24478	2022-01-18 12:07:40.363	2	2	5815012	1
20220118-184178106272900426	1	2967	2022-01-18 01:31:24.963	5	5	7726926	3
20220118-691153149236194106	-1	12063	2022-01-18 13:13:01.920	5	5	8207204	3
20220118--4969045543500806539	0	3869	2022-01-18 05:34:17.959	2	2	9791234	1
20220118--8143962582253721499	0	36451	2022-01-18 20:38:21.583	1	1	4105615	3
20220118-3248416340676462540	0	31316	2022-01-18 11:30:56.621	35	3	4459370	4
