transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220119-3630552903701097583	-1	17821	2022-01-19 22:34:26.319	4	4	1763436	1
20220119-6884263766950403583	-1	20302	2022-01-19 17:04:31.537	5	5	8405511	4
20220119-1161862334935652400	1	29358	2022-01-19 07:21:58.801	1	1	2370068	4
20220119--8009403999656684099	1	16518	2022-01-19 23:35:22.589	1	1	4766111	1
20220119-5713741983835740939	-1	3528	2022-01-19 08:54:52.269	2	2	8056467	3
20220119-7995880820307409057	-1	37613	2022-01-19 22:32:35.810	73	3	6502075	1
20220119-8756082052805809638	-1	8081	2022-01-19 19:35:57.054	2	2	770455	2
20220119-7187796689881290619	-1	32539	2022-01-19 00:54:17.095	5	5	6370552	3
20220119--4472348521939500795	0	30757	2022-01-19 01:05:26.897	4	4	9599690	2
20220119-515374511356860822	0	9287	2022-01-19 01:35:15.294	4	4	4644926	2
20220119-3255513575568558373	-1	22496	2022-01-19 10:01:30.450	78	3	5569982	1
20220119-6218486107956924162	-1	950	2022-01-19 04:48:50.223	2	2	448947	2
20220119--8260359890821513696	0	24060	2022-01-19 02:08:41.823	1	1	2367385	2
20220119-4305362179006959097	0	146	2022-01-19 08:49:49.133	49	3	9965618	1
20220119-4849435955604357251	-1	2617	2022-01-19 14:19:24.931	2	2	9975728	4
20220119--7913955268671987635	1	14974	2022-01-19 00:20:36.285	4	4	4336639	2
20220119-2305469168933598927	0	12246	2022-01-19 09:27:14.895	4	4	1679123	1
20220119--1847464601057871223	-1	466	2022-01-19 05:19:25.215	2	2	246009	1
20220119-3946913959448782644	-1	36823	2022-01-19 01:34:50.478	76	3	318719	2
20220119-7674115465952514261	-1	5083	2022-01-19 12:15:52.096	5	5	473913	4
20220119--1737598947133453822	-1	6190	2022-01-19 21:25:04.685	70	3	3347624	3
20220119--8766257928445363015	1	17537	2022-01-19 11:55:48.732	53	3	4816343	1
20220119-1664403201601683024	0	9729	2022-01-19 02:46:58.256	4	4	7428381	1
20220119--977699035917420401	-1	24662	2022-01-19 16:07:46.871	5	5	7946890	4
20220119-3841898920200583523	1	7175	2022-01-19 13:25:01.411	52	3	2057781	4
20220119--8503408450831165037	-1	15039	2022-01-19 21:05:46.253	5	5	3920406	3
20220119--2092950438171193220	-1	38904	2022-01-19 04:23:30.160	2	2	8362300	2
20220119-4284377478948894068	-1	18976	2022-01-19 03:31:45.038	1	1	3568879	4
20220119-976583454470333856	1	4571	2022-01-19 01:30:19.976	74	3	5248006	1
20220119-4500041293467198006	1	8578	2022-01-19 08:46:10.116	5	5	4648351	1
20220119-3268392260923411228	-1	34934	2022-01-19 00:04:15.021	5	5	3683760	4
20220119--2218359127311163409	0	2169	2022-01-19 23:37:16.282	2	2	552216	2
20220119--3133488980010450982	-1	27388	2022-01-19 03:22:03.237	68	3	9424503	3
20220119-5526778789343858815	0	10743	2022-01-19 03:49:49.239	97	3	5472333	2
20220119--6491019501685739756	-1	8781	2022-01-19 15:45:00.920	2	2	867901	1
20220119-1438528308515487224	1	2508	2022-01-19 07:55:01.908	4	4	4127592	2
20220119--1729821242442521622	1	39998	2022-01-19 12:55:47.963	2	2	2738440	2
20220119-4313069088447689492	0	3047	2022-01-19 20:48:36.416	1	1	2378827	2
20220119-9115010332258396971	1	30055	2022-01-19 06:26:55.893	5	5	5934826	2
20220119-234135053763546445	0	2286	2022-01-19 14:58:12.193	2	2	6288523	2
20220119-6396364944823934291	-1	9855	2022-01-19 23:46:54.952	2	2	3119355	2
20220119-5278515669220976649	1	6951	2022-01-19 09:38:25.244	5	5	8072992	2
20220119--4304660003162598752	-1	11468	2022-01-19 09:57:02.675	1	1	4743926	1
20220119-5068599181472303827	-1	34809	2022-01-19 04:19:34.047	94	3	7782976	2
20220119-7220503248943125055	-1	6956	2022-01-19 07:00:38.540	5	5	4177903	4
20220119-2194702283482037429	-1	27731	2022-01-19 02:23:41.332	49	3	8945984	3
20220119-4289027339882095671	1	22954	2022-01-19 16:46:01.763	1	1	344807	3
20220119-1571249891822042873	1	14513	2022-01-19 23:38:38.558	1	1	6214940	4
20220119-5568660839420513382	-1	11709	2022-01-19 16:04:30.309	1	1	5551800	3
20220119-4922559893739169769	0	15739	2022-01-19 11:10:27.548	1	1	4508938	3
20220119--8392723279561105010	0	12897	2022-01-19 10:14:39.694	2	2	8162692	2
20220119-6806580046909789593	1	3971	2022-01-19 21:38:27.596	5	5	2143088	3
20220119-8689994387161309255	-1	13252	2022-01-19 11:58:31.027	2	2	6257246	4
20220119--4745505590046874989	1	11672	2022-01-19 09:10:28.741	1	1	6800127	3
20220119-7253464431427793029	0	17820	2022-01-19 19:20:56.021	2	2	6754001	1
20220119--1385239006947468098	0	19636	2022-01-19 19:28:05.931	2	2	5125530	2
20220119--6563832140173889312	1	25706	2022-01-19 15:41:46.256	1	1	2062603	4
20220119-535265776049296821	-1	27184	2022-01-19 23:34:13.437	5	5	9835164	3
20220119--6798223247689805739	0	10005	2022-01-19 09:08:24.128	64	3	6882729	1
20220119-5743698365392320738	0	28592	2022-01-19 06:15:02.650	2	2	5774842	2
20220119--9091698558794497125	1	18568	2022-01-19 20:40:43.615	5	5	21567	2
20220119-6283742928694557747	-1	17325	2022-01-19 22:46:13.707	106	3	6317944	1
20220119-4587975729761874988	-1	7754	2022-01-19 16:04:16.609	5	5	7802136	2
20220119-905759639204390673	-1	25248	2022-01-19 05:28:17.999	1	1	5223812	2
20220119--7593210564358330748	-1	24175	2022-01-19 04:01:55.890	4	4	3411864	1
20220119-2623644832021846040	0	31631	2022-01-19 11:16:43.975	5	5	267264	1
20220119--6442490975420060034	0	35411	2022-01-19 11:57:44.601	1	1	2297611	1
20220119--6313313729283692128	-1	127	2022-01-19 17:22:45.790	4	4	7054436	2
20220119--9002799075161367148	1	27541	2022-01-19 05:43:15.154	2	2	4748598	2
20220119-4876071499541677866	0	14767	2022-01-19 20:55:07.725	2	2	9048754	2
20220119-1415851901692742230	-1	4806	2022-01-19 06:28:19.967	85	3	3721155	3
20220119--1334597194502805043	0	35492	2022-01-19 05:20:34.165	4	4	2208470	3
20220119--4345446828029086610	0	32167	2022-01-19 17:48:36.165	5	5	3038740	3
20220119--4523593898367747777	-1	24520	2022-01-19 04:23:50.098	2	2	6457057	4
20220119-8041445064668849004	0	26921	2022-01-19 19:48:20.040	2	2	4980988	3
20220119--4327776907064600789	0	22092	2022-01-19 19:16:48.537	4	4	6925227	2
20220119--7453670360475802459	1	3208	2022-01-19 10:20:38.253	1	1	9527717	1
20220119--4449676268902172961	-1	713	2022-01-19 03:41:19.062	1	1	3790557	2
20220119--6267510735415627328	-1	26708	2022-01-19 15:42:31.308	103	3	4849698	2
20220119-5652537739181145862	-1	39020	2022-01-19 05:26:04.107	93	3	6568574	3
20220119-6346655518638832019	1	16567	2022-01-19 23:40:22.656	4	4	4087383	2
20220119-7490845030233923640	1	8492	2022-01-19 16:45:33.887	4	4	6503444	2
20220119-791642381385271037	1	18133	2022-01-19 15:55:53.714	2	2	9914967	3
20220119--3559907205050490088	-1	7681	2022-01-19 07:08:17.279	4	4	8062873	2
20220119-5705377282838602615	0	30946	2022-01-19 12:34:56.489	1	1	1329984	3
20220119-3225799088294167868	0	35248	2022-01-19 11:07:54.498	41	3	8273914	4
20220119--8272276162131699797	-1	22506	2022-01-19 19:06:32.167	5	5	5266277	1
20220119--693224893277657624	-1	27615	2022-01-19 01:11:37.225	2	2	8147394	1
20220119--1023796700468836653	0	26720	2022-01-19 19:23:37.296	5	5	5525134	3
20220119-7660244825799104142	0	39611	2022-01-19 02:19:03.559	1	1	8596666	2
20220119-7200552817546936182	1	4965	2022-01-19 04:28:23.317	10	3	8422651	1
20220119-241066591801843212	1	22957	2022-01-19 10:17:15.945	4	4	1594515	4
