transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220120-5628741944047219133	-1	2370	2022-01-20 08:46:03.660	5	5	3400096	2
20220120-7993527301640174306	0	11245	2022-01-20 18:46:10.395	2	2	3131983	2
20220120-6745009814167189079	1	1914	2022-01-20 16:49:14.932	5	5	3667200	2
20220120-984559737533962995	1	35579	2022-01-20 22:18:51.644	1	1	7110566	2
20220120--7359350109436665751	0	36120	2022-01-20 07:35:11.367	13	3	4977647	2
20220120--9036422412470617271	-1	16780	2022-01-20 11:19:21.403	4	4	1529792	3
20220120-8537670323264808362	1	30625	2022-01-20 18:17:32.263	91	3	3652560	2
20220120-2597505824412336374	0	35303	2022-01-20 04:39:41.760	5	5	4339834	2
20220120--3336740284341847799	1	11575	2022-01-20 03:16:38.335	5	5	3529066	1
20220120--8228404294806264199	1	20294	2022-01-20 23:11:07.925	1	1	2893885	4
20220120-5509435778811713279	1	16893	2022-01-20 11:29:50.046	1	1	4720210	3
20220120-9079016784554892329	1	4254	2022-01-20 15:28:42.058	1	1	9325952	4
20220120-3568497333765320513	0	39242	2022-01-20 22:22:58.951	1	1	2800788	2
20220120-4723799877182031362	0	34088	2022-01-20 14:47:21.907	2	2	9924620	3
20220120-2788847982142970486	1	38733	2022-01-20 14:09:44.000	4	4	867219	2
20220120-6405265855135984107	1	39470	2022-01-20 07:37:38.870	4	4	9204159	2
20220120-2356958954754924298	-1	3280	2022-01-20 20:07:04.950	1	1	6701269	3
20220120--1062499136374941450	0	24843	2022-01-20 04:02:24.806	5	5	5568185	1
20220120-8276689573573676303	0	21772	2022-01-20 09:11:35.135	5	5	8795106	1
20220120-3788981298243326776	-1	12430	2022-01-20 19:37:04.689	1	1	9932537	1
20220120--6742959972977558708	0	17847	2022-01-20 19:14:26.385	31	3	5041881	3
20220120--8310965755354966522	1	26017	2022-01-20 20:48:24.369	2	2	274368	1
20220120--5576515693033955270	1	1846	2022-01-20 19:20:28.288	4	4	6855881	4
20220120--452409843511147285	-1	27410	2022-01-20 12:27:46.809	82	3	8273939	4
20220120--7869449493122544689	0	17961	2022-01-20 20:35:57.997	57	3	6830350	3
20220120-5827151504387100333	-1	1403	2022-01-20 07:31:03.923	38	3	5884605	2
20220120-6772496070350110634	1	30583	2022-01-20 11:54:07.178	4	4	2212624	1
20220120-7175817686517423393	0	7098	2022-01-20 16:37:27.162	5	5	55457	2
20220120-8923312717706301006	1	38459	2022-01-20 05:50:25.874	65	3	1929102	3
20220120--7655332089099357246	0	37761	2022-01-20 04:13:07.329	5	5	8177782	3
20220120--7191501556607675920	1	24242	2022-01-20 17:43:05.749	57	3	3139066	2
20220120-6707834765219269427	-1	7925	2022-01-20 11:31:25.482	4	4	7716788	4
20220120-2932978012473914700	1	28558	2022-01-20 19:38:27.955	2	2	4936190	1
20220120-2606343090026438873	1	34107	2022-01-20 21:02:25.213	4	4	9812138	4
20220120--264323244542987544	1	10830	2022-01-20 14:02:17.000	1	1	5001145	3
20220120-6481439117323964379	-1	13917	2022-01-20 16:55:18.000	2	2	8995473	2
