transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220121-7435377205332380062	0	9678	2022-01-21 17:28:28.583	1	1	9595410	1
20220121--2524217418306339055	1	13206	2022-01-21 06:53:35.457	5	5	3299265	3
20220121--8729282441550708122	1	22758	2022-01-21 04:55:42.371	108	3	4865812	4
20220121-4944606330842602452	-1	28827	2022-01-21 10:12:45.308	66	3	8013706	1
20220121-7134403686239742351	0	12836	2022-01-21 23:26:23.173	48	3	4505089	2
20220121--3989635418600631726	0	9797	2022-01-21 03:37:38.566	5	5	3126077	2
20220121--3590267065029374922	-1	8145	2022-01-21 15:11:43.627	5	5	5656914	3
20220121-1005086275152424226	1	18636	2022-01-21 18:38:25.212	1	1	1468827	1
20220121--1597148459245009461	1	15977	2022-01-21 02:18:30.319	5	5	5959665	4
20220121--316099317551507176	-1	36793	2022-01-21 06:49:50.080	4	4	5883809	2
20220121-3782083666898283758	0	8227	2022-01-21 21:57:37.946	2	2	1693762	3
20220121-3891511043343501338	0	10692	2022-01-21 20:26:54.432	4	4	6232407	4
20220121--1982468683550261088	-1	23629	2022-01-21 20:00:04.872	4	4	6481433	4
20220121-4721069609115138878	-1	31119	2022-01-21 15:49:39.042	1	1	3068244	3
20220121-4194137737170814263	-1	7847	2022-01-21 21:19:46.564	4	4	2044171	2
20220121-8847235359039246548	-1	21313	2022-01-21 04:57:00.782	5	5	8489351	1
20220121-66133812544337446	1	2453	2022-01-21 21:14:52.747	4	4	2991145	4
20220121--882372121132918274	0	12331	2022-01-21 00:01:25.554	1	1	7525784	2
20220121--6942000635015979260	-1	11956	2022-01-21 11:09:45.088	5	5	2043919	1
20220121-3244357009320291893	1	15868	2022-01-21 21:44:52.071	5	5	7705131	4
20220121--5875568709478103441	-1	26616	2022-01-21 07:28:35.927	4	4	5110402	1
20220121--2996250398469173494	0	34598	2022-01-21 10:03:03.701	2	2	5794799	3
20220121--2531174233289459357	-1	6537	2022-01-21 03:58:05.856	2	2	2770428	2
20220121-4094263537353874469	-1	18409	2022-01-21 14:57:10.906	2	2	6604959	4
20220121--4148621223837329631	1	2562	2022-01-21 18:09:23.292	5	5	2779323	3
20220121--6885972519233855747	-1	27250	2022-01-21 18:38:51.929	5	5	2830176	2
20220121--8687026140011878200	-1	10725	2022-01-21 21:32:40.537	107	3	9213960	1
20220121-6052488760444725318	-1	35717	2022-01-21 02:46:12.054	4	4	6571944	2
20220121--2148357906179444589	-1	26303	2022-01-21 18:04:24.977	37	3	5274938	2
20220121-3208144977050116420	0	18774	2022-01-21 03:13:09.731	5	5	5925791	4
20220121--6543739237796656220	-1	2115	2022-01-21 16:03:55.305	82	3	2194965	3
20220121-8817734575899881433	0	38113	2022-01-21 04:54:46.560	1	1	4940030	1
20220121--3739520290995808271	0	20710	2022-01-21 01:00:25.635	1	1	8745777	1
20220121-3160487560917952941	0	35829	2022-01-21 13:05:47.836	5	5	7258378	1
20220121--4743258683636831174	1	2779	2022-01-21 20:37:53.290	10	3	4471583	2
20220121-3911372793376564996	-1	34741	2022-01-21 17:53:06.210	1	1	5755129	3
20220121--8426618194686485796	1	30504	2022-01-21 08:17:55.056	4	4	1100578	1
20220121--108468694307674831	1	39671	2022-01-21 14:23:29.258	1	1	1691208	4
20220121-9134612813085347537	-1	31451	2022-01-21 22:14:16.623	91	3	4478515	1
20220121--6304007037216387316	0	26565	2022-01-21 15:01:59.344	5	5	6313286	1
20220121--2103682105619370150	1	39283	2022-01-21 00:16:41.831	1	1	7671152	1
20220121--2053029426558197005	-1	37411	2022-01-21 07:22:44.259	1	1	9643269	2
20220121-3095364842360477728	1	9166	2022-01-21 10:33:47.028	4	4	8356199	1
20220121--4388858130871444646	-1	34584	2022-01-21 18:56:23.651	5	5	3637659	2
20220121-2722155726485248818	1	38778	2022-01-21 10:36:13.624	1	1	7147248	1
20220121--4684482034992961846	0	21226	2022-01-21 02:28:49.233	5	5	9455350	4
20220121-4391651280857189461	0	36589	2022-01-21 12:15:47.907	2	2	1424751	2
20220121--3831520689044045859	0	16057	2022-01-21 05:53:03.330	1	1	1513743	2
20220121-6538410206950077956	1	22410	2022-01-21 01:10:47.816	2	2	2947500	1
20220121--8942432936658653800	1	4376	2022-01-21 15:25:04.476	2	2	2910557	2
20220121-3732147455824946543	0	31576	2022-01-21 09:13:06.010	16	3	9179033	3
20220121-1094242441913838642	-1	16130	2022-01-21 20:39:11.500	5	5	3641740	1
20220121-3083139215055551402	0	32539	2022-01-21 02:27:55.452	4	4	1970750	4
20220121-7978745466548653232	-1	16020	2022-01-21 15:41:14.364	1	1	8583741	1
20220121-7675639503350854852	1	7011	2022-01-21 19:08:41.320	1	1	5652775	2
20220121--7184939493854586642	0	3370	2022-01-21 20:07:46.678	5	5	138437	3
20220121-6404195001522953741	1	22025	2022-01-21 01:46:16.468	4	4	8878175	3
20220121--5539351914811794878	0	16680	2022-01-21 22:38:12.670	5	5	9339173	3
20220121--7747271209342274587	1	19571	2022-01-21 01:42:19.885	1	1	546559	4
