transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220122--6325606930421084450	0	17220	2022-01-22 18:42:27.147	4	4	6201069	1
20220122--5178147286589255950	0	25714	2022-01-22 12:06:26.106	1	1	1057846	2
20220122--7411678351559976943	-1	11867	2022-01-22 10:53:09.608	5	5	2951618	2
20220122--4041358044376487386	-1	1862	2022-01-22 18:03:04.093	1	1	8357197	1
20220122-1949306016069670053	1	8635	2022-01-22 01:02:38.038	5	5	6462533	1
20220122--3203735936558534126	0	16583	2022-01-22 20:02:10.979	46	3	2109137	2
20220122--6184429171990020875	1	22516	2022-01-22 14:08:27.809	5	5	900508	1
20220122-9061306417044284003	0	17218	2022-01-22 17:20:32.878	5	5	9445350	2
20220122-2777069210239146300	0	6047	2022-01-22 15:57:59.730	5	5	7843145	1
20220122--8164454556880794203	1	38102	2022-01-22 22:33:58.642	2	2	7383372	2
20220122-8455619226644183327	1	15036	2022-01-22 21:25:04.388	4	4	9613468	1
20220122--4666433438776535567	0	33692	2022-01-22 21:53:28.324	4	4	4478652	2
20220122-3418871871251183850	0	19068	2022-01-22 03:48:43.328	4	4	8115282	4
20220122--8402798401418526619	0	9482	2022-01-22 21:28:53.588	101	3	5339329	1
20220122-4982137309588490664	0	20698	2022-01-22 19:49:23.010	1	1	9201758	1
20220122--1604741883108334353	-1	7685	2022-01-22 07:52:37.342	1	1	7595706	1
20220122-1066965920743205808	0	30886	2022-01-22 08:08:16.613	2	2	2991301	4
20220122-3923596962275870961	-1	25224	2022-01-22 23:01:20.135	104	3	482161	3
20220122--7894409504986806394	1	38835	2022-01-22 11:24:59.642	2	2	9187048	3
20220122--6195300732103816022	0	39367	2022-01-22 04:41:02.673	1	1	5544777	3
20220122--7159801855003474327	1	20076	2022-01-22 07:24:44.192	5	5	6667667	3
20220122--3808518757668853379	1	478	2022-01-22 20:58:48.709	2	2	9661560	3
20220122--7585663675890333173	1	6122	2022-01-22 22:48:39.990	2	2	5377689	2
20220122-2993498624357145939	1	36740	2022-01-22 10:05:17.046	2	2	7124120	3
20220122--6306253343582097549	1	24362	2022-01-22 14:04:33.155	16	3	8855067	2
20220122--2171842541390698701	1	27921	2022-01-22 14:45:14.390	1	1	556798	1
20220122--3198581980138642052	0	32530	2022-01-22 11:45:55.395	1	1	605653	4
20220122--2082630857077316043	0	18569	2022-01-22 07:30:06.039	5	5	5810293	4
20220122-7711160901940644387	1	33873	2022-01-22 06:35:35.383	52	3	6788656	1
20220122-164645679089005475	-1	24327	2022-01-22 09:39:41.235	4	4	7134268	4
20220122--4206874634087190001	1	15659	2022-01-22 05:04:41.785	1	1	2834761	1
20220122--5894000672060868431	-1	29133	2022-01-22 07:42:58.869	43	3	8909722	4
20220122-5966517680230907254	-1	10148	2022-01-22 22:12:31.081	4	4	475714	2
20220122-314297526043478627	-1	12742	2022-01-22 07:59:10.701	57	3	1558109	2
20220122--1472649067397071522	-1	7750	2022-01-22 03:26:36.801	62	3	7285276	2
20220122-1698741658789093482	1	10304	2022-01-22 14:22:33.055	2	2	7459514	3
20220122--2107018061040949089	-1	26240	2022-01-22 15:22:08.539	49	3	3656321	2
20220122-9118033787005473718	0	19861	2022-01-22 14:39:20.598	1	1	7922940	1
20220122-1593319299627014860	1	29920	2022-01-22 04:22:51.973	2	2	8759284	1
