transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220123-4157426103748922213	1	13518	2022-01-23 19:24:57.066	88	3	9351817	2
20220123-2428412671173688624	1	1657	2022-01-23 15:53:49.371	2	2	1047193	4
20220123-9037702988427261707	-1	27284	2022-01-23 09:09:39.100	1	1	4933872	2
20220123--1057003941494869877	0	17092	2022-01-23 13:05:49.644	64	3	9199952	2
20220123--5478660854763656752	1	10734	2022-01-23 02:05:27.557	4	4	7916094	3
20220123--8110629480283816748	-1	13769	2022-01-23 18:19:18.237	5	5	2568154	3
20220123-6061010976869889480	0	19965	2022-01-23 12:58:34.910	4	4	7341336	3
20220123--4631728456665710122	1	23095	2022-01-23 12:45:47.973	5	5	4896480	4
20220123-610400570844829520	1	39296	2022-01-23 04:25:16.762	2	2	3668471	1
20220123--7779908403246530285	1	4112	2022-01-23 12:05:20.962	1	1	6573206	3
20220123--2631406724170302631	1	10158	2022-01-23 20:40:24.400	2	2	5252725	2
20220123--7952640248283680115	-1	22321	2022-01-23 03:53:09.564	2	2	3445440	3
20220123-5247319763909509053	0	1740	2022-01-23 16:15:16.863	1	1	251693	2
20220123--2725173837053268264	-1	13593	2022-01-23 19:44:32.709	43	3	2824981	2
20220123-1659951087602498294	0	20720	2022-01-23 01:08:58.940	4	4	2748055	4
20220123-3792590806764985955	0	21785	2022-01-23 00:59:00.046	2	2	4572595	4
20220123-222398695323858585	1	26734	2022-01-23 14:57:00.142	23	3	2940566	1
20220123-1338224034748546719	1	7712	2022-01-23 21:44:17.952	5	5	6442760	1
20220123--6062728608695472974	-1	4109	2022-01-23 01:15:58.876	17	3	572711	2
20220123-7474788150476945339	-1	16582	2022-01-23 19:55:45.821	5	5	9838605	1
20220123--8349525081083672803	-1	39515	2022-01-23 07:10:38.036	5	5	9634649	1
20220123--1972555360319278136	1	130	2022-01-23 05:47:00.944	54	3	4757048	2
20220123-7742594633566302066	-1	36452	2022-01-23 07:48:17.952	5	5	2863561	4
20220123--2519489864703079987	-1	24250	2022-01-23 18:44:08.241	92	3	3893984	1
20220123--192066676844416723	0	32212	2022-01-23 17:36:17.194	4	4	6873766	3
20220123--3318202309388170277	1	22658	2022-01-23 06:41:24.450	58	3	7391340	4
20220123--7114129756992670363	0	36023	2022-01-23 13:57:57.280	4	4	2880571	3
20220123-3433022276007667298	-1	36405	2022-01-23 01:45:06.224	10	3	844988	4
20220123--2014153621040937538	-1	6528	2022-01-23 20:50:07.372	103	3	3523785	3
20220123--6304943645782548004	-1	20142	2022-01-23 00:08:58.794	45	3	2001736	3
20220123--3676984555769839191	0	9184	2022-01-23 18:03:33.442	2	2	1064363	3
20220123-8452073502032114195	0	32358	2022-01-23 03:59:43.788	2	2	548926	1
20220123-7432517895654163212	1	30948	2022-01-23 16:16:41.844	1	1	9548098	4
20220123-8445156947890059192	0	39316	2022-01-23 18:49:47.011	2	2	9133730	4
20220123--1678557204405273442	1	33055	2022-01-23 14:46:41.912	90	3	4384515	4
20220123--1310092864098812952	-1	27447	2022-01-23 00:57:51.721	5	5	4894801	3
20220123--9218187835888956445	1	32708	2022-01-23 17:47:35.983	2	2	4130954	3
20220123--8535116708645517447	0	30180	2022-01-23 17:42:17.995	1	1	5626160	4
20220123-3968107824702125099	0	26324	2022-01-23 01:04:08.269	5	5	3742722	4
20220123--6025864548581580232	0	4078	2022-01-23 13:29:03.698	1	1	7172459	1
20220123-7155301341180830060	1	31351	2022-01-23 02:39:31.674	1	1	6475387	3
20220123--7643121192799588038	1	6910	2022-01-23 07:32:33.223	4	4	9234069	3
20220123--1655754049901660420	1	38498	2022-01-23 07:48:21.523	5	5	4783850	3
20220123-5892211920846437419	0	11268	2022-01-23 05:24:26.943	1	1	3249656	1
20220123--4598011006015588229	0	7503	2022-01-23 18:06:25.550	4	4	4081674	3
20220123-5655222704032854873	0	5709	2022-01-23 19:01:44.942	1	1	3508078	4
20220123--6298109273331326579	0	6911	2022-01-23 13:44:06.242	4	4	1297446	3
20220123-8671946288711731674	0	9611	2022-01-23 01:33:35.717	4	4	3549872	2
20220123--4038750059648068521	-1	26333	2022-01-23 02:01:41.022	62	3	1274520	4
20220123-1298688246868524014	-1	38654	2022-01-23 22:26:09.110	5	5	9572428	2
20220123-8463566702673283329	-1	27663	2022-01-23 09:29:03.714	5	5	850052	2
20220123-7603179839049658520	0	17348	2022-01-23 20:16:32.739	1	1	3053837	1
20220123--2474005426607653293	0	11234	2022-01-23 01:08:49.969	78	3	8533460	2
20220123--618295332959010369	1	7085	2022-01-23 20:41:57.201	1	1	3833589	4
20220123--8541944950918542772	0	14522	2022-01-23 16:04:26.299	27	3	8189366	3
20220123-1149395595524117628	-1	18827	2022-01-23 21:39:39.785	4	4	8895530	1
20220123-6699451864286420485	-1	36278	2022-01-23 05:56:51.431	1	1	3401922	1
20220123--2526463904562088239	0	37765	2022-01-23 19:14:09.412	2	2	1952933	2
20220123--6934316846794355593	0	16251	2022-01-23 03:41:49.850	5	5	7609221	4
20220123--494627489483817033	-1	29811	2022-01-23 01:28:58.706	36	3	4114175	4
20220123-4674106041431250401	1	5384	2022-01-23 17:15:41.536	5	5	3039437	3
20220123--1655081883715191480	-1	31797	2022-01-23 05:22:26.895	5	5	9218295	1
20220123-6116430068096941112	1	33511	2022-01-23 04:21:02.190	1	1	6445013	1
20220123--7021334845090500839	1	28750	2022-01-23 00:50:46.638	1	1	4792322	1
20220123-7241493963027132437	1	27786	2022-01-23 03:15:52.907	4	4	428191	3
20220123--3785379683470697491	-1	23776	2022-01-23 20:30:11.150	5	5	3011828	4
20220123-6912891730477378729	-1	27208	2022-01-23 10:46:34.374	2	2	2028182	2
20220123-8045106940707254957	0	13714	2022-01-23 06:30:43.684	4	4	1228027	1
20220123--1580085090088580311	1	27110	2022-01-23 13:30:24.695	1	1	5210583	1
20220123--21281155958500874	1	6161	2022-01-23 17:56:59.508	1	1	3029118	1
20220123-6173646500217207129	1	32471	2022-01-23 05:32:36.552	102	3	1552919	1
20220123--324115343447510778	0	14270	2022-01-23 22:58:05.173	51	3	1267327	3
20220123--7024323142228292666	1	34123	2022-01-23 03:04:55.564	2	2	322814	4
20220123--4756297389419997155	1	11566	2022-01-23 08:49:02.402	4	4	6794008	4
20220123--158297379322706920	0	12900	2022-01-23 05:13:24.353	5	5	6159912	2
20220123-4822254485311595194	-1	32135	2022-01-23 23:04:28.721	21	3	3244985	2
20220123-3419982796647889819	1	12260	2022-01-23 14:55:38.769	66	3	4497277	3
20220123-7328485698265794942	-1	33231	2022-01-23 20:35:31.702	5	5	6064978	2
20220123--5491358738620081290	-1	179	2022-01-23 12:42:18.268	2	2	4664342	4
20220123--8661783203494445746	-1	35348	2022-01-23 22:49:25.684	54	3	716864	2
20220123-5293413181737557624	1	33530	2022-01-23 02:45:41.241	5	5	1615185	2
20220123-4112306159105028415	1	13764	2022-01-23 05:59:53.815	4	4	387100	1
20220123-3277980768932443072	-1	11731	2022-01-23 20:32:52.003	2	2	7817950	1
20220123--721462394946828018	-1	23445	2022-01-23 05:58:25.140	4	4	3376018	1
20220123-6720000246760508490	-1	5231	2022-01-23 02:58:00.891	5	5	3295217	3
20220123--5786516705216968281	0	3513	2022-01-23 16:35:01.554	1	1	9151621	1
20220123--1342780466554746902	1	24903	2022-01-23 22:19:54.102	4	4	5377385	4
20220123-7825998265801840553	-1	8874	2022-01-23 05:03:52.140	2	2	4722894	3
20220123-5073012631226746656	-1	21978	2022-01-23 07:36:21.177	5	5	6951946	2
20220123--1764145490131941573	-1	30527	2022-01-23 15:44:36.535	5	5	6045276	1
