transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220125--4311295426900426878	-1	28593	2022-01-25 13:40:35.820	1	1	5337563	2
20220125--4210885801721543116	0	19510	2022-01-25 13:57:43.489	2	2	6309460	1
20220125-8925467815716273340	1	5162	2022-01-25 19:39:04.303	5	5	9712573	2
20220125--2932108250439069577	0	38369	2022-01-25 01:43:15.096	4	4	5960976	4
20220125-6219593620873453868	-1	275	2022-01-25 23:11:45.055	4	4	9334715	1
20220125--1914116793626966595	1	7524	2022-01-25 07:58:46.792	1	1	2295707	3
20220125--6186320676445139063	0	30596	2022-01-25 19:45:54.073	1	1	4695282	3
20220125--8843144309855241854	-1	15903	2022-01-25 08:50:41.818	1	1	1816140	4
20220125-1148403464403236668	-1	33713	2022-01-25 10:42:24.987	4	4	2562721	2
20220125--1680643231511508931	0	21161	2022-01-25 21:42:35.392	1	1	9483410	2
20220125-5564804215506861756	1	1385	2022-01-25 14:06:07.887	2	2	5296766	4
20220125-1514600793739504653	-1	22199	2022-01-25 00:16:04.626	4	4	2968069	1
20220125-6718257781137206548	0	37193	2022-01-25 14:52:08.364	4	4	4781552	4
20220125--812726406111645968	1	7597	2022-01-25 18:57:23.222	2	2	6354107	4
20220125--4595893226777689863	0	7671	2022-01-25 18:14:03.409	5	5	7385745	1
20220125--7542645023886055621	-1	17672	2022-01-25 14:49:09.121	101	3	89162	3
20220125-1036039698097904761	0	36391	2022-01-25 13:46:59.926	2	2	8245246	3
20220125--3874809751332149174	-1	26977	2022-01-25 03:58:55.845	5	5	4000029	4
20220125--8655005800783992580	-1	20168	2022-01-25 04:20:54.656	39	3	6840987	1
20220125-5655391577903163169	1	26029	2022-01-25 01:11:49.317	2	2	8215531	4
20220125-2707239050966343381	0	2901	2022-01-25 14:11:31.405	4	4	8526233	1
20220125--994078094058209086	-1	8777	2022-01-25 18:01:22.408	4	4	9331318	4
20220125--8406415589947688378	1	35857	2022-01-25 00:24:24.104	2	2	6479131	1
20220125-5054973351134433067	0	21305	2022-01-25 01:21:10.459	2	2	18465	2
20220125-7207879429502211431	0	28563	2022-01-25 18:20:11.570	4	4	6235028	2
20220125--4827869181343089311	-1	1739	2022-01-25 03:08:03.605	99	3	5410230	4
20220125-5533028149363881884	-1	22522	2022-01-25 23:37:17.689	35	3	534895	1
20220125-1261282241481570224	-1	8227	2022-01-25 19:57:21.488	4	4	8873481	2
20220125-2523490670593237774	1	20563	2022-01-25 20:54:45.658	75	3	4347034	2
20220125-7023904375816875237	0	23929	2022-01-25 23:10:38.643	1	1	3432595	4
20220125--2396025095673175461	-1	5333	2022-01-25 20:08:27.491	2	2	4949986	1
20220125-5765273021111660072	1	29433	2022-01-25 21:54:35.766	5	5	3686102	1
20220125--5055060629246250999	1	29932	2022-01-25 09:24:39.088	4	4	4650599	3
20220125--1731377635424487735	-1	16936	2022-01-25 03:21:55.212	5	5	5390519	3
20220125--4657856234928453850	0	8105	2022-01-25 08:33:13.740	1	1	2927647	4
20220125-2534232209826686947	1	39038	2022-01-25 23:40:17.108	1	1	6829168	2
20220125-549084677981569372	1	20593	2022-01-25 11:28:21.586	2	2	1159428	3
20220125--493022847764847542	1	36804	2022-01-25 22:16:31.874	2	2	3490886	2
20220125--8083723746950477779	0	28479	2022-01-25 10:51:37.504	1	1	8326225	4
20220125--8327242038945118619	0	26865	2022-01-25 23:14:39.250	1	1	7562082	1
20220125--1497042407786531573	0	18290	2022-01-25 01:19:27.577	97	3	9484649	1
20220125-699484838100237508	-1	19889	2022-01-25 04:46:14.225	1	1	5086206	3
20220125--868944165797439261	0	38252	2022-01-25 23:16:58.546	5	5	3929955	4
20220125-5393168205179879452	0	31189	2022-01-25 13:53:15.160	4	4	4099363	2
20220125-1859438421311525784	1	30427	2022-01-25 01:28:47.711	52	3	2806638	2
20220125--1963091738847275331	0	21876	2022-01-25 18:22:17.088	99	3	1073692	1
20220125--2458349360706185285	0	10652	2022-01-25 13:19:35.834	1	1	2793239	2
20220125-5009705891652338433	1	1974	2022-01-25 14:41:40.662	4	4	2866175	1
20220125--2404285163448696010	1	13081	2022-01-25 16:59:28.273	4	4	9372358	3
20220125--8132016903455607978	1	21407	2022-01-25 09:47:30.738	1	1	6402921	3
20220125-7897614049252421022	-1	5864	2022-01-25 04:00:39.073	5	5	3380738	2
20220125--3942363759687520187	0	14678	2022-01-25 13:15:43.474	12	3	4548052	1
20220125-3142432362037763451	1	37951	2022-01-25 20:21:18.309	22	3	3519241	3
20220125--2541134451617358753	0	9545	2022-01-25 07:41:47.197	4	4	1251592	2
20220125--15366726044124504	0	36773	2022-01-25 16:42:21.862	5	5	9482559	3
20220125-7224345822425212002	-1	35601	2022-01-25 10:42:53.218	5	5	6968055	1
20220125-2116069485457474836	0	9957	2022-01-25 05:59:39.006	1	1	9103826	1
20220125-1913719992882662246	1	32413	2022-01-25 02:31:11.641	1	1	9295204	2
20220125-2539956330845178163	-1	37542	2022-01-25 20:41:52.284	4	4	7526086	3
20220125-3259547340524067911	0	3044	2022-01-25 08:39:54.734	5	5	5687661	3
20220125-1894575920241796939	1	17492	2022-01-25 17:36:26.910	4	4	839199	2
20220125-3226461018631369817	0	12611	2022-01-25 20:01:13.827	4	4	4384184	3
20220125-6479706361026607514	0	16236	2022-01-25 00:22:37.873	5	5	1834396	4
20220125--5170159638156863147	1	23440	2022-01-25 07:45:16.502	1	1	1657823	4
20220125--4698438509730334452	0	33280	2022-01-25 19:20:46.133	1	1	9654073	1
20220125--5433828369503635971	1	5254	2022-01-25 06:37:17.487	5	5	5070299	4
20220125-4407162162512915427	-1	1044	2022-01-25 19:33:00.501	1	1	3281217	2
20220125-1535643887000091196	1	23379	2022-01-25 17:24:58.016	14	3	3836244	4
20220125-5472803098308734930	0	21464	2022-01-25 14:23:58.820	4	4	9704940	2
20220125--1068366300594537866	1	24878	2022-01-25 14:57:45.976	2	2	3593348	4
20220125-3317338017395485546	0	24296	2022-01-25 07:37:09.529	4	4	3098321	1
20220125--4146713348353642587	1	30584	2022-01-25 04:53:22.132	2	2	7617710	3
20220125-397798786686365480	0	34048	2022-01-25 03:31:50.297	5	5	9590327	4
20220125--709269991539391272	-1	25980	2022-01-25 09:31:06.118	5	5	1982037	1
20220125--3530945847990603754	1	13177	2022-01-25 01:47:22.323	17	3	9666814	1
20220125--7095491817294269992	-1	2990	2022-01-25 21:31:17.289	2	2	1304598	2
20220125--8439513792436028159	-1	26562	2022-01-25 09:27:03.341	1	1	8385491	2
20220125--9061548734256623975	1	1006	2022-01-25 06:23:21.389	1	1	1165545	3
20220125--1372373398501921127	-1	31031	2022-01-25 02:32:52.237	4	4	7438448	2
20220125-7663761113629724471	1	5465	2022-01-25 11:17:41.215	1	1	7202678	1
20220125--5779616499919597760	-1	21029	2022-01-25 14:30:03.094	5	5	2134611	4
20220125-434183651109084799	-1	19327	2022-01-25 14:47:49.627	5	5	3875774	4
20220125--6955859146565434717	-1	12072	2022-01-25 13:34:28.561	10	3	7399298	1
20220125-654072472421310286	-1	5724	2022-01-25 12:38:38.730	1	1	7572831	4
20220125-873880891070346355	0	16220	2022-01-25 09:24:55.079	28	3	2226579	3
20220125--5996567446586594048	1	4341	2022-01-25 04:55:47.902	1	1	9899288	2
20220125--5450778088241352014	1	32929	2022-01-25 02:48:51.459	2	2	8933658	1
20220125-1049959969142009905	-1	34989	2022-01-25 16:27:19.255	1	1	2051702	2
20220125--5736124250343807113	-1	5557	2022-01-25 04:12:59.794	79	3	6141141	2
20220125-8556387098036696049	-1	23818	2022-01-25 21:19:53.530	1	1	9572105	2
20220125-7779008608108564567	1	13975	2022-01-25 23:50:23.020	2	2	4836298	1
20220125-8991087846428906093	1	34916	2022-01-25 20:37:34.698	4	4	2165869	4
20220125--583273736298626369	-1	9829	2022-01-25 08:27:03.809	1	1	4572888	1
20220125--4197759957754696329	-1	31995	2022-01-25 03:22:01.302	2	2	490850	4
20220125-4327240682114539328	0	31484	2022-01-25 06:07:04.309	1	1	7704586	1
20220125--6393294698199936553	1	37532	2022-01-25 14:42:01.048	5	5	6832610	4
20220125--3736551294757449885	1	17771	2022-01-25 00:48:22.527	4	4	2554731	1
20220125-9144763630027029633	0	24072	2022-01-25 04:54:56.261	4	4	1558711	4
20220125-1491082108202420635	0	35849	2022-01-25 12:38:59.303	43	3	9811206	4
20220125--4098485210712840808	-1	2776	2022-01-25 00:43:11.829	4	4	4755888	2
20220125--6788173430341129499	0	25486	2022-01-25 16:28:15.698	1	1	2457822	2
20220125--4654745364758313854	-1	39801	2022-01-25 00:56:45.720	19	3	4191708	1
20220125--7639623645994225817	-1	34297	2022-01-25 10:08:47.349	5	5	6966335	1
20220125-3002752084870109404	1	39136	2022-01-25 00:50:18.090	1	1	8666087	2
20220125--86950715641683550	0	24680	2022-01-25 07:30:33.516	4	4	8034723	3
