transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220127--81027278552059253	1	31716	2022-01-27 15:43:23.474	2	2	6130620	3
20220127-5925030057996967615	1	33502	2022-01-27 19:01:56.760	4	4	1255033	1
20220127--8174397694922160374	1	37079	2022-01-27 21:58:52.660	88	3	8912787	3
20220127--4724194982055400648	1	22269	2022-01-27 13:04:31.567	4	4	968666	1
20220127--869455569067251310	1	29619	2022-01-27 03:24:20.750	53	3	5127416	3
20220127--2574889711449280817	-1	15093	2022-01-27 01:46:06.961	1	1	8589065	2
20220127--7119225461171460353	-1	8502	2022-01-27 01:26:51.619	4	4	4295227	2
20220127-7675506622596677845	-1	21694	2022-01-27 10:03:28.783	4	4	2104035	2
20220127-6626681446643211456	-1	26159	2022-01-27 03:43:16.467	54	3	1457107	1
20220127--8086008390558506190	-1	38286	2022-01-27 07:23:06.357	64	3	2012379	4
20220127-7487181366960270429	-1	39287	2022-01-27 21:19:06.732	4	4	9375279	2
20220127-4943643177486863673	0	315	2022-01-27 02:06:36.900	1	1	5166192	1
20220127-3948118846988880357	1	645	2022-01-27 20:15:26.625	5	5	9269489	1
20220127--3691049467611258704	0	31819	2022-01-27 12:24:31.391	1	1	2892987	3
20220127--6446167387434806241	-1	3678	2022-01-27 16:32:46.924	93	3	973341	4
20220127--3496653011747458262	0	37465	2022-01-27 10:19:31.066	5	5	5455345	4
20220127-3396783583651048736	-1	15198	2022-01-27 05:14:32.818	2	2	6528971	1
20220127-6080190493929174273	0	12113	2022-01-27 17:30:23.000	2	2	1898057	2
20220127-495917620754026946	1	30047	2022-01-27 01:12:10.848	2	2	9021085	2
20220127--1101980016960381779	1	7297	2022-01-27 11:39:16.111	2	2	3591245	2
20220127--537469468609132922	-1	31410	2022-01-27 20:08:28.038	4	4	4593899	3
20220127--4426784528800889587	1	12131	2022-01-27 15:55:36.945	4	4	5507495	4
20220127--6566204912384105271	-1	2406	2022-01-27 05:41:51.632	1	1	3013936	4
20220127--2695262256526103856	1	20464	2022-01-27 16:00:52.457	2	2	9400713	2
20220127--5753612206822351643	1	28026	2022-01-27 18:46:33.628	4	4	9097605	4
20220127-7106000711938553758	-1	29071	2022-01-27 00:35:35.204	82	3	7201881	1
20220127--2007427639044724452	-1	14709	2022-01-27 01:12:11.007	2	2	4834360	4
20220127-6277283331228576991	1	29590	2022-01-27 15:45:23.793	37	3	5792663	1
20220127-6938519986279349817	-1	27516	2022-01-27 01:51:30.769	2	2	5984074	3
20220127--598550091488336344	1	2967	2022-01-27 01:05:36.880	4	4	2290450	4
20220127-8676786795615445691	-1	4281	2022-01-27 21:35:27.998	4	4	3161521	4
20220127--8547139340279373229	-1	37261	2022-01-27 03:17:54.428	1	1	285713	1
20220127-7716115024116503028	1	23182	2022-01-27 20:10:30.892	5	5	4287331	4
20220127-5826176888660883514	-1	35434	2022-01-27 00:07:39.562	2	2	1245645	3
20220127--9096780397533301939	-1	8681	2022-01-27 14:53:07.520	1	1	1105241	3
20220127--5431634257393303795	-1	29959	2022-01-27 19:10:27.467	1	1	1346088	2
20220127-4549970940516029710	0	6686	2022-01-27 05:01:01.705	86	3	4528996	1
20220127-5328364004587904570	1	17136	2022-01-27 00:06:55.271	5	5	1933235	3
20220127-6138182562356482457	-1	1547	2022-01-27 21:14:29.427	4	4	1889893	3
20220127-6501677637881063618	1	20910	2022-01-27 02:31:57.064	1	1	8366609	2
20220127--6507743974570764725	1	29034	2022-01-27 01:57:19.084	4	4	3921757	3
20220127-8715792453538898440	-1	26868	2022-01-27 10:08:56.699	2	2	176777	3
20220127-1202574352770717510	1	35677	2022-01-27 18:45:10.065	2	2	6067887	4
20220127--5115187130233916445	1	24844	2022-01-27 06:16:00.601	5	5	7206811	4
20220127--6504882629395438115	1	2659	2022-01-27 01:55:11.240	1	1	3134986	1
20220127-1971866630293579149	0	4904	2022-01-27 20:36:41.690	90	3	8083099	1
20220127--1826655425832256537	0	3145	2022-01-27 04:29:16.049	91	3	3606502	1
20220127-8078064821423005707	-1	28812	2022-01-27 13:39:22.993	2	2	5112195	1
20220127-4880821241401971233	0	37213	2022-01-27 02:20:29.399	5	5	9351468	3
20220127--1074856963460805505	-1	25098	2022-01-27 10:48:00.541	2	2	3896439	3
20220127--6725626997385745858	-1	20361	2022-01-27 13:10:50.961	4	4	4631403	2
20220127--3022873325815299587	1	33029	2022-01-27 23:03:19.528	2	2	100113	4
20220127--3657872481159402166	-1	7539	2022-01-27 08:33:38.531	32	3	4208267	4
20220127--5247993544339334008	-1	15165	2022-01-27 08:08:12.979	5	5	7404707	4
20220127--7242081184169039111	0	22752	2022-01-27 20:01:13.138	1	1	8832254	1
20220127-4314635343817742446	0	38356	2022-01-27 16:59:54.480	30	3	1339538	1
20220127--872971942010305368	1	3332	2022-01-27 00:02:48.825	1	1	790785	2
20220127--861500592315368744	1	23460	2022-01-27 13:07:14.209	4	4	7997454	1
20220127--6056078711600716689	1	21324	2022-01-27 11:19:01.181	4	4	5210740	2
20220127--4459493539047701026	0	2809	2022-01-27 05:54:24.246	85	3	5376217	2
20220127-6680357032473400200	1	34597	2022-01-27 01:18:03.522	2	2	2607061	2
20220127-9040034771992519360	-1	24024	2022-01-27 18:25:27.781	2	2	2720235	4
20220127-3541511578074764122	0	25306	2022-01-27 02:46:42.835	4	4	2151924	3
20220127-8862856365129512938	1	26027	2022-01-27 04:22:30.302	23	3	3418341	4
20220127-3414631669494345844	-1	18414	2022-01-27 07:24:21.070	5	5	2856841	1
20220127--5860011800905447797	0	33413	2022-01-27 04:37:52.110	2	2	6768931	3
20220127--5779367216418220845	0	6495	2022-01-27 00:12:16.087	5	5	4248274	1
20220127-761352694305173782	-1	23618	2022-01-27 22:46:02.577	4	4	7056899	4
20220127-5108993392342175208	0	11317	2022-01-27 23:28:03.147	85	3	3545221	2
20220127--8226161931016399707	-1	5227	2022-01-27 05:26:05.073	67	3	5807237	1
20220127--7007850569442266012	-1	22193	2022-01-27 06:44:01.586	5	5	3126890	1
20220127--1297977887706872903	0	34832	2022-01-27 04:58:01.726	4	4	4305915	1
20220127--6905425357599181487	0	26798	2022-01-27 07:42:31.705	5	5	8515931	4
20220127--2809803448196968947	0	8899	2022-01-27 12:43:38.526	10	3	1767523	2
20220127-1582756646655149615	0	38076	2022-01-27 09:27:43.443	5	5	6642349	1
20220127--4716891507899694817	0	9449	2022-01-27 13:40:46.561	2	2	9240656	1
20220127--8499455142190650598	-1	6777	2022-01-27 03:17:37.468	77	3	1386433	3
20220127--4113302452355314637	1	24913	2022-01-27 23:57:33.685	2	2	4072641	1
20220127-3176498914627065321	1	9993	2022-01-27 14:43:34.581	1	1	7284651	1
20220127-2510972870786327202	-1	36875	2022-01-27 08:38:39.712	85	3	7130646	3
20220127--8247107164510180957	-1	32329	2022-01-27 08:51:15.225	5	5	8160055	1
20220127-6354126117198031908	0	17082	2022-01-27 07:50:18.211	84	3	198510	3
20220127-6083621982114268957	1	36060	2022-01-27 17:25:00.972	5	5	3870852	1
20220127--7140533357195719076	0	18967	2022-01-27 13:39:36.670	87	3	3813233	2
