transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220128-8764588232920322598	0	16614	2022-01-28 16:18:36.075	4	4	4805042	4
20220128--7954929185850671314	1	28864	2022-01-28 21:31:00.733	1	1	4852406	4
20220128-5691770666850355649	1	10021	2022-01-28 14:54:29.749	4	4	1992345	1
20220128--5372875612435089240	0	8850	2022-01-28 19:13:35.815	4	4	6056048	1
20220128-7514659568593810889	1	26215	2022-01-28 22:59:36.338	4	4	1371415	4
20220128-1239221116740156846	-1	14556	2022-01-28 04:37:38.540	81	3	2535550	3
20220128--2166134064568665467	-1	32686	2022-01-28 18:33:43.432	1	1	1448035	1
20220128-7890535578389153040	1	19680	2022-01-28 04:20:09.841	31	3	9523108	3
20220128--3565425074620280051	1	37032	2022-01-28 07:15:00.707	1	1	7199906	3
20220128--6483719183912534619	1	17478	2022-01-28 08:41:16.214	1	1	1676868	1
20220128--7621257931639879270	1	36922	2022-01-28 01:52:03.165	5	5	9362128	2
20220128-8204745655742637875	1	659	2022-01-28 21:00:42.305	75	3	1835746	3
20220128--6608753027862311295	-1	12586	2022-01-28 06:52:20.744	5	5	8425724	3
20220128-2070471940856386137	1	8928	2022-01-28 12:01:06.105	65	3	4469176	4
20220128--8402120100621368716	-1	29496	2022-01-28 14:17:30.806	2	2	247834	4
20220128--2298941326830581142	0	37331	2022-01-28 02:10:38.454	56	3	6931463	4
20220128-7871694295270426493	-1	6424	2022-01-28 23:19:04.551	2	2	9915608	3
20220128--946731462194300777	1	3876	2022-01-28 02:05:51.433	32	3	5544092	1
20220128--7996224622544676438	0	20701	2022-01-28 09:56:04.201	2	2	9955719	3
20220128--5563032711330257059	1	16710	2022-01-28 18:52:18.362	2	2	3295280	4
20220128-852687736654285882	-1	2452	2022-01-28 09:04:39.281	2	2	968204	3
20220128--7178796961010582806	0	21960	2022-01-28 18:15:04.041	5	5	3747600	3
20220128--3984699589091378018	1	12660	2022-01-28 17:58:30.494	4	4	5413130	1
20220128--4413065862691476036	-1	15099	2022-01-28 14:06:39.275	5	5	3848147	3
20220128-5237412797190774528	0	35702	2022-01-28 14:57:15.010	2	2	3961984	1
20220128--3775753893495335335	0	23633	2022-01-28 09:41:14.105	1	1	4485560	1
20220128-2094496336168901686	-1	11653	2022-01-28 22:03:01.952	4	4	8496932	2
20220128--9114141557508324771	-1	4723	2022-01-28 04:29:22.408	2	2	3507447	3
20220128-8675735735168757909	-1	29517	2022-01-28 13:38:54.035	4	4	8789317	3
20220128-5737274703359835253	-1	31216	2022-01-28 12:51:18.000	2	2	8711962	4
20220128--85026985469215676	0	24328	2022-01-28 00:25:42.647	2	2	2035159	4
20220128--8524163037243279050	1	28543	2022-01-28 21:57:32.283	5	5	3942950	2
20220128-2727324578600537215	-1	34840	2022-01-28 08:32:44.011	30	3	9671035	1
20220128--5632945665553921135	-1	9999	2022-01-28 14:21:22.831	1	1	4352018	3
20220128-7549161983013761963	1	31732	2022-01-28 19:17:46.980	4	4	1215146	1
20220128-5583283466976317870	1	29838	2022-01-28 23:06:07.852	4	4	5153873	4
20220128-6306241446509844726	0	20097	2022-01-28 13:10:14.078	30	3	7123732	2
20220128-3912644595783698367	-1	3541	2022-01-28 08:13:25.509	1	1	3082495	2
20220128-3624011180468572466	-1	15145	2022-01-28 07:32:01.314	4	4	3155913	3
20220128--6704731975569554947	-1	15646	2022-01-28 08:28:20.163	70	3	8108927	2
20220128--7347080359095482221	-1	30093	2022-01-28 19:29:55.684	5	5	1895844	2
20220128--3451821300728464356	-1	13220	2022-01-28 14:36:46.012	5	5	8257260	1
20220128-5669448343524121925	0	9672	2022-01-28 16:17:03.219	55	3	3783361	4
20220128--2018189726765407009	1	14229	2022-01-28 03:33:20.479	5	5	9746711	2
20220128-7747129159995562072	0	10837	2022-01-28 03:54:59.268	2	2	2779861	4
20220128--1859192284334397063	-1	34935	2022-01-28 20:45:35.951	99	3	8438376	3
20220128-8794801543747528943	0	15677	2022-01-28 15:22:52.285	4	4	3791643	1
20220128-583993712747399567	-1	23022	2022-01-28 02:07:50.883	4	4	6536393	4
20220128--5802305176431205919	0	16484	2022-01-28 22:17:40.070	2	2	1683021	2
20220128-1670475024166608667	1	31347	2022-01-28 19:02:55.880	1	1	4804703	4
20220128--6963560807020517679	-1	30643	2022-01-28 04:06:42.956	5	5	5492852	1
20220128--1849246170687953354	1	30530	2022-01-28 16:53:20.819	4	4	4621893	3
20220128-1816282861938025006	1	30116	2022-01-28 14:39:09.581	2	2	7455469	4
20220128-7168599635412777475	-1	24462	2022-01-28 22:45:20.429	1	1	6435371	4
20220128-1417586172383905994	-1	13860	2022-01-28 20:59:23.958	5	5	110445	1
20220128--7150127225248976735	1	15511	2022-01-28 07:47:04.278	2	2	3038817	3
20220128-4406748684643843723	-1	34878	2022-01-28 07:00:10.981	98	3	6599958	1
20220128-7285324171271658790	-1	6722	2022-01-28 05:07:52.306	4	4	1405190	3
20220128-4755009754741002567	0	14391	2022-01-28 06:12:43.285	5	5	6578544	2
20220128--7645231482017635064	-1	20694	2022-01-28 06:57:11.607	1	1	1736948	2
20220128--8245397693500986085	0	23389	2022-01-28 16:34:24.190	53	3	5410550	2
20220128--8150593318390632356	0	18827	2022-01-28 01:44:50.198	41	3	6976240	2
20220128-1280584960305448058	1	4709	2022-01-28 06:50:04.800	5	5	4824627	4
20220128-755205507693688487	0	17178	2022-01-28 17:44:55.431	4	4	9864237	4
20220128-4769024868986341678	0	17354	2022-01-28 16:33:09.740	1	1	6931725	4
20220128-6583113090189721446	0	354	2022-01-28 16:16:02.952	54	3	7753661	3
20220128--6018509359975233728	1	20975	2022-01-28 07:21:49.821	5	5	1022859	1
20220128-6762537724175840862	-1	32449	2022-01-28 06:01:26.774	1	1	9549877	2
20220128-2655501882012078778	0	20225	2022-01-28 14:11:09.453	4	4	4441415	4
20220128-387726816422490329	-1	23692	2022-01-28 14:56:28.376	1	1	3332216	1
20220128--6472113492637714721	-1	13935	2022-01-28 02:09:55.257	1	1	296548	1
20220128-1042418551621286027	0	19334	2022-01-28 11:38:53.720	4	4	4884199	1
20220128-3456712739882137573	0	32565	2022-01-28 09:32:41.770	16	3	189946	4
20220128--1147510559128564624	0	18451	2022-01-28 01:09:56.015	1	1	4700581	2
20220128-5151618726892763374	-1	29058	2022-01-28 09:19:35.439	5	5	18200	1
20220128-6633224397045249520	0	25669	2022-01-28 04:58:54.230	4	4	6362972	3
20220128--7562488314715294886	0	27040	2022-01-28 08:10:40.687	4	4	7800875	4
20220128--1915750765094357626	-1	26537	2022-01-28 13:45:15.830	4	4	9981787	3
20220128-7441510723277778495	1	25507	2022-01-28 21:30:59.140	19	3	6537958	1
20220128-4983408534950888468	1	9971	2022-01-28 20:30:10.688	5	5	2091032	4
20220128--7106478770875241979	-1	18060	2022-01-28 03:34:52.742	5	5	9971763	3
20220128--3749118347406114122	1	6568	2022-01-28 10:20:37.748	4	4	5944768	4
20220128--6450891324023481180	1	32597	2022-01-28 10:47:47.754	1	1	3834567	4
