transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220129-1087547755955289271	0	14527	2022-01-29 01:15:11.917	2	2	22421	2
20220129-2107829119839324093	1	9852	2022-01-29 10:20:41.276	4	4	1291182	1
20220129-7969105832367383159	1	27247	2022-01-29 00:54:27.123	76	3	998057	2
20220129--528477031000027198	0	14000	2022-01-29 21:48:26.118	4	4	836242	2
20220129-232077358251617610	0	39995	2022-01-29 01:49:12.252	17	3	2277771	3
20220129--4823577487130093794	0	4412	2022-01-29 13:34:03.444	1	1	168415	2
20220129-8074562536615340538	0	4657	2022-01-29 23:41:00.352	2	2	7856683	3
20220129--7284515800076059122	1	13993	2022-01-29 08:08:05.948	5	5	6551748	4
20220129-3878879845631816438	-1	24814	2022-01-29 08:21:54.773	5	5	5627462	4
20220129-5279808209990601993	0	26079	2022-01-29 15:54:24.072	2	2	4749173	4
20220129-8561028756556378407	1	37813	2022-01-29 15:29:53.286	4	4	1668408	1
20220129-6506073937310402114	-1	5935	2022-01-29 22:57:49.549	4	4	1313526	4
20220129--1579666558753232887	-1	2977	2022-01-29 14:28:49.863	5	5	6277997	1
20220129--4341894339897807350	1	14270	2022-01-29 16:52:04.073	27	3	130469	4
20220129--7150172112344681318	1	2857	2022-01-29 19:20:43.330	5	5	6581319	4
20220129-6446292999352749923	0	31645	2022-01-29 16:25:35.868	4	4	9702888	4
20220129-9015693211051629780	1	31301	2022-01-29 20:17:50.112	1	1	6773759	3
20220129--8616326459766747860	1	17024	2022-01-29 10:31:14.626	4	4	8142052	4
20220129--825255726769055854	1	35665	2022-01-29 18:52:59.344	1	1	2626856	4
20220129--2465531501769658354	-1	3971	2022-01-29 19:59:04.706	5	5	5548998	1
20220129--5146518564693388156	0	9141	2022-01-29 04:09:35.039	2	2	2560449	3
20220129--666450205610039367	1	17415	2022-01-29 14:56:54.908	4	4	7336959	1
20220129--720099103901934032	0	996	2022-01-29 16:19:43.825	1	1	1574910	3
20220129--8133053167427060647	1	34310	2022-01-29 13:37:34.788	2	2	5329934	4
20220129-9121717443526316916	0	34384	2022-01-29 03:28:47.076	2	2	5016786	4
20220129--6047409779191799005	-1	37039	2022-01-29 01:46:29.808	98	3	724992	4
20220129-8723894403723031193	-1	13128	2022-01-29 09:10:25.260	1	1	7327192	3
20220129-1367391951138598350	-1	26606	2022-01-29 02:01:04.940	57	3	2818942	3
20220129-6777692868707305818	1	28857	2022-01-29 20:17:31.087	5	5	4831916	4
20220129--3121502628358141663	1	17821	2022-01-29 20:33:01.316	2	2	9385793	2
20220129-7804338418182195764	-1	19031	2022-01-29 23:41:35.733	5	5	6465071	1
20220129-1637388323303664163	0	15026	2022-01-29 13:43:32.719	1	1	3758037	3
20220129--2910743443076729339	0	9206	2022-01-29 07:27:29.966	4	4	659756	4
20220129-3307093567644951754	1	443	2022-01-29 23:13:40.073	4	4	2291108	2
20220129--1999309095996563569	1	16848	2022-01-29 04:13:26.576	2	2	300244	3
20220129-335010521464394055	-1	19762	2022-01-29 06:10:28.027	17	3	8676483	1
20220129--6424136574259043300	0	26885	2022-01-29 03:55:57.711	1	1	8106481	4
20220129--3091855331860614977	1	25224	2022-01-29 09:48:04.649	1	1	2582724	1
20220129-997215156256532295	1	31349	2022-01-29 23:04:05.189	72	3	9303886	3
20220129--1149839597140302237	-1	27146	2022-01-29 21:47:56.582	15	3	3084512	4
20220129--7636374098040546088	1	16597	2022-01-29 16:58:59.047	43	3	1016465	4
20220129--2699950029050235935	-1	14567	2022-01-29 11:00:44.757	4	4	4561368	3
20220129--4849708406651012195	0	25037	2022-01-29 04:06:21.902	95	3	1233313	3
20220129--2503317171583474278	1	34226	2022-01-29 04:05:04.558	4	4	598539	2
20220129--6148140082748973946	-1	4105	2022-01-29 14:24:25.167	2	2	9801906	2
20220129-7101524245803341040	-1	26077	2022-01-29 04:09:23.785	4	4	6567597	2
20220129-2422557938840421777	0	14377	2022-01-29 13:37:12.286	1	1	6916310	3
20220129-3197239656896739660	-1	34454	2022-01-29 04:07:01.766	4	4	6037541	4
20220129-1719015041152144658	1	12555	2022-01-29 17:06:58.590	5	5	7153835	1
20220129-3745203646566227598	1	31205	2022-01-29 08:23:52.945	2	2	9896941	1
20220129-8172497220556575645	-1	28261	2022-01-29 21:06:55.275	2	2	4492868	1
20220129--3007256610493658105	0	15957	2022-01-29 06:51:53.389	2	2	7322525	3
20220129-3274703837540634251	-1	12634	2022-01-29 21:33:41.201	1	1	4227374	4
20220129-8041400484189446812	0	11729	2022-01-29 10:19:21.697	13	3	4359223	3
20220129--849752883241201447	1	38411	2022-01-29 09:22:48.729	1	1	9341088	3
20220129--3349852257684463168	-1	16312	2022-01-29 17:44:07.609	4	4	478206	2
20220129--7711468163415849576	1	31587	2022-01-29 09:17:37.603	2	2	8551346	3
20220129-101852137753832976	1	31306	2022-01-29 21:45:47.539	64	3	8638163	2
20220129-7895527754167387308	1	35144	2022-01-29 14:11:19.225	1	1	395606	1
20220129-1383747976707480446	1	38743	2022-01-29 07:28:37.163	1	1	8568278	4
20220129--7636443095180634270	-1	16317	2022-01-29 04:49:58.928	4	4	9522659	3
20220129--5308652637551655523	1	6731	2022-01-29 01:35:17.449	1	1	9552115	2
20220129-4174979558780769100	1	1700	2022-01-29 09:25:14.544	4	4	69262	3
20220129-6644443120201105435	-1	22249	2022-01-29 22:17:16.393	1	1	4784313	4
20220129-5089528437577684877	0	10230	2022-01-29 00:10:29.421	1	1	2256313	4
20220129--3338258743468278413	0	31761	2022-01-29 01:40:39.112	30	3	857096	2
20220129-438826774966885147	-1	16848	2022-01-29 14:37:04.404	1	1	2521812	3
20220129-1788827976073841803	1	38435	2022-01-29 23:06:05.639	36	3	9232271	3
20220129--117991035021611698	1	27630	2022-01-29 05:24:46.648	107	3	6958784	2
20220129-2146341642274870668	-1	2182	2022-01-29 18:41:12.921	4	4	9878851	4
20220129-4107568700997171516	1	39271	2022-01-29 21:35:50.945	4	4	5307628	2
20220129-2928111753070499496	1	11012	2022-01-29 22:49:26.153	1	1	6886173	1
20220129-3477918834368747232	-1	34797	2022-01-29 04:48:12.014	2	2	5372456	1
20220129-3530159801921084620	1	24654	2022-01-29 01:35:26.511	2	2	1577212	1
20220129-163762130754459855	1	17287	2022-01-29 09:50:23.540	4	4	9141523	3
20220129-3903560532233097798	1	24314	2022-01-29 06:16:59.679	107	3	4382555	4
20220129--961785131963077169	-1	23935	2022-01-29 01:04:45.428	4	4	451578	1
20220129--2465453366255276220	0	35066	2022-01-29 16:57:51.363	4	4	6302717	4
20220129-5895268601405745781	0	28793	2022-01-29 02:24:43.874	4	4	5155464	3
20220129-1387574720326665012	0	28808	2022-01-29 02:37:38.552	4	4	5733179	2
20220129--731713040555308731	-1	35367	2022-01-29 00:47:58.088	2	2	2489881	3
20220129-867468609306641946	0	14761	2022-01-29 11:05:59.675	23	3	621516	1
20220129--282704332044590355	0	24585	2022-01-29 03:20:25.454	5	5	6725412	2
20220129-5980125238719444687	-1	13309	2022-01-29 03:37:49.995	74	3	1747298	1
20220129--3854551443027095462	1	39529	2022-01-29 05:29:55.353	4	4	2173132	1
20220129-8044047499282254402	1	17521	2022-01-29 16:40:26.725	5	5	4918089	3
20220129-6089751982702782236	1	6431	2022-01-29 16:27:34.267	4	4	9728078	2
20220129-6212920728828556420	1	20047	2022-01-29 23:49:36.186	2	2	7241950	2
20220129--4354871830459314182	1	32714	2022-01-29 19:28:08.995	16	3	9252719	3
20220129-840650596347827833	1	3441	2022-01-29 21:56:06.716	4	4	1749609	1
20220129--4624833597753901197	-1	16515	2022-01-29 00:44:18.348	1	1	5291072	3
20220129-4822397294817601460	1	34801	2022-01-29 17:15:35.479	4	4	8142981	2
20220129--3067548908301405534	-1	4362	2022-01-29 18:50:51.770	5	5	7251729	1
20220129-7997258220723847822	0	28050	2022-01-29 13:12:09.664	2	2	1114376	2
20220129-501722915801643843	1	38913	2022-01-29 05:39:36.790	4	4	5676579	3
20220129-8726744528613798892	-1	6624	2022-01-29 01:33:08.661	2	2	6797896	2
20220129--267828315230585029	1	31798	2022-01-29 03:06:59.335	4	4	4971910	1
20220129--3965120561659615065	-1	25615	2022-01-29 06:23:19.101	2	2	7832044	3
20220129-9012334137892429642	0	19276	2022-01-29 13:19:18.620	73	3	3300918	4
20220129-1859366440434353285	-1	13337	2022-01-29 03:24:06.448	5	5	2239289	1
20220129-4066040876721236634	1	35080	2022-01-29 09:36:20.334	1	1	4979454	1
20220129-8686266518733316363	1	7605	2022-01-29 19:24:51.816	2	2	1300232	3
20220129--3436521512345102216	1	6086	2022-01-29 07:58:35.726	28	3	9455810	3
20220129-4302252896774106348	0	4535	2022-01-29 08:33:14.567	5	5	2344695	1
20220129--8434528502972133061	1	6694	2022-01-29 22:47:02.558	4	4	7575813	1
20220129--4205991831128421373	1	33370	2022-01-29 17:33:11.631	31	3	151959	4
20220129-4072330539610297773	0	29417	2022-01-29 19:37:31.408	4	4	282047	2
20220129--3423922376080164612	-1	26142	2022-01-29 00:03:37.724	4	4	7546732	3
20220129--3848365479834400869	0	33687	2022-01-29 10:45:01.810	1	1	2317293	4
20220129--5728100426661528048	-1	5995	2022-01-29 03:29:08.902	1	1	7956555	1
20220129--6981527471256738024	1	30118	2022-01-29 09:07:48.761	4	4	3984207	4
20220129--453823787053268005	1	8261	2022-01-29 06:10:47.373	4	4	125568	1
20220129-4030720071031945080	0	24675	2022-01-29 23:52:37.889	95	3	9724513	3
20220129-1763797668671609375	0	16851	2022-01-29 05:34:29.025	1	1	1865638	2
20220129--939363663345085955	0	18146	2022-01-29 21:21:19.809	4	4	8499116	1
20220129--268525530476395017	0	13724	2022-01-29 17:44:19.212	5	5	8380044	1
20220129-8112463990248853255	-1	24722	2022-01-29 17:50:47.114	2	2	4028566	2
20220129--4037295359503067592	1	27450	2022-01-29 06:23:53.685	1	1	3671284	4
20220129-2331812627935236213	1	36298	2022-01-29 14:58:50.073	1	1	1737142	1
20220129--3585845200764995213	0	13879	2022-01-29 21:30:42.415	4	4	9717510	2
20220129--4755335256200618565	-1	9211	2022-01-29 22:37:18.354	41	3	3409187	1
20220129--2678061348889673582	-1	22885	2022-01-29 13:16:57.495	5	5	9331138	1
20220129--7114901543038832221	-1	291	2022-01-29 16:19:10.856	4	4	6882497	3
20220129-5803727654968698939	1	5785	2022-01-29 20:32:45.501	91	3	2683933	4
20220129--5183150968005724578	-1	15983	2022-01-29 22:50:50.598	2	2	5269643	4
20220129--7655183355283933228	1	9904	2022-01-29 15:09:19.054	5	5	7171947	3
20220129--1867564947659368413	0	16515	2022-01-29 14:12:51.323	4	4	2676391	3
20220129-8641481645235423514	-1	1640	2022-01-29 20:08:34.985	5	5	2410698	1
20220129--106928748668319426	1	10755	2022-01-29 07:14:51.250	4	4	8883234	2
20220129--498738461883226523	-1	18271	2022-01-29 22:38:45.202	5	5	3984570	1
20220129-3299970083390527247	-1	9194	2022-01-29 08:57:30.478	74	3	7275486	1
20220129--2082869356360213104	1	27617	2022-01-29 09:02:29.167	2	2	6141162	4
20220129-765322093890872062	0	16932	2022-01-29 17:30:19.116	1	1	4943287	1
20220129-7474258453059461274	0	21984	2022-01-29 07:28:00.886	1	1	3269355	2
20220129--8201389924159740970	-1	31327	2022-01-29 20:17:51.603	1	1	2578947	1
20220129-1816487194333664799	-1	9035	2022-01-29 18:17:39.309	4	4	3778829	3
20220129-2505654305255770423	0	984	2022-01-29 06:33:38.168	1	1	5714987	4
20220129-2476436108281672498	0	33760	2022-01-29 00:16:36.943	5	5	4904348	1
