transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220131--737273848931178596	1	24129	2022-01-31 02:35:14.373	1	1	4549910	1
20220131-4035127797062299989	1	20023	2022-01-31 15:56:43.574	4	4	6430667	3
20220131--4351043280098819678	0	1784	2022-01-31 01:54:06.755	1	1	2266671	1
20220131--8534591035674757395	0	36511	2022-01-31 13:16:47.036	2	2	522819	3
20220131--7814977683000893943	-1	32058	2022-01-31 21:25:37.665	1	1	184984	2
20220131-2317731345040623914	1	27093	2022-01-31 23:16:40.528	4	4	3983669	1
20220131--6824274097340861756	1	36652	2022-01-31 05:16:19.113	72	3	3121853	3
20220131--2854863350819985036	1	7304	2022-01-31 07:34:15.173	1	1	8296324	4
20220131--6489477109635402349	0	14027	2022-01-31 09:48:12.276	4	4	4654292	3
20220131--5781896289542988928	-1	20166	2022-01-31 21:50:17.187	2	2	185865	4
20220131--1027104298652562452	-1	26417	2022-01-31 11:28:22.700	1	1	7216055	4
20220131-8676382452631841534	-1	10533	2022-01-31 03:34:45.551	5	5	9396012	4
20220131--8724125025514248599	0	15145	2022-01-31 23:28:39.681	2	2	9157278	3
20220131-6440859500483231920	0	1664	2022-01-31 23:08:44.607	2	2	5240415	4
20220131-8042099585288487268	0	5796	2022-01-31 04:36:14.862	1	1	1746370	1
20220131-4849581641707090955	0	14747	2022-01-31 03:59:50.553	2	2	5472304	3
20220131-62300833749727894	1	36618	2022-01-31 21:11:17.127	57	3	3981729	1
20220131--2119260104256191579	-1	31506	2022-01-31 05:47:54.880	20	3	8515898	2
20220131--2533090610959761158	0	30104	2022-01-31 10:39:15.690	4	4	210046	4
20220131--4211032508040664779	1	39458	2022-01-31 13:41:30.100	1	1	8416479	2
20220131--3695021176818675332	0	26149	2022-01-31 07:57:10.940	2	2	2437964	4
20220131-5795388808818571773	-1	2295	2022-01-31 22:43:27.255	5	5	7937554	2
20220131-6237186650736855619	1	27215	2022-01-31 02:29:41.793	1	1	5365835	4
20220131--5360294312153906055	1	24371	2022-01-31 12:56:09.003	1	1	7609668	1
20220131-6396888084763970340	-1	15498	2022-01-31 23:47:23.380	1	1	3847149	1
20220131-8135336919543457594	0	7728	2022-01-31 16:00:41.830	95	3	768005	3
