transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220201-3767711014659612271	-1	28933	2022-02-01 12:04:45.193	4	4	4649915	2
20220201-5107155885054693313	1	37853	2022-02-01 17:42:21.712	5	5	346860	2
20220201--8404382388655718718	-1	34703	2022-02-01 21:19:48.405	4	4	6939137	2
20220201-3755164629393126183	-1	35584	2022-02-01 22:10:04.989	1	1	4726972	3
20220201--5321369080571137653	-1	29713	2022-02-01 00:19:44.843	47	3	5764438	2
20220201--7969496414310484479	0	38327	2022-02-01 22:07:51.564	5	5	2449397	3
20220201--871566748568833576	1	2897	2022-02-01 07:02:44.924	2	2	5366057	2
20220201--424171539914063419	1	16189	2022-02-01 10:42:28.523	5	5	8593711	4
20220201--1476089408840282050	0	2064	2022-02-01 11:55:10.747	89	3	7875314	3
20220201-8012083538240796927	-1	18405	2022-02-01 11:55:16.274	4	4	5919188	2
20220201-3383604087213901067	-1	32978	2022-02-01 21:46:28.194	4	4	2889278	1
20220201-2150700799145697546	-1	7965	2022-02-01 02:15:43.081	5	5	5019513	1
20220201--6861364930663827664	0	1991	2022-02-01 13:28:26.516	1	1	9170853	3
20220201--2592949479860913092	-1	11396	2022-02-01 10:15:22.931	4	4	4018914	1
20220201--1830031630661562898	-1	17049	2022-02-01 23:04:00.350	5	5	7787882	2
20220201-6126916898092477938	1	15714	2022-02-01 11:11:52.456	4	4	3431405	1
20220201-3892610090184150189	0	35180	2022-02-01 06:31:18.094	2	2	501339	4
20220201--5853887626113512780	0	37161	2022-02-01 11:46:24.256	5	5	1039755	3
20220201-4470324911637864402	0	924	2022-02-01 09:09:09.421	4	4	6103192	1
20220201--5688462508998124969	0	7781	2022-02-01 09:32:01.428	5	5	2704138	4
20220201-7051390087569951296	-1	33124	2022-02-01 23:27:53.779	2	2	6988467	3
20220201--1754341452506885559	1	26204	2022-02-01 01:20:49.270	61	3	9831131	1
20220201-158569185735814374	0	39903	2022-02-01 07:19:42.292	5	5	3446351	3
20220201--2508571773870165007	-1	17057	2022-02-01 06:58:18.535	4	4	6907698	4
20220201-5873826886149370121	1	34019	2022-02-01 05:51:55.029	4	4	24690	4
20220201-1681860672163691459	0	36698	2022-02-01 21:57:02.403	5	5	945864	3
20220201--4288588341503288	0	8831	2022-02-01 12:59:14.485	4	4	1333941	3
20220201-205397180100320491	-1	12748	2022-02-01 18:06:44.526	34	3	9774661	2
20220201--2444707106598116323	0	4752	2022-02-01 22:27:19.206	49	3	2458013	1
20220201--4019737462705832102	0	36028	2022-02-01 21:54:32.849	2	2	4282772	1
20220201--8219787553819818420	0	24746	2022-02-01 10:50:40.662	1	1	2008502	4
20220201--6843157268575701693	-1	7249	2022-02-01 19:02:16.688	2	2	7252837	1
20220201--825130854608693779	1	7449	2022-02-01 21:50:48.026	2	2	438836	2
20220201-3858246522960540937	-1	25833	2022-02-01 10:03:43.980	35	3	5776654	2
20220201-7325151286643490891	0	34620	2022-02-01 13:25:15.675	1	1	676779	3
20220201--5916919234606779069	1	20336	2022-02-01 16:16:14.358	5	5	2235779	1
20220201--5743887023586810314	0	10536	2022-02-01 12:06:49.526	4	4	6476476	4
20220201-4938880350470462906	0	23253	2022-02-01 14:26:45.105	4	4	5206935	1
20220201--3106946747584907836	0	7548	2022-02-01 18:09:27.325	26	3	7674691	3
20220201--9056646969530172387	0	21151	2022-02-01 00:43:58.357	1	1	9133614	1
20220201-4864212498600190973	1	38903	2022-02-01 21:31:18.484	1	1	4933922	2
20220201-5777714322742299755	-1	36697	2022-02-01 21:51:52.144	51	3	3537323	3
20220201-5009431675395095859	1	12077	2022-02-01 22:19:14.886	5	5	672590	2
20220201-2110664112801222507	-1	25869	2022-02-01 16:29:08.383	99	3	5683719	4
20220201-4719781417486091247	1	18066	2022-02-01 20:44:45.905	67	3	653019	1
20220201-2850002705842843576	1	16120	2022-02-01 08:51:42.487	1	1	6438852	2
20220201--3391912433573646016	0	17804	2022-02-01 07:46:19.005	4	4	1628502	4
20220201-3542984307282551504	1	35908	2022-02-01 16:35:27.707	2	2	3863294	1
20220201--1000404812985797075	0	28479	2022-02-01 20:17:02.637	1	1	4609733	1
20220201--6604987630041000054	-1	796	2022-02-01 22:34:06.324	5	5	5619110	3
20220201--6934507149132718411	-1	23885	2022-02-01 11:53:24.819	19	3	7480290	2
20220201-461807268253022756	1	20394	2022-02-01 17:15:42.010	4	4	4937412	3
20220201--3330674453972210272	1	23775	2022-02-01 00:01:47.162	4	4	4108540	1
20220201--7676178582844974074	-1	35754	2022-02-01 04:38:35.410	1	1	3822826	3
20220201--5410890902960715823	0	5594	2022-02-01 04:23:05.182	1	1	2779530	1
20220201-5819320875349748748	0	4774	2022-02-01 21:17:25.264	5	5	4540292	4
20220201--536345269884914629	0	15212	2022-02-01 01:26:16.356	4	4	4045849	4
20220201--7221464607059792477	0	462	2022-02-01 23:28:07.361	2	2	7880734	4
20220201-8270701569290788955	0	6343	2022-02-01 06:13:24.719	4	4	1298198	2
20220201--8757156141039004460	1	6779	2022-02-01 08:40:01.853	86	3	4995015	2
20220201--6812650812205050516	0	28745	2022-02-01 22:35:01.584	2	2	7410707	3
20220201-4448042464774449676	-1	39979	2022-02-01 17:15:58.999	2	2	3435809	1
20220201-6440007728738315735	-1	11705	2022-02-01 06:41:00.185	2	2	6585594	3
20220201-6218175514608459549	1	32142	2022-02-01 09:37:00.927	4	4	1947516	2
20220201--1164652674632022677	0	20642	2022-02-01 19:42:20.315	1	1	7967070	2
20220201--1117907925014607667	1	23934	2022-02-01 03:00:57.851	2	2	8174409	4
20220201-5546205903410855863	-1	31787	2022-02-01 15:54:31.889	5	5	4081717	2
20220201--4532943708247464515	1	12141	2022-02-01 22:19:48.922	12	3	3498388	2
20220201--5789794946682065875	-1	6115	2022-02-01 22:40:21.338	5	5	2903622	4
20220201--5714840564146182338	-1	37657	2022-02-01 16:35:48.435	4	4	2176142	3
20220201--3966112210804651247	1	34234	2022-02-01 08:12:21.247	5	5	9234392	3
20220201-171804789061501119	1	8288	2022-02-01 03:12:55.722	4	4	3306505	4
20220201--3638750036138746884	1	32405	2022-02-01 06:28:33.660	4	4	6356607	4
20220201-1939594450586312082	1	8390	2022-02-01 07:16:29.199	62	3	4428216	2
20220201--610970338306415173	0	29892	2022-02-01 06:22:00.872	2	2	7594695	1
20220201-1668712272064322809	0	4327	2022-02-01 08:38:28.815	2	2	9949648	2
20220201--8092744858094852155	1	7505	2022-02-01 04:56:02.383	1	1	5520758	1
20220201--4680014289021161117	0	22281	2022-02-01 17:14:45.927	4	4	6930674	2
20220201-3831039558909638789	-1	23402	2022-02-01 06:46:28.557	5	5	485729	1
20220201-2252987184804733575	1	1911	2022-02-01 19:40:44.220	11	3	1787398	1
20220201--5184960102878023910	-1	9731	2022-02-01 21:47:00.535	5	5	6842563	1
20220201-7486086188495113330	-1	26060	2022-02-01 02:30:53.494	1	1	5948173	1
20220201-5622699701654820377	1	4871	2022-02-01 09:10:05.684	4	4	1683127	1
20220201-7076140121764853893	-1	9552	2022-02-01 03:49:45.617	5	5	2478420	4
20220201--4897603157117772097	0	29258	2022-02-01 03:23:00.048	2	2	8377149	4
20220201--971571026533073309	-1	37655	2022-02-01 20:51:09.295	77	3	6982906	2
20220201-7617795723060939719	-1	33059	2022-02-01 10:14:42.883	4	4	2399494	4
20220201-2981682392618901550	0	6250	2022-02-01 21:33:46.225	5	5	6729559	1
20220201-6424179457130985400	0	25633	2022-02-01 19:33:36.852	2	2	444943	3
20220201--6812424873221100894	0	39318	2022-02-01 18:16:12.878	63	3	2271768	3
20220201--7910729974151784549	1	26732	2022-02-01 16:48:55.666	2	2	9291821	1
20220201--3233799399475220939	1	34380	2022-02-01 08:44:00.325	5	5	646991	1
20220201--751375566220700818	1	39343	2022-02-01 17:47:16.898	91	3	5617475	1
20220201--1533813777437609423	1	23732	2022-02-01 11:20:15.792	4	4	2625389	1
20220201--1323507016511867697	1	39033	2022-02-01 05:07:05.285	2	2	4737253	1
20220201--217058794215550239	0	39863	2022-02-01 18:30:18.360	1	1	3729589	3
20220201-53629047636598000	-1	23990	2022-02-01 14:30:15.131	1	1	9479603	2
20220201--5562686926156292533	-1	39512	2022-02-01 08:12:56.980	61	3	4432834	2
20220201--3250769682257585731	0	27435	2022-02-01 08:59:06.358	5	5	8494590	3
20220201-2462566478521794736	-1	8676	2022-02-01 04:42:31.004	5	5	7680453	2
20220201--2875279120396066630	-1	25591	2022-02-01 08:21:47.258	37	3	7338051	3
20220201-9213820693996958648	0	6595	2022-02-01 13:27:45.716	5	5	7527475	2
20220201--7862738835554031578	-1	19129	2022-02-01 20:52:12.788	4	4	3651391	3
