transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220202-8048955262217973515	0	5114	2022-02-02 08:38:15.060	4	4	4850210	1
20220202--4698180552109142590	1	23335	2022-02-02 09:59:46.835	4	4	9218801	4
20220202--3974877994305637797	-1	29901	2022-02-02 14:05:44.495	2	2	8885779	1
20220202-2896456820496561025	-1	15375	2022-02-02 20:23:48.887	1	1	2365083	2
20220202-5963802914029148024	1	22845	2022-02-02 03:48:52.826	4	4	8852223	1
20220202-1453507968337397268	-1	23138	2022-02-02 02:42:43.751	1	1	3593183	3
20220202-2699213139350400439	-1	7011	2022-02-02 08:14:36.021	5	5	1364216	4
20220202-8752865994181379997	1	24879	2022-02-02 00:00:19.419	2	2	5142446	3
20220202-4171128908398435661	1	5360	2022-02-02 20:29:01.315	1	1	7266991	3
20220202-5292034457846378990	0	16675	2022-02-02 20:31:09.689	11	3	1009895	3
20220202-6641603733022568482	-1	14930	2022-02-02 11:14:35.338	4	4	2454381	3
20220202-7719554206395312486	1	27515	2022-02-02 02:33:52.933	73	3	6291498	1
20220202--410309445810646323	1	21498	2022-02-02 19:12:50.765	4	4	8687894	2
20220202-2761553942761034082	1	28664	2022-02-02 20:47:18.186	1	1	3780081	1
20220202-5955421356374081808	-1	25843	2022-02-02 20:58:49.169	1	1	7474664	3
20220202--7276946097822079125	-1	28023	2022-02-02 04:01:20.768	1	1	3171163	3
20220202-2930102235182589695	0	39295	2022-02-02 00:20:46.863	1	1	1613051	1
20220202-4900646606806643196	0	3850	2022-02-02 05:56:09.666	4	4	5581721	1
20220202-57109821614775526	1	19516	2022-02-02 03:10:03.851	109	3	5866293	4
20220202-8925831373189195161	0	23189	2022-02-02 00:44:15.591	5	5	96394	1
20220202-4067495702152893214	1	36500	2022-02-02 10:25:34.286	1	1	2967026	2
20220202--7506136620624146650	-1	11838	2022-02-02 03:43:08.725	2	2	4894106	2
20220202-7438636263495722959	1	26829	2022-02-02 13:15:27.079	5	5	3759780	1
20220202--528376221182137949	1	2243	2022-02-02 17:34:23.504	1	1	4851690	2
20220202-5772034840904447298	0	778	2022-02-02 09:58:57.813	5	5	2547718	2
20220202--5977330478102427829	0	3176	2022-02-02 02:24:00.610	1	1	908061	3
20220202-1237478676108483509	-1	37731	2022-02-02 17:50:38.027	4	4	2465609	2
20220202-7548498559977575664	1	20786	2022-02-02 12:36:14.154	2	2	3510685	3
20220202-7968581824096816256	0	14013	2022-02-02 20:14:26.552	4	4	3092826	1
20220202--6993239150206267706	1	39556	2022-02-02 19:52:29.724	5	5	9199725	4
20220202-2923974727992182356	-1	38055	2022-02-02 14:30:32.607	4	4	8797542	1
20220202--3254634961517643476	1	28541	2022-02-02 08:00:23.024	2	2	9848272	3
20220202--3794378797954293311	0	3469	2022-02-02 22:19:19.368	4	4	6861667	4
20220202-968599832042268176	0	23117	2022-02-02 21:19:58.449	2	2	4873108	4
20220202-8436735506408171974	1	13667	2022-02-02 14:35:05.476	4	4	1685578	1
20220202--135482079155725461	-1	13820	2022-02-02 02:36:25.427	64	3	7361309	2
20220202-4584723510927332292	0	10323	2022-02-02 19:32:44.532	4	4	5971301	2
20220202--3591917951195777921	0	39150	2022-02-02 11:30:17.835	100	3	6734717	1
20220202--5218912182629401858	0	19699	2022-02-02 19:45:27.530	5	5	1205355	2
20220202--5552098410914702432	-1	39161	2022-02-02 00:38:21.385	5	5	8638294	4
20220202-2140447671938852318	0	30281	2022-02-02 00:21:34.881	5	5	1208190	1
20220202-1726265877793311828	1	18426	2022-02-02 00:30:12.694	2	2	2151569	2
20220202-7263084767217976306	0	1737	2022-02-02 02:21:05.621	5	5	6887230	1
20220202-7943192387622104687	-1	10351	2022-02-02 02:39:02.421	1	1	68482	4
20220202--1783762971582155277	0	21848	2022-02-02 13:49:23.881	4	4	3443458	3
20220202--1816607785355452398	1	29755	2022-02-02 10:43:43.754	50	3	1083911	1
20220202--9059110025437074642	1	20371	2022-02-02 04:16:38.628	5	5	1447990	1
20220202-2287640875252403801	0	7600	2022-02-02 03:04:08.129	5	5	9469544	3
20220202-8726009725040245507	0	30195	2022-02-02 04:16:48.249	4	4	5953263	2
20220202--3154674359160976513	1	12933	2022-02-02 09:55:45.263	5	5	5833827	2
20220202-6809295108558543028	0	1026	2022-02-02 17:22:19.517	61	3	5397760	4
20220202--133104292680286173	1	24249	2022-02-02 22:59:27.883	4	4	5588216	3
20220202--7776692945191262374	-1	21225	2022-02-02 15:27:37.866	1	1	915756	4
20220202--7007039294947624745	0	33029	2022-02-02 01:11:05.463	5	5	6755267	4
20220202--649315209436183434	1	26459	2022-02-02 03:25:06.290	23	3	4294103	2
20220202--3888485346290932053	1	7669	2022-02-02 01:10:13.327	2	2	7760344	2
20220202-3186798589648687174	1	20716	2022-02-02 07:29:44.361	1	1	9724762	4
20220202--3825788264641188427	1	24660	2022-02-02 15:10:35.312	40	3	4739026	2
