transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220203-2579432318474516683	1	10167	2022-02-03 00:13:28.340	1	1	1633137	1
20220203-2361393179037196697	-1	32923	2022-02-03 16:53:29.159	2	2	7968760	3
20220203--2978849067813964294	-1	17879	2022-02-03 20:28:52.373	1	1	7749952	4
20220203-8221363817708695298	0	19826	2022-02-03 19:11:07.640	4	4	3808068	1
20220203-4229828456105480552	0	35709	2022-02-03 09:37:15.576	4	4	3926476	3
20220203-4831444427273272728	0	18568	2022-02-03 02:27:58.872	1	1	5919655	3
20220203-8460582928746549545	-1	1998	2022-02-03 22:07:59.471	14	3	3207415	4
20220203--7589084819669357751	1	16999	2022-02-03 06:47:47.090	2	2	3541289	3
20220203--6439109448629976640	1	769	2022-02-03 07:18:18.996	4	4	1452906	1
20220203--6632208887096616036	0	34564	2022-02-03 16:46:10.077	1	1	2200769	4
20220203-8799930652137501976	0	36689	2022-02-03 04:32:03.644	13	3	7480375	1
20220203--963865233177007283	0	21125	2022-02-03 04:13:42.111	1	1	670779	4
20220203--9042579540471302254	-1	96	2022-02-03 01:42:03.099	4	4	8208383	1
20220203-6631452625094209559	1	20296	2022-02-03 06:20:45.433	2	2	5458630	1
20220203-4655523947422235925	-1	32960	2022-02-03 08:10:35.292	4	4	1057484	1
20220203-8564868792065272304	-1	25910	2022-02-03 18:08:29.002	82	3	7996510	3
20220203--2009771239141494900	1	5740	2022-02-03 22:50:59.926	5	5	4966742	3
20220203-6536128525556156153	-1	371	2022-02-03 21:29:17.654	4	4	8790344	4
20220203--4662950128112088766	0	34446	2022-02-03 19:55:23.554	5	5	1357630	1
20220203-210135235622828861	1	3369	2022-02-03 11:28:16.230	62	3	8431466	1
20220203-5747685176361397137	-1	37285	2022-02-03 06:55:44.969	1	1	9124359	4
20220203--1381890666519553123	0	6596	2022-02-03 06:25:15.875	5	5	2435964	1
20220203-5987073227603060177	-1	19160	2022-02-03 17:07:27.954	5	5	3440343	1
20220203-8464259009387831721	0	16392	2022-02-03 08:45:04.458	2	2	2535540	3
20220203--1933859580337238061	0	1118	2022-02-03 18:26:13.433	5	5	2525160	3
20220203--5874145989638763576	-1	37184	2022-02-03 01:40:03.217	81	3	229047	2
20220203--6976503261338495820	-1	37178	2022-02-03 05:24:53.981	48	3	8107443	4
20220203-5117970065396816035	-1	18397	2022-02-03 21:51:23.161	1	1	5221864	2
20220203-964090630264636944	0	38363	2022-02-03 21:48:44.345	1	1	1796144	4
20220203-564680185851393252	-1	1241	2022-02-03 20:23:05.039	2	2	2154075	1
20220203-8504134371969660112	0	32676	2022-02-03 21:08:19.273	1	1	1890292	4
20220203-8790186131621776198	-1	30964	2022-02-03 11:39:44.059	4	4	6046448	2
20220203--8238030836335563266	0	15427	2022-02-03 07:54:26.165	79	3	489009	4
20220203--8742331208213609854	1	20894	2022-02-03 15:18:02.571	4	4	6446241	4
20220203-1915470155898085310	1	39755	2022-02-03 17:24:40.891	2	2	3946412	4
20220203-1735725376554637696	1	11406	2022-02-03 19:35:29.407	1	1	2112663	3
20220203-9029333232820019831	1	35890	2022-02-03 07:43:14.232	1	1	4859458	2
20220203-1957183663307913219	0	29689	2022-02-03 15:43:17.187	4	4	7472141	4
20220203--2107313644982440444	1	39018	2022-02-03 05:06:40.681	2	2	2996021	1
20220203-6409600630351752787	-1	32473	2022-02-03 01:17:00.449	5	5	7287172	3
20220203--9141802454578807613	-1	23812	2022-02-03 23:42:22.520	2	2	9674086	4
20220203--3031058031727603223	1	8621	2022-02-03 00:44:24.257	49	3	7844004	2
20220203-5811419302807259596	-1	25710	2022-02-03 04:50:35.224	18	3	8890241	1
20220203-4498709478444023334	1	7158	2022-02-03 08:29:13.602	2	2	9337572	4
20220203-5295228268560268914	1	34804	2022-02-03 01:33:15.974	4	4	3678563	3
20220203-3701277226523435418	-1	4412	2022-02-03 06:39:14.734	4	4	7879889	3
20220203--6010735805952867849	0	14782	2022-02-03 18:40:33.873	96	3	6055725	4
20220203-8782338381525539814	1	38151	2022-02-03 11:06:02.940	4	4	3920140	2
20220203--7173601257128427514	-1	12305	2022-02-03 09:08:01.824	2	2	4762135	1
20220203-2348420082016847254	-1	35898	2022-02-03 17:04:48.975	1	1	1609798	1
20220203-5023512829824119178	0	24694	2022-02-03 20:15:45.138	10	3	1617968	3
20220203--2344172460315234192	1	9002	2022-02-03 14:23:59.779	4	4	9516832	2
20220203-1930516701650740498	0	10476	2022-02-03 11:52:46.434	2	2	8941713	3
20220203-7883911918070172505	1	16222	2022-02-03 13:35:19.095	4	4	6513766	1
20220203--2971446545677400225	0	8608	2022-02-03 19:23:00.841	4	4	1310172	4
20220203--1331402940373408544	-1	33628	2022-02-03 08:29:17.529	5	5	9459280	3
20220203-241640611321925654	-1	4292	2022-02-03 09:34:10.896	2	2	3674360	2
20220203--1070188986707628147	0	7281	2022-02-03 23:42:06.415	4	4	8036989	3
20220203--5753751440822304888	1	27037	2022-02-03 22:17:42.042	5	5	4351529	1
20220203-5563956066069859095	1	23728	2022-02-03 04:55:36.312	2	2	843087	1
20220203-3762863176069834215	1	708	2022-02-03 09:52:30.532	1	1	5689674	3
20220203--7013658931156921304	1	15747	2022-02-03 17:29:55.753	2	2	8428899	4
20220203-1304096612240839331	-1	34604	2022-02-03 05:30:12.625	48	3	5450180	2
20220203-3593782577038789318	1	12534	2022-02-03 04:49:08.254	49	3	3351863	1
20220203--2765548744287463971	1	39583	2022-02-03 16:53:57.508	1	1	2729072	2
20220203-7300597402896365926	-1	26284	2022-02-03 09:01:17.798	4	4	941489	1
20220203-2862860011781960025	0	37990	2022-02-03 15:08:50.104	4	4	172435	4
20220203--3645819205550425720	0	18566	2022-02-03 18:08:18.704	5	5	3368292	2
20220203--3157828112424273903	-1	39552	2022-02-03 13:15:38.037	1	1	8087588	2
20220203-6788064238436665108	0	31805	2022-02-03 14:48:48.863	5	5	5160817	1
20220203--7513555097454371951	0	33678	2022-02-03 10:07:30.111	5	5	3232904	4
20220203-8727607421913267553	1	15772	2022-02-03 20:58:52.169	25	3	6292395	3
20220203-5480796843516391394	-1	19900	2022-02-03 15:21:39.590	1	1	536370	3
20220203-6643242235653654727	-1	17034	2022-02-03 14:42:03.181	1	1	5625006	3
20220203--7476766563260824172	1	7650	2022-02-03 01:26:55.531	102	3	5114692	1
20220203-6313929911569772387	0	191	2022-02-03 04:14:32.696	5	5	1393512	3
20220203-7346531755002305505	0	1943	2022-02-03 14:46:23.358	5	5	5255828	4
20220203-2446961236561538585	0	14212	2022-02-03 21:39:32.380	95	3	3343429	2
20220203--2042342593436931381	-1	25137	2022-02-03 07:46:57.721	2	2	1238143	1
20220203-1573476996920039605	1	22668	2022-02-03 22:45:27.886	4	4	6860699	2
20220203-1021578733114930498	1	19321	2022-02-03 07:55:26.011	41	3	5653888	2
20220203--5611357182257339100	-1	23462	2022-02-03 15:06:42.817	2	2	7890353	1
20220203--6461817066498977314	-1	15467	2022-02-03 17:39:19.872	64	3	9191555	3
20220203-5913058262842444225	1	34666	2022-02-03 01:28:54.692	1	1	5763447	2
20220203--1807633779274949531	1	34143	2022-02-03 19:30:35.715	4	4	5420656	4
20220203--6424851867160952418	-1	29135	2022-02-03 16:02:50.097	1	1	5144738	1
20220203--6709809028344901903	-1	23721	2022-02-03 09:19:44.558	1	1	1228903	2
20220203-8520870731082420729	-1	24661	2022-02-03 03:25:21.938	98	3	1991650	4
20220203-3676133296917822254	0	17458	2022-02-03 09:09:00.964	67	3	675464	2
20220203-1513405109868086557	0	38436	2022-02-03 14:34:06.796	1	1	4964116	4
20220203--4448121665786043633	-1	37734	2022-02-03 08:54:16.941	93	3	2793182	3
20220203--265738911976353978	1	27584	2022-02-03 19:32:31.211	19	3	4569461	4
20220203-4488706240125389236	-1	2639	2022-02-03 00:12:23.845	2	2	3127258	4
20220203--8980233558049277925	-1	4952	2022-02-03 15:49:37.011	2	2	2797317	1
20220203--7392996335021537485	0	21149	2022-02-03 23:56:42.704	5	5	9976015	4
20220203--759543741084062361	0	27405	2022-02-03 18:29:12.620	2	2	8797871	2
20220203--4842135646769962015	1	21773	2022-02-03 05:51:08.972	5	5	7442433	3
20220203-6232396124974607013	-1	57	2022-02-03 20:49:19.312	5	5	9696573	2
20220203--6903666627505511835	1	300	2022-02-03 14:06:11.102	4	4	2077611	3
20220203--2866207828728192357	1	27591	2022-02-03 07:51:18.878	1	1	2108586	4
20220203--7263953061609102499	-1	36477	2022-02-03 18:34:45.894	2	2	8814991	2
20220203-1086638185696157013	1	2958	2022-02-03 07:14:17.572	5	5	6576931	3
20220203--3857288728479529236	1	38745	2022-02-03 13:59:42.812	4	4	6620161	4
20220203--3576520200336745467	-1	4198	2022-02-03 03:50:06.348	5	5	8991739	3
20220203-722875979285703026	-1	34107	2022-02-03 19:13:49.759	4	4	898211	4
20220203-4395079910628052523	1	26534	2022-02-03 03:33:37.654	4	4	5384994	3
20220203--8584427046228858264	1	16453	2022-02-03 04:26:23.550	89	3	9049565	4
20220203-7506829752256758016	0	31863	2022-02-03 19:15:51.416	40	3	186411	3
20220203--5032106503832176560	1	26654	2022-02-03 12:15:06.485	71	3	7587847	3
20220203--1247907373619331129	0	22180	2022-02-03 18:32:46.644	70	3	1245620	3
20220203--8925169688950904667	1	29312	2022-02-03 08:20:43.786	4	4	5277330	3
20220203-403877688395299065	1	27201	2022-02-03 23:07:30.858	1	1	7285004	4
20220203--7769806396124907943	1	31059	2022-02-03 14:20:38.898	5	5	889933	2
20220203--3896616613498469791	1	26920	2022-02-03 15:03:56.218	56	3	9797523	1
20220203--4196512051122821235	1	38605	2022-02-03 19:22:34.492	1	1	3749874	4
20220203-6123265354344644415	1	21881	2022-02-03 09:47:28.029	1	1	7415069	1
20220203--8656897249462212673	-1	3511	2022-02-03 04:42:17.160	2	2	5419119	3
20220203-6535284366233853092	-1	5524	2022-02-03 13:50:39.672	4	4	2245315	1
20220203--7964532493671819508	1	5328	2022-02-03 11:28:01.314	1	1	4315898	1
20220203--8868311274293146071	0	11351	2022-02-03 16:46:14.996	1	1	8206429	3
20220203--4003437915877310556	0	19542	2022-02-03 05:59:06.178	16	3	9454659	1
20220203-3867300912752346877	0	19326	2022-02-03 12:16:06.916	5	5	2133708	3
20220203--5571506832582503679	-1	15272	2022-02-03 17:49:08.225	4	4	4867006	1
20220203--6560253945361873844	-1	34588	2022-02-03 18:07:58.770	23	3	7302968	1
20220203-5336866700556274255	1	22963	2022-02-03 19:34:46.268	1	1	2342024	3
20220203-7688775959850713622	0	1642	2022-02-03 06:23:56.555	101	3	7660854	2
20220203--5541519664803229511	0	25689	2022-02-03 02:01:07.266	5	5	4351222	3
20220203--3111470275477760852	-1	12228	2022-02-03 06:21:21.145	65	3	4577751	2
20220203--1550129598590857719	1	34853	2022-02-03 11:42:39.777	5	5	8014069	2
20220203-6870311947769732740	0	20405	2022-02-03 17:11:35.630	4	4	7262399	1
20220203-4384678906039707929	1	26761	2022-02-03 07:09:20.659	5	5	2423624	2
20220203--2359318855031195127	0	33844	2022-02-03 10:25:19.464	1	1	8668061	2
20220203--3901360427477736691	-1	2501	2022-02-03 10:37:20.565	5	5	4857862	4
20220203--6395689907754597858	1	16876	2022-02-03 22:50:37.323	5	5	3983295	4
20220203--167691875929812114	-1	21118	2022-02-03 12:42:44.417	40	3	9172878	1
20220203--8719951297596121068	1	19157	2022-02-03 03:25:16.960	28	3	1355322	3
20220203--7000764402742093260	1	26525	2022-02-03 03:37:13.537	1	1	9673726	2
20220203--1759848944612685470	1	9689	2022-02-03 01:47:36.859	5	5	5416176	2
20220203-9066606942105064913	-1	21379	2022-02-03 09:08:40.044	2	2	3815724	2
20220203--1511965442804583094	1	4888	2022-02-03 15:54:24.278	1	1	6319793	3
20220203--5297450713952722905	1	12595	2022-02-03 04:45:43.875	1	1	1029928	2
20220203-1887449581427063272	0	17365	2022-02-03 09:22:34.709	1	1	4606481	2
20220203-4626565333443134424	-1	7105	2022-02-03 21:13:37.171	22	3	7928793	2
20220203-6441377650830069504	-1	7239	2022-02-03 14:03:56.154	1	1	3312483	3
20220203-7086790533452351946	1	22635	2022-02-03 00:03:45.820	5	5	6443289	3
20220203-5405448592981188349	-1	37554	2022-02-03 18:23:25.677	1	1	892967	3
20220203-8473635832984503541	1	28176	2022-02-03 13:49:07.536	4	4	8784815	1
20220203--7418260090204934462	1	21806	2022-02-03 14:59:14.431	2	2	4574289	2
20220203-3002350286312969006	-1	17907	2022-02-03 02:46:40.756	5	5	3920685	3
20220203-3598838547735003190	0	27310	2022-02-03 07:32:43.450	18	3	8600385	1
20220203-764076209806134658	-1	15395	2022-02-03 00:00:58.184	5	5	1599999	2
20220203-3056511054613292838	-1	39079	2022-02-03 18:19:33.557	4	4	8057467	2
