transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220204-2460897554122961370	1	32717	2022-02-04 18:10:04.820	5	5	8950853	2
20220204--1777291599925203846	0	3786	2022-02-04 09:30:30.005	4	4	9177706	2
20220204--4074340621192283810	0	13632	2022-02-04 08:27:51.918	2	2	1491761	1
20220204--4921782208801828677	-1	6087	2022-02-04 05:07:53.151	1	1	3090517	2
20220204-8089370130867213165	0	38461	2022-02-04 20:12:17.608	4	4	7295320	2
20220204--6990640288442501655	1	8317	2022-02-04 22:00:48.015	4	4	6946666	4
20220204--846791626144070620	0	16075	2022-02-04 07:04:03.455	1	1	744346	3
20220204-820465312099505688	1	31368	2022-02-04 20:01:16.547	1	1	9771052	1
20220204--6822870015429025785	1	32928	2022-02-04 01:55:41.734	2	2	3079745	2
20220204--8898873409506457003	-1	33470	2022-02-04 02:29:35.127	4	4	5402744	4
20220204--2957961043454782379	1	25525	2022-02-04 05:21:26.598	5	5	2846709	2
20220204-241224620442848737	-1	34329	2022-02-04 16:39:48.646	2	2	6298860	4
20220204-3126783007757153869	0	36260	2022-02-04 05:22:51.368	5	5	5214978	1
20220204-7314584615937200296	1	18985	2022-02-04 20:19:43.082	4	4	9367160	3
20220204--649702765474071795	0	14641	2022-02-04 08:48:05.212	1	1	1325442	2
20220204-8463565741234804237	0	9367	2022-02-04 22:05:09.762	45	3	1010428	2
20220204-8088026362237316991	0	5574	2022-02-04 07:30:58.364	4	4	6199839	4
20220204--6902948751479692229	-1	14941	2022-02-04 18:07:03.280	1	1	9552769	1
20220204--1983560162626688900	1	28015	2022-02-04 14:22:13.491	4	4	184678	3
20220204-1423347405322674715	1	15790	2022-02-04 01:38:05.631	41	3	2013438	2
20220204-6426746667930726123	0	39070	2022-02-04 08:22:20.217	55	3	5207609	1
20220204--3803938578092043039	0	34554	2022-02-04 14:37:56.695	4	4	8283183	1
20220204-1001536824576571587	0	24015	2022-02-04 16:41:39.490	5	5	5182279	2
20220204-8682198652340205209	0	28030	2022-02-04 01:30:58.692	5	5	7503461	1
20220204-7443691456463945997	1	12819	2022-02-04 11:11:55.704	2	2	7702942	1
20220204-2563589778844543695	-1	39501	2022-02-04 12:46:25.622	89	3	8719675	2
20220204--3998392056573303275	1	35083	2022-02-04 03:07:04.620	4	4	3992274	2
20220204--1178351596683154377	0	6009	2022-02-04 06:36:54.784	1	1	1188557	4
20220204-508247885841107030	-1	35536	2022-02-04 05:14:05.308	2	2	2377268	1
20220204--1414138567061982369	1	8300	2022-02-04 11:37:47.108	5	5	6235368	2
20220204--5295133607790740457	-1	12234	2022-02-04 06:37:04.448	2	2	7246883	4
20220204-2182080013555336261	0	769	2022-02-04 16:00:52.978	33	3	1793058	1
20220204-3163907307358646218	1	32895	2022-02-04 03:53:25.736	1	1	4095984	1
20220204-6668335195147121174	0	24158	2022-02-04 22:08:59.440	1	1	8390313	4
20220204-3747962719316617255	-1	368	2022-02-04 14:12:46.435	1	1	3398027	3
20220204-1451186723946258777	-1	9822	2022-02-04 00:52:49.767	4	4	1149642	4
20220204-1768381249537619259	1	11149	2022-02-04 03:55:58.058	1	1	7927081	2
20220204--8955772910143496865	1	11999	2022-02-04 16:59:49.176	85	3	887428	1
20220204-3464810268148170705	1	26829	2022-02-04 09:40:56.739	4	4	588708	4
20220204--6975721181792826482	-1	38164	2022-02-04 07:14:13.654	2	2	8290617	1
20220204--5216290435918168803	1	14360	2022-02-04 03:18:09.959	2	2	2114004	1
20220204--6889978840693066878	0	12769	2022-02-04 20:06:24.107	18	3	5579314	1
20220204-7540125331629426397	1	37051	2022-02-04 15:44:58.102	4	4	1727461	2
20220204-8793222728184303850	-1	28238	2022-02-04 13:42:56.574	35	3	6799211	1
20220204--1923239672620696506	0	32586	2022-02-04 20:10:34.335	4	4	6309477	1
20220204--241268941642902815	-1	11139	2022-02-04 02:22:12.800	4	4	5546829	4
20220204-3851216124489252450	-1	13966	2022-02-04 00:22:19.624	2	2	8179824	3
20220204--6485484633297801518	0	14105	2022-02-04 00:33:48.710	2	2	670580	3
20220204--5087819927237301087	-1	15735	2022-02-04 05:48:25.928	4	4	3286583	4
20220204-8560833686251711845	1	36138	2022-02-04 02:51:55.295	5	5	9035092	2
20220204--4883396157563291933	0	39570	2022-02-04 10:45:22.991	2	2	8446736	3
20220204-3188548502654025356	-1	3424	2022-02-04 22:31:33.363	2	2	2295775	4
20220204--1908625204944139587	0	27484	2022-02-04 17:46:27.866	4	4	2472380	4
20220204--4637252373440835766	1	22218	2022-02-04 16:07:00.429	5	5	8712388	3
20220204-4462116246778268379	1	21145	2022-02-04 04:04:21.762	5	5	8681892	3
20220204-7196622300773058467	-1	22760	2022-02-04 07:13:21.621	1	1	3619078	4
20220204-700018568908412107	-1	33284	2022-02-04 22:36:03.976	1	1	6813560	1
20220204--6731558563341992284	-1	29053	2022-02-04 12:07:31.087	88	3	9839189	4
20220204-3564445591273616842	0	1209	2022-02-04 16:17:11.836	2	2	2305060	3
20220204-2056449806903176698	0	29658	2022-02-04 18:04:46.254	35	3	765187	2
20220204-5542476609815410574	-1	18249	2022-02-04 15:15:15.902	4	4	9851602	2
20220204-3795485284657845969	0	2409	2022-02-04 17:31:57.241	5	5	664566	4
20220204-6463826936037349903	0	39839	2022-02-04 01:54:05.748	37	3	6109409	2
20220204-7504914963626418486	-1	28745	2022-02-04 22:48:40.015	1	1	5959445	4
20220204--2779924826498321177	0	17046	2022-02-04 19:54:35.899	2	2	3604621	2
20220204--2322400104731215593	-1	18996	2022-02-04 19:07:30.021	1	1	3363017	2
20220204--102313487765147331	-1	10322	2022-02-04 01:27:55.763	1	1	5902154	1
20220204--6454622870652341942	1	1401	2022-02-04 10:40:11.985	2	2	1941075	2
20220204--8610185416713103310	1	5015	2022-02-04 03:39:17.215	1	1	3135249	2
20220204-4288639773714383382	-1	11852	2022-02-04 12:58:54.438	50	3	2750516	3
20220204-7211958536277904165	1	24910	2022-02-04 07:11:04.867	5	5	6092144	1
20220204-7511888153155497413	-1	27676	2022-02-04 13:20:01.998	2	2	1777485	1
20220204--388748000282136130	1	19785	2022-02-04 08:56:54.171	1	1	1624942	4
20220204-1227113281157612805	1	13701	2022-02-04 02:06:50.115	5	5	2472790	2
