transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220206--8551537407958138115	1	20319	2022-02-06 11:01:50.634	1	1	548989	3
20220206--8145693721091713564	0	27305	2022-02-06 10:39:17.257	2	2	9170404	2
20220206--1735760372613448976	-1	24704	2022-02-06 15:00:59.222	40	3	9930597	1
20220206--4287185986912844666	1	22867	2022-02-06 08:16:24.455	4	4	1979915	1
20220206-6395098970763479567	1	6702	2022-02-06 22:31:44.373	4	4	8792179	2
20220206-5693842555525251450	-1	36575	2022-02-06 09:45:17.335	5	5	8514167	1
20220206-7228234389726386741	0	2610	2022-02-06 07:57:10.373	32	3	8996285	4
20220206--8003827001406569214	-1	23009	2022-02-06 20:47:42.132	1	1	8771769	3
20220206-2853746948551965257	0	31124	2022-02-06 15:10:42.749	1	1	8009180	4
20220206--5604450153075236060	0	27606	2022-02-06 05:20:35.678	5	5	1692239	3
20220206--1205434694187537194	0	30716	2022-02-06 20:29:33.960	5	5	733128	2
20220206-3758731405200500252	0	13847	2022-02-06 06:30:57.285	2	2	2042653	2
20220206--6097441653268302800	1	29341	2022-02-06 19:31:08.352	5	5	7690500	1
20220206-8680641013234054618	0	30563	2022-02-06 12:05:13.559	5	5	121426	1
20220206--3555677190313324598	0	35632	2022-02-06 10:06:09.189	2	2	4393483	4
20220206--7381998156287131849	-1	33288	2022-02-06 03:34:32.324	2	2	7822839	3
20220206--9122214258031526483	0	4520	2022-02-06 22:56:28.654	1	1	8082078	3
20220206--3807426859239285415	0	22619	2022-02-06 03:38:47.594	4	4	350338	1
20220206--3728677364631026308	0	38411	2022-02-06 08:09:43.577	49	3	4328387	4
20220206--6771733807206556425	-1	848	2022-02-06 20:12:59.623	1	1	8109956	3
20220206--3105161944739040708	1	34173	2022-02-06 03:31:08.868	1	1	3503233	1
20220206--7610840332202648268	-1	20862	2022-02-06 21:07:34.132	1	1	8662895	1
20220206-7715336921787287785	0	10067	2022-02-06 09:14:47.139	1	1	1897434	2
20220206--447942039191694227	-1	26078	2022-02-06 05:32:13.472	2	2	3061922	3
20220206-4134230287847255508	-1	18850	2022-02-06 00:02:29.586	4	4	4683500	1
20220206-3252689116966600024	-1	37959	2022-02-06 04:20:44.307	4	4	739371	4
20220206-7280766473772558676	0	28312	2022-02-06 05:39:53.709	4	4	8964538	4
20220206-8655481119167697886	-1	4601	2022-02-06 01:41:59.722	5	5	893800	2
20220206-5282418090206625939	0	17047	2022-02-06 14:33:45.795	4	4	6842015	2
20220206--2734274719683353040	0	34003	2022-02-06 15:55:47.573	11	3	1812448	4
20220206--1172085932594726964	0	18394	2022-02-06 14:29:21.964	1	1	3673118	1
