transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220207--1853767316708687431	0	10759	2022-02-07 17:12:03.795	2	2	1672428	4
20220207-3946960438770677734	-1	12276	2022-02-07 04:14:27.957	4	4	8382703	1
20220207-6511223627084580841	0	22137	2022-02-07 16:33:24.258	79	3	7256395	4
20220207-5660543470213768430	-1	20659	2022-02-07 19:27:16.382	1	1	2815636	1
20220207-5114043550370599181	-1	38913	2022-02-07 03:44:54.143	5	5	5072314	4
20220207-405919533183946712	1	14343	2022-02-07 14:14:42.575	2	2	6975903	2
20220207--3862616567046535518	-1	3702	2022-02-07 23:49:20.838	5	5	2190181	2
20220207-6263631155342407469	-1	20813	2022-02-07 20:56:40.638	4	4	2081076	4
20220207--2901446936436636670	0	33395	2022-02-07 15:03:36.708	4	4	3933264	3
20220207-4960749344867053556	1	5280	2022-02-07 02:40:58.907	5	5	6506878	3
20220207--1066045977103484872	1	23000	2022-02-07 23:36:04.025	80	3	3383694	2
20220207--5513180368367253489	1	7347	2022-02-07 21:35:37.889	4	4	9647661	2
20220207--5632843156723622052	1	30848	2022-02-07 06:12:03.478	4	4	5443691	4
20220207-4325330689735582734	-1	34784	2022-02-07 11:48:53.393	2	2	4246936	2
20220207--1999904944166308692	1	32531	2022-02-07 07:16:10.351	1	1	1641678	4
20220207-8362233506546553076	1	12991	2022-02-07 02:35:08.344	98	3	9941903	4
20220207--4776077644939465906	-1	4507	2022-02-07 12:49:15.034	2	2	8914431	4
20220207--4145278742847808451	-1	29097	2022-02-07 09:45:59.299	2	2	2965033	2
20220207--3588331467363720588	-1	33996	2022-02-07 10:49:21.817	2	2	1668297	3
20220207--643847744213597040	0	26459	2022-02-07 04:14:50.485	5	5	2163026	3
20220207-8945918970071274848	-1	33275	2022-02-07 05:27:55.115	5	5	8445323	4
20220207--1899621990278886292	0	28886	2022-02-07 04:24:06.210	4	4	226555	4
20220207-5873106698454675214	0	1942	2022-02-07 08:47:55.405	4	4	8504688	1
20220207-5237147247304257222	0	8057	2022-02-07 08:10:58.233	4	4	5043737	2
20220207-7102296594331259444	0	38542	2022-02-07 02:16:17.814	5	5	6436901	4
20220207--5400498381897370523	0	29724	2022-02-07 22:39:41.764	5	5	2647814	2
20220207-8178624829209292218	0	6053	2022-02-07 22:35:15.956	4	4	1854063	4
20220207-7072585778525169047	1	38868	2022-02-07 01:02:01.642	4	4	2548296	3
20220207-8746165278128126295	1	3599	2022-02-07 04:49:48.854	90	3	3801725	1
20220207--7163331187904749861	0	1058	2022-02-07 14:18:06.353	5	5	3642182	1
20220207--6816475466489007584	0	22362	2022-02-07 12:29:04.115	5	5	3581361	3
20220207--3608406194283955411	1	7953	2022-02-07 23:26:38.633	1	1	8244175	2
20220207--3233638617623884134	1	30250	2022-02-07 04:09:42.043	77	3	7905095	2
20220207--4519839042081405598	-1	39675	2022-02-07 11:27:03.790	4	4	3873117	1
20220207-8244310522208504072	-1	9974	2022-02-07 06:26:08.573	2	2	2027581	2
20220207-899883206119422905	0	35086	2022-02-07 10:05:43.014	4	4	2971622	4
20220207-2799679612158191493	0	25524	2022-02-07 05:14:01.728	4	4	2651184	1
20220207--4643775944803056804	-1	5996	2022-02-07 00:24:08.130	1	1	4627007	4
20220207--4057940950182345582	0	3156	2022-02-07 18:27:19.343	4	4	218879	2
20220207--1842689995344366635	0	34751	2022-02-07 06:42:43.507	4	4	1482286	1
20220207-5523907533459626854	1	29071	2022-02-07 08:12:11.968	79	3	4346653	2
20220207-550898194922537416	-1	32292	2022-02-07 16:41:04.470	38	3	930215	4
20220207-8590479530566271044	1	940	2022-02-07 15:08:46.392	42	3	6332828	3
20220207-6064683657351887686	-1	25358	2022-02-07 10:41:17.686	2	2	6798009	3
20220207-7969816403939068232	-1	17761	2022-02-07 03:26:10.333	45	3	4307767	4
20220207--762983977676972110	-1	9899	2022-02-07 14:36:44.669	46	3	3292956	3
20220207--8374752636013796261	1	29677	2022-02-07 18:51:43.328	5	5	5244566	3
20220207-3376423335604161386	1	19920	2022-02-07 10:28:26.840	5	5	2752640	2
20220207--3733186830040147295	0	10949	2022-02-07 06:28:55.946	44	3	6926435	4
20220207--241646752619150429	-1	18341	2022-02-07 06:35:49.589	70	3	9429094	3
20220207--7964171858545274005	-1	6062	2022-02-07 11:58:14.141	4	4	6867663	4
20220207--6303414598834713434	-1	14623	2022-02-07 08:50:12.278	2	2	4893441	3
20220207--4095109983761826699	-1	19749	2022-02-07 06:01:54.973	48	3	8989192	2
20220207--1695305415493773067	1	13587	2022-02-07 15:28:02.206	27	3	8727813	1
20220207-2362335418883543020	-1	11659	2022-02-07 05:02:29.870	5	5	9157395	2
20220207-5040368101309140716	0	39008	2022-02-07 13:51:57.393	5	5	1614515	3
20220207-7778158283052154743	-1	29655	2022-02-07 03:23:43.712	107	3	4621145	3
20220207-4109123569574302267	-1	18507	2022-02-07 10:02:53.247	4	4	1535269	1
20220207--905185164015809061	0	6970	2022-02-07 14:30:57.294	4	4	3407560	3
20220207-5914116500775874453	1	3414	2022-02-07 23:18:22.212	2	2	7304844	1
20220207--4113185629696227228	1	4576	2022-02-07 19:25:44.671	2	2	3709419	3
20220207-6402212379109120467	-1	39815	2022-02-07 19:39:50.973	2	2	9334697	4
20220207--8971718247968851742	0	34379	2022-02-07 22:43:18.058	81	3	6201174	3
20220207-8971539084727607846	0	17702	2022-02-07 06:00:07.833	5	5	8036901	3
20220207--2943930258030788464	0	19216	2022-02-07 07:35:18.219	5	5	7958242	1
20220207--8963068733274775107	1	1891	2022-02-07 23:39:56.633	2	2	844384	2
20220207--4549669736350405170	0	35537	2022-02-07 18:04:45.423	4	4	2501355	2
20220207--4532124803808743568	0	5628	2022-02-07 21:47:34.214	1	1	1754689	4
20220207-6677139280713954275	-1	23549	2022-02-07 01:16:47.935	23	3	6007947	1
20220207-3474332895755624740	1	36564	2022-02-07 12:34:01.398	5	5	4934439	1
20220207-8999373136586973711	-1	17477	2022-02-07 21:19:31.936	2	2	7009347	1
20220207-1706983294445406288	0	15906	2022-02-07 18:25:07.700	4	4	7355242	3
20220207--8128904179620224872	1	14625	2022-02-07 02:52:57.952	4	4	2335678	2
20220207-8033160428938345278	1	31575	2022-02-07 06:46:10.399	5	5	3135126	2
20220207-1162094556332838663	-1	27931	2022-02-07 03:15:52.673	2	2	4316294	3
20220207-3271890375358671138	0	16344	2022-02-07 01:51:43.932	5	5	7591905	3
20220207--842495183548000001	1	6554	2022-02-07 05:11:34.786	42	3	956651	3
20220207--6274823359026364785	-1	38398	2022-02-07 05:36:22.016	2	2	1067256	4
