transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220209-6038764841406388181	-1	9590	2022-02-09 19:49:14.923	2	2	7184904	2
20220209--2668222402740787659	-1	37470	2022-02-09 19:57:55.199	2	2	5534377	4
20220209--3214603380129146556	1	2436	2022-02-09 14:58:28.124	2	2	1579043	4
20220209--865715141601148448	0	35769	2022-02-09 20:07:19.824	2	2	7735648	2
20220209--4499577722466743341	0	48	2022-02-09 06:41:56.726	2	2	2589059	2
20220209-3886793027352801374	0	4199	2022-02-09 14:24:54.712	22	3	5491080	4
20220209--4421275131440848304	1	7066	2022-02-09 00:27:39.984	1	1	2078233	1
20220209-2243302657250057947	0	39810	2022-02-09 15:53:44.548	2	2	2169163	2
20220209--7411929131737487588	1	906	2022-02-09 15:41:41.591	54	3	9995012	2
20220209-3257336153599995105	-1	6102	2022-02-09 05:40:02.001	5	5	1588988	3
20220209--8481466748744128385	0	15993	2022-02-09 21:16:08.061	1	1	3475922	4
20220209--4070102811283535086	1	21789	2022-02-09 19:10:58.760	4	4	1507731	2
20220209--5964886755913041418	-1	24410	2022-02-09 20:56:21.489	2	2	7969167	2
20220209--3010230498320289988	-1	26821	2022-02-09 15:12:58.233	4	4	3168009	4
20220209--7596261657808600212	1	32711	2022-02-09 05:59:58.312	78	3	1868903	4
20220209--7702806959522024766	1	8543	2022-02-09 06:31:08.883	50	3	1493412	2
20220209-1594411012111888351	-1	28006	2022-02-09 05:48:28.386	1	1	5017326	1
20220209--2756402796457994156	-1	33363	2022-02-09 22:00:41.995	4	4	3094282	1
20220209-8431641342468236523	1	8970	2022-02-09 01:01:18.785	5	5	2463876	4
20220209--3743100710121671243	1	5878	2022-02-09 17:50:32.107	5	5	9950773	4
20220209-3424246402384809757	-1	10239	2022-02-09 13:52:05.459	1	1	2204612	1
20220209-1675714059836906362	0	31306	2022-02-09 04:45:43.496	5	5	3244939	3
20220209-535593407998040207	0	36419	2022-02-09 00:04:43.551	2	2	6273357	2
20220209--942146122711592852	1	19714	2022-02-09 00:14:17.700	16	3	1607054	4
20220209-6278668362439329209	-1	18065	2022-02-09 14:13:25.990	1	1	148880	3
20220209--5356642399951983920	0	36609	2022-02-09 11:12:48.974	13	3	7990296	1
20220209-7036665154841596738	-1	1510	2022-02-09 10:15:54.825	75	3	190316	1
20220209--2145759619145502566	-1	13884	2022-02-09 21:45:47.859	4	4	1947480	4
20220209-5597402626041259001	1	34030	2022-02-09 14:23:19.777	4	4	3754969	4
20220209-596401124663679486	-1	5069	2022-02-09 14:06:05.096	81	3	6368973	2
20220209--47464954976364286	1	13941	2022-02-09 08:20:03.266	1	1	9661681	2
20220209--6542677365526321996	-1	5419	2022-02-09 19:56:20.892	2	2	4138291	4
20220209-8190774201850607652	0	15309	2022-02-09 22:49:47.613	37	3	8060785	2
20220209--5672904189727747153	0	12019	2022-02-09 22:32:46.456	2	2	7597262	4
20220209-2453043557897035800	1	31639	2022-02-09 12:36:19.439	2	2	7781873	3
20220209--3880388912874684242	0	11415	2022-02-09 04:19:07.264	5	5	6815744	3
20220209-4966254489867617141	0	13647	2022-02-09 15:30:41.940	4	4	1438748	1
20220209--535784590920587061	1	4466	2022-02-09 07:31:38.998	4	4	3282580	4
20220209--8344836763813062207	-1	7693	2022-02-09 16:54:18.647	4	4	7094146	1
20220209--8380281820495805557	1	29495	2022-02-09 05:11:18.939	4	4	2087043	4
20220209--5151136173903352068	-1	18714	2022-02-09 01:58:37.043	4	4	7571423	3
20220209--4057865732488615075	0	21324	2022-02-09 08:35:12.346	5	5	1470902	4
20220209-6828433500548009042	-1	24188	2022-02-09 06:12:44.069	5	5	2353881	4
20220209--6132098777011604420	1	132	2022-02-09 01:44:07.126	1	1	3769690	2
20220209--1332294521507909013	0	24857	2022-02-09 07:12:06.293	5	5	7228519	3
20220209-2437313173506238790	1	2533	2022-02-09 20:45:40.262	4	4	843108	1
20220209-2962047639695195086	1	8540	2022-02-09 07:43:26.077	75	3	228630	2
20220209-416886886316344254	-1	25087	2022-02-09 12:54:46.651	1	1	3753532	4
20220209-4752895573840036006	1	15916	2022-02-09 17:27:44.843	71	3	6619386	2
20220209-3906423883822455109	-1	21052	2022-02-09 02:37:28.476	5	5	5365789	2
20220209--5285216164719738084	0	5193	2022-02-09 11:26:22.389	2	2	7447781	2
20220209-8838095186786000514	1	20749	2022-02-09 00:54:26.680	79	3	9295436	1
20220209--7992139229029215034	1	34538	2022-02-09 09:17:22.399	1	1	5274083	3
20220209--811330747065108877	1	23653	2022-02-09 13:29:22.362	1	1	9042862	2
20220209--5047657884649902784	0	36372	2022-02-09 02:02:52.959	1	1	3124289	2
20220209--7773475612898872924	0	3273	2022-02-09 23:53:48.912	2	2	9305288	2
20220209--6781225902770264220	-1	22308	2022-02-09 07:33:33.999	2	2	6412907	4
20220209--2907889639779038572	1	27119	2022-02-09 03:27:32.333	1	1	1341438	1
20220209-1881594147899908492	0	31589	2022-02-09 07:58:09.490	5	5	9892580	1
20220209--5609773556269272825	1	9615	2022-02-09 23:02:27.472	39	3	3938782	2
20220209-6538990773522482865	0	6090	2022-02-09 19:33:26.094	5	5	965826	4
20220209-531901711208481186	-1	26376	2022-02-09 16:13:49.417	2	2	7668512	3
20220209--1619112766963271435	0	39580	2022-02-09 08:25:29.517	5	5	6475773	4
20220209--2592489687246931410	1	38596	2022-02-09 07:13:45.100	5	5	4041168	1
20220209--4338352494628728873	0	38398	2022-02-09 17:57:36.668	5	5	7133406	1
20220209--2487716750308588950	0	33935	2022-02-09 21:04:51.316	1	1	1601868	1
20220209--7420273576654162220	1	724	2022-02-09 00:18:59.610	4	4	2044084	3
20220209-5020252717311032259	0	35975	2022-02-09 02:19:25.604	48	3	7198650	1
20220209--8903361647623088759	-1	19290	2022-02-09 18:02:22.258	2	2	9069256	1
20220209-4440798370987196844	1	39845	2022-02-09 13:52:34.493	48	3	6425398	2
20220209-2975617223059504039	0	7440	2022-02-09 17:40:42.581	4	4	961218	2
20220209-2944430631321187305	-1	2427	2022-02-09 20:12:12.647	1	1	918875	4
20220209--2893400941462657490	1	29878	2022-02-09 11:59:46.021	2	2	9874899	1
20220209-8629168717440912084	-1	9471	2022-02-09 11:56:09.238	5	5	2500952	4
20220209-8461055042319405168	1	7465	2022-02-09 00:40:24.106	4	4	3383429	1
20220209-2488890052367129558	-1	20700	2022-02-09 00:03:08.644	4	4	3609627	3
20220209-5169816054848939328	1	5460	2022-02-09 19:15:53.389	2	2	6695117	1
20220209-7140246636541393929	0	21680	2022-02-09 01:11:08.520	1	1	2948090	1
20220209--4676644504586845133	-1	13579	2022-02-09 15:55:41.112	4	4	3252232	4
20220209--292451078616044501	-1	24823	2022-02-09 21:06:15.147	4	4	7237771	3
20220209-8700897523082366596	-1	11652	2022-02-09 16:36:07.240	4	4	2442047	4
20220209-4231721718691251650	1	9655	2022-02-09 13:37:49.269	4	4	6055267	3
20220209--3093536336908788827	1	8841	2022-02-09 20:10:10.598	1	1	8200825	4
20220209--4326390048456830918	0	20867	2022-02-09 07:47:10.204	4	4	8758591	4
20220209-3027490390642219451	1	1257	2022-02-09 23:27:26.171	1	1	7138706	2
20220209-4443322784729827445	0	33041	2022-02-09 20:03:23.411	2	2	7977107	4
20220209--1575403229639511544	-1	38401	2022-02-09 15:24:53.751	5	5	9468559	3
20220209--8093078811506586309	-1	37959	2022-02-09 02:50:30.779	1	1	4165167	2
20220209--1277416460411401008	-1	28414	2022-02-09 12:40:38.376	1	1	9126694	2
20220209--2884448485911530090	1	16373	2022-02-09 04:10:46.744	1	1	8726197	1
20220209--3114306708014958612	1	38098	2022-02-09 05:11:53.183	4	4	80521	3
20220209-773412867992357229	0	39705	2022-02-09 14:28:29.514	5	5	6703610	3
20220209-1313934887278170570	1	30473	2022-02-09 14:37:55.396	4	4	8579065	2
20220209--554357332136068895	0	571	2022-02-09 14:08:37.498	4	4	816247	1
20220209--5283629505751311327	-1	25331	2022-02-09 19:15:51.633	4	4	4472822	4
20220209-6261014112270965840	0	21499	2022-02-09 14:59:56.756	57	3	3902271	3
20220209-5846582511761365476	1	7355	2022-02-09 00:33:54.806	5	5	4949111	2
20220209-1164466569921479630	-1	2636	2022-02-09 15:46:18.929	5	5	1596659	2
20220209-4113955078379934618	1	22643	2022-02-09 09:54:29.506	18	3	8888743	4
20220209-5385167322499754191	1	23576	2022-02-09 04:50:00.834	2	2	3921164	1
20220209-8961439434768343540	1	4715	2022-02-09 18:02:41.346	18	3	6642021	2
20220209-5813940643235252252	-1	10938	2022-02-09 13:00:51.978	1	1	4826060	3
20220209--464689510143111912	-1	28908	2022-02-09 02:23:52.751	5	5	7450591	1
20220209-8402399234626919180	1	21343	2022-02-09 14:27:53.049	5	5	6002110	1
20220209--1238258201369543858	0	429	2022-02-09 11:33:44.651	1	1	2675318	3
20220209-6207128931819063031	0	15696	2022-02-09 17:57:36.844	2	2	9134935	1
20220209-893683071751485078	0	17185	2022-02-09 13:15:58.177	1	1	2142677	2
20220209--3373797587620124234	1	33271	2022-02-09 04:34:38.410	1	1	723634	1
20220209-6505748600271239721	-1	2454	2022-02-09 06:06:47.535	2	2	6152192	2
20220209--8762076408655274140	0	10820	2022-02-09 11:06:54.201	4	4	1920033	2
20220209-7832174716425515101	0	24995	2022-02-09 08:03:03.720	23	3	3620056	4
20220209-2051629518395200045	1	29251	2022-02-09 23:36:06.303	4	4	1447705	2
20220209--418086101656591901	1	33721	2022-02-09 00:37:45.546	2	2	9456161	2
20220209-1796237650030700790	1	9421	2022-02-09 06:55:35.711	1	1	2056918	2
20220209--7638433210066201031	-1	13301	2022-02-09 06:42:15.826	2	2	4261806	4
20220209-1449738323397950650	1	20379	2022-02-09 09:23:22.638	2	2	3859373	2
20220209-6495749056559752201	1	31985	2022-02-09 16:38:28.316	5	5	3082846	2
20220209--5239951646524409619	1	5835	2022-02-09 05:50:02.595	88	3	1930009	1
20220209--8045460622972609043	1	868	2022-02-09 08:53:42.291	1	1	9131546	2
20220209-7482477711214069315	0	38101	2022-02-09 22:43:30.089	1	1	4356724	3
20220209-8325286676812898907	1	26796	2022-02-09 11:03:10.406	5	5	7052751	1
20220209--690080841337773377	-1	19683	2022-02-09 06:42:38.415	5	5	2900195	1
20220209--4319021514407478800	0	6253	2022-02-09 09:14:32.378	1	1	5927457	4
20220209--5514917117256462935	-1	31551	2022-02-09 02:43:40.428	2	2	2885900	3
20220209-2279902230866776190	0	36642	2022-02-09 01:27:48.731	5	5	4985408	3
20220209-6238689928493703303	0	17771	2022-02-09 04:18:50.430	5	5	203003	4
20220209--7023528184112559817	-1	28271	2022-02-09 01:39:22.796	1	1	5337719	2
20220209--6810344500320993449	0	32131	2022-02-09 17:15:50.271	13	3	917908	1
20220209-4567669084339110830	1	8439	2022-02-09 15:38:17.884	5	5	5081858	4
20220209-7984758606415929428	-1	10631	2022-02-09 00:31:05.558	4	4	7710858	4
20220209-1483626253493759530	-1	33314	2022-02-09 04:58:46.998	4	4	9591015	4
20220209-3746950239683666959	0	11494	2022-02-09 21:49:05.387	2	2	2975865	2
20220209--4820026462116408703	0	1990	2022-02-09 05:55:25.253	2	2	872638	4
20220209--4951917126160642141	1	32986	2022-02-09 19:23:53.509	5	5	462743	2
20220209--5229440940400941338	0	29068	2022-02-09 22:10:42.635	4	4	4962150	3
20220209-3413185288657545365	1	10505	2022-02-09 11:00:01.520	2	2	9894988	2
20220209-6388734559168179330	1	35610	2022-02-09 13:14:26.355	2	2	2473773	2
20220209-4657543296093623040	1	24631	2022-02-09 06:03:15.416	2	2	8920422	2
20220209-5922971842426405805	0	13244	2022-02-09 19:59:17.505	2	2	5211933	4
20220209-5573399925351917062	-1	28862	2022-02-09 20:57:23.931	4	4	4524498	1
20220209-6800191714975443251	0	39000	2022-02-09 02:38:11.916	4	4	9597494	2
