transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220210-5113664148409990948	0	5398	2022-02-10 10:31:14.891	1	1	8912743	4
20220210-7231465030411491089	1	14360	2022-02-10 17:37:59.332	5	5	6693089	4
20220210--7448044020569953606	1	38980	2022-02-10 05:31:40.719	1	1	279779	3
20220210-1546753546987012188	0	29809	2022-02-10 07:03:02.290	5	5	5685679	4
20220210-4497153650988071302	1	27950	2022-02-10 04:21:24.785	2	2	5141736	3
20220210-8643698405736484036	0	19485	2022-02-10 16:55:23.200	2	2	887945	3
20220210--3734705645894611352	1	6561	2022-02-10 03:07:37.494	5	5	622610	4
20220210-6286973559870853540	1	29185	2022-02-10 05:45:47.206	5	5	3858624	3
20220210-3985089556220127496	0	1152	2022-02-10 17:52:13.221	4	4	8241995	1
20220210--1697354051049488295	1	24938	2022-02-10 18:46:49.983	4	4	3921858	3
20220210-6798074689492892410	-1	8985	2022-02-10 02:57:06.351	5	5	9758532	2
20220210--5086035213711590573	1	26069	2022-02-10 21:59:19.878	40	3	8432028	2
20220210-4165273634624114071	1	29839	2022-02-10 18:07:33.896	1	1	8049709	2
20220210-5260264969892282144	1	4795	2022-02-10 23:15:46.286	4	4	5607225	4
20220210-1815939181295870172	0	38914	2022-02-10 18:02:02.890	4	4	395139	1
20220210-5829428489211253904	-1	37433	2022-02-10 00:23:28.992	5	5	818379	2
20220210-1793409750329017600	-1	39082	2022-02-10 14:37:07.334	4	4	607546	4
20220210-2950530958168604403	0	16944	2022-02-10 18:00:39.812	2	2	9415715	2
20220210--1157947862251926055	1	38585	2022-02-10 12:44:05.222	108	3	4748792	2
20220210-2717930691336269752	0	21406	2022-02-10 15:53:44.882	1	1	3431444	1
20220210-5174265335858409525	-1	4434	2022-02-10 16:57:53.946	1	1	2394116	2
20220210--7624936535075193273	1	34445	2022-02-10 14:43:29.697	4	4	1398671	1
20220210-3152876511274433945	1	21200	2022-02-10 20:42:27.059	1	1	6598203	3
20220210--1417049798162463475	-1	14668	2022-02-10 04:56:25.908	5	5	1187323	4
20220210-5785865064417669273	1	3825	2022-02-10 06:52:44.693	4	4	1235170	2
20220210-8334402281996176179	0	24380	2022-02-10 21:52:52.735	2	2	4631818	4
20220210-6537908040589745434	1	25535	2022-02-10 20:17:41.207	5	5	9451949	3
20220210-3041824495564288075	-1	39244	2022-02-10 14:39:14.750	39	3	4115077	3
20220210-1635146645448714792	-1	23670	2022-02-10 12:27:47.293	4	4	1145268	4
20220210-8981279379901679509	1	21363	2022-02-10 20:13:16.949	2	2	9758396	3
20220210-76894762791239893	0	30814	2022-02-10 10:03:11.317	1	1	8177814	3
20220210--6501415837943348034	-1	29336	2022-02-10 14:53:12.267	2	2	6029547	3
20220210--8257152997684588669	1	5183	2022-02-10 11:18:03.679	1	1	3949645	3
20220210--4412349604350945456	0	30210	2022-02-10 08:36:27.726	5	5	2784601	3
20220210-7840779337401158363	0	20192	2022-02-10 05:47:06.360	1	1	7434031	3
20220210--2565310114960725483	0	20131	2022-02-10 20:49:26.460	4	4	8087211	4
20220210-488378954561919424	1	38110	2022-02-10 16:38:14.550	4	4	9280222	1
20220210--5232622238836366686	-1	31030	2022-02-10 21:46:16.464	94	3	3987477	3
20220210-1109452694722707392	-1	7407	2022-02-10 15:58:13.355	1	1	253558	4
20220210--4091826184612334344	0	31720	2022-02-10 22:34:36.137	2	2	1894438	1
20220210-8646641801946201416	-1	37072	2022-02-10 12:49:27.142	1	1	8026884	1
20220210--2657475771605645361	0	29431	2022-02-10 12:46:45.075	2	2	9909921	2
20220210-3438804011839428428	-1	14767	2022-02-10 01:03:51.711	66	3	6795243	2
20220210--8783423731971400170	0	37390	2022-02-10 21:21:06.723	58	3	6257404	4
20220210-8498932778864973498	-1	25781	2022-02-10 03:40:42.699	1	1	4260831	2
20220210--361870311280811666	1	13193	2022-02-10 04:28:14.702	4	4	3408259	4
20220210-3187327854698206665	1	31194	2022-02-10 22:12:49.243	5	5	8040078	4
20220210--2688221463731389025	1	37571	2022-02-10 20:53:28.245	1	1	2950833	4
20220210-8054628515178217815	0	13051	2022-02-10 02:07:00.267	4	4	914244	3
20220210-8939348570931672676	1	13400	2022-02-10 05:04:51.899	1	1	1394101	4
20220210--4102113338902204185	-1	34344	2022-02-10 20:40:12.308	5	5	6243396	4
20220210-939770037544206840	0	32315	2022-02-10 22:38:55.625	4	4	6420833	3
20220210--8967152301757070128	-1	33347	2022-02-10 22:33:48.105	1	1	5967981	3
20220210--393362248238704761	-1	24623	2022-02-10 11:59:07.160	54	3	3299589	4
20220210--8598988485138182060	1	32905	2022-02-10 07:31:17.545	86	3	3633902	4
20220210-6061373508952088625	-1	9228	2022-02-10 07:05:57.461	5	5	8953518	3
20220210-921770400568980642	-1	34635	2022-02-10 20:50:28.405	33	3	6909635	4
20220210-4713352411140439660	0	38644	2022-02-10 15:11:13.724	5	5	3018412	3
20220210-376467271684169761	-1	28010	2022-02-10 16:21:08.973	1	1	5169210	2
20220210-7728690927825273940	-1	437	2022-02-10 09:04:50.679	83	3	424523	1
20220210-8786451846605883295	1	20307	2022-02-10 06:24:26.904	1	1	4662439	2
20220210-8522599820419427106	-1	4238	2022-02-10 02:38:49.592	2	2	1789572	4
20220210--1554475246691235708	-1	8093	2022-02-10 01:07:48.976	5	5	6052281	4
20220210-3504433646947677709	-1	16939	2022-02-10 21:23:40.939	1	1	3900531	3
20220210--2975243367615322163	-1	2946	2022-02-10 16:57:04.684	45	3	3068152	4
20220210-8605740637618669323	0	33645	2022-02-10 17:32:11.676	31	3	9755771	2
20220210--8441789709118435832	1	18514	2022-02-10 11:43:18.723	2	2	9385415	4
20220210-4456067570357223706	-1	11851	2022-02-10 03:31:35.742	1	1	4431376	3
20220210-771340712601901111	1	31500	2022-02-10 00:27:10.561	1	1	9011317	2
20220210-6609013932123512278	-1	6974	2022-02-10 19:54:15.170	2	2	4064141	4
20220210-2761517547256451566	1	34523	2022-02-10 08:56:37.424	5	5	3749115	4
20220210-4382805909614576518	0	15300	2022-02-10 23:46:11.772	2	2	7820084	1
20220210--1060193174050844959	1	36284	2022-02-10 09:51:12.391	4	4	6771075	2
20220210--6052023589732589436	-1	38700	2022-02-10 21:36:10.403	5	5	7790920	3
20220210-1117289541938276916	-1	33795	2022-02-10 14:51:08.653	5	5	9303433	3
20220210--5846494759897387054	0	31641	2022-02-10 21:57:59.547	4	4	4089201	2
20220210--8610806659768762912	1	8137	2022-02-10 06:06:45.642	2	2	8953193	3
20220210-7137862441092143418	1	18313	2022-02-10 22:55:20.136	47	3	8055599	2
20220210-6805995498757862738	1	8875	2022-02-10 23:29:52.763	2	2	4350000	2
20220210--6087096657358732657	1	37793	2022-02-10 16:02:28.402	4	4	4974003	4
20220210-5048242147640744822	-1	10104	2022-02-10 15:33:37.503	62	3	9109703	2
20220210-1111427046040494	0	10444	2022-02-10 20:49:09.079	5	5	1506595	1
20220210--8136637669383127580	0	38432	2022-02-10 04:22:04.654	2	2	5652494	3
20220210-8129577739759142846	-1	22613	2022-02-10 02:17:39.346	71	3	5386575	3
20220210-2195653278201967024	-1	22260	2022-02-10 11:29:22.811	5	5	6387447	4
20220210-8199410811871037199	0	39990	2022-02-10 14:37:43.417	4	4	3635290	4
20220210--6988250720621469711	1	22535	2022-02-10 23:53:58.720	2	2	8787981	2
20220210-3707056319596694636	1	21404	2022-02-10 00:49:49.327	1	1	4573598	4
20220210-482828359043290918	1	28353	2022-02-10 19:26:38.338	1	1	3204741	4
20220210-6223400212795497627	-1	18538	2022-02-10 07:20:35.922	5	5	4349574	3
20220210--2874750964093171572	-1	14830	2022-02-10 04:02:08.683	1	1	3088240	2
20220210-8638385176251854180	0	16988	2022-02-10 20:14:28.121	5	5	8940595	1
20220210--5940552723705502092	-1	21761	2022-02-10 21:41:15.341	88	3	8188903	2
20220210-4419153404678509816	-1	23613	2022-02-10 10:26:01.034	5	5	6270121	2
20220210-1170981130623012454	0	21947	2022-02-10 12:04:38.759	2	2	3309680	4
20220210--9190043877910367037	0	27441	2022-02-10 10:12:32.393	4	4	5504675	3
20220210-6096497710473611368	0	20197	2022-02-10 11:21:02.490	5	5	1345603	2
20220210-7833622648609133020	-1	12133	2022-02-10 07:56:27.164	2	2	7165756	4
20220210--1111526927943227681	0	38077	2022-02-10 05:32:52.114	4	4	711141	2
20220210--8507605129169838937	1	504	2022-02-10 17:50:36.087	2	2	10046	4
20220210-4877419131237668888	1	34336	2022-02-10 19:32:24.859	15	3	9320967	4
20220210--4569910808909120695	1	38954	2022-02-10 14:42:27.200	2	2	7116822	2
20220210--4827001930899664882	-1	23385	2022-02-10 00:14:19.547	4	4	8329729	2
20220210--5795319001223778676	-1	16956	2022-02-10 13:27:33.422	74	3	3130526	2
20220210-4005217822766065101	1	35237	2022-02-10 09:57:40.445	5	5	2133244	2
20220210--4647109130684297981	0	37797	2022-02-10 16:40:50.546	55	3	3230106	2
20220210--426225630056635376	-1	32538	2022-02-10 16:06:19.099	1	1	6459370	4
20220210--6416103128718947807	-1	25306	2022-02-10 22:52:13.798	54	3	4850193	2
