transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220213-1754667215689960218	-1	12856	2022-02-13 16:03:53.986	2	2	5591590	4
20220213--3657972487005176389	0	19183	2022-02-13 22:04:29.845	2	2	8568057	1
20220213-4338283815886293179	-1	21228	2022-02-13 19:47:29.089	74	3	1046774	2
20220213--7780122910620616778	1	9419	2022-02-13 03:35:45.421	1	1	1886485	1
20220213-3247436015444585696	0	12779	2022-02-13 07:00:59.348	4	4	7527627	3
20220213-4885046564407047920	0	11381	2022-02-13 16:08:37.384	5	5	943424	3
20220213-5212182277177810690	-1	19957	2022-02-13 18:58:50.572	75	3	735228	1
20220213-3515474685551902754	0	35793	2022-02-13 13:29:28.311	4	4	6403780	4
20220213-8908832486331901202	1	5104	2022-02-13 06:38:09.677	1	1	1641296	4
20220213-5009169276342862190	-1	13154	2022-02-13 03:22:31.127	17	3	320332	4
20220213--8610864669324122332	-1	33240	2022-02-13 11:42:08.537	1	1	7189665	2
20220213-4445222544898703653	1	21228	2022-02-13 07:43:06.130	4	4	564389	1
20220213--3221280547580413184	-1	28785	2022-02-13 03:24:06.916	1	1	3427860	2
20220213-622713295392025424	0	22269	2022-02-13 21:46:56.037	5	5	9786889	4
20220213--8545725679511801195	1	11349	2022-02-13 19:25:09.109	4	4	8159903	4
20220213-5554261450771353483	-1	13471	2022-02-13 11:42:33.910	4	4	532593	4
20220213--7628993840178324823	1	36698	2022-02-13 11:03:10.782	1	1	3500446	1
20220213--5219253321361027288	-1	21840	2022-02-13 08:47:12.738	45	3	9180863	1
20220213--6775402645515789079	-1	1388	2022-02-13 07:29:49.288	5	5	7747965	4
20220213-9212830827921631301	0	8894	2022-02-13 03:44:06.016	5	5	29050	2
20220213-2148623905600608566	1	10187	2022-02-13 00:40:15.632	5	5	7012857	1
20220213-3527516212946247483	1	7362	2022-02-13 22:51:22.625	95	3	5066755	4
20220213-5594260978536663864	0	13484	2022-02-13 06:34:13.778	4	4	7353635	1
20220213-4986095357235209875	1	9062	2022-02-13 15:19:23.094	2	2	4924002	3
20220213-248133860232686710	1	547	2022-02-13 06:10:37.664	76	3	7966914	3
20220213--6328349941585234286	0	24391	2022-02-13 14:02:09.477	4	4	4749866	2
