transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220214-1870781890866493518	-1	6094	2022-02-14 20:35:55.660	5	5	726341	4
20220214--585012663435832138	0	3314	2022-02-14 15:26:47.066	1	1	7188375	2
20220214-2338364326453742478	1	22905	2022-02-14 09:50:17.065	2	2	5786845	1
20220214-8570890679249462515	1	20327	2022-02-14 19:23:27.537	4	4	5410137	1
20220214--4068583070858249517	-1	10386	2022-02-14 11:17:40.358	4	4	9801226	2
20220214--5295207918707872329	1	13463	2022-02-14 09:43:49.557	2	2	395468	4
20220214--5362618505709944517	0	4945	2022-02-14 07:22:11.023	5	5	5652293	1
20220214-9066994239375275224	0	88	2022-02-14 19:00:58.259	1	1	139165	1
20220214-2460403847260519055	1	25474	2022-02-14 00:37:50.477	1	1	9242687	4
20220214-4304944157717014961	0	33513	2022-02-14 01:58:00.461	4	4	8995817	4
20220214-6266296372682497069	1	37090	2022-02-14 18:51:58.100	4	4	4876242	1
20220214-4238155861095815519	-1	23028	2022-02-14 20:58:40.905	1	1	7828394	1
20220214--6027905341208336314	1	30864	2022-02-14 11:48:26.216	1	1	3382324	2
20220214--7061092104970823532	0	37906	2022-02-14 03:53:25.484	4	4	2788275	2
20220214-5989026000625599254	1	9035	2022-02-14 00:21:12.914	2	2	1263511	4
20220214--2746998572740879365	0	10228	2022-02-14 10:11:40.065	101	3	5483305	1
20220214--3325980284947950549	0	24685	2022-02-14 18:51:59.289	4	4	4794913	3
20220214--9082303194046126887	-1	17004	2022-02-14 22:32:28.938	2	2	3229693	1
20220214--8628659027245067483	0	16706	2022-02-14 02:38:00.584	5	5	7062606	3
20220214--6471849315139192480	-1	29270	2022-02-14 23:26:01.884	5	5	225227	2
20220214-603146311939782928	0	31628	2022-02-14 14:09:44.317	2	2	5100060	2
20220214-5602098015415864758	0	13978	2022-02-14 03:12:07.535	5	5	7192447	2
20220214-2575831634386830300	1	6715	2022-02-14 17:19:19.324	2	2	9018316	1
20220214-5082835874754802353	-1	16305	2022-02-14 12:36:27.661	2	2	7347405	2
20220214-6923430079130074735	0	26872	2022-02-14 07:40:18.383	69	3	9114874	3
20220214--5931099751140721548	1	11741	2022-02-14 15:54:19.552	22	3	6733438	4
20220214-5210958613240546126	0	33353	2022-02-14 18:47:03.289	2	2	3524378	4
20220214--5899895397458133369	0	36	2022-02-14 00:31:31.056	61	3	1420431	2
20220214--3236581304416427723	1	25611	2022-02-14 16:33:22.529	2	2	5040315	2
20220214-3412881555362812823	1	11714	2022-02-14 11:39:41.473	5	5	9581776	2
20220214--4589333170828458543	-1	9469	2022-02-14 02:15:39.611	5	5	3440853	1
20220214-2548822523339807873	0	4837	2022-02-14 09:17:01.459	1	1	3378658	1
20220214-3122638748078517214	-1	21431	2022-02-14 17:15:53.814	1	1	521367	1
20220214--4573848271646626085	0	11493	2022-02-14 14:37:13.390	1	1	1485996	1
20220214--8027062288711137191	1	30252	2022-02-14 13:23:38.176	4	4	4603128	1
20220214-2992387714696610332	1	32311	2022-02-14 09:03:52.170	58	3	8604176	3
20220214--8344110515785198289	0	39213	2022-02-14 16:30:15.697	1	1	8270124	4
20220214-652267048379326412	1	27286	2022-02-14 02:31:20.790	5	5	917539	2
20220214--6449547318379318609	1	18280	2022-02-14 10:49:12.477	1	1	3002567	3
20220214-8913071938396525603	1	2456	2022-02-14 22:31:26.496	1	1	5561023	1
20220214-1868660579233074067	0	6947	2022-02-14 23:14:14.223	1	1	6710425	3
20220214-6404713414826800932	0	15694	2022-02-14 22:08:07.732	4	4	3317935	3
20220214-2538759631691346030	1	32047	2022-02-14 01:48:46.213	5	5	330827	4
20220214-8436111290645625705	0	38135	2022-02-14 23:36:37.494	2	2	4404326	4
20220214-6913449669084112883	1	32785	2022-02-14 11:29:49.161	1	1	8916813	4
20220214-5928102850414872675	1	28985	2022-02-14 02:21:50.996	16	3	6282351	2
