transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220215-717252524235478907	1	36461	2022-02-15 08:49:24.087	94	3	7432572	1
20220215-8176079407343660560	1	27506	2022-02-15 01:45:33.158	2	2	2947740	1
20220215-2735929074632443366	0	16301	2022-02-15 08:13:07.698	2	2	3457757	4
20220215--8414364569280361477	-1	31647	2022-02-15 07:53:24.816	94	3	9330620	4
20220215--7753159834243076448	0	3689	2022-02-15 01:17:42.069	2	2	8048783	1
20220215--6333223061161485154	1	16130	2022-02-15 04:05:22.101	4	4	564264	4
20220215-4169614852822575282	1	9140	2022-02-15 01:52:05.353	5	5	3436689	4
20220215-4123985622719934958	0	32573	2022-02-15 16:13:59.046	5	5	9011657	4
20220215-8500079171347920823	1	1318	2022-02-15 06:28:49.536	4	4	2060540	1
20220215--4023165711647434015	0	11569	2022-02-15 22:36:43.738	4	4	2830686	1
20220215--8090584260403048272	1	39980	2022-02-15 20:10:45.214	5	5	300918	1
20220215--535183882784651464	-1	17730	2022-02-15 21:16:57.127	4	4	9167586	1
20220215-5661818624459614090	-1	10349	2022-02-15 13:11:30.693	2	2	4053049	3
20220215--1409215682020710944	-1	34640	2022-02-15 19:22:54.964	27	3	8583587	4
20220215--7080527515687479107	-1	7545	2022-02-15 11:02:11.568	1	1	4346661	3
20220215--5589263232501516761	0	5468	2022-02-15 13:22:10.467	38	3	9295601	3
20220215-8945874651612648628	0	20660	2022-02-15 06:03:34.209	5	5	9704203	1
20220215-8782501870965850612	1	23349	2022-02-15 21:26:21.516	1	1	5389074	1
20220215-3971140042773363988	0	6717	2022-02-15 01:09:48.186	5	5	5218575	3
20220215--6825726699686251330	1	16499	2022-02-15 20:06:33.160	48	3	2329943	2
20220215--6328369701155054438	0	1253	2022-02-15 10:19:58.606	2	2	5776541	2
20220215--6951521210249927644	-1	16124	2022-02-15 21:27:29.425	1	1	1689540	1
20220215--5915649018374474855	-1	35804	2022-02-15 22:30:13.942	4	4	1714693	4
20220215--4884603271920905512	-1	8386	2022-02-15 13:40:00.944	2	2	9242162	2
20220215-1010687803436468191	0	35113	2022-02-15 17:18:53.805	4	4	4021778	3
20220215--7483044754923486951	-1	16964	2022-02-15 04:07:31.416	4	4	6216627	2
20220215-3541913288065302437	0	9133	2022-02-15 00:59:26.920	1	1	7576146	4
20220215-7517682819549753349	-1	11783	2022-02-15 17:48:42.571	5	5	2618805	3
20220215--7362919454687556259	-1	22937	2022-02-15 19:33:26.977	5	5	7859142	4
20220215-5156047152693245949	0	321	2022-02-15 14:12:45.229	1	1	2141409	4
20220215-8002304896817511956	1	6655	2022-02-15 13:46:21.880	4	4	4995107	1
20220215--994037525460969966	-1	7017	2022-02-15 18:51:12.452	4	4	6615438	4
20220215-5645452655734995220	0	19960	2022-02-15 03:14:31.077	5	5	518514	1
20220215-1873419166796862004	-1	30445	2022-02-15 00:07:16.657	50	3	9337792	2
