transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220217--5923696648391721981	0	11612	2022-02-17 06:18:14.985	96	3	9557108	3
20220217-6657045744974869417	-1	2375	2022-02-17 08:07:35.147	4	4	3448813	1
20220217-3826581397450707411	-1	5838	2022-02-17 20:51:25.889	1	1	1228519	3
20220217-8899041520756110237	0	28611	2022-02-17 11:27:20.486	4	4	4173553	1
20220217--1077675981093818608	-1	7153	2022-02-17 18:35:28.964	2	2	5086763	3
20220217-4390444050977786020	1	16153	2022-02-17 07:00:09.822	2	2	1564562	3
20220217--584288679467856448	1	13886	2022-02-17 00:51:19.287	20	3	992465	1
20220217--5534173109177818594	0	8854	2022-02-17 14:32:06.878	83	3	8845444	4
20220217-1456592974219881048	1	3965	2022-02-17 16:45:10.726	2	2	1381422	1
20220217-5991375309783922226	-1	30494	2022-02-17 11:55:23.614	4	4	6246918	2
20220217--7920361497974994515	-1	29054	2022-02-17 04:55:10.673	1	1	2766294	4
20220217-1704896830571001619	1	31507	2022-02-17 08:38:08.380	5	5	9646419	2
20220217--6963410362779291597	-1	18823	2022-02-17 05:50:36.716	99	3	1982148	4
20220217--755170260156420313	1	20964	2022-02-17 09:17:03.209	4	4	9602863	1
20220217-7535270458990831401	1	12664	2022-02-17 09:56:10.947	5	5	6050355	2
20220217--5017910036973982218	-1	11423	2022-02-17 10:25:59.589	5	5	2429707	4
20220217-6080051036558967743	0	17375	2022-02-17 23:24:29.273	65	3	3176883	3
20220217-2893656464195298405	1	32451	2022-02-17 07:18:49.900	5	5	3105619	1
20220217-2992633443366879386	0	29297	2022-02-17 14:36:46.369	2	2	9893095	4
20220217--6154257009035624636	-1	11984	2022-02-17 07:21:55.048	5	5	1389269	4
20220217--3461793614384399084	1	31319	2022-02-17 04:33:58.363	1	1	6505882	4
20220217-1461254815406253102	-1	11342	2022-02-17 19:39:52.657	5	5	7832486	1
20220217--6828355058756581103	-1	9189	2022-02-17 10:16:17.271	5	5	4694306	4
20220217-1303051365997721139	-1	21607	2022-02-17 11:46:39.747	2	2	5609146	1
20220217-2708756840297322705	0	26705	2022-02-17 15:12:41.331	1	1	2316743	2
20220217-7149495693851738082	1	37792	2022-02-17 19:00:14.243	5	5	2349518	3
20220217-6416030994845117478	1	1151	2022-02-17 16:26:34.612	39	3	560794	3
20220217--1352915272195596870	1	1673	2022-02-17 12:29:55.657	2	2	2913161	3
20220217-6949046575567174798	0	20334	2022-02-17 19:59:22.499	2	2	2385966	3
20220217-7772621478323877978	-1	37469	2022-02-17 05:15:49.862	5	5	2149198	4
20220217-868134255570759466	1	36564	2022-02-17 12:27:37.904	74	3	103425	4
20220217-2021919146071055189	0	21457	2022-02-17 18:57:44.717	4	4	9655058	4
20220217--1849968388559511527	0	20826	2022-02-17 12:43:26.343	4	4	9469739	2
20220217-4083192868242821086	1	20113	2022-02-17 03:43:54.696	5	5	1222863	3
20220217--4585154011019275553	-1	32806	2022-02-17 01:27:08.223	2	2	1557568	3
20220217--3603219380380384926	0	4388	2022-02-17 05:38:13.283	4	4	47734	1
20220217--963271013590425864	0	35351	2022-02-17 08:07:14.339	1	1	2808219	4
20220217--2601111286866581290	0	19841	2022-02-17 07:16:12.547	2	2	7327851	2
20220217--8000558495633136869	1	24392	2022-02-17 09:39:24.052	1	1	4838084	2
20220217--8384420918731396150	0	25771	2022-02-17 03:15:49.306	1	1	1391794	3
20220217-4247483968915053494	0	37051	2022-02-17 07:44:29.483	2	2	5966418	3
20220217--470861974339242839	1	19638	2022-02-17 17:46:06.112	2	2	9831388	2
20220217-7966256084826299503	0	18977	2022-02-17 19:08:27.285	4	4	5451539	1
20220217--1986973795136056147	0	34957	2022-02-17 18:15:06.072	2	2	7980615	2
20220217--1490631791485468396	1	17462	2022-02-17 11:22:51.011	2	2	375480	1
20220217--8224908398735462582	-1	32547	2022-02-17 16:07:03.300	4	4	7085480	2
20220217--3726946497568812094	1	33301	2022-02-17 20:43:11.552	106	3	2315832	3
20220217-5520258471898546185	-1	32766	2022-02-17 03:44:10.575	4	4	3528427	2
