transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220218-3658457358007679556	-1	23590	2022-02-18 19:27:04.071	1	1	8491532	3
20220218-8026515404856907474	-1	16018	2022-02-18 13:54:29.003	2	2	7283295	3
20220218-4117776965068090190	0	22778	2022-02-18 19:03:32.554	2	2	2569433	2
20220218-6143867599158554952	0	15700	2022-02-18 02:15:08.106	1	1	7967212	1
20220218--1790754210107985408	-1	196	2022-02-18 05:43:45.987	4	4	7846647	2
20220218-7620597951201492112	0	4873	2022-02-18 17:23:49.217	5	5	4207726	1
20220218-6091100498680302277	1	32970	2022-02-18 21:56:13.591	4	4	8178393	3
20220218-3202300937281994186	-1	2186	2022-02-18 17:29:53.772	1	1	5033459	2
20220218-6223284850173827286	0	11848	2022-02-18 06:10:23.459	2	2	1092591	3
20220218--8603048225103163641	1	319	2022-02-18 11:44:44.216	2	2	3636877	4
20220218-1702279539845939528	0	15511	2022-02-18 16:58:22.477	1	1	3517025	4
20220218-4912216992862588910	1	22759	2022-02-18 00:52:12.402	1	1	8569073	1
20220218-7957824169315551099	0	11130	2022-02-18 03:00:15.695	27	3	9060329	4
20220218--7872457534964058455	-1	20888	2022-02-18 10:18:40.207	4	4	4500308	3
20220218--7243612157741270829	0	37341	2022-02-18 07:18:27.085	73	3	8015821	1
20220218--7191989630763775696	-1	22893	2022-02-18 23:56:37.493	98	3	3808100	1
20220218--8486350665629264525	0	37367	2022-02-18 02:04:46.437	5	5	8000249	2
20220218--7147413669938695721	1	24848	2022-02-18 02:35:57.689	2	2	2438299	2
20220218--3546308528387953456	-1	21131	2022-02-18 14:32:26.471	41	3	7746997	1
20220218--7599358919848250075	1	3459	2022-02-18 17:57:01.247	1	1	2874796	4
20220218-5893504616997317653	1	8242	2022-02-18 06:48:34.179	14	3	5343120	2
20220218-57783037292993989	1	33081	2022-02-18 13:49:53.566	2	2	574312	3
20220218-7824123397759989769	-1	20381	2022-02-18 23:42:24.939	97	3	6993959	1
20220218--1622542042242047669	-1	2025	2022-02-18 14:52:19.573	24	3	2300997	2
20220218-1193955783979035495	1	25836	2022-02-18 05:04:00.442	1	1	7588211	1
20220218--5360386872338809760	0	15750	2022-02-18 12:02:09.074	1	1	7699324	1
20220218-2183976408099700258	-1	32482	2022-02-18 11:15:51.181	2	2	2556346	4
20220218--4649919036072995139	-1	20743	2022-02-18 16:11:00.826	22	3	4985845	3
20220218-5574539780313373107	1	3678	2022-02-18 21:37:12.671	5	5	888293	4
20220218--7648229355589153304	1	24027	2022-02-18 10:28:38.001	4	4	8339985	2
20220218-1473163132185728172	1	28850	2022-02-18 23:13:12.102	64	3	896919	4
20220218-7734731197790146569	-1	36061	2022-02-18 02:52:53.525	20	3	7002085	3
20220218-5792294533737847545	1	38292	2022-02-18 18:30:55.170	4	4	90134	4
20220218--3966668528965614962	-1	39024	2022-02-18 08:30:08.104	1	1	6772774	2
20220218--5012623516655229880	1	18733	2022-02-18 00:06:34.856	106	3	9406833	2
20220218--4318473002528631870	1	17584	2022-02-18 00:23:15.093	4	4	2384198	4
