transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220219--8851913309550335666	1	17539	2022-02-19 07:35:46.654	4	4	4129424	3
20220219--5065052176053180781	-1	36105	2022-02-19 03:29:38.541	2	2	3473598	4
20220219--4730586660254031681	1	29655	2022-02-19 19:57:37.306	5	5	7261079	1
20220219--1339492288615232071	0	9976	2022-02-19 02:37:46.461	5	5	5349628	3
20220219-1237044025276734084	0	23302	2022-02-19 04:02:10.179	2	2	3427310	1
20220219--6139422788720056514	-1	580	2022-02-19 02:48:44.152	5	5	1848970	3
20220219--1548468516591184263	0	17128	2022-02-19 19:41:39.669	2	2	7062098	2
20220219-930772869004052232	-1	29504	2022-02-19 20:22:19.085	4	4	1664484	3
20220219--6260721401193551985	1	19677	2022-02-19 03:42:12.292	1	1	125044	1
20220219--3220531936349361465	1	3656	2022-02-19 00:45:32.237	2	2	4941270	3
20220219--6555149573168464454	1	3726	2022-02-19 23:44:38.564	4	4	5036911	3
20220219--8287100072505053179	-1	6320	2022-02-19 20:00:35.224	2	2	1027543	4
20220219-5694088600337344219	0	20180	2022-02-19 07:52:15.230	4	4	9293193	2
20220219-6487782692985737164	1	7950	2022-02-19 23:59:48.669	5	5	6335185	4
20220219--5999131983343327863	1	4390	2022-02-19 00:09:46.616	1	1	8300105	1
20220219-1670523826429907219	-1	17175	2022-02-19 08:47:02.371	5	5	3288537	2
20220219-37680789802939899	1	32508	2022-02-19 00:49:17.206	2	2	8377245	3
20220219-5827815873470977281	0	7610	2022-02-19 23:54:27.503	5	5	4455479	1
20220219-1870445074017307397	0	35195	2022-02-19 04:17:46.372	15	3	7215662	1
20220219--7991701173409344243	-1	3104	2022-02-19 11:12:01.769	5	5	4394268	1
20220219-4989229635647634146	1	28121	2022-02-19 02:15:52.667	2	2	8195869	2
20220219--1421953428488885164	1	14754	2022-02-19 12:31:29.641	1	1	7996774	3
20220219-7650421216743606797	0	39747	2022-02-19 02:47:40.242	5	5	3439448	1
20220219--2562640608274781759	-1	22523	2022-02-19 21:44:43.508	5	5	5735804	2
20220219-5204356243244131911	1	17148	2022-02-19 23:21:18.747	4	4	9378178	3
20220219--1417109642666215265	-1	30756	2022-02-19 10:37:18.125	5	5	916868	3
20220219-4229966272045325238	1	3404	2022-02-19 06:52:38.486	90	3	8104843	4
20220219-7587485679724239140	1	24095	2022-02-19 22:38:52.610	5	5	1066895	4
20220219-7051561190176102825	0	658	2022-02-19 18:01:29.447	2	2	3855001	2
20220219-8840566403715116727	0	1298	2022-02-19 04:04:35.164	1	1	5452221	2
20220219--7727271831339363604	1	25981	2022-02-19 16:22:10.873	2	2	4037576	3
20220219-1135129274923528351	-1	4818	2022-02-19 04:30:10.350	5	5	2465441	3
20220219--997008227844814227	0	26754	2022-02-19 17:45:09.695	5	5	2840594	3
20220219-7766389102480674949	-1	19419	2022-02-19 12:26:06.359	1	1	6059872	1
20220219-4709910150662327490	-1	5100	2022-02-19 21:22:49.917	4	4	2450320	2
20220219--8035569704214877302	0	2563	2022-02-19 21:51:34.857	2	2	9656029	1
20220219-6004284515921351737	-1	4449	2022-02-19 01:01:47.158	1	1	7091209	1
20220219--3146983969525516218	-1	28925	2022-02-19 18:14:03.515	4	4	2669622	4
20220219--5473385056422689327	0	30742	2022-02-19 18:59:48.232	2	2	6984261	1
20220219--4692807994566462187	1	22175	2022-02-19 04:37:31.242	4	4	4428287	4
20220219--320111047098942639	0	23541	2022-02-19 23:22:01.724	10	3	6197749	3
20220219--4065563344925484257	0	37150	2022-02-19 20:59:59.761	2	2	2170999	4
20220219-5446993693401821737	0	19809	2022-02-19 04:34:43.515	4	4	5644253	3
20220219--7300149711140354221	-1	1707	2022-02-19 01:34:51.971	4	4	3006467	1
20220219-2293533107204531489	1	268	2022-02-19 15:59:27.244	30	3	8555329	2
20220219--5203082883865336072	-1	36777	2022-02-19 08:26:01.293	5	5	1208867	4
20220219--1560420303445800914	-1	32953	2022-02-19 23:02:47.222	2	2	7653409	1
20220219-4419122295623962533	1	20238	2022-02-19 01:02:40.149	22	3	8768021	3
20220219-1715185780481629052	0	1010	2022-02-19 09:59:50.039	2	2	3450338	4
20220219--6595108177572199362	-1	7400	2022-02-19 14:49:59.067	5	5	8848801	2
20220219-6128157305150154849	0	34925	2022-02-19 13:55:59.369	4	4	1183666	4
20220219-1491414697287142844	1	29810	2022-02-19 22:26:32.499	26	3	4082724	1
20220219--6384224135276266275	0	569	2022-02-19 12:58:32.630	2	2	9876339	2
20220219-4092899704681877482	0	11660	2022-02-19 15:49:01.594	1	1	9328010	3
20220219-1545892697514359704	0	2577	2022-02-19 17:30:20.994	2	2	5886592	2
20220219-4857157166826693388	0	5872	2022-02-19 15:02:06.585	1	1	1139651	4
20220219--8447228463948298679	1	3713	2022-02-19 20:08:01.998	5	5	2893573	2
20220219-979983343432270022	0	4400	2022-02-19 09:05:32.473	5	5	5079363	4
20220219-6876572628742086826	0	24418	2022-02-19 20:36:03.323	5	5	2981759	3
20220219-2494298972066555753	-1	3435	2022-02-19 17:40:30.941	4	4	9740302	1
20220219--946593033674909754	1	19181	2022-02-19 13:05:04.512	2	2	1397939	1
20220219--5524792313604942051	0	17913	2022-02-19 14:15:21.093	4	4	3047827	4
20220219--1691368110910038466	-1	27099	2022-02-19 22:30:47.336	49	3	1096433	1
20220219-7954268911892835968	-1	14434	2022-02-19 09:36:31.987	81	3	6121834	2
20220219--355613618004841777	1	31095	2022-02-19 14:04:46.250	62	3	9379752	4
20220219-2722413789239485928	0	10752	2022-02-19 00:57:26.001	4	4	5626840	1
20220219-8264538290410598927	-1	39127	2022-02-19 12:31:29.517	1	1	6207931	1
20220219--958596642252092759	-1	23870	2022-02-19 05:17:59.192	12	3	1067007	4
20220219--1541847216333214006	1	32214	2022-02-19 09:55:44.574	88	3	2584137	3
20220219-2925320958644340744	1	34313	2022-02-19 00:38:14.553	1	1	4141450	4
20220219-5571144810881486341	1	20285	2022-02-19 18:40:09.473	1	1	6553814	1
20220219--8517630882827112708	0	7409	2022-02-19 23:12:19.645	2	2	1224659	2
20220219-8667116264731735423	0	14685	2022-02-19 23:15:02.951	4	4	2778836	2
20220219-2263348118697334538	1	3089	2022-02-19 01:42:18.479	24	3	2082607	3
20220219--8081510245781205063	0	32166	2022-02-19 10:32:34.470	4	4	9908236	1
20220219-8608426076753676198	1	16401	2022-02-19 03:23:28.061	98	3	9175655	3
20220219--870852864816463029	-1	30399	2022-02-19 03:58:35.945	4	4	3948907	1
20220219--3897948412990037922	1	17098	2022-02-19 04:55:22.049	4	4	8089020	3
20220219--9024648913252650956	0	6629	2022-02-19 13:45:49.352	5	5	7119620	4
20220219-9223302086735298673	1	31173	2022-02-19 17:52:40.640	2	2	1118705	1
20220219-4914233166358306392	1	650	2022-02-19 13:01:56.827	2	2	8931918	2
20220219-2380459558924236548	1	33662	2022-02-19 17:40:18.756	2	2	4854820	4
20220219--266278891326285239	1	35634	2022-02-19 02:24:07.858	5	5	5334643	1
20220219-4974551162059247743	1	27157	2022-02-19 14:50:48.288	2	2	6812135	2
20220219-2202695637801203398	-1	3543	2022-02-19 00:12:00.528	2	2	871815	3
20220219-6510562435273025169	-1	33953	2022-02-19 03:43:52.551	66	3	3832543	2
20220219--7543997581822825061	-1	28652	2022-02-19 21:19:45.364	2	2	5027219	1
20220219-2344894389658276260	-1	29775	2022-02-19 23:03:37.894	10	3	9715687	1
20220219--5168634016070271204	0	17305	2022-02-19 07:48:16.901	5	5	3842081	2
20220219-3727886430466769014	1	27425	2022-02-19 21:17:39.024	1	1	7377298	1
20220219-1071333674142054683	1	15885	2022-02-19 21:00:33.262	1	1	8481766	1
20220219-5141093866549122061	0	23992	2022-02-19 12:03:59.161	106	3	3004208	4
20220219--1906835817947078027	-1	11500	2022-02-19 01:05:04.703	2	2	8144864	3
20220219--5770942551940003728	-1	34910	2022-02-19 04:30:25.403	1	1	1238671	3
20220219--4745827019356564036	-1	37221	2022-02-19 01:00:57.926	72	3	1643173	4
20220219--435583360430510564	0	7924	2022-02-19 08:11:13.983	4	4	6014028	1
20220219--4882295593051667645	-1	16522	2022-02-19 20:06:50.138	1	1	6895908	1
20220219--4972983000585196340	1	30301	2022-02-19 09:29:54.073	5	5	9476003	2
20220219--527134050463796861	-1	26588	2022-02-19 12:35:38.241	1	1	3140904	4
20220219--3081516634436274685	-1	38876	2022-02-19 14:27:02.832	2	2	9774835	4
20220219-6704400584160724224	1	39163	2022-02-19 00:18:53.286	5	5	9275695	3
20220219--5445807286645976308	0	6558	2022-02-19 10:46:53.880	1	1	5841390	3
20220219-2281993892655485866	1	32901	2022-02-19 13:18:24.172	1	1	8997786	3
20220219--4127009686151790900	0	13290	2022-02-19 09:01:40.166	75	3	9613278	4
20220219--8718270340596978120	0	9038	2022-02-19 01:03:54.665	4	4	8804679	3
20220219-2486119017613195462	0	5372	2022-02-19 15:36:57.628	5	5	7493734	3
20220219-6060054413365681949	1	15211	2022-02-19 11:31:25.634	72	3	8122676	4
20220219--2142106080392798335	1	22691	2022-02-19 03:13:58.537	1	1	9914599	1
20220219-8602925571153622453	-1	6760	2022-02-19 10:22:10.829	20	3	9040216	4
20220219--3243950414766933702	1	11016	2022-02-19 06:15:16.802	56	3	8833450	3
20220219-6505915233236372908	0	27485	2022-02-19 10:33:19.297	54	3	6766793	2
20220219-7390780299400525159	1	35574	2022-02-19 11:13:33.263	4	4	6956048	2
20220219-5132036024208002003	0	38759	2022-02-19 13:28:55.883	4	4	1622954	3
20220219-940287567119455154	1	33704	2022-02-19 17:47:23.203	2	2	6631224	4
20220219-1759051622398879403	-1	35928	2022-02-19 05:42:16.922	5	5	3677390	1
20220219--6068265589642914759	1	26191	2022-02-19 20:31:39.512	5	5	4309982	3
20220219-6291829640885899812	0	10511	2022-02-19 23:01:45.570	92	3	3636440	1
20220219--2893545464735902749	1	4103	2022-02-19 12:58:23.190	4	4	7104473	1
20220219--7762156983803181421	-1	27709	2022-02-19 17:25:38.481	2	2	6583840	2
20220219-1469431158387907453	1	8392	2022-02-19 00:30:13.332	2	2	7488496	3
20220219-2042567071508068242	0	12565	2022-02-19 09:01:47.217	2	2	358302	4
20220219-945281639583249337	-1	20605	2022-02-19 00:20:34.210	4	4	1422188	3
20220219--2852385214012940740	-1	31186	2022-02-19 15:14:18.897	2	2	8992378	3
20220219-3146793364565669833	0	32134	2022-02-19 21:43:24.695	5	5	4848889	2
20220219-951118441450875203	1	8234	2022-02-19 02:17:08.714	5	5	9894118	4
20220219--6672417462691097964	-1	8532	2022-02-19 11:48:26.142	5	5	4084079	3
20220219--300175832830502687	-1	25131	2022-02-19 19:56:43.914	66	3	3347557	2
20220219--7136745586576135781	0	33882	2022-02-19 12:53:27.543	30	3	4843885	4
20220219--2370678591482479654	-1	14915	2022-02-19 18:25:12.230	4	4	5684376	1
20220219-5906464945268197924	-1	28632	2022-02-19 04:08:21.986	1	1	8685416	2
20220219-7605686062503249757	0	30130	2022-02-19 17:46:21.969	2	2	8120277	4
20220219--6378850265247444800	-1	19204	2022-02-19 11:09:20.812	2	2	7801567	2
20220219--2924395215870326498	1	25469	2022-02-19 01:36:46.316	13	3	1887162	4
20220219--6196684495056394150	-1	14393	2022-02-19 09:55:35.266	4	4	1209438	1
20220219-2731283460913903142	0	13334	2022-02-19 05:31:26.629	2	2	754763	3
20220219--2612640223496049448	0	18151	2022-02-19 14:22:40.984	5	5	2096667	3
20220219--1105612489682570041	1	37431	2022-02-19 23:36:10.766	4	4	7915121	1
20220219--7597837936374309494	-1	15822	2022-02-19 09:58:49.037	17	3	4782208	2
20220219-3023108857505547247	-1	27037	2022-02-19 02:28:30.298	1	1	6095651	2
20220219-4963628811061314567	1	17336	2022-02-19 01:34:37.704	1	1	7892545	4
20220219--6457500045277781335	-1	3828	2022-02-19 22:49:23.931	1	1	7725413	3
20220219--6109573697599720854	1	31317	2022-02-19 16:02:30.346	2	2	4005075	4
20220219--5819615545216923547	-1	23341	2022-02-19 17:15:47.070	2	2	1048820	2
20220219-1262601451376360676	-1	20292	2022-02-19 06:38:01.477	104	3	7575643	3
20220219--5634194187920668296	1	11528	2022-02-19 08:18:26.171	5	5	7194440	4
20220219--5283065158823407355	0	21489	2022-02-19 18:49:22.182	5	5	1789550	2
20220219-4606395045673405379	0	24067	2022-02-19 14:12:53.634	5	5	6955442	4
20220219--7966718318632697674	0	218	2022-02-19 21:08:27.581	1	1	447111	2
20220219--4351744689349715091	-1	35450	2022-02-19 16:14:21.523	5	5	8885024	3
20220219-7703795765712441848	-1	4233	2022-02-19 23:16:58.129	2	2	2167042	3
20220219-676064163016676159	0	31931	2022-02-19 07:39:42.503	5	5	5022063	4
20220219-6195541536998162998	0	10060	2022-02-19 07:13:29.974	1	1	1326241	4
20220219--4363860386544272411	1	11861	2022-02-19 13:15:43.018	1	1	2984845	3
20220219--1201032922637948198	0	31791	2022-02-19 05:17:43.543	23	3	5192798	2
20220219-8511689978661272990	-1	39089	2022-02-19 06:22:04.431	2	2	9479337	1
20220219--8930930188345187230	0	35591	2022-02-19 22:47:15.162	2	2	2050686	1
20220219--7630172852390919298	-1	21412	2022-02-19 05:37:35.962	4	4	8254453	2
20220219--4790437718904027825	1	35601	2022-02-19 13:34:58.731	4	4	2269197	3
20220219--6163294687322883972	1	7642	2022-02-19 19:21:40.511	4	4	4196370	2
20220219-5469625751974215277	-1	2303	2022-02-19 21:04:50.242	98	3	4526844	2
20220219-19403549281516204	-1	38526	2022-02-19 12:03:41.239	1	1	2469881	2
20220219-6045424048868058504	0	2160	2022-02-19 16:19:08.396	5	5	242603	3
20220219-6265681769260616790	1	19662	2022-02-19 02:30:54.648	2	2	467942	4
20220219--3101712907359150660	1	36449	2022-02-19 05:17:43.813	1	1	9847283	4
20220219-7796756670506363628	1	25112	2022-02-19 03:07:31.583	2	2	7403179	3
20220219-1026961150715304302	-1	10004	2022-02-19 21:58:25.738	1	1	666053	2
20220219-36394206520601963	1	31188	2022-02-19 04:46:56.612	4	4	2525290	3
20220219-7575360432454273402	1	39174	2022-02-19 13:09:30.769	5	5	1870024	4
20220219-2488445111569498497	-1	10996	2022-02-19 01:10:14.958	1	1	1644444	2
20220219-10423697995775166	-1	21501	2022-02-19 22:02:55.993	18	3	8501812	2
20220219--9005350949366893502	1	14231	2022-02-19 13:23:22.632	99	3	3488023	4
20220219-2976277075673385830	0	19979	2022-02-19 06:21:18.512	5	5	355024	2
20220219--3966723328641750816	0	34365	2022-02-19 09:25:27.355	1	1	9817869	2
20220219-8930121890595835349	1	35379	2022-02-19 12:01:23.304	4	4	7258942	1
20220219-8630924927971485638	-1	23041	2022-02-19 10:13:13.861	5	5	9460531	2
20220219-1698172793150740210	1	35877	2022-02-19 03:36:14.720	2	2	340551	2
20220219--6502434566013803364	-1	9678	2022-02-19 21:41:25.063	20	3	1169459	3
20220219--4978312081953479416	-1	12210	2022-02-19 00:43:20.075	86	3	6947400	2
20220219-8389719202591453498	0	35525	2022-02-19 22:03:12.608	2	2	3254560	1
20220219--8764285159641323594	-1	37585	2022-02-19 19:19:51.483	1	1	5326053	4
20220219--6027556529794842685	0	12151	2022-02-19 07:08:37.736	1	1	3175178	2
20220219--1260839996121325704	1	12206	2022-02-19 21:24:02.806	18	3	1172833	2
20220219-7233893359895647044	0	38932	2022-02-19 07:57:25.503	1	1	6210007	2
20220219--3804729989460858675	0	1499	2022-02-19 14:33:32.027	4	4	9687730	4
20220219-6064240438430202925	1	37428	2022-02-19 23:13:25.508	1	1	2736400	3
20220219-694824842335354392	0	14119	2022-02-19 02:50:23.564	2	2	1959894	3
20220219--6544987802857545064	1	645	2022-02-19 05:22:11.708	1	1	4931500	4
20220219--814228724297601045	1	37049	2022-02-19 10:22:07.327	2	2	9618200	4
20220219--4947695925493606242	1	28555	2022-02-19 04:05:04.082	1	1	1708405	4
20220219--7242641425944312851	-1	16580	2022-02-19 19:00:38.468	1	1	3103376	2
20220219--6706437907985570858	0	22937	2022-02-19 16:16:35.033	5	5	7004196	2
20220219--4854583723267304727	-1	6216	2022-02-19 05:57:34.895	2	2	6116642	2
20220219-8862958228339598142	-1	33831	2022-02-19 18:51:36.677	105	3	8047109	1
20220219-7405003280562839442	0	11777	2022-02-19 08:05:21.128	4	4	434059	4
20220219--7912912121237631191	1	11804	2022-02-19 20:10:08.570	20	3	1350849	2
20220219-3267017152670661853	0	29456	2022-02-19 00:46:54.397	1	1	6055223	4
20220219-8183605348963186233	0	5986	2022-02-19 19:39:40.465	1	1	6581019	4
20220219-2273518363006623624	0	38936	2022-02-19 08:58:57.336	5	5	5664220	1
20220219-8701292523294978392	1	13567	2022-02-19 09:02:05.048	55	3	7262408	2
20220219--2440136225004368470	-1	20997	2022-02-19 12:26:20.369	2	2	5034902	2
20220219--3262846612585397436	0	14179	2022-02-19 11:17:15.019	2	2	5158760	3
20220219-1911111644592407244	-1	37247	2022-02-19 11:13:09.228	1	1	705093	2
20220219-6372232433114333195	0	19141	2022-02-19 05:06:12.623	1	1	5173461	2
20220219--2794527761771445293	1	20543	2022-02-19 21:45:14.653	100	3	2082938	1
20220219--7318842367473190623	0	23783	2022-02-19 01:35:53.417	2	2	8325505	3
20220219--73913411763680397	-1	5872	2022-02-19 18:12:51.664	1	1	5010131	1
20220219-7055726276028556123	-1	26480	2022-02-19 01:58:53.413	5	5	5480773	4
20220219--1651326928261814088	-1	32081	2022-02-19 21:07:08.404	1	1	7042547	3
20220219--6887981798752004681	-1	16482	2022-02-19 06:18:55.736	1	1	5453000	3
20220219--5096668918948681839	1	25969	2022-02-19 22:23:53.483	5	5	3691051	3
20220219-1123489235207712017	-1	2520	2022-02-19 00:30:50.711	1	1	7830139	2
20220219-1666385740612967978	1	1996	2022-02-19 10:28:21.818	1	1	7882989	1
20220219-5630364083268365677	-1	16897	2022-02-19 04:13:19.961	4	4	8479753	1
20220219--6320867936974427735	-1	4149	2022-02-19 10:10:04.943	4	4	5563046	1
20220219-4907387151600474729	-1	9829	2022-02-19 21:52:48.063	106	3	7377250	3
20220219--869181701256044624	0	18863	2022-02-19 22:30:07.557	96	3	5102758	1
20220219--192585266455936504	0	17277	2022-02-19 04:21:40.800	65	3	2335425	4
20220219--4370198538652437106	1	20926	2022-02-19 02:52:53.588	2	2	552924	1
20220219--1893286401639225536	0	8491	2022-02-19 03:18:52.452	2	2	9816963	1
20220219-5894430569515270522	1	1519	2022-02-19 21:35:24.383	4	4	9796530	3
20220219--2986982969543098633	-1	34835	2022-02-19 18:10:04.875	5	5	3277052	4
20220219-1415475365148965812	1	14184	2022-02-19 01:11:25.298	81	3	3369557	1
20220219--5609768366359668685	-1	7633	2022-02-19 21:40:07.725	4	4	4745847	1
20220219--7092102545125963184	-1	33642	2022-02-19 03:54:14.914	2	2	5881769	3
20220219-6355733043574777738	1	18861	2022-02-19 02:44:14.127	1	1	220290	3
20220219--4129658249218014195	1	2557	2022-02-19 16:41:50.658	4	4	6234713	4
20220219-7483662580699028546	-1	531	2022-02-19 18:54:31.820	1	1	3893634	4
20220219--8264080783508389388	-1	32015	2022-02-19 23:49:09.741	49	3	1537420	3
20220219--5562788911279216255	1	22259	2022-02-19 10:15:10.836	5	5	7481587	4
20220219-5865711536829826579	-1	22241	2022-02-19 10:16:54.201	5	5	391950	1
20220219-8153222323083116719	1	19810	2022-02-19 11:12:24.061	88	3	8572049	4
20220219--9193972478645629628	0	11956	2022-02-19 13:24:22.426	46	3	10009579	1
20220219-3664376883772997296	-1	22451	2022-02-19 07:04:37.515	2	2	584990	4
20220219--3919343874296574333	1	30327	2022-02-19 05:36:34.236	5	5	2487979	4
20220219-3963349969167743449	1	1706	2022-02-19 10:35:32.186	2	2	9512313	2
20220219-1434537844099967025	-1	24040	2022-02-19 22:51:20.574	5	5	5991093	3
20220219--7481549953999454110	1	10335	2022-02-19 20:05:38.180	74	3	7351043	3
20220219--102545635293001576	-1	34316	2022-02-19 13:05:27.224	1	1	8323873	2
20220219--7517838808449606590	0	24490	2022-02-19 05:56:27.979	4	4	5484598	3
20220219--6809076625174728233	-1	13386	2022-02-19 09:24:25.670	2	2	5648520	1
20220219-6298687496056856975	-1	16065	2022-02-19 19:17:45.094	1	1	407363	2
20220219-2909460890066292028	-1	21866	2022-02-19 14:01:43.910	4	4	8980451	2
20220219--7916287335603784613	-1	22736	2022-02-19 05:12:49.111	4	4	6972074	4
20220219--760205859543329431	1	38436	2022-02-19 10:28:24.930	16	3	9753034	2
