transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220220-3037707348887252285	-1	26849	2022-02-20 02:27:14.530	4	4	7765884	2
20220220-955562010929105011	-1	2581	2022-02-20 11:37:02.769	1	1	261320	2
20220220-487815049417526106	1	10465	2022-02-20 04:49:31.763	5	5	187858	2
20220220--8683406758913841744	-1	30836	2022-02-20 14:32:07.530	103	3	3420930	1
20220220--4433789404816416026	-1	39911	2022-02-20 11:43:41.819	4	4	1020339	3
20220220-8041041812291265124	1	20104	2022-02-20 12:52:11.756	2	2	2612067	1
20220220-3686691214484470276	-1	16925	2022-02-20 00:47:13.493	2	2	629894	3
20220220-6941814683502086848	0	18245	2022-02-20 02:25:29.087	23	3	3501720	2
20220220-8470887276622385208	0	6502	2022-02-20 14:25:06.993	2	2	192456	2
20220220--3969538241066792786	1	13157	2022-02-20 04:40:21.752	5	5	3648613	2
20220220--6399618972335181162	0	25289	2022-02-20 16:17:58.610	1	1	636675	2
20220220--58374780948192767	1	19882	2022-02-20 15:20:20.298	4	4	5423282	2
20220220--2905175866672746337	-1	31174	2022-02-20 12:35:26.182	1	1	397973	1
20220220-3460107160345418663	-1	25639	2022-02-20 11:09:59.174	1	1	6302941	2
20220220-2399693850501694471	1	35649	2022-02-20 07:38:42.746	4	4	1018238	2
20220220--2357133909026720345	0	17256	2022-02-20 11:40:32.395	5	5	3841220	4
20220220--2720163082540351526	-1	32574	2022-02-20 20:42:21.543	1	1	6291946	3
20220220--580616133932235961	-1	38655	2022-02-20 19:06:15.185	4	4	4876581	3
20220220--7382916013376114374	-1	6276	2022-02-20 16:09:18.627	49	3	2292785	1
20220220-8267287002407521675	-1	20755	2022-02-20 23:57:38.228	4	4	8059900	4
20220220--2293403102662901659	1	37969	2022-02-20 17:33:15.761	1	1	6759016	2
20220220--8901589484789775584	-1	7615	2022-02-20 03:19:41.285	2	2	7137330	2
20220220--6815973455911146434	1	9880	2022-02-20 11:33:52.089	5	5	590762	2
20220220--6911854540516135282	-1	23676	2022-02-20 08:34:50.092	1	1	6688212	4
20220220-3926562745269930605	0	6205	2022-02-20 20:28:24.721	2	2	4673210	2
20220220--1234885822047095455	-1	25087	2022-02-20 04:14:53.865	1	1	6943438	4
20220220--8475804162945980925	0	39583	2022-02-20 17:07:05.016	1	1	4669463	3
20220220-9131028769308712395	0	34187	2022-02-20 10:47:31.451	5	5	8234400	4
