userid	birthdate	profileLevel	gender	updatedTime
16739	2006-07-07	3	2	2021-11-01 23:33:10.859
2212	1970-04-26	3	1	2021-11-01 13:01:53.147
21246	1975-05-25	3	2	2021-11-01 05:21:32.246
17283	1990-12-12	1	2	2021-11-01 01:02:30.899
38267	1972-05-23	1	1	2021-11-01 14:42:53.505
35829	2005-04-27	2	2	2021-11-01 14:09:01.215
9524	1955-12-20	2	1	2021-11-01 23:28:13.793
11626	1990-03-22	3	2	2021-11-01 22:47:06.689
21349	1996-06-08	2	1	2021-11-01 01:02:14.124
31191	1987-06-23	1	2	2021-11-01 00:56:56.235
25128	1977-07-24	2	1	2021-11-01 19:22:49.526
31785	1983-08-19	2	1	2021-11-01 23:11:32.216
34603	2002-10-18	2	2	2021-11-01 10:46:50.244
41106	1977-02-15	1	1	2021-11-01 13:59:57.922
41584	1962-11-12	1	2	2021-11-01 12:44:10.062
42994	1958-11-09	3	1	2021-11-01 15:28:07.937
38715	1981-03-03	1	1	2021-11-01 14:56:02.184
3610	2004-10-11	2	1	2021-11-01 14:46:26.994
43263	1985-04-29	3	2	2021-11-01 10:54:36.175
36625	1992-09-11	1	1	2021-11-01 20:34:36.533
2991	1989-02-08	2	2	2021-11-01 20:26:15.263
10010	1965-04-13	2	1	2021-11-01 19:23:37.322
27355	1962-09-21	2	1	2021-11-01 16:11:40.181
36165	1971-08-15	2	2	2021-11-01 22:30:17.357
5699	2007-11-05	1	1	2021-11-01 20:06:12.230
9965	1950-01-19	3	2	2021-11-01 20:19:59.283
16961	1998-06-18	3	2	2021-11-01 08:26:42.509
12240	2003-12-04	3	2	2021-11-01 04:29:32.054
13900	2002-03-28	1	1	2021-11-01 13:04:59.805
226	1963-06-20	3	2	2021-11-01 21:17:33.861
33421	1982-10-23	2	1	2021-11-01 19:57:00.704
22631	1976-07-03	1	1	2021-11-01 02:35:01.820
11759	1994-04-12	2	2	2021-11-01 06:29:51.011
5421	2005-12-22	2	2	2021-11-01 02:32:20.904
4012	1959-07-03	1	2	2021-11-01 02:46:54.440
21535	1999-09-10	2	2	2021-11-01 22:04:59.936
19156	2008-09-01	1	2	2021-11-01 10:15:43.311
23541	1976-08-08	1	2	2021-11-01 08:22:26.598
1942	1975-06-23	3	2	2021-11-01 03:23:08.766
27846	1996-12-04	3	1	2021-11-01 23:08:27.935
35622	1975-08-04	2	1	2021-11-01 15:01:15.779
8248	1970-11-26	1	2	2021-11-01 10:31:23.405
3679	1987-01-10	2	2	2021-11-01 09:52:06.156
25229	1976-09-19	2	2	2021-11-01 01:37:39.445
10287	1952-09-22	1	1	2021-11-01 06:11:45.712
36584	1960-12-24	2	1	2021-11-01 06:48:06.216
19526	1975-09-07	2	1	2021-11-01 18:21:19.858
32005	2001-03-06	1	2	2021-11-01 02:03:21.224
2620	1952-06-14	3	2	2021-11-01 13:19:15.986
13514	1959-02-06	1	1	2021-11-01 17:12:07.219
5844	1976-06-09	3	1	2021-11-01 10:36:20.670
26662	1969-09-12	2	1	2021-11-01 08:41:07.531
20723	2009-08-12	3	1	2021-11-01 00:38:55.517
32859	1983-07-25	1	1	2021-11-01 17:55:08.419
11467	1952-04-16	1	2	2021-11-01 09:50:51.363
5806	1967-11-08	3	2	2021-11-01 09:21:39.694
32730	2000-10-05	2	1	2021-11-01 16:33:34.463
26777	1967-12-01	1	1	2021-11-01 06:36:47.181
9398	1953-03-01	2	2	2021-11-01 20:38:04.209
13464	1981-09-07	2	2	2021-11-01 15:52:20.396
20121	1975-01-20	3	1	2021-11-01 17:22:41.045
15067	1955-01-05	2	2	2021-11-01 06:52:02.974
2773	1991-11-25	3	1	2021-11-01 16:31:46.246
37262	2005-04-08	1	2	2021-11-01 05:04:14.649
24753	1998-07-17	2	1	2021-11-01 11:09:14.919
8307	1996-12-30	1	2	2021-11-01 08:30:38.293
19779	1957-06-16	1	2	2021-11-01 00:56:13.497
23380	2000-07-21	1	1	2021-11-01 19:38:19.479
14392	1999-11-27	3	1	2021-11-01 08:12:44.968
9831	1973-03-06	2	1	2021-11-01 01:26:57.064
1861	1963-03-23	2	1	2021-11-01 23:14:20.533
10514	1962-04-28	1	2	2021-11-01 16:25:51.783
7977	1997-06-04	1	1	2021-11-01 17:41:48.480
24438	2005-10-11	1	2	2021-11-01 10:33:23.234
26331	1958-01-16	1	1	2021-11-01 10:44:10.170
23462	1987-06-28	1	1	2021-11-01 18:20:59.338
37294	1959-02-09	2	2	2021-11-01 07:27:41.610
3432	1983-09-26	1	2	2021-11-01 06:13:13.942
41590	2009-04-07	3	2	2021-11-01 00:05:51.076
26908	1976-04-13	1	1	2021-11-01 21:23:29.566
25216	1990-03-06	2	2	2021-11-01 09:22:29.262
41325	1987-01-16	1	2	2021-11-01 06:50:14.920
18284	1987-01-09	2	1	2021-11-01 12:19:24.700
15626	1989-11-16	1	2	2021-11-01 15:50:49.078
35916	1994-10-30	3	1	2021-11-01 04:17:09.540
11510	1970-09-15	3	1	2021-11-01 03:19:42.575
41790	1997-12-18	3	1	2021-11-01 08:18:58.508
44363	1963-08-27	1	2	2021-11-01 20:21:28.136
7575	1991-02-10	1	2	2021-11-01 05:10:28.538
7331	1981-04-23	2	2	2021-11-01 08:39:15.764
5960	1993-06-19	2	1	2021-11-01 00:50:59.861
30099	1982-12-21	2	1	2021-11-01 15:25:03.404
35391	1983-11-16	2	2	2021-11-01 21:55:40.959
5672	1977-08-15	1	2	2021-11-01 14:16:15.971
6009	1968-07-20	2	1	2021-11-01 02:49:32.037
36634	1994-10-22	3	2	2021-11-01 19:07:44.557
30102	1956-09-06	1	2	2021-11-01 01:19:47.877
26332	1972-05-13	3	2	2021-11-01 21:53:14.369
25392	1964-06-08	1	1	2021-11-01 20:13:42.751
12098	1964-09-04	1	1	2021-11-01 17:17:59.379
15183	1975-11-19	1	1	2021-11-01 12:12:09.993
15839	1972-01-29	3	1	2021-11-01 19:52:28.245
42491	1972-06-13	1	2	2021-11-01 11:22:25.147
18407	2006-09-14	3	1	2021-11-01 19:09:22.808
9915	1961-07-30	1	2	2021-11-01 01:46:19.650
32845	1979-02-01	3	2	2021-11-01 01:06:04.429
10398	1987-11-18	1	1	2021-11-01 00:09:02.021
9012	1971-08-13	1	2	2021-11-01 23:03:30.207
23490	1978-10-25	1	1	2021-11-01 04:09:49.930
38163	2006-04-09	2	1	2021-11-01 08:15:31.036
33190	2000-01-14	2	2	2021-11-01 00:43:59.186
27004	1969-07-05	3	1	2021-11-01 13:56:19.908
42508	1970-11-28	1	1	2021-11-01 02:35:54.739
28275	1970-03-13	1	1	2021-11-01 02:26:42.033
22597	1990-07-27	1	1	2021-11-01 19:08:43.475
36399	1966-03-04	2	2	2021-11-01 10:57:46.245
40890	2004-12-04	1	2	2021-11-01 04:19:54.124
15391	1994-01-22	1	2	2021-11-01 14:42:33.719
35261	1958-01-07	3	2	2021-11-01 12:23:34.850
7843	2003-11-05	3	1	2021-11-01 11:11:45.305
12960	1954-05-01	2	1	2021-11-01 21:27:46.799
8983	1961-05-14	3	1	2021-11-01 08:23:32.465
5864	2000-09-18	3	2	2021-11-01 17:07:54.276
30293	1973-01-02	3	2	2021-11-01 18:48:30.751
42331	1961-04-17	1	1	2021-11-01 14:36:51.931
23202	1985-03-07	3	1	2021-11-01 02:35:53.117
12259	1999-07-05	3	2	2021-11-01 21:13:28.965
13410	1964-11-02	1	1	2021-11-01 15:17:50.785
12908	1993-07-31	1	2	2021-11-01 12:11:10.023
23605	1960-12-11	3	2	2021-11-01 00:05:14.525
7724	1984-06-29	1	2	2021-11-01 07:38:47.428
21150	1996-07-07	2	2	2021-11-01 09:35:01.637
30169	1975-08-18	2	2	2021-11-01 23:43:40.431
10671	1982-09-12	1	1	2021-11-01 11:16:23.836
14811	2002-12-05	1	1	2021-11-01 11:30:52.809
21513	2008-01-09	2	2	2021-11-01 10:24:22.867
8807	1980-07-07	1	2	2021-11-01 10:39:47.726
19531	1957-07-05	1	2	2021-11-01 04:32:29.152
33129	1999-04-13	2	1	2021-11-01 11:57:58.901
42529	2006-10-21	3	2	2021-11-01 06:28:52.742
26393	1974-06-23	2	1	2021-11-01 03:09:47.085
31408	2002-09-19	3	2	2021-11-01 13:47:20.623
18177	1960-01-26	1	1	2021-11-01 04:59:51.192
29851	1954-03-03	2	2	2021-11-01 10:55:23.452
4901	1958-01-22	3	1	2021-11-01 08:29:12.698
1469	1990-01-23	3	2	2021-11-01 12:53:43.378
19660	1985-09-06	2	1	2021-11-01 22:42:00.244
38071	1977-04-21	3	2	2021-11-01 08:50:26.721
27435	2007-08-04	2	2	2021-11-01 10:19:04.313
38671	1961-01-06	3	2	2021-11-01 01:47:38.265
40238	1961-04-17	1	2	2021-11-01 07:59:47.253
36875	2000-05-15	1	1	2021-11-01 06:46:43.084
31513	2009-09-18	3	1	2021-11-01 18:52:01.053
37697	2008-12-24	2	2	2021-11-01 19:44:39.186
34536	1968-08-13	1	2	2021-11-01 20:39:36.765
10070	1967-05-28	3	2	2021-11-01 21:26:14.787
19468	1953-10-19	2	1	2021-11-01 12:54:54.077
40179	1970-01-28	3	2	2021-11-01 08:14:13.736
39004	1967-06-27	2	2	2021-11-01 21:43:23.153
37021	1989-10-22	3	2	2021-11-01 14:53:30.351
6211	1958-06-11	2	2	2021-11-01 07:34:20.002
10042	1967-06-13	1	2	2021-11-01 15:46:13.540
12829	2006-08-14	3	1	2021-11-01 15:44:00.635
20948	2005-05-06	1	1	2021-11-01 08:09:25.603
29290	1994-12-05	1	1	2021-11-01 06:28:46.700
14457	1982-08-09	1	2	2021-11-01 21:38:51.360
