userid	birthdate	profileLevel	gender	updatedTime
33581	2008-04-09	2	1	2021-11-03 12:28:01.542
38883	1973-02-23	1	1	2021-11-03 21:42:38.820
18239	1971-10-09	2	1	2021-11-03 04:15:43.659
32831	1953-06-11	1	1	2021-11-03 01:23:09.178
22211	1958-09-06	2	1	2021-11-03 00:27:04.646
25740	1975-11-01	3	1	2021-11-03 21:14:23.388
44850	1998-10-10	2	1	2021-11-03 10:27:58.304
31764	1982-08-22	3	1	2021-11-03 04:29:03.801
24678	2004-04-27	2	1	2021-11-03 07:17:14.984
24410	2001-07-08	1	1	2021-11-03 02:44:33.332
13429	1972-04-26	1	2	2021-11-03 22:42:19.954
628	1999-11-19	1	1	2021-11-03 07:19:54.390
15409	2007-09-28	3	1	2021-11-03 04:41:34.074
36482	2007-08-27	3	1	2021-11-03 21:09:15.569
16577	1962-07-28	1	2	2021-11-03 13:51:32.870
38779	1982-07-19	1	2	2021-11-03 05:30:45.786
43896	1964-05-25	3	2	2021-11-03 10:26:12.403
14990	1953-11-13	1	1	2021-11-03 15:22:08.652
11497	1990-02-09	2	1	2021-11-03 13:12:55.298
44375	1993-11-11	3	1	2021-11-03 20:08:55.528
35746	2002-08-04	1	2	2021-11-03 05:02:45.065
39081	1999-08-10	1	2	2021-11-03 10:04:38.681
15008	1965-03-30	3	2	2021-11-03 18:56:16.117
29076	1970-06-01	2	1	2021-11-03 19:04:10.076
20388	1996-05-19	2	2	2021-11-03 01:58:05.619
20955	1974-10-12	1	1	2021-11-03 02:28:17.456
29721	1950-05-03	3	1	2021-11-03 01:28:10.320
7933	1976-09-22	2	2	2021-11-03 22:25:10.315
7365	2000-03-29	3	1	2021-11-03 19:50:38.205
28803	1961-02-18	1	2	2021-11-03 22:05:00.373
37082	1963-08-10	1	1	2021-11-03 17:16:04.243
4522	1950-08-16	2	2	2021-11-03 18:39:42.069
42997	1993-07-23	3	1	2021-11-03 15:35:57.788
40695	1983-08-26	2	2	2021-11-03 04:18:21.645
11409	2005-10-28	1	2	2021-11-03 14:47:15.335
35350	1958-06-11	2	2	2021-11-03 22:25:55.464
2808	1975-04-15	2	2	2021-11-03 19:50:56.013
42559	1996-07-03	2	1	2021-11-03 19:44:53.602
8022	1969-12-14	2	1	2021-11-03 19:40:38.518
12653	1950-06-14	3	1	2021-11-03 19:05:48.157
40705	1992-09-17	3	2	2021-11-03 11:06:59.042
28161	1984-10-01	2	1	2021-11-03 01:30:30.390
42458	1971-09-27	3	2	2021-11-03 21:39:59.112
14805	1990-10-04	2	1	2021-11-03 02:28:41.354
20476	1952-09-01	1	1	2021-11-03 08:28:01.120
40838	1952-10-11	3	2	2021-11-03 20:17:09.334
25485	1983-09-08	2	1	2021-11-03 09:10:38.665
13103	1959-04-22	1	1	2021-11-03 09:30:07.770
24372	2005-06-09	1	1	2021-11-03 03:32:46.221
10900	1977-04-30	2	1	2021-11-03 09:35:38.446
7671	1952-12-29	2	2	2021-11-03 15:41:41.278
30818	1996-06-17	2	1	2021-11-03 23:17:57.113
42975	1960-01-20	2	1	2021-11-03 01:26:37.502
42734	1965-11-01	3	1	2021-11-03 12:03:53.194
37932	1951-11-22	2	1	2021-11-03 07:56:03.188
30957	2003-01-23	1	2	2021-11-03 21:38:22.260
15585	1979-02-15	3	2	2021-11-03 06:04:48.990
14188	1987-10-02	2	2	2021-11-03 13:50:52.472
25359	1951-11-06	3	2	2021-11-03 08:11:21.923
27048	2001-04-27	2	2	2021-11-03 16:37:20.304
37520	1963-04-21	1	1	2021-11-03 20:58:51.470
40405	1998-07-05	1	2	2021-11-03 16:22:10.612
2649	1975-11-25	1	1	2021-11-03 07:42:06.941
21796	1998-01-02	1	2	2021-11-03 10:39:32.364
5303	2000-03-05	1	2	2021-11-03 03:33:35.920
38891	2004-08-30	1	2	2021-11-03 05:29:44.538
30613	1953-06-09	2	2	2021-11-03 18:40:03.492
13436	1962-04-30	2	1	2021-11-03 22:50:41.778
22862	1952-01-16	2	2	2021-11-03 04:32:21.569
36736	1987-04-23	3	1	2021-11-03 10:25:51.409
16610	1986-04-12	2	2	2021-11-03 20:21:55.146
17126	1977-07-16	3	2	2021-11-03 15:20:44.112
29801	1961-06-03	1	2	2021-11-03 08:24:37.066
31465	1985-08-11	1	2	2021-11-03 20:15:02.990
21062	1988-06-29	1	1	2021-11-03 01:18:24.120
7088	1993-02-19	2	2	2021-11-03 10:12:28.630
7148	1982-08-01	3	1	2021-11-03 23:29:58.941
2907	1965-01-05	2	1	2021-11-03 11:53:43.222
7118	1994-03-30	3	2	2021-11-03 05:48:20.328
10408	2004-07-29	2	2	2021-11-03 09:32:24.999
14968	1977-04-05	3	1	2021-11-03 22:28:53.028
41557	1986-04-12	1	1	2021-11-03 10:32:41.022
36724	1987-07-27	2	2	2021-11-03 11:07:51.843
37658	1996-07-29	1	2	2021-11-03 06:25:53.296
39984	1993-04-04	1	1	2021-11-03 22:43:25.022
19661	1955-10-23	1	1	2021-11-03 23:45:05.209
15035	1951-04-28	2	2	2021-11-03 07:59:49.084
6944	1975-11-04	1	2	2021-11-03 16:07:06.271
24687	1987-04-18	1	1	2021-11-03 03:49:44.867
5956	1993-12-26	1	2	2021-11-03 11:47:56.645
30278	1995-04-14	3	1	2021-11-03 03:35:00.213
4210	1980-12-11	3	1	2021-11-03 01:06:58.110
44527	2007-07-04	1	1	2021-11-03 12:20:53.379
4393	1958-06-23	3	2	2021-11-03 16:44:23.570
14749	1965-09-02	2	2	2021-11-03 06:22:13.609
44141	1983-03-05	3	2	2021-11-03 02:52:38.750
40145	1951-02-22	3	1	2021-11-03 04:42:05.108
39847	1992-01-06	3	1	2021-11-03 02:50:38.961
14462	1975-02-12	3	1	2021-11-03 08:33:22.977
22015	1976-12-20	1	1	2021-11-03 05:27:09.848
22237	1971-09-17	1	1	2021-11-03 09:30:40.972
18509	1999-02-24	1	1	2021-11-03 20:33:52.122
39629	1980-09-06	1	1	2021-11-03 05:19:26.962
15946	1954-04-08	1	2	2021-11-03 06:12:16.181
8501	1952-03-29	2	1	2021-11-03 06:54:09.971
4663	1973-06-25	2	2	2021-11-03 00:00:00.750
13025	1964-03-08	1	1	2021-11-03 22:57:34.348
15131	2000-01-17	2	1	2021-11-03 16:18:40.678
20966	1969-01-06	3	2	2021-11-03 16:58:08.012
43259	1996-10-02	1	2	2021-11-03 17:16:16.029
21987	1962-03-19	3	2	2021-11-03 06:13:59.037
8234	1955-11-08	1	2	2021-11-03 06:45:10.782
28493	1990-05-05	2	2	2021-11-03 19:29:15.653
36505	2003-11-15	2	1	2021-11-03 19:46:06.683
1735	1961-12-17	1	2	2021-11-03 09:42:10.417
28361	1956-11-17	1	1	2021-11-03 08:25:53.525
20240	1987-10-26	1	1	2021-11-03 13:45:06.077
2490	1951-03-07	2	2	2021-11-03 09:01:47.013
9623	1951-08-06	1	2	2021-11-03 13:22:51.362
9327	1995-07-16	3	1	2021-11-03 17:50:13.588
25789	1958-06-01	3	2	2021-11-03 02:23:52.153
6775	1950-02-15	3	2	2021-11-03 00:05:33.874
8873	2006-11-28	3	1	2021-11-03 07:28:12.279
27588	1985-10-19	1	2	2021-11-03 11:36:36.180
14838	1983-12-20	2	1	2021-11-03 18:49:15.083
12079	2009-02-06	3	1	2021-11-03 14:16:17.105
28240	1977-05-11	3	2	2021-11-03 00:14:49.498
35792	1999-05-23	2	2	2021-11-03 14:42:08.019
1249	1988-03-12	3	1	2021-11-03 08:47:25.389
39096	1950-02-21	2	2	2021-11-03 19:13:45.524
37803	1995-07-22	3	1	2021-11-03 07:13:38.160
34165	1998-08-09	1	1	2021-11-03 03:52:05.709
33314	2000-10-20	2	1	2021-11-03 09:24:17.625
10878	1956-03-09	2	1	2021-11-03 22:10:21.813
39980	2001-11-11	1	2	2021-11-03 04:56:11.687
21079	1964-08-20	2	1	2021-11-03 08:54:49.828
26789	1954-01-24	2	2	2021-11-03 09:10:13.800
6106	1965-04-15	3	2	2021-11-03 08:00:11.103
28192	1996-07-21	2	2	2021-11-03 01:22:20.413
13519	1958-01-21	3	2	2021-11-03 01:48:34.022
1606	2003-12-15	1	2	2021-11-03 19:42:06.481
44391	1966-01-18	1	1	2021-11-03 11:18:16.410
21202	1973-11-16	1	2	2021-11-03 19:10:46.886
42495	1987-09-10	3	1	2021-11-03 19:09:36.400
11774	1977-07-07	1	2	2021-11-03 19:56:38.666
5803	1989-08-05	2	2	2021-11-03 17:14:00.297
28515	1979-08-27	1	2	2021-11-03 12:15:19.793
9578	1997-03-19	2	2	2021-11-03 00:12:41.585
8376	1965-04-15	3	2	2021-11-03 02:08:53.134
37127	1975-10-15	1	1	2021-11-03 22:07:40.785
20562	1954-04-04	1	2	2021-11-03 06:18:33.456
69	1988-07-17	2	2	2021-11-03 08:22:32.902
4671	1974-08-01	1	1	2021-11-03 15:03:34.617
25511	2001-11-13	3	1	2021-11-03 12:01:56.508
39096	1954-05-15	2	1	2021-11-03 23:50:03.360
28695	1969-01-11	1	2	2021-11-03 01:57:42.743
19376	1998-10-10	2	1	2021-11-03 00:49:53.341
18709	1974-03-25	3	2	2021-11-03 04:00:54.652
23446	1968-10-23	2	2	2021-11-03 22:57:38.471
4164	1996-10-31	1	2	2021-11-03 23:54:12.875
11545	1977-05-19	1	1	2021-11-03 12:48:55.941
30837	1979-01-29	3	1	2021-11-03 19:41:21.293
38383	1977-04-10	3	2	2021-11-03 16:51:16.865
17388	1959-10-08	2	2	2021-11-03 14:16:52.404
4304	1980-01-22	1	1	2021-11-03 21:25:21.158
36670	1977-01-22	1	1	2021-11-03 04:21:52.839
26604	1991-11-25	2	1	2021-11-03 01:16:02.513
22837	1965-09-13	3	2	2021-11-03 18:00:48.179
44240	1951-04-14	2	1	2021-11-03 10:52:52.048
18754	1954-03-14	2	2	2021-11-03 09:16:30.015
21232	1952-07-05	2	1	2021-11-03 05:19:36.559
29014	1964-02-16	1	2	2021-11-03 09:20:44.543
25379	1974-08-25	1	1	2021-11-03 03:37:50.926
36154	1962-04-25	3	2	2021-11-03 04:42:44.058
23633	1983-01-05	2	1	2021-11-03 06:55:39.778
4726	1984-07-17	1	2	2021-11-03 20:03:43.730
40629	1952-01-19	3	1	2021-11-03 19:00:23.527
39886	1957-08-29	1	1	2021-11-03 01:37:06.642
18282	1974-07-25	3	2	2021-11-03 04:21:26.720
36980	1983-03-28	1	2	2021-11-03 06:13:32.930
22641	2006-07-17	3	1	2021-11-03 23:50:22.557
35563	1952-06-28	1	2	2021-11-03 23:01:15.769
2791	1999-04-22	2	2	2021-11-03 01:07:20.926
7579	1980-04-25	3	2	2021-11-03 17:42:54.241
27069	1985-05-20	3	2	2021-11-03 21:21:22.105
6346	1977-01-24	3	2	2021-11-03 01:39:05.058
2623	1957-06-03	3	1	2021-11-03 14:48:04.297
12340	2005-02-21	1	1	2021-11-03 02:58:37.879
30631	1998-06-24	1	2	2021-11-03 01:58:22.394
43557	1999-03-16	2	2	2021-11-03 05:04:54.661
42930	2002-09-03	3	2	2021-11-03 20:36:24.239
41591	1982-05-27	1	2	2021-11-03 04:15:04.710
32428	1997-02-12	1	1	2021-11-03 04:06:39.491
32299	1990-03-27	3	2	2021-11-03 05:38:50.400
25468	1951-04-29	2	1	2021-11-03 21:57:40.383
41265	1973-04-11	2	1	2021-11-03 22:44:52.391
31642	1986-11-16	3	1	2021-11-03 01:17:07.250
11408	1992-10-24	1	2	2021-11-03 10:28:50.237
16957	2000-05-22	3	2	2021-11-03 14:41:42.904
22895	2009-03-13	3	2	2021-11-03 00:36:12.583
34897	1990-02-01	3	1	2021-11-03 17:46:55.928
1376	1995-02-09	2	1	2021-11-03 17:39:21.235
18090	1950-09-27	2	1	2021-11-03 01:13:17.950
9861	1986-01-13	1	1	2021-11-03 16:35:20.789
44673	1998-12-30	1	2	2021-11-03 17:58:32.457
41977	1953-01-21	1	1	2021-11-03 23:23:15.877
41223	1950-09-18	2	1	2021-11-03 22:34:20.259
39856	1985-02-15	2	1	2021-11-03 06:25:07.094
41512	1983-04-06	2	2	2021-11-03 15:03:16.635
28716	1987-09-23	1	1	2021-11-03 04:13:57.956
18768	1955-04-19	2	1	2021-11-03 05:00:26.852
44078	1965-12-14	3	2	2021-11-03 02:59:30.153
31884	1975-10-23	1	2	2021-11-03 19:59:05.700
7162	2004-05-30	3	1	2021-11-03 03:24:46.237
18761	2007-12-19	1	1	2021-11-03 16:03:27.244
5730	2002-08-10	2	1	2021-11-03 03:23:01.821
27745	2008-10-01	3	2	2021-11-03 10:00:26.766
15052	2004-02-07	1	1	2021-11-03 21:18:50.383
8429	1968-03-16	1	1	2021-11-03 00:04:11.208
1354	1958-12-11	1	2	2021-11-03 10:18:31.315
9690	1997-11-22	2	2	2021-11-03 11:58:09.063
18902	2007-05-10	1	1	2021-11-03 18:02:55.921
34772	2002-08-28	2	2	2021-11-03 00:25:18.747
10933	2001-10-10	1	2	2021-11-03 09:54:56.608
38818	1952-05-21	2	2	2021-11-03 01:49:45.563
9902	1987-02-28	1	2	2021-11-03 22:45:51.537
15306	1981-07-22	1	2	2021-11-03 19:35:23.479
1986	1990-04-02	1	2	2021-11-03 10:36:18.366
13830	2008-10-30	1	2	2021-11-03 03:15:44.704
3193	1960-01-20	2	2	2021-11-03 10:24:24.884
27890	1953-02-04	1	2	2021-11-03 02:45:48.367
31927	2005-06-20	2	1	2021-11-03 02:27:04.843
10138	1976-10-02	2	1	2021-11-03 15:17:25.727
19769	1997-12-20	2	2	2021-11-03 12:07:37.863
8487	1982-11-28	3	1	2021-11-03 19:34:33.314
25821	1962-04-08	2	2	2021-11-03 04:39:06.785
44917	1969-08-08	3	2	2021-11-03 20:17:05.803
31278	2000-03-01	2	1	2021-11-03 18:55:37.898
699	2001-02-09	2	1	2021-11-03 06:52:05.674
27467	2003-10-07	1	2	2021-11-03 07:03:48.602
38808	1966-01-17	1	2	2021-11-03 17:43:26.139
4522	1969-01-14	2	1	2021-11-03 23:55:42.413
2521	1973-12-12	1	2	2021-11-03 03:04:50.814
36229	1988-07-31	3	1	2021-11-03 16:49:35.539
33576	1977-11-10	1	2	2021-11-03 10:41:59.873
42463	1988-06-12	2	1	2021-11-03 07:24:06.843
21674	1965-03-31	3	2	2021-11-03 17:20:49.506
10976	1997-06-06	2	1	2021-11-03 17:51:18.864
40441	1977-07-10	1	2	2021-11-03 07:49:06.354
10694	1993-04-16	2	1	2021-11-03 05:16:36.942
20849	1974-08-15	3	2	2021-11-03 12:57:32.879
9559	1955-07-05	2	2	2021-11-03 06:41:47.244
16797	1990-08-19	2	2	2021-11-03 12:16:08.272
10917	1957-04-13	3	2	2021-11-03 09:45:35.974
14215	1981-04-04	3	2	2021-11-03 02:37:39.320
23031	1963-03-29	3	1	2021-11-03 03:17:29.433
16282	1966-03-17	1	2	2021-11-03 13:23:51.349
11842	1984-06-14	3	2	2021-11-03 06:20:59.210
2062	1994-01-31	2	2	2021-11-03 08:27:35.347
25084	2004-07-10	3	2	2021-11-03 20:25:56.574
24968	1982-12-01	3	2	2021-11-03 13:34:17.738
17725	1955-08-14	3	2	2021-11-03 23:19:10.147
22193	1956-05-22	1	1	2021-11-03 07:28:37.166
40488	1986-04-01	3	1	2021-11-03 13:03:43.308
14142	2000-08-13	1	1	2021-11-03 09:12:56.141
22366	1966-01-17	2	2	2021-11-03 06:30:49.902
710	2008-02-24	3	2	2021-11-03 05:19:10.408
8084	2004-06-07	2	1	2021-11-03 12:42:03.984
21428	2003-09-23	1	1	2021-11-03 13:12:58.380
26210	1981-06-07	2	1	2021-11-03 09:22:03.691
29451	1992-01-08	1	2	2021-11-03 05:20:33.438
22140	1963-03-25	3	1	2021-11-03 07:45:24.056
13148	1992-09-19	3	1	2021-11-03 04:16:21.910
5389	1966-11-08	2	2	2021-11-03 17:23:58.395
36962	2009-09-25	3	1	2021-11-03 06:52:16.193
34678	1995-06-15	3	2	2021-11-03 10:43:04.174
40986	1978-07-10	1	2	2021-11-03 16:25:38.219
6251	1998-11-04	2	2	2021-11-03 08:12:05.859
13299	1981-08-08	3	1	2021-11-03 04:39:21.620
19368	1952-02-08	3	2	2021-11-03 15:37:13.539
41972	1970-11-26	3	2	2021-11-03 15:45:35.904
28278	1958-05-15	1	1	2021-11-03 17:28:09.652
6773	1961-11-15	2	2	2021-11-03 16:10:17.094
5052	2004-03-30	2	1	2021-11-03 04:24:12.832
21324	1990-07-29	1	1	2021-11-03 12:20:23.885
36445	1971-01-30	2	2	2021-11-03 00:52:37.824
22023	1951-02-19	1	2	2021-11-03 08:33:00.484
40444	1985-06-05	3	2	2021-11-03 06:48:19.338
19609	1956-12-01	3	1	2021-11-03 12:56:39.432
17063	1996-10-21	2	2	2021-11-03 14:22:33.535
31009	1968-09-07	1	2	2021-11-03 00:38:42.475
40804	1972-08-15	3	1	2021-11-03 13:52:38.186
32873	1985-12-25	1	1	2021-11-03 14:17:22.372
11272	1991-02-25	2	1	2021-11-03 05:21:31.207
20876	1953-08-05	3	1	2021-11-03 20:35:55.644
7747	1965-08-03	3	2	2021-11-03 21:32:25.224
202	1964-10-07	1	2	2021-11-03 06:53:02.874
16531	1952-10-26	2	2	2021-11-03 00:59:30.951
40791	1984-12-08	3	2	2021-11-03 19:38:25.274
3476	1993-07-08	3	1	2021-11-03 17:06:59.844
37478	1970-04-29	3	1	2021-11-03 23:54:49.583
19257	1988-06-15	1	2	2021-11-03 00:30:55.034
29574	1971-06-28	2	2	2021-11-03 10:01:45.988
7024	1972-09-08	3	1	2021-11-03 05:59:48.053
29665	1992-10-13	1	2	2021-11-03 18:22:27.798
15773	1961-08-03	2	2	2021-11-03 00:09:23.066
33726	1968-06-30	1	2	2021-11-03 06:01:28.688
37435	1985-06-25	1	1	2021-11-03 12:14:25.808
1073	1956-05-23	2	1	2021-11-03 12:56:13.289
42332	2004-07-15	1	1	2021-11-03 10:07:59.169
