userid	birthdate	profileLevel	gender	updatedTime
41886	2000-12-09	3	1	2021-11-04 18:10:41.875
6057	2002-06-23	3	1	2021-11-04 14:27:56.218
16323	1956-03-16	1	2	2021-11-04 13:52:26.886
14335	1972-02-08	2	2	2021-11-04 02:07:49.920
36954	1995-05-09	3	2	2021-11-04 10:19:25.314
31222	1966-08-09	3	1	2021-11-04 22:57:34.323
358	1968-10-28	2	2	2021-11-04 23:38:34.247
11395	1962-07-01	1	2	2021-11-04 01:54:36.084
41483	1991-03-23	2	2	2021-11-04 11:41:44.621
10370	1969-09-01	1	2	2021-11-04 09:41:57.145
32663	1952-05-29	1	1	2021-11-04 14:34:25.450
17247	1975-05-21	2	1	2021-11-04 16:29:01.795
12421	1965-03-04	3	1	2021-11-04 23:00:03.846
34277	1966-11-02	3	2	2021-11-04 04:15:52.445
43796	1961-08-06	1	1	2021-11-04 03:38:50.224
16505	1987-05-30	2	2	2021-11-04 00:07:59.704
30106	1960-10-01	2	2	2021-11-04 18:49:24.485
26353	1956-02-24	3	1	2021-11-04 10:50:22.986
3351	1958-06-24	1	2	2021-11-04 08:39:48.377
20666	1995-11-04	3	1	2021-11-04 04:51:27.483
41961	1950-04-09	1	2	2021-11-04 13:17:40.458
42121	1995-05-04	2	1	2021-11-04 03:32:11.658
21550	2009-03-10	3	2	2021-11-04 09:35:34.013
15900	1988-10-27	1	2	2021-11-04 06:32:31.403
19318	1989-03-16	1	1	2021-11-04 03:52:31.100
16732	1988-10-19	1	2	2021-11-04 18:18:09.677
16991	1981-11-25	3	1	2021-11-04 23:52:06.044
6951	1964-12-14	2	2	2021-11-04 13:34:01.786
1521	1950-10-19	2	1	2021-11-04 04:57:17.851
9216	1988-02-05	3	2	2021-11-04 16:15:16.109
13226	1979-05-07	1	1	2021-11-04 08:49:29.134
41834	2002-04-24	2	2	2021-11-04 12:59:03.754
10812	1954-10-09	3	2	2021-11-04 20:35:45.678
35567	1978-02-01	3	2	2021-11-04 07:11:31.754
31428	1971-08-12	3	2	2021-11-04 09:49:45.089
32936	1985-03-25	2	1	2021-11-04 10:16:43.259
31190	1953-03-26	1	2	2021-11-04 22:11:55.493
4613	1982-11-01	2	1	2021-11-04 05:38:23.848
20503	1962-07-05	2	1	2021-11-04 23:36:54.188
31021	1955-01-05	3	1	2021-11-04 05:08:55.592
33324	2007-08-08	1	2	2021-11-04 19:51:54.224
38050	1998-04-02	3	2	2021-11-04 22:26:53.492
23428	1995-01-18	1	2	2021-11-04 07:36:31.973
19505	1961-09-25	2	2	2021-11-04 23:37:22.613
30052	1959-05-06	1	2	2021-11-04 15:05:10.791
3980	2006-11-30	1	1	2021-11-04 15:39:56.264
3130	1968-04-12	1	1	2021-11-04 09:42:04.273
23894	1990-08-16	2	1	2021-11-04 18:41:00.871
17688	1975-05-12	2	1	2021-11-04 12:46:26.344
6052	1970-11-06	3	2	2021-11-04 05:11:06.625
9223	1976-02-28	3	1	2021-11-04 23:24:27.502
20522	2006-03-02	1	2	2021-11-04 20:09:04.432
5715	1963-08-24	1	1	2021-11-04 04:03:59.897
2057	1981-02-24	1	1	2021-11-04 09:17:46.589
15041	1963-10-24	1	2	2021-11-04 10:48:35.228
